Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,60.51,61.43,59.61,59.65,311700,59.65
2012-05-03,61.45,61.93,60.01,60.74,279100,60.74
2012-05-02,59.87,61.47,59.54,61.10,379000,61.10
2012-05-01,59.94,61.00,59.53,59.85,443800,59.85
2012-04-30,59.97,60.00,58.77,59.72,336900,59.72
2012-04-27,59.05,59.99,58.51,59.79,240300,59.79
2012-04-26,58.04,59.04,57.43,58.79,207600,58.79
2012-04-25,57.33,58.31,56.94,58.24,449900,58.24
2012-04-24,57.21,57.57,56.25,56.53,332500,56.53
2012-04-23,57.24,57.86,56.96,57.30,333300,57.30
2012-04-20,58.69,58.69,57.54,57.99,372700,57.99
2012-04-19,58.37,58.64,57.46,57.56,247500,57.56
2012-04-18,57.59,58.49,57.46,58.33,431300,58.33
2012-04-17,56.42,58.01,56.16,57.61,369600,57.61
2012-04-16,55.10,56.19,54.42,55.87,301400,55.87
2012-04-13,54.80,55.18,54.44,54.79,227100,54.79
2012-04-12,54.68,55.63,54.51,55.25,154200,55.25
2012-04-11,54.13,54.49,53.64,54.49,242400,54.49
2012-04-10,54.97,55.02,53.67,53.78,328400,53.78
2012-04-09,54.97,55.29,54.47,55.06,128800,55.06
2012-04-05,55.14,56.25,55.03,55.78,193400,55.78
2012-04-04,55.23,55.69,54.91,55.62,289900,55.62
2012-04-03,54.92,55.78,54.54,55.65,232200,55.65
2012-04-02,54.67,55.42,54.46,55.19,270200,55.19
2012-03-30,55.20,55.50,54.55,54.55,234700,54.55
2012-03-29,54.68,55.18,54.53,55.06,254400,55.06
2012-03-28,55.02,55.35,54.55,55.17,273800,55.17
2012-03-27,55.40,55.72,54.80,55.13,228600,55.13
2012-03-26,54.18,55.68,54.16,55.27,366100,55.27
2012-03-23,53.71,54.00,53.04,53.99,153900,53.99
2012-03-22,52.71,53.98,52.68,53.83,208800,53.83
2012-03-21,52.99,53.79,52.57,53.45,175000,53.45
2012-03-20,52.37,53.24,52.02,52.81,235100,52.81
2012-03-19,52.47,52.99,51.86,52.47,279900,52.47
2012-03-16,52.59,52.75,52.30,52.57,370300,52.57
2012-03-15,52.62,52.99,52.08,52.72,288200,52.72
2012-03-14,51.84,52.81,51.38,52.48,451500,52.48
2012-03-13,51.45,52.18,50.94,52.03,402700,52.03
2012-03-12,51.50,51.54,50.69,51.08,196000,51.08
2012-03-09,51.75,52.00,50.04,51.49,910100,51.49
2012-03-08,51.83,52.00,51.19,51.64,383100,51.64
2012-03-07,50.95,51.74,50.77,51.50,399100,51.50
2012-03-06,50.03,51.04,49.61,50.81,239700,50.81
2012-03-05,50.20,50.64,50.07,50.50,233500,50.50
2012-03-02,51.03,52.09,50.05,50.15,394100,50.15
2012-03-01,49.45,51.74,48.91,50.96,421900,50.96
2012-02-29,49.66,49.99,48.71,48.95,159800,48.95
2012-02-28,49.86,50.15,48.91,49.72,456900,49.72
2012-02-27,48.26,50.50,47.55,49.95,350800,49.95
2012-02-24,49.37,49.77,48.09,48.41,165200,48.41
2012-02-23,48.85,50.31,48.61,49.56,155500,49.56
2012-02-22,48.21,49.16,48.00,48.81,237100,48.81
2012-02-21,49.89,50.34,48.97,49.10,187700,49.10
2012-02-17,49.78,50.17,49.38,49.79,213700,49.79
2012-02-16,48.72,49.56,48.29,49.47,163500,49.47
2012-02-15,49.79,50.00,48.51,48.71,159100,48.71
2012-02-14,48.44,49.40,48.38,49.37,257200,49.37
2012-02-13,48.47,48.80,48.30,48.51,167400,48.51
2012-02-10,47.70,48.37,47.62,48.08,158900,48.08
2012-02-09,48.48,48.97,47.99,48.16,208900,48.16
2012-02-08,49.15,49.44,48.33,48.47,161500,48.47
2012-02-07,48.80,49.43,48.80,49.03,244000,49.03
2012-02-06,48.56,48.88,48.36,48.82,313800,48.82
2012-02-03,48.87,49.04,47.97,48.65,315700,48.65
2012-02-02,49.01,49.22,47.67,47.95,268500,47.95
2012-02-01,48.38,49.04,47.80,48.95,363000,48.95
2012-01-31,47.99,49.05,47.33,47.93,279300,47.93
2012-01-30,48.35,48.51,47.40,47.91,222600,47.91
2012-01-27,48.18,49.11,48.16,48.95,143900,48.95
2012-01-26,49.53,49.78,48.11,48.38,189200,48.38
2012-01-25,48.81,49.87,48.29,49.49,187500,49.49
2012-01-24,48.49,48.96,48.37,48.93,195400,48.93
2012-01-23,48.52,48.94,48.17,48.63,202400,48.63
2012-01-20,48.33,48.87,47.72,48.53,283800,48.53
2012-01-19,47.94,48.81,47.80,48.34,284100,48.34
2012-01-18,47.00,47.95,46.73,47.93,322200,47.93
2012-01-17,46.83,47.26,46.57,47.00,222800,47.00
2012-01-13,46.46,47.12,46.02,46.39,200400,46.39
2012-01-12,46.54,47.42,46.00,47.05,289500,47.05
