Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,9.45,9.45,8.87,8.92,207500,8.92
2012-05-03,9.84,9.85,9.42,9.54,222500,9.54
2012-05-02,9.82,10.12,9.74,9.84,196000,9.84
2012-05-01,9.98,10.09,9.83,9.86,106000,9.86
2012-04-30,10.00,10.02,9.84,9.93,122700,9.93
2012-04-27,9.99,10.28,9.88,10.00,110000,10.00
2012-04-26,10.06,10.16,9.52,10.00,426900,10.00
2012-04-25,10.14,10.14,9.81,10.07,136500,10.07
2012-04-24,10.09,10.24,10.00,10.02,128300,10.02
2012-04-23,10.48,10.56,10.06,10.10,590200,10.10
2012-04-20,10.85,11.10,10.44,10.64,144900,10.64
2012-04-19,11.00,11.04,10.79,10.87,275600,10.87
2012-04-18,10.75,11.08,10.75,10.99,220200,10.99
2012-04-17,10.75,10.81,10.70,10.75,625800,10.75
2012-04-16,11.09,11.19,10.54,10.70,430600,10.70
2012-04-13,10.98,11.25,10.94,11.08,294400,11.08
2012-04-12,10.96,11.04,10.75,10.98,172300,10.98
2012-04-11,10.76,11.03,10.47,10.91,210400,10.91
2012-04-10,10.73,10.91,10.40,10.63,284000,10.63
2012-04-09,10.90,11.00,10.73,10.87,103100,10.87
2012-04-05,10.84,11.00,10.72,10.87,127100,10.87
2012-04-04,11.05,11.15,10.77,10.84,149300,10.84
2012-04-03,11.05,11.19,10.96,11.10,268000,11.10
2012-04-02,10.60,11.12,10.53,11.01,432300,11.01
2012-03-30,10.49,10.64,10.25,10.60,106500,10.60
2012-03-29,10.56,10.62,10.05,10.28,247300,10.28
2012-03-28,10.62,10.76,10.44,10.66,145200,10.66
2012-03-27,10.90,11.00,10.53,10.68,136900,10.68
2012-03-26,10.67,10.83,10.65,10.81,144000,10.81
2012-03-23,10.74,10.77,10.51,10.55,229300,10.55
2012-03-22,10.75,10.95,10.52,10.77,429200,10.77
2012-03-21,10.60,10.91,10.29,10.85,358600,10.85
2012-03-20,9.61,10.70,9.61,10.58,380800,10.58
2012-03-19,9.50,9.78,9.34,9.37,281100,9.37
2012-03-16,9.76,9.87,9.50,9.51,167500,9.51
2012-03-15,9.98,10.08,9.77,9.83,71000,9.83
2012-03-14,10.11,10.35,9.82,9.95,122300,9.95
2012-03-13,9.33,10.17,9.30,10.11,223300,10.11
2012-03-12,10.04,10.12,9.08,9.24,233600,9.24
2012-03-09,9.70,10.23,9.57,10.07,164200,10.07
2012-03-08,9.51,9.80,9.43,9.68,93200,9.68
2012-03-07,9.10,9.43,9.10,9.38,590500,9.38
2012-03-06,9.50,9.50,8.92,9.08,228100,9.08
2012-03-05,9.74,9.96,9.49,9.63,232600,9.63
2012-03-02,10.04,10.09,9.71,9.80,482900,9.80
2012-03-01,10.18,10.34,10.00,10.03,219500,10.03
2012-02-29,11.11,11.18,10.15,10.16,449900,10.16
2012-02-28,11.16,11.20,10.94,11.09,980000,11.09
2012-02-27,11.14,11.35,11.01,11.17,960100,11.17
2012-02-24,10.50,11.21,10.25,11.14,511700,11.14
2012-02-23,9.93,10.79,9.78,10.66,994600,10.66
2012-02-22,9.71,10.00,9.71,9.87,310200,9.87
2012-02-21,10.00,10.00,9.37,9.67,370000,9.67
2012-02-17,9.16,9.28,9.00,9.15,86000,9.15
2012-02-16,9.12,9.29,8.93,9.15,169000,9.15
2012-02-15,9.28,9.41,9.12,9.12,141000,9.12
2012-02-14,9.25,9.33,9.12,9.25,57400,9.25
2012-02-13,9.47,9.47,9.18,9.32,73600,9.32
2012-02-10,9.56,9.62,9.03,9.34,277900,9.34
2012-02-09,9.45,9.97,9.45,9.95,228900,9.95
2012-02-08,9.31,9.57,9.02,9.41,437100,9.41
2012-02-07,8.97,9.25,8.93,9.25,159800,9.25
2012-02-06,8.97,9.24,8.85,8.96,208400,8.96
2012-02-03,9.33,9.37,9.00,9.02,237200,9.02
2012-02-02,9.55,9.56,9.15,9.26,254600,9.26
2012-02-01,9.80,9.80,9.38,9.55,172000,9.55
2012-01-31,9.80,9.87,9.61,9.70,131800,9.70
2012-01-30,9.63,9.75,9.33,9.72,153600,9.72
2012-01-27,9.80,9.81,9.64,9.81,41700,9.81
2012-01-26,9.87,10.00,9.73,9.80,106900,9.80
2012-01-25,9.93,9.93,9.59,9.88,71900,9.88
2012-01-24,10.11,10.15,9.83,9.88,166200,9.88
2012-01-23,9.76,10.29,9.76,10.22,332100,10.22
2012-01-20,9.67,9.77,9.50,9.73,199800,9.73
2012-01-19,9.66,9.91,9.40,9.73,384200,9.73
2012-01-18,9.75,9.81,9.34,9.65,265600,9.65
2012-01-17,9.16,9.82,9.00,9.81,623600,9.81
2012-01-13,8.99,9.20,8.73,8.96,129000,8.96
2012-01-12,9.29,9.30,8.93,9.06,149200,9.06
2012-01-11,8.60,9.30,8.47,9.26,474000,9.26
2012-01-10,8.56,8.69,8.35,8.63,244000,8.63
2012-01-09,8.26,8.55,8.24,8.51,144700,8.51
2012-01-06,8.25,8.33,8.14,8.21,88000,8.21
2012-01-05,8.13,8.33,8.04,8.25,150500,8.25
2012-01-04,8.39,8.51,8.09,8.19,90800,8.19
2012-01-03,8.50,8.60,8.41,8.45,206300,8.45
2011-12-30,8.31,8.61,8.19,8.32,180700,8.32
2011-12-29,7.59,8.76,7.34,8.42,1008700,8.42
2011-12-28,6.90,7.24,6.90,7.22,130100,7.22
2011-12-27,7.03,7.12,6.65,6.86,158100,6.86
2011-12-23,7.45,7.45,6.95,7.02,143100,7.02
2011-12-22,7.36,7.47,7.18,7.33,159700,7.33
2011-12-21,7.86,7.86,7.30,7.38,147700,7.38
2011-12-20,7.79,7.95,7.57,7.90,451900,7.90
2011-12-19,7.82,7.84,7.54,7.67,38900,7.67
2011-12-16,7.41,7.86,7.31,7.76,458300,7.76
2011-12-15,7.56,7.67,7.40,7.40,242000,7.40
2011-12-14,7.60,7.60,7.42,7.49,168700,7.49
2011-12-13,7.95,8.00,7.61,7.70,157600,7.70
2011-12-12,8.19,8.26,7.74,7.83,151200,7.83
2011-12-09,8.37,8.37,7.99,8.19,123700,8.19
2011-12-08,8.37,8.90,8.28,8.39,120200,8.39
2011-12-07,8.27,8.68,8.20,8.37,148300,8.37
2011-12-06,9.22,9.25,8.26,8.27,327900,8.27
2011-12-05,8.96,9.10,8.88,9.00,292900,9.00
2011-12-02,9.24,9.25,8.76,8.86,124200,8.86
2011-12-01,9.10,9.10,8.86,8.92,85000,8.92
2011-11-30,8.97,9.00,8.76,8.85,219800,8.85
2011-11-29,8.80,8.97,8.47,8.76,297300,8.76
2011-11-28,8.63,8.91,8.18,8.83,152400,8.83
2011-11-25,8.79,8.79,8.10,8.35,74700,8.35
2011-11-23,9.10,9.10,8.80,8.80,138500,8.80
2011-11-22,8.69,9.10,8.69,9.10,176900,9.10
2011-11-21,9.10,9.10,8.58,8.66,110100,8.66
2011-11-18,9.11,9.28,8.96,9.28,105600,9.28
