Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,40.06,40.21,37.72,38.15,1111700,38.15
2012-05-03,40.63,42.00,39.93,40.68,1949300,40.68
2012-05-02,41.96,42.68,41.65,42.68,607600,42.68
2012-05-01,41.76,43.11,41.26,42.35,514900,42.35
2012-04-30,41.09,41.92,40.79,41.63,471700,41.63
2012-04-27,41.14,41.57,40.73,41.09,497900,41.09
2012-04-26,40.81,41.42,40.45,40.96,455700,40.96
2012-04-25,41.17,41.26,40.59,40.94,579900,40.94
2012-04-24,41.30,41.48,40.59,40.72,523000,40.72
2012-04-23,39.91,41.31,39.47,41.08,515100,41.08
2012-04-20,41.40,42.00,40.57,40.84,435500,40.84
2012-04-19,40.42,41.17,39.99,40.67,526600,40.67
2012-04-18,41.01,41.78,40.38,40.38,503200,40.38
2012-04-17,40.74,41.58,40.53,41.36,605600,41.36
2012-04-16,41.76,41.76,39.87,40.35,575500,40.35
2012-04-13,42.10,42.13,40.85,41.42,577700,41.42
2012-04-12,41.00,42.72,41.00,42.41,440600,42.41
2012-04-11,40.74,41.32,40.59,41.09,422500,41.09
2012-04-10,41.58,41.74,39.91,40.13,896500,40.13
2012-04-09,40.96,42.23,40.96,41.67,396100,41.67
2012-04-05,41.72,42.39,41.52,41.95,516400,41.95
2012-04-04,42.54,42.96,41.70,42.06,382300,42.06
2012-04-03,43.15,43.83,42.59,43.26,521600,43.26
2012-04-02,41.94,43.40,41.65,43.37,491600,43.37
2012-03-30,41.84,42.68,41.46,42.03,508800,42.03
2012-03-29,41.35,41.76,41.02,41.34,609100,41.34
2012-03-28,41.90,42.22,41.00,41.73,693700,41.73
2012-03-27,42.54,42.62,41.92,42.03,524700,42.03
2012-03-26,42.19,42.65,41.95,42.59,525400,42.59
2012-03-23,41.36,42.14,40.84,41.57,871000,41.57
2012-03-22,41.37,41.69,41.06,41.39,553100,41.39
2012-03-21,42.33,42.44,41.22,42.15,786200,42.15
2012-03-20,42.46,42.77,41.99,42.56,638100,42.56
2012-03-19,42.20,43.47,41.49,42.93,726900,42.93
2012-03-16,40.90,42.81,40.90,42.33,798600,42.33
2012-03-15,41.17,41.37,40.40,40.60,536300,40.60
2012-03-14,42.08,42.20,40.87,41.20,412900,41.20
2012-03-13,41.69,42.30,41.13,42.14,551600,42.14
2012-03-12,42.17,42.17,40.65,41.37,982400,41.37
2012-03-09,41.83,43.03,41.65,42.36,661000,42.36
2012-03-08,40.48,42.02,40.27,41.75,634700,41.75
2012-03-07,39.72,40.26,39.43,40.10,746400,40.10
2012-03-06,39.96,40.05,39.13,39.45,747500,39.45
2012-03-05,40.48,41.09,39.91,40.77,543000,40.77
2012-03-02,40.64,41.36,40.07,40.18,696600,40.18
2012-03-01,40.98,41.69,40.50,41.01,775100,41.01
2012-02-29,41.70,42.25,40.75,40.75,831700,40.75
2012-02-28,41.76,42.85,40.93,41.72,652400,41.72
2012-02-27,42.74,42.96,41.34,41.70,939800,41.70
2012-02-24,42.07,43.16,41.79,43.00,1690200,43.00
2012-02-23,40.60,42.11,40.11,42.10,755300,42.10
2012-02-22,39.72,40.81,39.72,40.60,693800,40.60
2012-02-21,39.94,40.59,39.55,39.96,751100,39.96
2012-02-17,39.28,40.36,38.56,39.66,1072700,39.66
2012-02-16,40.00,40.18,37.27,38.86,2699300,38.86
2012-02-15,36.93,37.13,36.15,36.47,687600,36.47
2012-02-14,36.59,36.98,36.38,36.90,493200,36.90
2012-02-13,36.51,36.85,36.22,36.74,538600,36.74
2012-02-10,35.37,36.06,35.12,36.03,657000,36.03
2012-02-09,36.01,36.61,35.77,35.86,495400,35.86
2012-02-08,35.78,36.38,35.58,36.01,492400,36.01
2012-02-07,35.16,35.73,34.58,35.56,387300,35.56
2012-02-06,34.80,35.35,34.52,35.18,491000,35.18
2012-02-03,35.44,35.89,34.91,34.96,832000,34.96
2012-02-02,33.50,35.04,33.36,34.81,883900,34.81
2012-02-01,33.07,33.62,32.69,33.51,897100,33.51
2012-01-31,33.04,33.28,32.50,32.69,528000,32.69
2012-01-30,33.25,33.25,32.56,32.86,933100,32.86
2012-01-27,33.85,34.43,33.52,33.61,639700,33.61
2012-01-26,36.24,36.61,33.86,33.99,1050100,33.99
2012-01-25,35.64,36.13,35.11,36.01,412500,36.01
2012-01-24,35.41,35.92,35.36,35.70,606600,35.70
2012-01-23,35.79,36.15,35.58,35.76,399100,35.76
2012-01-20,35.39,35.96,35.31,35.72,579000,35.72
2012-01-19,35.18,36.05,35.17,35.48,986500,35.48
2012-01-18,34.05,35.24,33.82,35.15,1128300,35.15
2012-01-17,33.86,34.54,33.00,34.21,1232800,34.21
2012-01-13,32.53,33.57,32.40,33.53,1319800,33.53
2012-01-12,33.35,33.64,32.90,32.98,693500,32.98
2012-01-11,33.31,33.70,32.45,33.29,663400,33.29
2012-01-10,33.35,33.95,33.30,33.59,628700,33.59
2012-01-09,33.76,33.87,32.48,32.78,892800,32.78
2012-01-06,32.25,33.92,31.95,33.80,868000,33.80
