Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,5.45,5.53,5.37,5.49,4022100,5.49
2012-05-03,5.46,5.49,5.33,5.48,19876600,5.48
2012-05-02,5.73,5.76,5.66,5.69,1100500,5.69
2012-05-01,5.74,5.91,5.70,5.81,1007800,5.81
2012-04-30,5.74,5.82,5.69,5.75,620500,5.75
2012-04-27,5.80,5.81,5.69,5.76,484500,5.76
2012-04-26,5.72,5.77,5.66,5.75,364000,5.75
2012-04-25,5.77,5.81,5.70,5.75,464300,5.75
2012-04-24,5.62,5.70,5.57,5.70,493900,5.70
2012-04-23,5.65,5.67,5.58,5.60,684400,5.60
2012-04-20,5.72,5.79,5.68,5.75,664300,5.75
2012-04-19,5.50,5.68,5.49,5.67,1324400,5.67
2012-04-18,5.59,5.59,5.47,5.47,1017200,5.47
2012-04-17,5.52,5.65,5.48,5.61,810800,5.61
2012-04-16,5.52,5.55,5.43,5.46,629600,5.46
2012-04-13,5.47,5.51,5.40,5.46,665900,5.46
2012-04-12,5.35,5.52,5.30,5.51,554100,5.51
2012-04-11,5.17,5.38,5.12,5.36,957200,5.36
2012-04-10,5.29,5.30,5.09,5.11,810000,5.11
2012-04-09,5.29,5.35,5.20,5.29,630500,5.29
2012-04-05,5.34,5.42,5.30,5.40,346400,5.40
2012-04-04,5.41,5.44,5.36,5.38,505600,5.38
2012-04-03,5.51,5.57,5.46,5.49,878000,5.49
2012-04-02,5.44,5.54,5.37,5.54,925000,5.54
2012-03-30,5.47,5.50,5.38,5.46,694500,5.46
2012-03-29,5.37,5.43,5.34,5.42,591800,5.42
2012-03-28,5.42,5.46,5.39,5.43,722600,5.43
2012-03-27,5.44,5.56,5.42,5.44,1580700,5.38
2012-03-26,5.38,5.54,5.36,5.45,993200,5.39
2012-03-23,5.09,5.33,5.08,5.31,735800,5.25
2012-03-22,5.11,5.18,5.04,5.11,674800,5.05
2012-03-21,5.20,5.22,5.11,5.17,1792500,5.11
2012-03-20,5.15,5.24,5.12,5.18,1019700,5.12
2012-03-19,5.17,5.30,5.16,5.21,702300,5.15
2012-03-16,5.19,5.24,5.16,5.17,1010500,5.11
2012-03-15,5.18,5.22,5.12,5.15,752100,5.09
2012-03-14,5.22,5.28,5.16,5.17,523600,5.11
2012-03-13,5.12,5.25,5.08,5.23,1012000,5.17
2012-03-12,5.13,5.18,5.07,5.08,691800,5.02
2012-03-09,5.10,5.20,5.06,5.14,666600,5.08
2012-03-08,5.11,5.11,5.04,5.10,315400,5.04
2012-03-07,5.08,5.10,5.01,5.07,696200,5.01
2012-03-06,5.08,5.16,5.03,5.05,753900,4.99
2012-03-05,5.02,5.17,5.00,5.16,877600,5.10
2012-03-02,5.00,5.07,4.99,5.01,841600,4.95
2012-03-01,5.05,5.09,5.00,5.01,740800,4.95
2012-02-29,5.16,5.20,4.98,5.03,1806100,4.97
2012-02-28,5.19,5.21,5.10,5.16,618600,5.10
