Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,6.60,6.61,6.28,6.30,143700,6.30
2012-05-03,6.68,6.75,6.61,6.62,142700,6.62
2012-05-02,6.72,6.76,6.63,6.71,104000,6.71
2012-05-01,6.68,6.81,6.50,6.75,207000,6.75
2012-04-30,6.74,6.77,6.65,6.67,148000,6.67
2012-04-27,6.89,6.90,6.71,6.76,195800,6.76
2012-04-26,6.98,7.02,6.87,6.88,143900,6.88
2012-04-25,7.00,7.35,6.75,6.99,294500,6.99
2012-04-24,6.67,6.93,6.64,6.78,174700,6.78
2012-04-23,6.63,6.72,6.47,6.68,104900,6.68
2012-04-20,6.72,6.87,6.64,6.77,134400,6.77
2012-04-19,6.79,6.93,6.59,6.62,96600,6.62
2012-04-18,6.75,6.84,6.61,6.79,96100,6.79
2012-04-17,6.75,6.96,6.68,6.78,150500,6.78
2012-04-16,6.58,6.71,6.40,6.66,203100,6.66
2012-04-13,6.75,6.76,6.49,6.51,110700,6.51
2012-04-12,6.56,6.95,6.56,6.79,200600,6.79
2012-04-11,6.60,6.62,6.41,6.55,138500,6.55
2012-04-10,6.77,6.83,6.48,6.54,167400,6.54
2012-04-09,6.80,6.86,6.71,6.77,316300,6.77
2012-04-05,7.06,7.10,6.94,6.97,118400,6.97
2012-04-04,7.21,7.21,7.02,7.11,124300,7.11
2012-04-03,7.38,7.46,7.29,7.31,143500,7.31
2012-04-02,7.32,7.42,7.21,7.41,147800,7.41
2012-03-30,7.54,7.54,7.34,7.36,89100,7.36
2012-03-29,7.38,7.55,7.38,7.47,65500,7.47
2012-03-28,7.52,7.57,7.35,7.44,88700,7.44
2012-03-27,7.56,7.64,7.42,7.53,97200,7.53
2012-03-26,7.52,7.61,7.48,7.56,179300,7.56
2012-03-23,7.44,7.44,7.26,7.41,274100,7.41
2012-03-22,7.63,7.72,7.41,7.45,193100,7.45
2012-03-21,7.74,7.83,7.62,7.71,84700,7.71
2012-03-20,7.78,7.85,7.66,7.72,109800,7.72
2012-03-19,7.68,8.00,7.68,7.85,237200,7.85
2012-03-16,7.68,7.78,7.61,7.72,324300,7.72
2012-03-15,7.59,7.73,7.47,7.66,171200,7.66
2012-03-14,7.62,7.76,7.54,7.59,222500,7.59
2012-03-13,7.57,7.72,7.35,7.64,178300,7.64
2012-03-12,7.82,7.90,7.43,7.49,112600,7.49
2012-03-09,7.25,7.85,7.25,7.80,270100,7.80
2012-03-08,7.10,7.25,7.07,7.23,223600,7.23
2012-03-07,6.99,7.11,6.93,7.04,99100,7.04
2012-03-06,7.18,7.28,6.93,6.95,238900,6.95
2012-03-05,7.29,7.42,7.16,7.22,215200,7.22
2012-03-02,7.85,7.92,7.32,7.33,218400,7.33
2012-03-01,8.05,8.11,7.82,7.83,184000,7.83
2012-02-29,8.13,8.22,7.91,7.95,271700,7.95
2012-02-28,8.04,8.23,7.96,8.12,81700,8.12
2012-02-27,8.26,8.36,8.02,8.03,191700,8.03
2012-02-24,8.00,8.49,7.97,8.30,178900,8.30
2012-02-23,7.65,8.00,7.59,7.98,228600,7.98
2012-02-22,7.56,7.87,7.45,7.66,256800,7.66
2012-02-21,7.21,7.58,7.20,7.47,264700,7.47
2012-02-17,7.25,7.46,7.20,7.21,188800,7.21
2012-02-16,6.70,7.43,6.66,7.21,1149000,7.21
2012-02-15,7.83,8.06,7.73,7.94,181200,7.94
2012-02-14,7.89,7.97,7.70,7.79,56600,7.79
2012-02-13,7.82,8.00,7.81,7.95,117800,7.95
2012-02-10,7.85,7.94,7.70,7.76,133200,7.76
2012-02-09,7.95,7.95,7.81,7.93,78700,7.93
2012-02-08,7.96,8.02,7.87,7.92,115100,7.92
2012-02-07,8.13,8.13,7.95,7.97,70800,7.97
2012-02-06,8.37,8.47,8.05,8.17,110700,8.17
2012-02-03,8.11,8.45,8.03,8.43,130800,8.43
2012-02-02,8.04,8.16,7.89,7.98,194500,7.98
2012-02-01,7.63,8.03,7.60,8.00,343500,8.00
2012-01-31,7.53,7.65,7.39,7.56,117400,7.56
2012-01-30,7.69,7.69,7.45,7.48,167500,7.48
2012-01-27,7.54,7.73,7.51,7.73,113700,7.73
2012-01-26,7.73,7.77,7.49,7.56,126800,7.56
2012-01-25,7.41,7.73,7.31,7.73,163000,7.73
2012-01-24,7.08,7.45,7.00,7.37,288500,7.37
2012-01-23,7.02,7.17,6.94,7.11,432800,7.11
2012-01-20,7.12,7.14,6.94,7.05,191900,7.05
2012-01-19,7.28,7.35,7.12,7.14,153600,7.14
2012-01-18,7.43,7.43,7.20,7.27,220500,7.27
2012-01-17,7.37,7.62,7.26,7.43,254000,7.43
2012-01-13,7.46,7.46,7.21,7.33,266700,7.33
2012-01-12,7.57,7.58,7.19,7.56,133300,7.56
2012-01-11,7.51,7.67,7.37,7.57,211600,7.57
2012-01-10,7.48,7.64,7.35,7.59,188600,7.59
2012-01-09,7.26,7.39,7.22,7.38,247700,7.38
2012-01-06,7.12,7.31,7.02,7.25,142400,7.25
2012-01-05,7.20,7.21,7.07,7.14,153300,7.14
2012-01-04,7.19,7.46,7.19,7.24,168400,7.24
2012-01-03,7.01,7.24,6.94,7.23,186200,7.23
2011-12-30,6.76,6.99,6.71,6.86,248900,6.86
2011-12-29,6.40,6.81,6.40,6.78,180000,6.78
2011-12-28,6.63,6.63,6.37,6.40,146600,6.40
2011-12-27,6.49,6.70,6.40,6.61,113000,6.61
2011-12-23,6.63,6.63,6.39,6.49,179800,6.49
2011-12-22,6.48,6.64,6.36,6.62,213100,6.62
2011-12-21,6.91,7.28,6.40,6.46,591300,6.46
2011-12-20,6.63,7.00,6.63,6.93,199300,6.93
2011-12-19,6.60,6.79,6.38,6.47,247400,6.47
2011-12-16,6.62,6.69,6.40,6.58,617100,6.58
2011-12-15,6.51,6.71,6.38,6.56,185400,6.56
2011-12-14,6.39,6.47,6.23,6.44,275600,6.44
2011-12-13,6.91,6.91,6.39,6.45,306600,6.45
2011-12-12,6.72,6.84,6.68,6.83,176700,6.83
2011-12-09,6.78,6.92,6.75,6.80,268700,6.80
2011-12-08,6.81,7.32,6.74,6.76,606100,6.76
2011-12-07,6.34,6.52,6.12,6.49,249100,6.49
2011-12-06,6.62,6.63,6.32,6.38,268000,6.38
2011-12-05,6.55,6.71,6.41,6.58,362700,6.58
2011-12-02,6.72,6.77,6.35,6.41,309000,6.41
2011-12-01,6.44,6.78,6.42,6.62,307600,6.62
2011-11-30,6.21,6.53,6.05,6.51,360300,6.51
2011-11-29,5.68,6.00,5.59,5.97,316500,5.97
2011-11-28,6.05,6.09,5.60,5.68,324600,5.68
2011-11-25,5.90,6.10,5.87,5.87,80800,5.87
2011-11-23,6.13,6.23,5.89,5.96,169100,5.96
2011-11-22,6.39,6.47,6.16,6.20,372200,6.20
2011-11-21,6.42,6.44,6.33,6.40,213400,6.40
2011-11-18,6.52,6.69,6.52,6.60,186900,6.60
2011-11-17,6.70,6.75,6.53,6.59,270500,6.59
2011-11-16,6.79,6.89,6.70,6.73,182400,6.73
2011-11-15,6.72,6.96,6.62,6.88,209300,6.88
2011-11-14,6.89,6.92,6.71,6.77,126100,6.77
2011-11-11,6.93,6.99,6.84,6.90,159600,6.90
2011-11-10,6.87,6.91,6.62,6.87,261900,6.87
2011-11-09,6.97,7.03,6.74,6.76,240400,6.76
2011-11-08,7.03,7.20,6.93,7.18,249100,7.18
2011-11-07,6.90,7.03,6.89,6.95,459300,6.95
2011-11-04,6.95,6.97,6.81,6.89,227000,6.89
2011-11-03,7.25,7.30,6.96,7.01,473000,7.01
2011-11-02,7.11,7.19,6.90,7.16,376200,7.16
2011-11-01,6.89,7.09,6.70,6.96,494000,6.96
2011-10-31,6.85,7.34,6.77,7.16,803500,7.16
2011-10-28,6.42,6.99,6.37,6.95,1020300,6.95
2011-10-27,6.72,6.72,6.38,6.44,800200,6.44
2011-10-26,6.37,6.60,6.31,6.49,1213400,6.49
2011-10-25,6.32,6.67,6.22,6.31,4943000,6.31
2011-10-24,10.71,11.20,9.84,11.17,246400,11.17
2011-10-21,10.55,10.69,10.35,10.64,117900,10.64
2011-10-20,10.32,10.38,9.96,10.34,80200,10.34
2011-10-19,10.66,10.78,10.27,10.32,105000,10.32
2011-10-18,10.31,10.82,10.15,10.70,113600,10.70
2011-10-17,10.63,10.65,10.24,10.30,126200,10.30
2011-10-14,10.58,10.71,10.44,10.70,103600,10.70
2011-10-13,10.59,10.59,10.28,10.43,103900,10.43
2011-10-12,10.46,10.79,10.35,10.68,260100,10.68
2011-10-11,10.12,10.44,10.08,10.43,258900,10.43
2011-10-10,9.95,10.24,9.87,10.19,245800,10.19
2011-10-07,9.96,10.03,9.68,9.72,245800,9.72
2011-10-06,9.59,9.95,9.59,9.91,277800,9.91
2011-10-05,9.45,9.72,9.28,9.65,214300,9.65
2011-10-04,8.75,9.45,8.63,9.42,400900,9.42
2011-10-03,9.73,9.87,8.83,8.83,470600,8.83
2011-09-30,10.10,10.30,9.83,9.83,180700,9.83
2011-09-29,10.59,10.66,9.99,10.29,149800,10.29
2011-09-28,10.71,10.83,10.30,10.30,163400,10.30
2011-09-27,10.77,10.90,10.53,10.69,193100,10.69
2011-09-26,10.35,10.56,10.19,10.49,138100,10.49
2011-09-23,10.15,10.49,10.02,10.28,190900,10.28
2011-09-22,10.15,10.22,9.85,10.18,374600,10.18
2011-09-21,11.44,11.44,10.41,10.45,327900,10.45
2011-09-20,11.67,11.82,11.39,11.41,121000,11.41
2011-09-19,11.59,11.73,11.21,11.60,79400,11.60
2011-09-16,12.07,12.13,11.68,11.87,314700,11.87
2011-09-15,11.97,12.03,11.45,11.97,165500,11.97
2011-09-14,11.64,12.07,11.30,11.80,151400,11.80
2011-09-13,11.51,11.58,10.96,11.49,279800,11.49
2011-09-12,11.22,11.51,11.18,11.48,99500,11.48
2011-09-09,11.74,11.85,11.24,11.38,104700,11.38
2011-09-08,12.14,12.26,11.85,11.86,133000,11.86
2011-09-07,11.92,12.29,11.78,12.23,191600,12.23
2011-09-06,11.31,11.75,11.26,11.70,173500,11.70
2011-09-02,12.04,12.31,11.67,11.72,249300,11.72
2011-09-01,12.89,13.29,12.14,12.35,373200,12.35
2011-08-31,12.83,12.97,12.41,12.56,214300,12.56
2011-08-30,12.51,12.86,12.32,12.72,383800,12.72
2011-08-29,12.14,12.77,12.12,12.65,220200,12.65
2011-08-26,11.16,12.07,11.05,12.00,172300,12.00
2011-08-25,12.10,12.23,11.21,11.24,234600,11.24
2011-08-24,12.16,12.18,11.72,12.00,204800,12.00
2011-08-23,11.49,12.25,11.36,12.13,337900,12.13
2011-08-22,11.64,11.64,11.07,11.27,151300,11.27
2011-08-19,11.21,11.59,11.21,11.27,142000,11.27
2011-08-18,11.72,11.83,11.28,11.36,202400,11.36
2011-08-17,11.96,12.06,11.75,11.98,99700,11.98
2011-08-16,11.82,12.09,11.61,11.87,179800,11.87
2011-08-15,12.15,12.47,11.89,11.95,385100,11.95
2011-08-12,12.25,12.25,11.88,11.99,324900,11.99
2011-08-11,11.33,12.33,11.31,12.12,315100,12.12
2011-08-10,11.13,11.59,10.85,11.30,401400,11.30
2011-08-09,11.39,12.00,10.51,11.50,467000,11.50
2011-08-08,12.10,12.48,11.00,11.10,405300,11.10
2011-08-05,13.08,13.47,12.15,12.45,470700,12.45
