Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,37.47,37.47,36.73,36.87,165100,36.87
2012-05-03,38.49,38.49,37.64,37.77,115400,37.77
2012-05-02,38.90,38.94,38.48,38.56,258000,38.56
2012-05-01,38.88,39.53,38.85,39.25,188800,39.25
2012-04-30,38.55,38.84,38.40,38.82,388800,38.82
2012-04-27,38.71,38.79,38.44,38.66,134100,38.66
2012-04-26,37.95,38.57,37.95,38.54,89800,38.54
2012-04-25,38.00,38.26,37.71,38.22,132600,38.22
2012-04-24,37.60,37.85,37.42,37.69,135300,37.69
2012-04-23,37.11,37.58,36.87,37.47,125100,37.47
2012-04-20,38.15,38.37,37.69,37.69,261400,37.69
2012-04-19,37.95,38.25,37.67,37.84,134600,37.84
2012-04-18,37.88,38.11,37.72,37.87,116800,37.87
2012-04-17,37.70,38.24,37.70,38.01,92400,38.01
2012-04-16,37.85,38.01,37.26,37.40,112100,37.40
2012-04-13,38.20,38.22,37.68,37.69,102600,37.69
2012-04-12,37.38,38.46,37.38,38.36,124900,38.36
2012-04-11,37.78,37.86,37.29,37.33,175700,37.33
2012-04-10,37.93,38.07,37.21,37.36,326500,37.36
2012-04-09,37.91,38.34,37.82,38.00,200100,38.00
2012-04-05,38.60,39.01,38.35,38.46,180000,38.46
2012-04-04,38.95,39.09,38.47,38.75,153400,38.75
2012-04-03,39.84,39.84,39.15,39.48,138600,39.48
2012-04-02,39.33,40.18,39.27,39.88,269000,39.88
2012-03-30,39.41,39.53,39.01,39.42,419500,39.42
2012-03-29,38.92,39.17,38.50,39.10,384700,39.10
2012-03-28,39.54,39.64,38.89,39.17,108300,39.17
2012-03-27,40.32,40.32,39.75,39.79,205700,39.79
2012-03-26,40.26,40.36,40.01,40.21,244000,40.21
2012-03-23,39.59,40.10,39.41,39.98,423600,39.90
2012-03-22,39.99,40.02,39.30,39.48,329000,39.40
2012-03-21,40.77,40.77,40.31,40.43,310700,40.35
2012-03-20,40.98,40.98,40.58,40.76,126500,40.68
2012-03-19,41.15,41.57,41.10,41.40,76200,41.31
2012-03-16,40.71,41.29,40.71,41.17,98700,41.08
2012-03-15,40.59,40.87,40.34,40.70,84800,40.62
2012-03-14,41.12,41.12,40.40,40.54,161100,40.46
2012-03-13,40.85,41.19,40.56,41.18,120600,41.09
2012-03-12,41.08,41.12,40.52,40.68,115200,40.60
2012-03-09,41.21,41.57,41.07,41.17,97500,41.08
2012-03-08,40.95,41.27,40.72,41.10,110000,41.01
2012-03-07,40.48,40.76,40.16,40.66,206300,40.58
2012-03-06,40.50,40.50,40.05,40.33,190000,40.25
2012-03-05,41.50,41.50,40.93,41.17,249800,41.08
2012-03-02,42.14,42.18,41.53,41.69,152200,41.60
2012-03-01,42.03,42.34,41.88,42.27,154000,42.18
2012-02-29,42.50,42.68,41.67,41.78,162800,41.69
2012-02-28,42.40,42.62,42.12,42.39,232700,42.30
2012-02-27,42.37,42.58,42.05,42.35,123600,42.26
2012-02-24,42.60,42.73,42.46,42.54,111000,42.45
2012-02-23,42.26,42.54,41.97,42.52,162900,42.43
2012-02-22,42.03,42.37,41.95,42.17,146600,42.08
2012-02-21,41.98,42.23,41.88,42.05,148700,41.96
2012-02-17,41.89,42.00,41.47,41.65,239400,41.56
2012-02-16,40.90,41.67,40.71,41.63,136600,41.54
2012-02-15,41.12,41.26,40.83,40.94,282400,40.86
2012-02-14,40.89,41.00,40.57,40.94,340600,40.86
2012-02-13,41.13,41.21,40.73,40.96,146400,40.87
2012-02-10,40.82,40.86,40.54,40.76,135100,40.68
2012-02-09,41.37,41.45,41.00,41.26,99600,41.17
2012-02-08,41.43,41.55,41.00,41.23,153000,41.14
2012-02-07,41.19,41.43,40.73,41.37,143700,41.28
2012-02-06,40.74,41.31,40.65,41.27,191600,41.18
2012-02-03,40.89,41.03,40.61,40.99,261100,40.90
2012-02-02,40.19,40.65,40.12,40.43,245300,40.35
2012-02-01,40.25,40.45,40.05,40.14,271800,40.06
2012-01-31,40.45,40.49,39.66,39.92,150400,39.84
2012-01-30,39.87,40.15,39.54,40.07,479100,39.99
2012-01-27,40.00,40.50,40.00,40.34,277000,40.26
2012-01-26,40.90,41.06,40.05,40.21,238700,40.13
2012-01-25,39.70,40.70,39.25,40.60,196200,40.52
2012-01-24,39.64,39.80,39.41,39.77,294100,39.69
2012-01-23,39.67,40.03,39.64,39.97,225700,39.89
2012-01-20,39.54,39.70,39.28,39.50,169900,39.42
2012-01-19,39.75,39.82,39.50,39.59,299400,39.51
2012-01-18,38.75,39.54,38.70,39.52,148800,39.44
2012-01-17,39.17,39.27,38.70,38.84,231300,38.76
2012-01-13,38.74,38.74,38.30,38.67,147000,38.59
2012-01-12,39.17,39.32,38.86,39.03,93100,38.95
2012-01-11,39.38,39.42,39.05,39.19,214800,39.11
2012-01-10,39.76,39.91,39.53,39.58,211700,39.50
2012-01-09,39.00,39.20,38.88,39.07,173600,38.99
2012-01-06,39.28,39.28,38.86,38.94,195300,38.86
2012-01-05,39.10,39.30,38.71,39.16,262900,39.08
2012-01-04,39.07,39.43,38.94,39.39,313300,39.31
2012-01-03,38.81,39.42,38.81,39.22,546800,39.14
2011-12-30,37.72,38.10,37.72,38.00,948200,37.92
2011-12-29,37.51,37.88,37.40,37.85,318900,37.77
