Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,67.06,67.06,66.40,66.48,65800,66.48
2012-05-03,67.73,67.87,67.33,67.36,26000,67.36
2012-05-02,67.47,67.84,67.29,67.75,39000,67.75
2012-05-01,67.28,68.22,66.93,67.82,44500,67.82
2012-04-30,67.15,67.32,67.03,67.11,82000,67.11
2012-04-27,66.90,67.25,66.54,67.21,47300,67.21
2012-04-26,66.06,66.49,65.91,66.41,51200,66.41
2012-04-25,65.32,66.36,65.32,66.36,26500,66.36
2012-04-24,64.86,65.08,64.56,65.06,51800,65.06
2012-04-23,65.17,65.18,64.45,65.11,68400,65.11
2012-04-20,66.14,66.27,65.74,65.88,35900,65.88
2012-04-19,66.22,66.38,65.49,65.86,546900,65.86
2012-04-18,65.74,66.33,65.74,66.05,41000,66.05
2012-04-17,65.17,65.82,65.17,65.66,76200,65.66
2012-04-16,65.47,65.47,64.57,64.73,149400,64.73
2012-04-13,66.12,66.22,65.09,65.12,6100,65.12
2012-04-12,65.21,66.43,65.21,66.34,59100,66.34
2012-04-11,65.15,65.37,64.96,65.14,12100,65.14
2012-04-10,65.58,65.77,64.56,64.59,62900,64.59
2012-04-09,66.06,66.06,65.66,65.71,9700,65.71
2012-04-05,66.82,66.94,66.70,66.94,7100,66.94
2012-04-04,67.68,67.68,66.70,67.03,53000,67.03
2012-04-03,68.47,68.47,67.90,68.20,76900,68.20
2012-04-02,67.72,68.46,67.72,68.21,30300,68.21
2012-03-30,67.98,68.10,67.74,67.84,20900,67.84
2012-03-29,67.65,67.77,67.11,67.71,27600,67.71
2012-03-28,68.44,68.65,67.60,67.94,33500,67.94
2012-03-27,68.75,69.01,68.42,68.44,14400,68.44
2012-03-26,67.75,68.67,67.75,68.67,23200,68.67
2012-03-23,67.42,67.42,67.09,67.35,9800,67.31
2012-03-22,66.88,67.37,66.77,67.28,44700,67.24
2012-03-21,67.80,67.83,67.43,67.67,22900,67.63
2012-03-20,67.53,67.84,67.33,67.68,46200,67.64
2012-03-19,67.80,68.14,67.58,67.93,47100,67.89
2012-03-16,67.85,67.96,67.62,67.86,85100,67.82
2012-03-15,66.98,67.75,66.72,67.69,66000,67.65
2012-03-14,66.81,67.15,66.72,66.92,40100,66.88
2012-03-13,65.88,66.86,65.88,66.85,12600,66.81
2012-03-12,65.80,66.01,65.36,65.39,25800,65.36
2012-03-09,65.08,65.92,65.03,65.57,7500,65.53
2012-03-08,64.54,65.12,64.24,65.01,12200,64.98
2012-03-07,63.87,64.15,63.82,64.12,22800,64.09
2012-03-06,64.09,64.12,63.44,63.52,93100,63.49
2012-03-05,65.07,65.13,64.57,64.75,11100,64.72
2012-03-02,65.37,65.57,65.05,65.14,56900,65.11
2012-03-01,65.59,65.63,65.18,65.44,13000,65.41
2012-02-29,66.51,66.51,65.37,65.37,57700,65.34
2012-02-28,66.31,66.64,66.11,66.38,14600,66.34
2012-02-27,65.83,66.37,65.35,66.23,43800,66.19
2012-02-24,65.44,66.27,65.39,66.27,22800,66.23
2012-02-23,64.92,65.45,64.76,65.29,13000,65.26
2012-02-22,65.25,65.40,64.52,65.15,43100,65.12
2012-02-21,66.14,66.16,65.09,65.33,833700,65.30
2012-02-17,66.51,66.55,65.97,66.09,185800,66.05
2012-02-16,65.77,66.48,65.59,66.48,23800,66.44
2012-02-15,66.13,66.30,65.57,65.69,20200,65.65
2012-02-14,65.68,65.96,65.57,65.96,18000,65.92
2012-02-13,65.44,65.99,65.44,65.85,11100,65.81
2012-02-10,64.98,65.16,64.59,65.12,94800,65.09
2012-02-09,65.99,65.99,65.23,65.44,23500,65.41
2012-02-08,65.91,65.93,65.43,65.78,13800,65.74
2012-02-07,65.95,66.06,65.53,65.97,22900,65.93
2012-02-06,65.69,66.17,65.69,66.14,21200,66.10
2012-02-03,65.57,66.16,65.57,65.96,46000,65.92
2012-02-02,64.74,65.17,64.59,65.02,29800,64.99
2012-02-01,63.93,64.94,63.93,64.81,110900,64.78
2012-01-31,63.94,64.37,63.70,63.78,167800,63.75
2012-01-30,63.49,63.74,63.26,63.72,79500,63.69
2012-01-27,63.39,64.14,63.39,63.98,14000,63.95
2012-01-26,63.73,64.07,63.03,63.31,220600,63.28
2012-01-25,61.88,63.60,61.88,63.52,62700,63.49
2012-01-24,61.36,62.01,61.36,61.73,66000,61.70
2012-01-23,61.24,61.73,61.10,61.36,129500,61.33
2012-01-20,61.64,61.64,61.12,61.38,14300,61.35
2012-01-19,61.07,62.03,61.07,61.80,102700,61.77
2012-01-18,60.33,60.99,60.12,60.99,60600,60.96
2012-01-17,60.44,60.79,60.35,60.41,92900,60.38
2012-01-13,59.70,60.09,59.53,60.08,48500,60.05
2012-01-12,60.29,60.29,59.54,60.24,25000,60.21
2012-01-11,59.41,60.27,59.41,60.22,13300,60.19
2012-01-10,59.68,59.77,59.50,59.69,46500,59.66
2012-01-09,59.46,59.46,58.85,59.25,48700,59.22
2012-01-06,59.29,59.55,59.00,59.43,103000,59.40
2012-01-05,58.94,59.38,58.69,59.29,30600,59.26
2012-01-04,59.44,59.45,58.94,59.06,12700,59.03
2012-01-03,59.71,60.11,59.68,59.74,87200,59.71
2011-12-30,58.65,59.12,58.65,58.76,41600,58.73
2011-12-29,58.03,58.85,58.03,58.81,14000,58.78
2011-12-28,58.71,58.76,57.97,58.00,25200,57.97
