Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,17.21,17.31,16.88,17.05,141900,17.05
2012-05-03,17.39,17.56,17.22,17.32,132100,17.32
2012-05-02,17.12,17.60,16.91,17.47,108000,17.47
2012-05-01,17.24,17.74,17.24,17.31,180000,17.31
2012-04-30,17.24,17.35,17.09,17.28,175100,17.28
2012-04-27,17.53,17.62,17.22,17.28,189000,17.28
2012-04-26,17.14,17.60,17.10,17.53,129500,17.53
2012-04-25,17.00,17.35,16.97,17.18,213600,17.18
2012-04-24,16.36,16.79,16.32,16.74,138500,16.74
2012-04-23,16.57,16.57,16.24,16.38,114200,16.38
2012-04-20,17.11,17.11,16.79,16.88,158800,16.88
2012-04-19,16.88,17.07,16.60,16.74,142100,16.74
2012-04-18,17.21,17.26,16.87,16.93,211500,16.93
2012-04-17,17.09,17.50,16.99,17.26,325000,17.26
2012-04-16,17.02,17.21,16.55,16.94,94900,16.94
2012-04-13,17.44,17.44,16.88,16.95,125400,16.95
2012-04-12,17.62,17.72,17.46,17.56,84200,17.56
2012-04-11,17.34,17.62,17.32,17.60,178200,17.60
2012-04-10,17.37,17.37,17.08,17.16,317800,17.16
2012-04-09,17.24,17.46,17.02,17.38,270300,17.38
2012-04-05,17.37,17.90,17.37,17.61,581400,17.61
2012-04-04,17.39,17.52,17.22,17.50,155400,17.50
2012-04-03,17.73,17.88,17.44,17.53,138200,17.53
2012-04-02,17.32,17.76,17.32,17.74,298500,17.74
2012-03-30,17.64,17.70,17.29,17.40,379800,17.40
2012-03-29,17.04,17.50,17.04,17.44,78800,17.44
2012-03-28,17.10,17.31,16.98,17.30,386700,17.20
2012-03-27,17.11,17.43,17.00,17.12,376800,17.02
2012-03-26,17.13,17.31,17.00,17.08,247800,16.98
2012-03-23,16.90,17.09,16.67,16.97,89600,16.87
2012-03-22,16.75,16.96,16.64,16.92,97400,16.82
2012-03-21,16.87,17.08,16.79,16.99,96200,16.89
2012-03-20,16.83,16.99,16.64,16.86,113400,16.76
2012-03-19,16.84,17.33,16.76,16.99,174600,16.89
2012-03-16,16.99,17.01,16.79,16.90,273400,16.80
2012-03-15,16.49,16.97,16.29,16.95,134400,16.85
2012-03-14,16.26,16.47,16.02,16.42,83000,16.33
2012-03-13,16.13,16.28,15.95,16.27,140700,16.18
2012-03-12,15.57,16.64,15.57,16.02,278600,15.93
2012-03-09,13.46,15.71,13.46,15.51,1001400,15.42
2012-03-08,13.45,13.47,13.26,13.38,122700,13.30
2012-03-07,13.34,13.48,13.27,13.32,120000,13.24
2012-03-06,13.28,13.32,13.02,13.27,279200,13.19
2012-03-05,13.21,13.41,13.21,13.36,171600,13.28
2012-03-02,13.28,13.38,13.19,13.28,233200,13.20
2012-03-01,13.53,13.65,13.25,13.27,137600,13.19
2012-02-29,13.64,13.72,13.44,13.49,179800,13.41
2012-02-28,13.58,13.79,13.48,13.57,154700,13.49
2012-02-27,13.60,13.69,13.29,13.59,164100,13.51
2012-02-24,13.51,13.82,13.50,13.76,78100,13.68
2012-02-23,13.26,13.68,13.23,13.53,127100,13.45
2012-02-22,13.44,13.56,13.19,13.22,81400,13.14
2012-02-21,13.65,13.74,13.46,13.50,119200,13.42
2012-02-17,13.35,13.75,13.10,13.64,288500,13.56
2012-02-16,12.81,13.27,12.69,13.27,267700,13.19
2012-02-15,13.29,13.29,12.67,12.81,441000,12.74
2012-02-14,13.38,13.38,13.01,13.22,84700,13.14
2012-02-13,13.55,13.63,13.37,13.42,221200,13.34
2012-02-10,13.46,13.61,13.27,13.46,73000,13.38
2012-02-09,13.90,13.90,13.60,13.61,70100,13.53
2012-02-08,13.92,14.02,13.64,13.83,189900,13.75
2012-02-07,14.14,14.15,13.75,13.88,157600,13.80
2012-02-06,14.05,14.30,14.03,14.20,60700,14.12
2012-02-03,14.26,14.39,14.12,14.15,155600,14.07
2012-02-02,13.76,14.18,13.56,14.00,154400,13.92
2012-02-01,13.61,13.80,13.57,13.77,179800,13.69
2012-01-31,13.90,13.90,13.57,13.60,93200,13.52
2012-01-30,14.16,14.17,13.78,13.78,72900,13.70
2012-01-27,13.73,14.30,13.73,14.27,140200,14.19
2012-01-26,13.94,14.02,13.69,13.82,94200,13.74
2012-01-25,13.58,14.00,13.46,13.86,106100,13.78
2012-01-24,13.54,13.79,13.42,13.60,76000,13.52
2012-01-23,13.65,13.76,13.45,13.62,26800,13.54
2012-01-20,13.66,13.89,13.66,13.70,73100,13.62
2012-01-19,13.56,13.77,13.53,13.72,84500,13.64
2012-01-18,13.34,13.64,13.25,13.50,91500,13.42
2012-01-17,13.85,13.94,13.31,13.38,186500,13.30
2012-01-13,13.78,13.96,13.72,13.77,45000,13.69
2012-01-12,13.97,14.04,13.72,13.97,86600,13.89
2012-01-11,13.87,13.95,13.81,13.92,408700,13.84
2012-01-10,13.77,13.97,13.75,13.95,91700,13.87
2012-01-09,13.53,13.84,13.37,13.55,142100,13.47
2012-01-06,13.56,13.56,13.37,13.50,140300,13.42
2012-01-05,13.40,13.57,13.15,13.56,53600,13.48
2012-01-04,13.65,13.70,13.49,13.50,96600,13.42
2012-01-03,13.93,14.02,13.71,13.77,176600,13.69
2011-12-30,13.86,13.99,13.57,13.61,168900,13.53
2011-12-29,13.58,13.92,13.52,13.88,97400,13.80
2011-12-28,13.61,13.63,13.40,13.48,86100,13.40
2011-12-27,13.32,13.73,13.22,13.60,59200,13.52
2011-12-23,13.49,13.53,13.28,13.35,77500,13.27
2011-12-22,13.49,13.59,13.33,13.43,72500,13.35
2011-12-21,13.31,13.53,13.10,13.45,79200,13.37
2011-12-20,12.81,13.37,12.76,13.26,161400,13.18
2011-12-19,12.97,13.18,12.45,12.54,208100,12.47
2011-12-16,13.24,13.48,12.80,12.85,461600,12.78
2011-12-15,13.10,13.22,12.61,13.12,102300,13.04
2011-12-14,13.30,13.35,12.91,12.91,152900,12.84
2011-12-13,13.99,14.03,13.37,13.45,167800,13.37
2011-12-12,13.74,13.91,13.51,13.89,121600,13.81
2011-12-09,13.38,14.00,13.31,13.96,119500,13.88
2011-12-08,13.72,13.72,13.28,13.31,136500,13.23
2011-12-07,13.77,13.89,13.47,13.83,78600,13.75
2011-12-06,14.01,14.04,13.69,13.87,101400,13.79
2011-12-05,14.09,14.09,13.71,14.01,189800,13.93
2011-12-02,13.93,14.00,13.57,13.79,104000,13.71
2011-12-01,13.95,14.05,13.68,13.70,171500,13.62
2011-11-30,14.12,14.36,13.89,14.01,486600,13.93
2011-11-29,13.34,13.65,13.28,13.61,264900,13.53
2011-11-28,12.81,13.44,12.81,13.37,169800,13.29
2011-11-25,12.47,12.56,12.31,12.35,70000,12.28
2011-11-23,12.61,12.66,12.42,12.54,157200,12.47
2011-11-22,12.84,12.96,12.73,12.73,85100,12.66
2011-11-21,12.88,13.00,12.78,12.84,116700,12.77
2011-11-18,13.01,13.18,12.88,13.11,102500,13.03
2011-11-17,13.38,13.38,12.92,13.00,136000,12.92
2011-11-16,13.73,13.84,13.39,13.44,99200,13.36
2011-11-15,13.61,14.06,13.31,13.93,128700,13.85
2011-11-14,14.26,14.32,13.62,13.73,200300,13.65
2011-11-11,14.34,14.51,14.22,14.37,120600,14.29
2011-11-10,14.13,14.34,13.84,14.22,117900,14.14
2011-11-09,14.20,14.52,13.87,13.89,172000,13.81
2011-11-08,14.81,14.99,14.28,14.65,177100,14.57
2011-11-07,14.60,14.92,14.41,14.75,154400,14.66
2011-11-04,13.64,14.70,13.20,14.64,231100,14.56
2011-11-03,13.37,13.73,13.02,13.57,144600,13.49
2011-11-02,13.02,13.22,12.90,13.20,161700,13.12
2011-11-01,13.24,13.41,12.48,12.76,187200,12.69
2011-10-31,13.90,14.08,13.74,13.81,137500,13.73
2011-10-28,14.37,14.66,14.08,14.14,134000,14.06
2011-10-27,14.17,14.62,13.88,14.41,323700,14.33
2011-10-26,13.79,13.79,13.31,13.70,103700,13.62
2011-10-25,13.90,13.98,13.48,13.57,117200,13.49
2011-10-24,13.44,14.03,13.44,14.00,137100,13.92
2011-10-21,13.46,13.51,13.20,13.39,143200,13.31
2011-10-20,13.27,13.27,12.75,13.22,59100,13.14
2011-10-19,13.41,13.54,13.08,13.26,120900,13.18
2011-10-18,13.27,13.64,13.03,13.46,262100,13.38
2011-10-17,13.67,13.74,13.16,13.25,136900,13.17
2011-10-14,13.74,13.83,13.48,13.82,178700,13.74
2011-10-13,13.61,13.70,13.50,13.62,168900,13.54
2011-10-12,13.98,13.98,13.63,13.70,231800,13.62
2011-10-11,13.91,14.00,13.73,13.90,274200,13.82
2011-10-10,13.51,14.04,13.51,14.01,269400,13.93
2011-10-07,13.61,13.61,12.95,13.25,124900,13.17
2011-10-06,13.51,13.61,13.29,13.56,117000,13.48
