Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,5.80,5.82,5.60,5.69,691400,5.69
2012-05-03,6.00,6.06,5.85,5.90,650000,5.90
2012-05-02,6.05,6.11,5.91,5.97,670700,5.97
2012-05-01,6.17,6.29,6.12,6.22,612100,6.22
2012-04-30,6.16,6.24,6.07,6.17,451900,6.17
2012-04-27,6.20,6.29,6.11,6.15,806500,6.15
2012-04-26,6.03,6.18,6.00,6.15,731400,6.15
2012-04-25,6.29,6.32,6.01,6.17,781900,6.17
2012-04-24,6.05,6.22,5.98,6.21,647900,6.21
2012-04-23,5.89,6.13,5.76,6.02,735300,6.02
2012-04-20,6.20,6.28,5.98,5.99,809100,5.99
2012-04-19,6.17,6.25,6.07,6.23,910100,6.23
2012-04-18,6.24,6.26,6.10,6.20,651000,6.20
2012-04-17,6.14,6.37,6.12,6.21,1020700,6.21
2012-04-16,6.22,6.22,6.01,6.05,583300,6.05
2012-04-13,6.21,6.39,6.00,6.03,1346400,6.03
2012-04-12,5.70,6.12,5.61,6.10,2418100,6.10
2012-04-11,5.66,5.66,5.47,5.52,1335000,5.52
2012-04-10,5.66,5.70,5.32,5.37,1389200,5.37
2012-04-09,5.71,5.78,5.48,5.52,1544900,5.52
2012-04-05,5.85,5.89,5.64,5.72,1836300,5.72
2012-04-04,6.07,6.13,5.93,6.00,2195200,6.00
2012-04-03,6.55,6.58,6.25,6.29,1830600,6.29
2012-04-02,6.52,6.74,6.44,6.57,1226400,6.57
2012-03-30,6.85,6.87,6.73,6.77,744700,6.77
2012-03-29,6.77,6.88,6.70,6.86,673500,6.86
2012-03-28,6.94,6.96,6.77,6.89,900300,6.89
2012-03-27,7.04,7.09,6.91,6.99,1221000,6.99
2012-03-26,7.13,7.19,7.01,7.17,1449100,7.17
2012-03-23,6.75,7.13,6.66,6.99,1951000,6.99
2012-03-22,6.98,6.99,6.63,6.68,3213000,6.68
2012-03-21,7.39,7.50,7.31,7.39,1228900,7.39
2012-03-20,7.47,7.58,7.37,7.48,1478300,7.48
2012-03-19,7.58,7.74,7.47,7.69,2695900,7.69
2012-03-16,7.30,7.82,7.26,7.76,2802600,7.76
2012-03-15,7.10,7.42,7.09,7.30,1794300,7.30
2012-03-14,7.18,7.19,6.97,7.04,1259800,7.04
2012-03-13,6.98,7.19,6.92,7.15,1444200,7.15
2012-03-12,6.99,7.13,6.92,7.04,997600,7.04
2012-03-09,7.27,7.30,7.05,7.12,1816900,7.12
2012-03-08,7.05,7.53,7.03,7.42,2487200,7.42
2012-03-07,6.76,6.97,6.73,6.92,1181900,6.92
2012-03-06,6.75,6.85,6.53,6.57,2155400,6.57
2012-03-05,7.22,7.22,6.95,7.18,1384900,7.18
2012-03-02,7.32,7.35,7.16,7.20,916200,7.20
2012-03-01,7.37,7.45,7.32,7.37,772200,7.37
2012-02-29,7.56,7.56,7.23,7.27,1140500,7.27
2012-02-28,7.63,7.68,7.36,7.40,1443700,7.40
2012-02-27,7.22,7.63,7.13,7.52,1775900,7.52
2012-02-24,7.30,7.42,7.23,7.28,757300,7.28
2012-02-23,7.37,7.43,7.16,7.39,1300400,7.39
2012-02-22,7.71,7.79,7.32,7.38,1620600,7.38
2012-02-21,7.87,7.99,7.78,7.80,2090000,7.80
2012-02-17,7.42,7.77,7.29,7.56,2705300,7.56
2012-02-16,6.43,7.09,6.37,7.02,2618800,7.02
2012-02-15,6.96,6.97,6.67,6.73,2064600,6.73
2012-02-14,7.16,7.16,6.85,6.93,2285800,6.93
2012-02-13,7.54,7.61,7.28,7.38,1547200,7.38
2012-02-10,7.60,7.66,7.28,7.35,2002700,7.35
2012-02-09,7.96,8.02,7.67,7.76,1890100,7.76
2012-02-08,7.78,7.86,7.60,7.78,1940300,7.78
2012-02-07,7.58,8.10,7.50,7.81,2450900,7.81
2012-02-06,7.46,7.77,7.33,7.71,2670100,7.71
2012-02-03,7.72,8.15,7.59,7.88,5665500,7.88
2012-02-02,6.89,7.56,6.89,7.44,4084100,7.44
2012-02-01,6.49,6.84,6.41,6.80,2960700,6.80
2012-01-31,6.13,6.33,5.98,6.27,1645800,6.27
2012-01-30,6.03,6.07,5.90,6.01,1026300,6.01
2012-01-27,6.17,6.20,6.08,6.18,1090000,6.18
2012-01-26,6.59,6.59,6.18,6.25,2102400,6.25
2012-01-25,5.96,6.16,5.90,6.13,1030800,6.13
2012-01-24,6.00,6.10,5.85,6.06,1501400,6.06
2012-01-23,5.78,6.27,5.77,6.19,2359900,6.19
2012-01-20,5.56,5.80,5.50,5.71,1829600,5.71
2012-01-19,5.28,5.75,5.22,5.60,2418400,5.60
2012-01-18,4.79,4.94,4.79,4.93,481800,4.93
2012-01-17,4.93,4.95,4.78,4.85,1008300,4.85
2012-01-13,4.69,5.09,4.56,5.05,1741600,5.05
2012-01-12,4.62,4.90,4.51,4.88,1396800,4.88
2012-01-11,4.39,4.46,4.36,4.46,408000,4.46
2012-01-10,4.51,4.53,4.40,4.43,398400,4.43
2012-01-09,4.38,4.48,4.35,4.46,356900,4.46
2012-01-06,4.38,4.39,4.30,4.34,277400,4.34
2012-01-05,4.29,4.44,4.29,4.42,324900,4.42
2012-01-04,4.34,4.45,4.31,4.44,191400,4.44
2012-01-03,4.49,4.49,4.36,4.39,317500,4.39
2011-12-30,4.30,4.33,4.23,4.24,386600,4.24
2011-12-29,4.25,4.34,4.25,4.34,358600,4.34
2011-12-28,4.40,4.42,4.25,4.26,295200,4.26
2011-12-27,4.38,4.45,4.31,4.42,305000,4.42
2011-12-23,4.47,4.50,4.40,4.48,228400,4.48
2011-12-22,4.47,4.54,4.41,4.48,391800,4.48
2011-12-21,4.41,4.45,4.31,4.45,396800,4.45
2011-12-20,4.20,4.34,4.16,4.33,466200,4.33
2011-12-19,4.17,4.17,3.99,4.00,457300,4.00
2011-12-16,4.23,4.23,4.10,4.16,437200,4.16
2011-12-15,4.37,4.43,4.22,4.27,212100,4.27
2011-12-14,4.43,4.45,4.28,4.30,447700,4.30
2011-12-13,4.60,4.75,4.35,4.45,690700,4.45
2011-12-12,4.77,4.81,4.69,4.70,306800,4.70
2011-12-09,4.90,5.01,4.87,4.93,383400,4.93
2011-12-08,5.01,5.05,4.79,4.85,495400,4.85
2011-12-07,4.94,5.07,4.83,5.02,566300,5.02
2011-12-06,4.82,4.97,4.76,4.91,383200,4.91
2011-12-05,5.04,5.06,4.90,4.93,958300,4.93
2011-12-02,4.75,4.92,4.75,4.83,876600,4.83
2011-12-01,4.68,4.68,4.51,4.54,938700,4.54
2011-11-30,4.95,4.97,4.83,4.96,1189000,4.96
2011-11-29,4.46,4.63,4.46,4.53,527500,4.53
2011-11-28,4.53,4.58,4.35,4.41,920300,4.41
2011-11-25,4.04,4.17,3.99,4.00,374900,4.00
2011-11-23,4.12,4.16,4.00,4.03,531800,4.03
2011-11-22,4.34,4.38,4.14,4.19,554400,4.19
2011-11-21,4.38,4.42,4.26,4.32,569600,4.32
2011-11-18,4.47,4.54,4.40,4.46,617100,4.46
2011-11-17,4.58,4.58,4.37,4.39,1131100,4.39
2011-11-16,4.62,4.70,4.53,4.58,897400,4.58
2011-11-15,4.73,4.75,4.63,4.66,576900,4.66
2011-11-14,4.87,4.88,4.77,4.80,477600,4.80
2011-11-11,4.96,5.04,4.85,4.90,628800,4.90
2011-11-10,4.96,4.96,4.72,4.75,758100,4.75
2011-11-09,5.00,5.07,4.86,4.87,995200,4.87
2011-11-08,5.28,5.28,5.05,5.24,949300,5.24
2011-11-07,5.25,5.30,5.18,5.28,449300,5.28
2011-11-04,5.30,5.39,5.21,5.36,549200,5.36
2011-11-03,5.32,5.35,5.07,5.33,775000,5.33
2011-11-02,5.35,5.40,5.18,5.25,893900,5.25
2011-11-01,5.06,5.40,5.06,5.26,2002900,5.26
2011-10-31,6.04,6.06,5.87,5.93,896500,5.93
2011-10-28,6.24,6.34,6.11,6.24,960100,6.24
2011-10-27,6.31,6.42,6.10,6.40,2115600,6.40
2011-10-26,5.83,5.86,5.61,5.81,755000,5.81
2011-10-25,5.98,5.98,5.71,5.77,1458400,5.77
2011-10-24,5.73,6.13,5.62,6.06,1938100,6.06
2011-10-21,5.66,5.85,5.63,5.70,1191600,5.70
2011-10-20,5.61,5.66,5.48,5.54,1057400,5.54
2011-10-19,6.44,6.49,5.65,5.69,3977300,5.69
2011-10-18,6.70,6.70,6.28,6.59,1435200,6.59
2011-10-17,7.00,7.10,5.89,6.88,2843600,6.88
2011-10-14,0.83,0.83,0.80,0.83,27600,8.30
2011-10-13,0.85,0.85,0.75,0.80,535900,8.00
2011-10-12,0.85,0.86,0.80,0.83,587000,8.30
2011-10-11,0.90,0.90,0.80,0.82,928800,8.20
2011-10-10,0.94,0.96,0.87,0.90,447800,9.00
2011-10-07,0.97,1.00,0.90,0.91,544700,9.10
2011-10-06,1.02,1.02,0.93,1.02,231300,10.20
2011-10-05,1.00,1.02,0.97,0.99,146900,9.90
2011-10-04,0.92,0.97,0.88,0.97,300000,9.70
2011-10-03,1.00,1.02,0.94,0.95,221200,9.50
2011-09-30,1.08,1.08,1.02,1.03,119600,10.30
2011-09-29,1.12,1.12,1.06,1.08,150700,10.80
2011-09-28,1.08,1.09,1.05,1.05,120600,10.50
2011-09-27,1.09,1.12,1.07,1.10,268000,11.00
2011-09-26,1.04,1.07,1.03,1.07,246900,10.70
2011-09-23,0.94,1.04,0.94,1.04,194400,10.40
2011-09-22,0.99,0.99,0.93,0.97,325100,9.70
2011-09-21,1.05,1.05,1.00,1.01,258800,10.10
2011-09-20,1.05,1.05,1.03,1.04,201300,10.40
2011-09-19,1.06,1.06,1.01,1.06,291300,10.60
2011-09-16,1.16,1.17,1.05,1.05,230200,10.50
2011-09-15,1.15,1.16,1.12,1.14,289200,11.40
2011-09-14,1.12,1.14,1.09,1.10,182900,11.00
2011-09-13,1.08,1.11,1.06,1.09,199000,10.90
2011-09-12,1.10,1.12,1.08,1.08,172400,10.80
2011-09-09,1.12,1.14,1.10,1.14,202500,11.40
2011-09-08,1.18,1.19,1.14,1.16,192000,11.60
2011-09-07,1.19,1.21,1.16,1.20,229700,12.00
2011-09-06,1.10,1.12,1.06,1.10,244500,11.00
2011-09-02,1.21,1.21,1.17,1.18,234800,11.80
2011-09-01,1.24,1.25,1.21,1.21,150400,12.10
2011-08-31,1.26,1.26,1.23,1.24,174300,12.40
2011-08-30,1.24,1.26,1.23,1.24,203300,12.40
2011-08-29,1.27,1.28,1.22,1.26,280200,12.60
2011-08-26,1.22,1.24,1.20,1.22,188500,12.20
2011-08-25,1.27,1.28,1.21,1.23,255700,12.30
2011-08-24,1.27,1.28,1.23,1.26,229500,12.60
2011-08-23,1.22,1.27,1.20,1.27,344700,12.70
2011-08-22,1.29,1.30,1.22,1.22,302500,12.20
2011-08-19,1.23,1.29,1.21,1.25,325300,12.50
2011-08-18,1.31,1.31,1.22,1.23,519200,12.30
2011-08-17,1.27,1.35,1.26,1.32,789900,13.15
2011-08-16,1.26,1.26,1.22,1.22,205000,12.15
2011-08-15,1.22,1.29,1.22,1.26,371100,12.55
2011-08-12,1.28,1.28,1.22,1.22,281300,12.15
2011-08-11,1.24,1.25,1.21,1.22,343500,12.15
2011-08-10,1.27,1.27,1.16,1.19,438600,11.85
2011-08-09,1.18,1.30,1.13,1.27,701900,12.65
2011-08-08,1.17,1.18,1.07,1.13,854200,11.26
2011-08-05,1.27,1.30,1.10,1.23,679000,12.25
2011-08-04,1.30,1.32,1.18,1.19,864200,11.85
2011-08-03,1.32,1.38,1.29,1.32,457700,13.15
2011-08-02,1.40,1.42,1.31,1.33,492700,13.25
2011-08-01,1.57,1.57,1.35,1.43,681800,14.25
2011-07-29,1.43,1.45,1.38,1.44,858000,14.35
2011-07-28,1.57,1.59,1.46,1.52,1331400,15.14
2011-07-27,1.40,1.45,1.32,1.34,790800,13.35
2011-07-26,1.48,1.65,1.39,1.44,1849800,14.35
2011-07-25,1.32,1.62,1.26,1.54,3302200,15.34
2011-07-22,1.19,1.30,1.15,1.16,896600,11.56
2011-07-21,1.08,1.23,1.07,1.19,994100,11.85
2011-07-20,1.10,1.11,1.00,1.04,308700,10.36
2011-07-19,1.04,1.08,0.97,1.06,910400,10.56
2011-07-18,1.09,1.14,1.06,1.08,890700,10.76
2011-07-15,0.88,1.42,0.88,1.24,2393000,12.35
2011-07-14,0.96,0.96,0.85,0.87,609000,8.67
2011-07-13,1.00,1.02,0.93,0.93,736900,9.26
2011-07-12,1.04,1.04,1.00,1.01,231200,10.06
2011-07-11,1.01,1.07,1.00,1.05,375400,10.46
2011-07-08,1.06,1.08,1.05,1.06,210600,10.56
2011-07-07,1.06,1.07,1.05,1.05,226900,10.46
2011-07-06,1.05,1.08,1.05,1.06,167100,10.56
