Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,43.83,44.01,43.34,43.76,404200,43.76
2012-05-03,44.65,44.65,42.55,43.65,1486300,43.65
2012-05-02,44.17,44.97,44.01,44.92,955600,44.92
2012-05-01,43.76,44.72,43.47,44.49,650700,44.49
2012-04-30,43.37,43.92,43.31,43.80,401400,43.80
2012-04-27,43.45,43.66,43.10,43.46,425500,43.46
2012-04-26,42.85,43.66,42.78,43.29,307400,43.29
2012-04-25,42.29,43.07,42.20,42.94,370900,42.94
2012-04-24,42.30,42.44,41.81,41.91,387100,41.91
2012-04-23,42.79,42.79,41.94,42.31,376600,42.31
2012-04-20,42.94,43.58,42.87,43.16,198400,43.16
2012-04-19,43.04,43.35,42.59,42.86,296900,42.86
2012-04-18,42.86,43.25,42.74,43.07,361600,43.07
2012-04-17,42.52,43.34,42.44,43.09,221300,43.09
2012-04-16,42.43,42.65,42.01,42.21,234500,42.21
2012-04-13,42.25,42.68,42.15,42.27,352300,42.27
2012-04-12,42.29,42.66,42.11,42.46,271900,42.46
2012-04-11,42.11,42.44,41.91,42.22,262200,42.22
2012-04-10,42.44,42.49,41.72,41.77,334200,41.77
2012-04-09,42.43,42.71,42.20,42.58,451600,42.58
2012-04-05,43.20,43.41,43.00,43.12,346200,43.12
2012-04-04,42.92,43.58,42.87,43.46,751200,43.46
2012-04-03,43.10,43.34,42.97,43.34,543800,43.34
2012-04-02,42.93,43.41,42.72,43.09,437700,43.09
2012-03-30,42.98,43.06,42.61,42.64,567300,42.64
2012-03-29,42.73,42.96,42.42,42.70,629700,42.70
2012-03-28,42.90,43.16,42.79,43.15,598700,43.15
2012-03-27,43.19,43.19,42.28,43.00,650900,43.00
2012-03-26,42.42,43.17,42.42,43.10,450500,43.10
2012-03-23,41.92,42.28,41.91,42.28,436400,42.28
2012-03-22,41.79,42.07,41.72,42.03,432900,42.03
2012-03-21,41.91,42.39,41.85,42.18,328100,42.18
2012-03-20,42.05,42.20,41.76,42.05,302800,42.05
2012-03-19,41.87,42.57,41.84,42.40,415900,42.40
2012-03-16,42.27,42.65,41.93,42.13,629300,42.13
2012-03-15,41.86,42.00,41.51,41.96,310600,41.96
2012-03-14,41.94,42.04,41.46,41.84,442400,41.84
2012-03-13,41.23,42.14,41.14,42.14,524100,42.14
2012-03-12,40.84,41.20,40.74,41.16,390600,41.16
2012-03-09,40.38,41.06,40.28,40.88,622900,40.88
2012-03-08,39.96,40.70,39.73,40.48,435100,40.48
2012-03-07,39.27,39.90,39.14,39.81,354500,39.81
2012-03-06,39.43,39.65,39.10,39.21,352100,39.21
2012-03-05,39.33,39.91,39.25,39.75,316000,39.75
2012-03-02,39.91,40.17,38.97,39.33,574700,39.33
2012-03-01,40.27,40.50,39.81,39.89,797100,39.89
2012-02-29,39.96,40.46,39.73,40.26,668400,40.26
2012-02-28,40.01,40.13,39.66,39.84,464000,39.84
2012-02-27,40.04,40.50,39.71,40.10,440800,40.10
2012-02-24,40.03,40.48,39.81,40.35,560900,40.35
2012-02-23,39.24,40.16,38.99,40.11,554100,40.11
2012-02-22,38.70,39.64,37.82,39.16,458200,39.16
2012-02-21,38.63,38.86,38.53,38.70,243400,38.70
2012-02-17,38.63,39.71,38.60,38.82,438900,38.82
2012-02-16,38.03,38.66,37.90,38.23,312600,38.23
2012-02-15,37.84,38.10,37.71,38.03,409000,38.03
2012-02-14,37.69,38.00,37.57,37.75,292700,37.75
2012-02-13,37.87,38.00,37.61,37.92,275200,37.92
2012-02-10,37.52,37.81,37.44,37.57,468600,37.57
2012-02-09,37.67,37.92,37.46,37.81,452300,37.81
2012-02-08,37.67,37.91,37.35,37.70,580600,37.70
