Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,109.09,109.10,107.75,107.98,501300,107.98
2012-05-03,110.78,110.94,109.42,109.64,370300,109.64
2012-05-02,110.29,111.10,110.08,110.87,279500,110.87
2012-05-01,110.26,111.85,110.12,110.97,432700,110.97
2012-04-30,110.76,110.86,110.02,110.30,437400,110.30
2012-04-27,110.74,111.11,110.00,110.86,322700,110.86
2012-04-26,109.30,110.61,109.21,110.41,191000,110.41
2012-04-25,109.08,109.50,108.68,109.46,352200,109.46
2012-04-24,107.86,108.23,107.42,107.84,207500,107.84
2012-04-23,107.39,107.75,106.73,107.68,312600,107.68
2012-04-20,109.15,109.43,108.73,108.73,299600,108.73
2012-04-19,109.03,109.88,108.16,108.74,414300,108.74
2012-04-18,108.78,109.33,108.62,108.99,865500,108.99
2012-04-17,108.66,109.70,108.49,109.37,285600,109.37
2012-04-16,108.57,108.73,107.30,107.82,386200,107.82
2012-04-13,108.71,108.87,107.89,107.90,240900,107.90
2012-04-12,107.42,109.17,107.42,109.11,332400,109.11
2012-04-11,107.18,107.66,107.10,107.33,345600,107.33
2012-04-10,108.29,108.50,106.06,106.18,287900,106.18
2012-04-09,108.24,108.76,108.00,108.48,227700,108.48
2012-04-05,109.80,110.34,109.66,109.87,159100,109.87
2012-04-04,110.32,110.60,109.69,110.07,495700,110.07
2012-04-03,111.37,111.79,110.65,111.41,403000,111.41
2012-04-02,110.52,112.01,110.36,111.59,366000,111.59
2012-03-30,111.13,111.17,110.12,110.72,328500,110.72
2012-03-29,109.84,110.59,109.32,110.45,237700,110.45
2012-03-28,111.29,111.33,109.75,110.53,278500,110.53
2012-03-27,111.57,111.83,111.23,111.24,349900,111.24
2012-03-26,110.94,111.61,110.92,111.58,509100,111.58
2012-03-23,109.72,110.25,108.88,110.16,329400,110.16
2012-03-22,110.02,110.39,109.42,110.01,360000,109.65
2012-03-21,111.13,111.33,110.64,110.96,815000,110.60
2012-03-20,110.96,111.11,110.40,110.98,299800,110.62
2012-03-19,111.10,112.08,111.09,111.67,412100,111.30
2012-03-16,111.32,111.54,111.12,111.37,381200,111.01
2012-03-15,110.58,111.39,110.25,111.36,874700,111.00
2012-03-14,110.91,111.26,110.22,110.52,378400,110.16
2012-03-13,109.80,111.09,109.47,111.09,459800,110.73
2012-03-12,109.26,109.58,108.79,109.07,246500,108.71
2012-03-09,108.67,109.60,108.53,109.33,248600,108.97
2012-03-08,108.11,108.71,107.59,108.53,381000,108.17
2012-03-07,106.57,107.45,106.50,107.30,149400,106.95
2012-03-06,107.01,107.14,106.09,106.41,895200,106.06
2012-03-05,108.64,108.71,107.84,108.23,694300,107.88
2012-03-02,109.29,109.68,108.59,108.88,251700,108.52
2012-03-01,109.02,109.73,108.94,109.46,311000,109.10
2012-02-29,109.39,109.75,108.52,108.62,461300,108.26
2012-02-28,109.37,109.69,108.84,109.32,357100,108.96
2012-02-27,108.56,109.69,108.14,109.42,267300,109.06
2012-02-24,109.36,109.73,109.13,109.34,226600,108.98
2012-02-23,108.55,109.25,108.03,109.18,218500,108.82
2012-02-22,108.70,109.13,108.26,108.46,303000,108.11
2012-02-21,109.60,109.64,108.50,108.82,344500,108.46
2012-02-17,109.75,109.75,109.09,109.26,172200,108.90
2012-02-16,107.87,109.29,107.78,109.18,321600,108.82
2012-02-15,108.62,108.76,107.55,107.83,525100,107.48
2012-02-14,107.65,108.16,107.42,108.09,171200,107.74
2012-02-13,108.38,108.49,107.51,108.26,254800,107.91
2012-02-10,107.21,107.57,106.85,107.36,258300,107.01
2012-02-09,108.36,108.42,107.40,108.33,421400,107.98
2012-02-08,107.94,108.36,107.37,108.03,209700,107.68
2012-02-07,107.35,107.95,106.86,107.72,195800,107.37
2012-02-06,107.22,107.64,107.06,107.59,229900,107.24
2012-02-03,107.41,107.79,107.08,107.76,227900,107.41
2012-02-02,105.95,106.40,105.70,106.07,333900,105.72
2012-02-01,105.15,106.17,105.14,105.83,405800,105.48
2012-01-31,105.19,105.19,103.91,104.33,298600,103.99
2012-01-30,104.09,104.65,103.53,104.45,320100,104.11
2012-01-27,104.34,105.32,104.27,105.05,208000,104.71
2012-01-26,106.24,106.24,104.36,104.73,175400,104.39
2012-01-25,104.06,105.60,103.67,105.39,250200,105.05
2012-01-24,103.33,104.23,103.06,104.19,793700,103.85
2012-01-23,103.79,104.55,103.31,103.92,291500,103.58
2012-01-20,104.01,104.01,103.45,103.74,190400,103.40
2012-01-19,103.71,104.33,103.45,104.09,222900,103.75
2012-01-18,101.90,103.33,101.65,103.31,304100,102.97
2012-01-17,102.50,102.72,101.59,101.86,276000,101.53
2012-01-13,101.26,101.58,100.65,101.54,217200,101.21
2012-01-12,101.93,102.17,101.09,102.07,189800,101.74
2012-01-11,101.23,101.79,101.06,101.69,170100,101.36
2012-01-10,101.37,101.66,101.19,101.52,283600,101.19
2012-01-09,100.23,100.45,99.60,100.23,274400,99.90
2012-01-06,100.02,100.39,99.52,99.87,290700,99.54
2012-01-05,98.90,100.18,98.23,100.04,324600,99.71
2012-01-04,99.04,99.58,98.72,99.31,507200,98.99
2012-01-03,100.47,100.72,99.32,99.56,411300,99.23
2011-12-30,98.77,99.01,98.37,98.42,558100,98.10
2011-12-29,98.11,98.88,97.87,98.75,242600,98.43
2011-12-28,99.12,99.31,97.64,97.73,314600,97.41
2011-12-27,98.81,99.47,98.64,99.17,265900,98.85
2011-12-23,98.67,99.02,98.32,99.01,220000,98.69
2011-12-22,97.66,98.52,97.53,98.42,476000,98.10
2011-12-21,97.33,97.99,96.53,97.87,734600,97.04
2011-12-20,96.30,97.71,96.16,97.63,501200,96.81
2011-12-19,96.34,96.59,94.26,94.42,618900,93.62
2011-12-16,95.88,96.93,95.47,95.86,607800,95.05
2011-12-15,96.04,96.10,94.94,95.31,430500,94.51
2011-12-14,95.25,95.75,94.51,94.79,512600,93.99
2011-12-13,98.40,98.47,95.52,96.06,442300,95.25
2011-12-12,98.10,98.11,96.67,97.55,652200,96.73
2011-12-09,97.70,99.30,97.55,99.05,409900,98.21
2011-12-08,98.90,99.14,97.02,97.19,636200,96.37
2011-12-07,99.07,100.03,98.27,99.65,440000,98.81
2011-12-06,100.00,100.34,99.34,99.89,566800,99.05
2011-12-05,100.59,100.98,99.46,100.02,360500,99.18
2011-12-02,99.80,100.35,98.71,98.87,207700,98.04
2011-12-01,98.83,99.68,98.47,98.80,402800,97.97
2011-11-30,98.05,99.14,97.64,99.09,590200,98.25
2011-11-29,94.87,95.47,94.41,94.77,227500,93.97
2011-11-28,94.47,95.16,93.96,94.62,727400,93.82
2011-11-25,91.57,92.77,91.55,91.77,99300,91.00
2011-11-23,93.36,93.36,91.92,91.94,307300,91.16
2011-11-22,94.45,95.08,93.70,94.31,270100,93.51
2011-11-21,94.93,95.19,93.79,94.76,442000,93.96
2011-11-18,96.76,97.00,95.86,96.36,251600,95.55
2011-11-17,98.13,98.34,95.89,96.40,260600,95.59
2011-11-16,98.79,100.16,98.23,98.38,585300,97.55
2011-11-15,98.83,100.26,98.36,99.80,414900,98.96
2011-11-14,99.74,100.03,98.75,99.18,186100,98.34
2011-11-11,99.22,100.48,99.12,100.13,194500,99.29
2011-11-10,98.80,98.80,97.10,98.00,308100,97.17
2011-11-09,99.08,99.34,97.22,97.47,308500,96.65
2011-11-08,101.18,101.60,99.52,101.49,744300,100.63
2011-11-07,100.28,100.72,98.78,100.49,335100,99.64
2011-11-04,99.52,100.64,98.76,100.44,246500,99.59
2011-11-03,99.60,100.71,97.80,100.44,398600,99.59
2011-11-02,98.13,98.95,97.31,98.52,380300,97.69
2011-11-01,96.57,98.00,95.99,96.69,637100,95.87
