Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,12.23,12.27,11.84,11.96,62000,11.96
2012-05-03,12.27,12.34,12.06,12.26,69000,12.26
2012-05-02,12.30,12.39,11.95,12.32,56200,12.32
2012-05-01,12.53,12.72,12.36,12.36,98000,12.36
2012-04-30,12.69,12.69,12.42,12.46,81000,12.46
2012-04-27,12.83,12.83,12.59,12.74,74200,12.74
2012-04-26,12.49,12.79,12.49,12.73,76800,12.73
2012-04-25,12.62,12.64,12.37,12.55,85300,12.55
2012-04-24,11.96,12.49,11.94,12.40,112100,12.40
2012-04-23,11.79,12.00,11.48,11.91,76500,11.91
2012-04-20,12.18,12.25,11.84,12.01,71800,12.01
2012-04-19,11.98,12.19,11.67,11.91,89700,11.91
2012-04-18,12.40,12.50,11.90,12.01,65100,12.01
2012-04-17,12.37,12.81,12.09,12.52,50900,12.52
2012-04-16,12.11,12.47,11.99,12.21,34800,12.21
2012-04-13,12.57,12.63,11.98,12.05,78200,12.05
2012-04-12,12.49,12.86,12.39,12.67,58200,12.67
2012-04-11,11.91,12.52,11.82,12.50,75300,12.50
2012-04-10,12.04,12.10,11.61,11.77,81800,11.77
2012-04-09,12.33,12.47,12.01,12.03,67400,12.03
2012-04-05,12.36,12.71,12.26,12.60,47500,12.60
2012-04-04,12.69,12.75,12.34,12.44,75500,12.44
2012-04-03,13.17,13.44,12.76,12.86,83800,12.86
2012-04-02,13.13,13.25,13.00,13.21,84800,13.21
2012-03-30,13.24,13.34,12.99,13.20,66600,13.20
2012-03-29,13.16,13.21,12.87,13.11,100200,13.11
2012-03-28,13.10,13.34,13.03,13.33,51600,13.33
2012-03-27,13.11,13.39,13.03,13.11,70400,13.11
2012-03-26,12.63,13.15,12.49,13.05,103400,13.05
2012-03-23,12.38,12.54,12.30,12.49,72000,12.49
2012-03-22,12.26,12.50,12.24,12.37,45400,12.37
2012-03-21,12.27,12.49,12.21,12.39,80500,12.39
2012-03-20,12.29,12.37,12.20,12.24,41400,12.24
2012-03-19,12.38,12.54,12.32,12.37,76600,12.37
2012-03-16,12.39,12.55,12.34,12.36,97700,12.36
2012-03-15,12.25,12.41,12.17,12.34,67600,12.34
2012-03-14,12.50,12.55,12.20,12.20,48100,12.20
2012-03-13,12.33,12.53,12.26,12.50,71700,12.50
2012-03-12,12.06,12.35,11.85,12.20,45200,12.20
2012-03-09,11.68,12.34,11.68,12.06,74900,12.06
2012-03-08,11.55,11.80,11.47,11.65,70800,11.65
2012-03-07,11.42,11.54,11.36,11.45,50500,11.45
2012-03-06,11.47,11.58,11.31,11.36,81300,11.36
2012-03-05,11.52,11.73,11.50,11.62,110900,11.62
2012-03-02,11.90,12.13,11.57,11.60,107600,11.60
2012-03-01,12.00,12.38,11.88,11.90,89600,11.90
2012-02-29,12.22,12.56,11.91,11.93,207500,11.93
2012-02-28,12.28,12.50,12.08,12.21,210200,12.21
2012-02-27,12.58,12.58,12.05,12.25,143800,12.25
