Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,68.72,68.76,67.68,67.79,340500,67.79
2012-05-03,70.07,70.16,68.91,69.03,71000,69.03
2012-05-02,69.95,70.10,69.45,69.99,160000,69.99
2012-05-01,70.00,70.97,69.94,70.44,119000,70.44
2012-04-30,70.25,70.31,69.60,69.92,547200,69.92
2012-04-27,70.75,70.86,70.20,70.56,170500,70.56
2012-04-26,69.88,70.57,69.59,70.39,176800,70.39
2012-04-25,69.57,70.35,69.49,70.35,195900,70.35
2012-04-24,68.70,69.01,68.30,68.70,214900,68.70
2012-04-23,68.51,68.69,67.74,68.62,334100,68.62
2012-04-20,70.01,70.30,69.58,69.58,97100,69.58
2012-04-19,69.97,70.40,69.27,69.70,145200,69.70
2012-04-18,69.76,70.10,69.67,69.78,99300,69.78
2012-04-17,69.40,70.54,69.40,70.04,278300,70.04
2012-04-16,69.35,69.48,68.49,68.97,681800,68.97
2012-04-13,69.41,69.48,68.74,68.74,564100,68.74
2012-04-12,67.61,69.72,67.61,69.58,193900,69.58
2012-04-11,67.91,68.05,67.26,67.37,110700,67.37
2012-04-10,68.01,68.31,66.63,66.85,243600,66.85
2012-04-09,68.07,68.61,67.90,68.17,199200,68.17
2012-04-05,69.42,70.31,68.98,69.14,155900,69.14
2012-04-04,69.71,69.89,69.10,69.57,351500,69.57
2012-04-03,71.29,71.29,70.15,70.65,259500,70.65
2012-04-02,70.32,71.67,70.22,71.41,441000,71.41
2012-03-30,70.63,70.87,69.85,70.36,267900,70.36
2012-03-29,69.43,70.23,68.95,70.15,427900,70.15
2012-03-28,70.92,70.92,69.31,69.95,141300,69.95
2012-03-27,71.40,71.89,71.05,71.07,105800,71.07
2012-03-26,71.09,71.26,70.70,71.25,270200,71.25
2012-03-23,69.84,70.73,69.49,70.60,985200,70.39
2012-03-22,70.32,70.45,69.28,69.69,528700,69.48
2012-03-21,71.31,71.45,70.81,71.17,106100,70.96
2012-03-20,71.00,71.25,70.35,71.11,136400,70.90
2012-03-19,71.28,72.15,71.21,71.69,109500,71.48
2012-03-16,71.22,71.61,71.07,71.41,131900,71.20
2012-03-15,70.52,70.93,70.10,70.91,116900,70.70
2012-03-14,70.68,70.78,69.95,70.23,124800,70.02
2012-03-13,69.68,70.72,69.64,70.69,130500,70.48
2012-03-12,69.85,70.20,69.21,69.32,97000,69.11
2012-03-09,69.79,70.64,69.55,69.92,130400,69.71
2012-03-08,69.38,69.82,68.85,69.66,134700,69.45
2012-03-07,68.50,68.76,68.01,68.57,838100,68.37
2012-03-06,68.67,68.67,67.83,68.16,381900,67.96
2012-03-05,71.14,71.15,69.50,69.87,156100,69.66
2012-03-02,71.54,72.09,71.00,71.38,124300,71.17
2012-03-01,71.71,72.20,71.58,71.90,337400,71.69
2012-02-29,72.76,73.00,71.06,71.29,315500,71.08
2012-02-28,72.54,73.02,72.39,72.67,143300,72.45
2012-02-27,71.89,72.64,71.55,72.43,101800,72.22
2012-02-24,72.58,72.92,72.30,72.47,167000,72.26
2012-02-23,72.09,72.67,71.67,72.55,491300,72.34
2012-02-22,72.51,72.82,71.96,72.26,381300,72.05
2012-02-21,72.54,73.22,72.24,72.55,764400,72.34
2012-02-17,72.53,72.67,71.98,72.16,102500,71.95
2012-02-16,70.78,72.30,70.65,72.20,233700,71.99
2012-02-15,71.36,71.45,70.68,70.90,277500,70.69
2012-02-14,71.82,71.86,70.35,70.97,1206400,70.76
2012-02-13,72.46,72.47,71.84,72.10,194500,71.89
2012-02-10,72.20,72.20,71.47,71.81,630200,71.60
2012-02-09,73.36,73.55,72.71,73.25,143200,73.03
2012-02-08,73.39,73.76,72.78,73.19,282300,72.97
2012-02-07,73.33,73.54,72.52,73.12,209100,72.90
2012-02-06,73.09,73.52,72.94,73.49,174700,73.27
2012-02-03,73.36,73.76,73.01,73.61,827300,73.39
2012-02-02,72.42,73.13,72.20,72.41,109700,72.20
2012-02-01,72.12,72.87,72.12,72.36,1337100,72.15
2012-01-31,72.15,72.42,70.76,71.40,1134100,71.19
2012-01-30,70.91,71.90,70.61,71.58,230100,71.37
2012-01-27,71.20,72.07,71.01,71.86,111600,71.65
2012-01-26,72.16,72.72,70.92,71.26,181100,71.05
2012-01-25,69.98,71.70,69.51,71.54,301000,71.33
2012-01-24,69.48,70.28,69.09,70.21,153000,70.00
2012-01-23,70.18,70.76,69.98,70.19,232600,69.98
2012-01-20,70.02,70.44,69.90,70.08,100100,69.87
2012-01-19,70.50,70.50,69.82,70.26,294800,70.05
2012-01-18,69.09,70.21,68.89,70.21,203800,70.00
2012-01-17,69.85,70.01,68.87,69.15,184700,68.95
2012-01-13,69.05,69.11,68.05,68.92,109200,68.72
2012-01-12,68.89,69.71,68.46,69.69,248200,69.48
2012-01-11,67.76,68.68,67.52,68.55,466400,68.35
2012-01-10,67.63,68.22,67.63,67.88,107800,67.68
2012-01-09,66.75,66.79,66.23,66.46,187400,66.26
2012-01-06,66.80,66.80,66.09,66.52,268000,66.32
2012-01-05,66.66,67.09,65.76,66.72,349900,66.52
2012-01-04,66.14,67.11,65.96,66.92,225400,66.72
2012-01-03,66.00,66.74,65.92,66.46,271800,66.26
2011-12-30,64.27,64.64,64.14,64.30,180000,64.11
2011-12-29,63.49,64.28,63.41,64.21,139300,64.02
2011-12-28,65.11,65.11,63.44,63.58,194700,63.39
2011-12-27,65.10,65.47,64.91,65.16,109000,64.97
2011-12-23,64.93,65.28,64.71,65.26,100100,65.07
2011-12-22,64.15,64.96,63.92,64.76,139000,64.57
2011-12-21,64.39,64.68,63.57,64.56,272300,63.80
2011-12-20,63.08,64.47,63.01,64.39,203700,63.63
2011-12-19,63.32,63.49,61.53,61.70,302500,60.97
2011-12-16,63.09,63.87,62.63,63.26,345000,62.51
2011-12-15,63.26,63.35,62.11,62.57,279000,61.83
2011-12-14,62.67,63.22,61.86,62.33,521400,61.59
2011-12-13,64.90,65.56,62.67,63.21,291800,62.46
2011-12-12,65.17,65.17,63.80,64.44,216700,63.68
2011-12-09,64.90,66.55,64.59,66.23,152500,65.45
2011-12-08,66.79,66.95,65.06,65.25,129000,64.48
2011-12-07,67.10,67.69,66.70,67.40,148400,66.61
2011-12-06,67.07,68.23,66.68,67.55,187700,66.75
2011-12-05,67.64,68.10,66.76,67.25,403000,66.46
2011-12-02,67.60,67.84,66.38,66.50,346800,65.72
2011-12-01,66.92,67.78,66.33,66.79,267300,66.00
2011-11-30,65.59,67.28,65.59,67.17,326800,66.38
2011-11-29,63.14,63.54,62.63,62.97,170100,62.23
2011-11-28,62.67,63.29,62.32,62.85,442400,62.11
2011-11-25,60.47,61.21,60.29,60.31,214900,59.60
2011-11-23,61.80,61.92,60.61,60.65,300700,59.93
2011-11-22,63.17,63.52,62.27,62.65,1989300,61.91
2011-11-21,62.90,63.45,62.33,63.05,401900,62.31
2011-11-18,64.78,65.27,63.92,64.34,518200,63.58
2011-11-17,66.21,66.42,63.77,64.23,905300,63.47
2011-11-16,67.13,67.88,66.36,66.40,351700,65.62
2011-11-15,67.52,68.40,66.92,67.96,365000,67.16
2011-11-14,68.13,68.63,67.31,67.87,336300,67.07
2011-11-11,67.98,68.85,67.74,68.47,285200,67.66
2011-11-10,67.52,67.61,65.92,66.92,185100,66.13
2011-11-09,67.74,68.27,66.23,66.39,291500,65.61
2011-11-08,69.61,70.08,68.58,69.95,368300,69.13
2011-11-07,68.55,69.35,67.83,69.25,227000,68.43
2011-11-04,68.23,69.16,67.41,68.84,303100,68.03
2011-11-03,68.25,68.92,66.76,68.69,423500,67.88
2011-11-02,66.66,67.63,66.03,67.09,301800,66.30
2011-11-01,64.61,66.65,63.75,65.37,1510200,64.60
2011-10-31,69.48,69.61,67.36,67.39,1016900,66.60
