Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,69.56,69.56,68.77,68.92,41200,68.92
2012-05-03,70.57,70.57,69.78,69.91,34000,69.91
2012-05-02,70.29,70.56,70.14,70.54,15000,70.54
2012-05-01,70.30,71.18,70.25,70.65,22700,70.65
2012-04-30,70.44,70.47,70.16,70.29,46000,70.29
2012-04-27,70.63,70.74,70.39,70.63,24100,70.63
2012-04-26,69.77,70.53,69.76,70.39,22200,70.39
2012-04-25,69.61,69.92,69.59,69.89,40400,69.89
2012-04-24,68.74,69.11,68.70,68.88,22700,68.88
2012-04-23,68.55,68.74,68.23,68.73,176800,68.73
2012-04-20,69.48,69.77,69.27,69.27,50800,69.27
2012-04-19,69.62,69.91,68.87,69.21,16600,69.21
2012-04-18,69.56,69.84,69.50,69.56,45700,69.56
2012-04-17,69.21,69.96,69.21,69.87,182600,69.87
2012-04-16,69.27,69.34,68.63,68.83,18400,68.83
2012-04-13,69.55,69.55,68.87,68.87,27100,68.87
2012-04-12,68.81,69.75,68.81,69.73,17000,69.73
2012-04-11,68.89,69.00,68.67,68.73,24500,68.73
2012-04-10,69.32,69.40,68.11,68.18,47500,68.18
2012-04-09,69.27,69.67,69.19,69.42,23100,69.42
2012-04-05,70.09,70.41,69.98,70.24,24500,70.24
2012-04-04,70.50,70.53,70.03,70.34,47600,70.34
2012-04-03,71.21,71.31,70.62,71.02,119800,71.02
2012-04-02,70.71,71.49,70.52,71.30,85600,71.30
2012-03-30,70.87,70.90,70.43,70.73,45200,70.73
2012-03-29,70.19,70.56,69.92,70.55,34800,70.55
2012-03-28,70.85,70.96,70.22,70.61,32700,70.61
2012-03-27,71.31,71.32,70.96,70.96,73900,70.96
2012-03-26,70.71,71.20,70.71,71.17,206400,71.17
2012-03-23,70.32,70.57,70.02,70.53,95500,70.25
2012-03-22,70.21,70.42,69.98,70.24,27300,69.96
2012-03-21,70.91,71.01,70.68,70.84,62600,70.55
2012-03-20,70.72,70.98,70.50,70.88,48100,70.59
2012-03-19,70.80,71.40,70.77,71.16,24700,70.87
2012-03-16,70.93,70.95,70.78,70.85,18700,70.56
2012-03-15,70.43,70.82,70.30,70.78,297400,70.49
2012-03-14,70.52,70.59,70.14,70.36,26300,70.08
2012-03-13,69.60,70.47,69.51,70.47,70900,70.19
2012-03-12,69.25,69.29,69.00,69.16,72400,68.88
2012-03-09,69.09,69.45,69.03,69.20,56500,68.92
2012-03-08,68.68,69.08,68.50,68.94,59800,68.66
2012-03-07,67.93,68.30,67.82,68.27,86700,68.00
2012-03-06,68.12,68.12,67.53,67.73,96900,67.46
2012-03-05,68.98,68.98,68.55,68.81,56200,68.53
2012-03-02,69.28,69.41,68.93,69.11,167200,68.83
2012-03-01,69.15,69.50,69.07,69.35,267000,69.07
2012-02-29,69.29,69.56,68.77,68.77,246100,68.49
2012-02-28,69.12,69.30,68.98,69.25,19900,68.97
2012-02-27,68.56,69.22,68.34,69.11,44200,68.83
2012-02-24,68.94,69.12,68.87,68.92,19400,68.64
2012-02-23,68.45,68.88,68.20,68.85,30000,68.57
2012-02-22,68.65,68.76,68.41,68.47,29400,68.19
2012-02-21,68.92,69.02,68.51,68.73,54900,68.45
2012-02-17,68.89,68.89,68.57,68.71,11000,68.43
2012-02-16,67.87,68.67,67.77,68.65,36000,68.37
2012-02-15,68.39,68.40,67.67,67.79,28800,67.52
2012-02-14,67.98,68.13,67.69,68.11,23000,67.84
2012-02-13,68.16,68.28,67.96,68.20,45300,67.93
2012-02-10,67.64,67.76,67.46,67.68,29900,67.41
2012-02-09,68.26,68.32,67.81,68.19,14000,67.92
2012-02-08,67.99,68.17,67.73,68.11,45300,67.84
2012-02-07,67.60,68.06,67.45,67.92,31100,67.65
2012-02-06,67.50,67.79,67.48,67.79,34600,67.52
2012-02-03,67.58,67.82,67.48,67.81,174100,67.54
2012-02-02,66.87,67.00,66.62,66.84,88000,66.57
2012-02-01,66.51,67.00,66.50,66.71,27300,66.44
2012-01-31,66.43,66.46,65.74,66.07,29500,65.80
2012-01-30,65.72,66.09,65.49,66.06,60100,65.79
2012-01-27,66.02,66.44,66.00,66.30,37600,66.03
2012-01-26,66.92,67.09,66.07,66.21,35600,65.94
2012-01-25,65.96,66.77,65.72,66.65,83500,66.38
2012-01-24,65.67,66.04,65.52,65.98,165200,65.71
2012-01-23,65.98,66.38,65.80,66.03,29500,65.76
2012-01-20,65.92,66.00,65.71,65.99,42200,65.72
2012-01-19,65.78,66.03,65.68,66.00,130000,65.73
2012-01-18,64.86,65.65,64.84,65.59,73500,65.33
2012-01-17,65.29,65.39,64.80,64.91,594700,64.65
2012-01-13,64.53,64.71,64.13,64.71,57600,64.45
2012-01-12,64.94,65.08,64.49,65.02,58200,64.76
2012-01-11,64.64,64.89,64.50,64.84,42200,64.58
2012-01-10,64.78,64.97,64.67,64.74,41100,64.48
2012-01-09,64.08,64.25,63.90,64.17,34200,63.91
2012-01-06,64.26,64.26,63.78,63.98,17500,63.72
2012-01-05,63.65,64.22,63.27,64.12,31900,63.86
2012-01-04,63.74,63.93,63.40,63.89,19700,63.63
2012-01-03,64.22,64.31,63.80,63.91,97300,63.65
2011-12-30,63.21,63.25,62.95,62.95,16900,62.70
2011-12-29,62.80,63.21,62.70,63.16,63700,62.91
2011-12-28,63.48,63.48,62.50,62.56,59700,62.31
2011-12-27,63.30,63.54,63.16,63.40,20800,63.14
2011-12-23,62.97,63.34,62.89,63.34,107100,63.08
2011-12-22,62.50,62.87,62.37,62.75,83600,62.50
2011-12-21,62.50,62.63,61.92,62.55,54200,61.96
2011-12-20,61.48,62.54,61.48,62.41,97100,61.82
2011-12-19,61.48,61.61,60.48,60.62,20300,60.05
2011-12-16,61.44,61.83,61.14,61.34,33600,60.76
2011-12-15,61.58,61.58,61.04,61.09,27100,60.51
2011-12-14,61.26,61.41,60.75,60.90,33500,60.33
2011-12-13,62.61,62.87,61.27,61.53,53900,60.95
2011-12-12,62.60,62.60,61.75,62.22,46200,61.63
2011-12-09,62.41,63.33,62.41,63.15,63100,62.55
2011-12-08,63.00,63.16,61.94,62.00,79200,61.42
2011-12-07,63.08,63.72,62.67,63.59,67900,62.99
2011-12-06,63.33,63.76,63.13,63.41,56000,62.81
2011-12-05,63.61,63.83,63.00,63.30,477000,62.70
2011-12-02,63.20,63.42,62.61,62.65,62700,62.06
2011-12-01,62.62,63.05,62.46,62.65,69300,62.06
2011-11-30,61.95,62.81,61.77,62.81,130000,62.22
2011-11-29,60.17,60.54,59.98,60.13,20500,59.56
2011-11-28,60.10,60.24,59.60,59.98,266200,59.41
2011-11-25,58.26,58.95,58.21,58.28,23700,57.73
2011-11-23,59.21,59.22,58.41,58.41,68400,57.86
2011-11-22,59.91,60.15,59.45,59.82,21900,59.26
2011-11-21,60.27,60.32,59.60,60.01,99100,59.44
2011-11-18,61.46,61.52,61.09,61.17,21200,60.59
2011-11-17,62.14,62.26,60.88,61.26,58700,60.68
2011-11-16,62.65,63.46,62.25,62.28,49700,61.69
2011-11-15,62.75,63.58,62.63,63.31,65700,62.71
2011-11-14,63.26,63.41,62.70,62.93,47500,62.34
2011-11-11,63.05,63.66,63.05,63.62,148800,63.02
2011-11-10,62.58,62.59,61.79,62.34,20500,61.75
2011-11-09,62.67,62.97,61.71,61.73,115600,61.15
2011-11-08,63.80,64.25,63.16,64.18,164600,63.58
2011-11-07,63.01,63.41,62.63,63.41,88700,62.81
2011-11-04,62.88,63.25,62.37,63.11,117600,62.52
2011-11-03,62.89,63.47,62.08,63.39,19900,62.79
2011-11-02,62.03,62.45,61.65,62.23,31200,61.64
2011-11-01,61.35,61.92,60.80,61.23,89600,60.65
2011-10-31,63.76,63.86,62.95,62.95,93200,62.36
2011-10-28,64.23,64.64,64.16,64.64,105300,64.03
2011-10-27,64.09,64.93,63.54,64.53,313100,63.92
2011-10-26,62.40,62.57,61.28,62.33,48300,61.74
2011-10-25,62.61,62.62,61.57,61.72,81900,61.14
2011-10-24,62.18,63.07,62.18,63.01,85800,62.42
2011-10-21,61.52,62.02,61.40,62.02,156400,61.44
2011-10-20,60.60,60.95,59.88,60.84,70900,60.27
2011-10-19,61.25,61.56,60.49,60.62,84800,60.05
2011-10-18,60.19,61.72,59.63,61.36,85500,60.78
2011-10-17,61.14,61.14,60.06,60.06,22200,59.49
2011-10-14,61.00,61.38,60.71,61.38,58900,60.80
2011-10-13,60.04,60.46,59.63,60.27,62100,59.70
2011-10-12,60.35,61.06,60.24,60.48,112000,59.91
2011-10-11,59.43,60.05,59.32,59.77,32400,59.21
2011-10-10,58.85,59.75,58.85,59.75,90900,59.19
2011-10-07,58.68,58.68,57.64,57.78,40900,57.24
2011-10-06,57.11,58.36,56.88,58.33,60000,57.78
2011-10-05,56.19,57.31,55.82,57.21,56400,56.67
2011-10-04,54.15,56.23,53.52,56.23,193800,55.70
2011-10-03,56.17,56.72,54.76,54.76,66200,54.24
2011-09-30,57.11,57.64,56.56,56.56,47800,56.03
2011-09-29,58.69,58.75,57.00,57.99,33200,57.44
2011-09-28,59.07,59.40,57.58,57.58,43400,57.04
2011-09-27,59.43,59.90,58.69,58.89,84400,58.33
2011-09-26,57.39,58.23,56.74,58.21,24100,57.66
2011-09-23,56.21,57.13,56.13,56.93,38000,56.39
2011-09-22,57.10,57.52,56.04,56.87,114300,56.04
2011-09-21,60.60,60.79,58.75,58.75,36600,57.90
2011-09-20,61.00,61.57,60.58,60.61,55000,59.73
2011-09-19,60.49,61.04,60.01,60.78,29200,59.90
2011-09-16,61.38,61.68,60.85,61.37,40600,60.48
2011-09-15,60.76,61.13,60.25,61.10,68300,60.21
2011-09-14,59.52,60.76,59.01,60.13,41400,59.26
2011-09-13,58.88,59.42,58.48,59.25,48400,58.39
2011-09-12,57.52,58.67,57.39,58.67,90400,57.82
2011-09-09,59.27,59.35,58.01,58.29,61800,57.44
2011-09-08,60.22,60.82,59.88,59.89,50600,59.02
2011-09-07,59.70,60.52,59.53,60.50,19400,59.62
2011-09-06,57.52,58.80,57.47,58.79,97100,57.94
2011-09-02,59.64,59.84,58.98,59.18,190500,58.32
2011-09-01,61.60,62.04,60.74,60.77,28900,59.89
2011-08-31,61.67,62.12,61.21,61.50,103300,60.61
2011-08-30,60.76,61.57,59.92,61.24,52200,60.35
2011-08-29,60.05,61.07,60.05,61.05,559100,60.16
2011-08-26,58.04,59.45,57.01,59.22,93800,58.36
2011-08-25,59.60,59.92,58.09,58.32,47100,57.47
2011-08-24,58.46,59.27,58.26,59.25,46000,58.39
2011-08-23,56.86,58.49,56.43,58.48,95100,57.63
2011-08-22,57.86,57.99,56.35,56.51,80400,55.69
2011-08-19,56.77,58.14,56.46,56.46,197200,55.64
2011-08-18,58.75,58.75,56.95,57.49,146500,56.66
2011-08-17,60.63,61.00,59.74,60.21,101100,59.34
2011-08-16,60.22,60.76,59.69,60.17,43600,59.30
2011-08-15,60.00,60.71,59.94,60.70,43800,59.82
2011-08-12,59.68,60.02,59.05,59.40,77300,58.54
2011-08-11,56.95,59.76,56.80,59.00,97800,58.14
2011-08-10,57.90,58.41,56.35,56.45,133900,55.63
2011-08-09,57.22,58.90,55.29,58.84,156000,57.99
2011-08-08,58.64,59.31,56.17,56.17,281000,55.35
2011-08-05,61.40,61.43,58.65,60.34,206400,59.46
2011-08-04,63.01,63.01,60.46,60.54,143500,59.66
2011-08-03,63.39,63.76,62.37,63.76,290300,62.83
2011-08-02,64.79,64.94,63.37,63.43,119100,62.51
2011-08-01,66.05,66.22,64.50,65.09,479800,64.15
2011-07-29,65.04,65.92,64.74,65.40,59800,64.45
2011-07-28,66.03,66.43,65.68,65.78,35400,64.83
2011-07-27,67.04,67.04,65.90,65.99,48400,65.03
2011-07-26,67.62,67.68,67.33,67.41,28800,66.43
2011-07-25,67.32,67.99,67.32,67.68,33400,66.70
2011-07-22,68.10,68.16,67.67,68.07,48000,67.08
2011-07-21,67.38,68.09,67.34,67.97,31000,66.98
2011-07-20,67.38,67.39,67.04,67.14,15600,66.17
2011-07-19,66.50,67.23,66.50,67.14,26700,66.17
2011-07-18,66.33,66.34,65.66,66.04,64400,65.08
2011-07-15,66.59,66.63,66.28,66.61,9000,65.64
2011-07-14,66.91,67.22,66.09,66.25,50200,65.29
2011-07-13,66.81,67.41,66.65,66.76,34300,65.79
2011-07-12,66.61,67.16,66.54,66.54,29500,65.57
2011-07-11,67.35,67.35,66.74,66.80,18400,65.83
2011-07-08,67.85,68.14,67.57,68.14,17500,67.15
2011-07-07,68.39,68.77,68.36,68.61,17200,67.61
2011-07-06,67.62,67.92,67.57,67.85,11100,66.87
2011-07-05,67.80,67.86,67.57,67.74,27700,66.76
2011-07-01,66.88,67.87,66.79,67.79,24900,66.81
2011-06-30,66.44,66.87,66.36,66.82,19500,65.85
2011-06-29,65.97,66.25,65.67,66.21,49500,65.25
2011-06-28,64.93,65.63,64.93,65.63,20600,64.68
2011-06-27,64.19,64.91,64.09,64.80,25100,63.86
2011-06-24,65.00,65.00,64.18,64.23,11800,63.30
2011-06-23,64.50,65.21,64.09,65.19,51700,63.97
2011-06-22,65.48,65.90,65.33,65.33,214500,64.11
2011-06-21,65.17,65.80,65.07,65.71,18500,64.48
2011-06-20,64.25,64.86,64.17,64.76,14200,63.55
2011-06-17,64.92,64.96,64.22,64.41,33000,63.21
2011-06-16,64.14,64.51,63.74,64.23,34600,63.03
2011-06-15,64.77,65.00,64.00,64.17,61200,62.97
2011-06-14,64.98,65.47,64.98,65.30,13000,64.08
2011-06-13,64.39,64.73,64.10,64.39,41900,63.19
2011-06-10,65.07,65.07,64.29,64.44,26700,63.24
2011-06-09,65.00,65.60,64.93,65.37,27800,64.15
2011-06-08,65.15,65.23,64.78,64.88,22300,63.67
2011-06-07,65.59,65.72,65.20,65.20,23200,63.98
2011-06-06,65.80,65.94,65.20,65.22,44700,64.00
2011-06-03,65.84,66.46,65.80,66.04,19300,64.81
2011-06-02,66.86,66.92,66.29,66.68,30600,65.44
2011-06-01,68.08,68.13,66.77,66.78,96100,65.53
2011-05-31,68.18,68.29,67.83,68.29,22600,67.02
2011-05-27,67.51,67.75,67.47,67.59,13600,66.33
2011-05-26,66.78,67.40,66.70,67.29,6800,66.03
2011-05-25,66.49,67.15,66.38,66.94,10100,65.69
2011-05-24,66.89,67.04,66.55,66.66,23000,65.42
2011-05-23,66.70,66.93,66.55,66.75,29200,65.50
2011-05-20,67.99,67.99,67.44,67.59,7600,66.33
2011-05-19,68.10,68.20,67.73,68.07,17100,66.80
2011-05-18,67.26,67.97,67.21,67.92,44900,66.65
2011-05-17,67.00,67.35,66.79,67.20,35900,65.95
2011-05-16,67.43,68.06,67.24,67.33,690200,66.07
2011-05-13,68.36,68.40,67.59,67.76,17700,66.50
2011-05-12,67.81,68.38,67.49,68.33,16000,67.06
2011-05-11,68.64,68.64,67.76,68.06,13900,66.79
2011-05-10,68.43,68.85,68.33,68.74,20600,67.46
2011-05-09,67.90,68.33,67.77,68.18,12000,66.91
2011-05-06,68.26,68.54,67.59,67.82,52900,66.55
2011-05-05,67.71,68.19,67.27,67.54,27200,66.28
2011-05-04,68.52,68.52,67.82,68.08,22000,66.81
2011-05-03,68.85,68.85,68.23,68.59,30000,67.31
2011-05-02,69.41,69.43,68.82,68.92,64000,67.63
2011-04-29,68.84,69.11,68.82,69.06,23000,67.77
2011-04-28,68.68,68.99,68.60,68.89,17900,67.61
2011-04-27,68.32,68.73,68.12,68.64,40100,67.36
2011-04-26,67.82,68.35,67.80,68.21,20000,66.94
2011-04-25,67.62,67.71,67.42,67.61,46800,66.35
2011-04-21,67.69,67.85,67.51,67.71,23900,66.45
2011-04-20,67.27,67.41,67.24,67.36,32000,66.10
2011-04-19,66.09,66.39,66.01,66.38,15100,65.14
2011-04-18,66.06,66.13,65.50,66.09,30800,64.86
2011-04-15,66.60,66.96,66.48,66.82,30800,65.57
2011-04-14,66.06,66.62,65.92,66.53,14000,65.29
2011-04-13,66.80,66.80,66.26,66.57,28200,65.33
2011-04-12,66.55,66.61,66.21,66.45,21700,65.21
2011-04-11,67.30,67.45,66.81,66.97,77600,65.72
2011-04-08,67.73,67.85,66.96,67.21,29500,65.96
2011-04-07,67.55,67.64,67.18,67.44,22500,66.18
2011-04-06,67.77,67.88,67.41,67.64,51700,66.38
2011-04-05,67.30,67.77,67.30,67.52,13700,66.26
