Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,42.33,42.68,41.71,41.75,31279900,41.75
2012-05-03,43.38,43.39,42.67,43.01,19536400,43.01
2012-05-02,43.46,43.53,42.84,43.20,22462200,43.20
2012-05-01,43.00,44.24,42.96,43.79,26359700,43.79
2012-04-30,43.33,43.37,42.54,42.98,23518000,42.98
2012-04-27,43.94,43.99,43.23,43.34,26242900,43.34
2012-04-26,43.22,43.89,43.06,43.80,28100300,43.80
2012-04-25,43.65,43.89,42.98,43.16,31694000,43.16
2012-04-24,42.98,43.31,42.81,43.28,21420400,43.28
2012-04-23,41.92,42.96,41.80,42.85,25536300,42.85
2012-04-20,43.51,43.58,42.71,42.72,26178100,42.72
2012-04-19,43.44,43.69,42.77,43.22,25961800,43.22
2012-04-18,43.62,43.91,43.27,43.29,20242900,43.29
2012-04-17,43.69,44.00,43.16,43.90,26887000,43.90
2012-04-16,43.38,43.80,42.84,43.33,40387600,43.33
2012-04-13,44.95,44.95,43.06,43.21,58183900,43.21
2012-04-12,44.12,44.99,44.00,44.84,33631100,44.84
2012-04-11,43.59,44.21,43.57,44.01,32142200,44.01
2012-04-10,43.88,44.01,42.66,42.96,38841000,42.96
2012-04-09,43.19,44.28,43.07,43.89,29376400,43.89
2012-04-05,44.13,44.73,43.81,44.34,28832300,44.34
2012-04-04,44.68,44.86,43.96,44.41,41342900,44.41
2012-04-03,45.74,45.99,44.97,45.42,31036400,45.42
2012-04-02,45.75,46.35,45.46,46.13,27669300,45.83
2012-03-30,46.08,46.13,45.50,45.98,25945800,45.68
2012-03-29,45.92,46.02,45.27,45.67,32262300,45.37
2012-03-28,45.76,46.31,45.36,46.27,29755800,45.97
2012-03-27,45.92,46.49,45.83,45.89,33026400,45.59
2012-03-26,45.48,46.17,45.40,46.17,33529400,45.87
2012-03-23,44.45,45.25,44.44,45.16,30639300,44.87
2012-03-22,44.72,45.10,44.41,44.65,27457200,44.36
2012-03-21,45.53,45.67,44.86,45.12,27267900,44.83
2012-03-20,44.53,45.60,44.37,45.38,34796200,45.08
2012-03-19,44.44,45.35,44.21,45.00,41509300,44.71
2012-03-16,44.87,44.92,44.22,44.57,48844500,44.28
2012-03-15,43.64,44.92,42.93,44.70,57117700,44.41
2012-03-14,43.62,44.00,43.07,43.58,68028700,43.30
2012-03-13,41.02,43.73,40.82,43.39,77277600,43.11
2012-03-12,40.86,40.98,40.20,40.54,30763800,40.28
2012-03-09,40.75,41.44,40.50,41.03,33494200,40.76
2012-03-08,40.47,40.75,40.22,40.44,22052300,40.18
2012-03-07,39.46,40.06,39.38,39.95,22875100,39.69
2012-03-06,39.45,39.87,39.12,39.32,33927500,39.06
2012-03-05,40.70,40.71,40.00,40.40,30806900,40.14
2012-03-02,40.43,40.88,40.23,40.63,34897900,40.37
2012-03-01,39.51,40.45,39.47,40.37,44376700,40.11
2012-02-29,39.33,39.94,39.02,39.24,41187700,38.98
2012-02-28,39.13,39.55,38.85,39.21,37900900,38.96
2012-02-27,38.07,39.23,37.79,39.06,34030400,38.81
2012-02-24,38.66,38.68,38.19,38.28,17586400,38.03
2012-02-23,38.06,38.52,37.75,38.49,31361400,38.24
2012-02-22,38.30,38.39,37.90,38.07,23416900,37.82
2012-02-21,38.65,38.97,38.41,38.46,22804200,38.21
2012-02-17,38.60,38.64,38.23,38.47,28009300,38.22
2012-02-16,37.15,38.12,37.05,38.00,22139600,37.75
2012-02-15,38.08,38.40,37.31,37.40,26534900,37.16
2012-02-14,38.23,38.26,37.44,37.92,27031900,37.67
2012-02-13,38.08,38.34,37.78,38.30,24828000,38.05
2012-02-10,37.22,37.77,37.11,37.61,22618800,37.37
2012-02-09,38.60,38.68,37.84,37.86,28608400,37.61
2012-02-08,38.05,38.35,37.97,38.30,23258700,38.05
2012-02-07,37.86,38.12,37.70,37.87,21091900,37.62
2012-02-06,38.06,38.32,37.81,38.14,23106200,37.89
2012-02-03,38.27,38.50,38.05,38.28,41074400,38.03
2012-02-02,37.69,38.16,37.42,37.55,26784200,37.31
2012-02-01,37.89,38.03,37.50,37.60,41957800,37.36
2012-01-31,37.53,37.54,36.93,37.30,29649500,37.06
2012-01-30,36.66,37.17,36.36,37.01,24423600,36.77
2012-01-27,37.23,37.66,37.15,37.21,27674600,36.97
2012-01-26,37.88,38.10,37.25,37.49,33284600,37.25
2012-01-25,37.36,37.82,37.12,37.60,29860700,37.36
2012-01-24,37.18,37.89,36.80,37.66,25403800,37.42
2012-01-23,37.31,37.94,37.27,37.66,27499200,37.42
2012-01-20,36.78,37.40,36.62,37.36,34716500,37.12
2012-01-19,36.84,37.15,36.71,36.93,37000400,36.69
2012-01-18,34.54,36.68,34.53,36.54,55502100,36.30
2012-01-17,34.85,35.68,34.50,34.91,55115100,34.68
2012-01-13,35.26,35.92,35.13,35.92,61571500,35.69
2012-01-12,36.82,37.05,36.17,36.85,39420700,36.61
2012-01-11,35.80,36.74,35.66,36.66,29852900,36.42
2012-01-10,36.07,36.35,35.76,36.05,35972800,35.82
2012-01-09,35.44,35.68,34.99,35.30,23001800,35.07
2012-01-06,35.69,35.77,35.14,35.36,33160600,35.13
2012-01-05,34.71,35.92,34.40,35.68,38381400,35.45
2012-01-04,34.44,35.15,34.33,34.95,36571200,34.72
2012-01-03,34.06,35.19,34.01,34.98,44102800,34.50
2011-12-30,33.11,33.42,33.06,33.25,18196900,32.80
2011-12-29,32.71,33.52,32.71,33.42,19792000,32.97
2011-12-28,32.99,33.09,32.57,32.65,19242700,32.21
2011-12-27,33.22,33.69,33.03,33.03,16891600,32.58
2011-12-23,33.62,33.70,33.13,33.57,21958800,33.11
2011-12-22,32.69,33.55,32.54,33.45,35543200,32.99
2011-12-21,32.00,32.41,31.90,32.32,30893000,31.88
2011-12-20,31.40,32.44,31.24,32.21,49091600,31.77
2011-12-19,31.87,31.90,30.42,30.70,47388000,30.28
2011-12-16,32.16,32.60,31.81,31.89,52596800,31.46
2011-12-15,32.10,32.28,31.57,31.76,33457300,31.33
2011-12-14,30.88,31.94,30.83,31.51,41291500,31.08
2011-12-13,32.37,32.63,30.87,31.29,49475100,30.86
2011-12-12,32.55,32.60,31.76,32.04,35977900,31.60
2011-12-09,32.36,33.31,32.36,33.18,39104600,32.73
2011-12-08,33.55,33.70,32.08,32.22,47788900,31.78
2011-12-07,32.82,34.19,32.72,34.00,44722800,33.54
2011-12-06,33.26,33.58,32.68,33.23,38782900,32.78
2011-12-05,33.64,34.10,33.22,33.51,52207600,33.05
2011-12-02,30.88,33.27,30.81,32.33,90515100,31.89
2011-12-01,30.86,30.97,30.03,30.46,33189700,30.05
2011-11-30,30.15,31.00,29.80,30.97,61412600,30.55
2011-11-29,28.98,29.13,28.48,28.56,45104700,28.17
2011-11-28,29.71,30.07,28.82,29.16,45280100,28.76
2011-11-25,28.28,29.17,28.28,28.48,21423200,28.09
2011-11-23,29.11,29.15,28.33,28.38,44468500,27.99
2011-11-22,29.90,30.10,29.38,29.41,36466200,29.01
2011-11-21,30.02,30.19,29.60,29.91,39658100,29.50
2011-11-18,30.67,30.85,30.33,30.62,39029900,30.20
2011-11-17,31.40,31.50,30.34,30.49,55130100,30.08
2011-11-16,32.34,32.49,31.40,31.47,40761800,31.04
