Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,23.12,23.14,22.73,22.84,2757900,22.84
2012-05-03,23.32,23.46,23.14,23.21,1596500,23.21
2012-05-02,23.30,23.45,23.15,23.35,1931600,23.35
2012-05-01,23.26,23.70,23.26,23.46,1770000,23.46
2012-04-30,23.55,23.55,23.15,23.25,3296800,23.25
2012-04-27,23.61,23.66,23.30,23.58,2015300,23.58
2012-04-26,23.30,23.54,23.23,23.53,1934100,23.53
2012-04-25,23.27,23.44,23.09,23.34,2848600,23.34
2012-04-24,22.84,23.11,22.83,23.06,2097600,23.06
2012-04-23,22.59,22.89,22.58,22.84,2127800,22.84
2012-04-20,23.14,23.18,22.92,22.98,2394600,22.98
2012-04-19,23.15,23.22,22.80,22.99,3029200,22.99
2012-04-18,23.22,23.42,23.09,23.13,2027000,23.13
2012-04-17,23.17,23.49,23.12,23.37,3259300,23.37
2012-04-16,22.88,23.11,22.70,22.94,3344700,22.94
2012-04-13,23.34,23.35,22.70,22.73,6009400,22.73
2012-04-12,23.15,23.48,23.09,23.46,2989200,23.46
2012-04-11,22.90,23.12,22.86,23.06,1998900,23.06
2012-04-10,23.10,23.18,22.60,22.62,4645500,22.62
2012-04-09,23.11,23.28,23.01,23.11,3345800,23.11
2012-04-05,23.64,23.76,23.48,23.55,3445300,23.55
2012-04-04,23.82,23.93,23.56,23.72,3451200,23.72
2012-04-03,23.93,24.10,23.77,24.10,5550000,24.10
2012-04-02,23.83,24.12,23.65,24.02,2518200,24.02
2012-03-30,24.03,24.10,23.72,23.85,3938100,23.85
2012-03-29,24.04,24.05,23.63,23.93,5184900,23.93
2012-03-28,23.95,24.22,23.85,24.18,4777600,24.18
2012-03-27,24.29,24.30,23.94,23.97,3634800,23.97
2012-03-26,24.19,24.29,24.01,24.27,3117200,24.27
2012-03-23,23.77,23.96,23.60,23.95,6957000,23.95
2012-03-22,24.03,24.06,23.70,23.84,4700200,23.84
2012-03-21,24.45,24.49,24.15,24.25,5787400,24.25
2012-03-20,24.25,24.51,24.08,24.40,9067600,24.40
2012-03-19,24.26,24.65,24.04,24.44,12622100,24.44
2012-03-16,24.31,24.42,24.01,24.24,8672400,24.24
2012-03-15,23.67,24.28,23.48,24.18,4839700,24.11
2012-03-14,23.44,23.72,23.20,23.58,5833000,23.51
2012-03-13,22.56,23.37,22.56,23.31,4956200,23.24
2012-03-12,22.42,22.48,22.22,22.42,1733000,22.35
2012-03-09,22.23,22.62,22.19,22.47,1800700,22.40
2012-03-08,22.04,22.22,21.92,22.18,1483900,22.11
2012-03-07,21.65,21.99,21.61,21.90,1773100,21.84
2012-03-06,21.79,21.82,21.48,21.56,4155300,21.50
2012-03-05,22.16,22.22,21.97,22.11,2299100,22.05
2012-03-02,22.45,22.49,22.22,22.29,2430600,22.22
2012-03-01,22.39,22.63,22.35,22.44,3778600,22.37
2012-02-29,22.42,22.59,22.16,22.28,5397500,22.21
2012-02-28,22.36,22.47,22.19,22.36,3252900,22.29
2012-02-27,21.84,22.40,21.82,22.33,3300400,22.26
2012-02-24,22.28,22.28,21.98,22.07,1801200,22.01
2012-02-23,21.90,22.22,21.76,22.16,6269300,22.09
2012-02-22,22.29,22.32,21.84,21.91,4349500,21.85
2012-02-21,22.52,22.59,22.25,22.39,2536500,22.32
2012-02-17,22.45,22.48,22.33,22.45,2787700,22.38
2012-02-16,21.84,22.37,21.80,22.33,4039900,22.26
2012-02-15,21.98,22.13,21.83,21.90,3132100,21.84
2012-02-14,21.99,22.00,21.67,21.92,2610200,21.86
2012-02-13,22.09,22.17,21.97,22.07,1521700,22.01
2012-02-10,21.89,22.01,21.80,21.90,2029000,21.84
2012-02-09,22.36,22.41,22.06,22.18,5093200,22.11
2012-02-08,22.17,22.29,22.00,22.22,2277900,22.15
2012-02-07,21.95,22.16,21.87,22.05,2853700,21.99
2012-02-06,22.10,22.12,21.92,22.01,2282900,21.95
2012-02-03,21.88,22.18,21.80,22.17,2926800,22.10
2012-02-02,21.47,21.64,21.34,21.51,3690200,21.45
2012-02-01,21.31,21.58,21.27,21.42,4739500,21.36
2012-01-31,21.22,21.34,21.00,21.11,5763900,21.05
2012-01-30,21.00,21.23,20.92,21.11,3520300,21.05
2012-01-27,20.94,21.36,20.94,21.27,4296900,21.21
2012-01-26,21.82,21.84,21.02,21.19,6606800,21.13
2012-01-25,21.44,21.79,21.35,21.71,3887800,21.65
2012-01-24,21.50,21.62,21.31,21.59,3068500,21.53
2012-01-23,21.75,21.93,21.62,21.73,2749800,21.67
2012-01-20,21.42,21.74,21.34,21.72,2337200,21.66
2012-01-19,21.74,21.80,21.42,21.50,3421400,21.44
2012-01-18,21.39,21.58,21.09,21.54,2871700,21.48
2012-01-17,21.64,21.78,21.30,21.37,4152500,21.31
2012-01-13,21.30,21.57,21.14,21.56,3492500,21.50
2012-01-12,21.64,21.71,21.25,21.61,3611800,21.55
2012-01-11,21.30,21.57,21.20,21.56,2955000,21.50
2012-01-10,21.41,21.53,21.26,21.39,5587400,21.33
2012-01-09,20.86,21.15,20.81,21.12,7701200,21.06
2012-01-06,20.79,20.88,20.50,20.79,3418200,20.73
2012-01-05,20.19,21.01,20.12,20.80,4365700,20.74
2012-01-04,20.20,20.48,20.00,20.41,3183900,20.35
2012-01-03,20.27,20.57,20.23,20.29,3133700,20.23
2011-12-30,19.95,19.95,19.80,19.83,2291300,19.77
2011-12-29,19.62,19.99,19.62,19.96,1848900,19.90
2011-12-28,19.91,20.07,19.52,19.66,3122300,19.60
2011-12-27,19.84,20.04,19.82,19.95,1148200,19.89
2011-12-23,20.00,20.06,19.84,19.97,1386600,19.91
2011-12-22,19.47,20.08,19.45,19.94,8692400,19.88
2011-12-21,19.18,19.45,19.02,19.40,2394200,19.34
2011-12-20,18.85,19.26,18.77,19.16,3380800,19.10
2011-12-19,18.92,18.99,18.34,18.43,3045600,18.38
2011-12-16,18.85,19.25,18.80,18.88,2654300,18.82
2011-12-15,19.06,19.10,18.81,18.87,3229400,18.67
2011-12-14,18.72,19.01,18.65,18.73,3093500,18.53
2011-12-13,19.22,19.37,18.67,18.82,3552600,18.62
2011-12-12,19.22,19.22,18.91,19.14,2655900,18.93
2011-12-09,19.11,19.55,19.07,19.48,1815100,19.27
2011-12-08,19.53,19.53,18.92,19.01,2860800,18.80
