Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,10.14,10.21,10.05,10.10,1795500,10.10
2012-05-03,10.00,10.08,9.98,9.98,613600,9.98
2012-05-02,9.85,9.89,9.82,9.85,666000,9.85
2012-05-01,9.44,9.61,9.44,9.53,443000,9.53
2012-04-30,9.49,9.52,9.47,9.50,323000,9.50
2012-04-27,9.40,9.40,9.33,9.37,318200,9.37
2012-04-26,9.46,9.50,9.39,9.41,850400,9.41
2012-04-25,9.56,9.57,9.48,9.50,585000,9.50
2012-04-24,9.47,9.55,9.47,9.54,508900,9.54
2012-04-23,9.45,9.55,9.45,9.51,281400,9.51
2012-04-20,9.61,9.64,9.57,9.61,531600,9.61
2012-04-19,9.63,9.70,9.59,9.62,577800,9.62
2012-04-18,9.72,9.74,9.63,9.68,916800,9.68
2012-04-17,9.75,9.88,9.75,9.82,1025600,9.82
2012-04-16,9.72,9.76,9.67,9.74,389900,9.74
2012-04-13,9.71,9.78,9.66,9.67,446600,9.67
2012-04-12,9.65,9.80,9.65,9.78,567200,9.78
2012-04-11,9.67,9.69,9.60,9.64,874600,9.64
2012-04-10,9.77,9.80,9.53,9.53,1495700,9.53
2012-04-09,9.77,9.84,9.71,9.81,601600,9.81
2012-04-05,9.65,9.71,9.60,9.63,674000,9.63
2012-04-04,9.66,9.71,9.63,9.69,576500,9.69
2012-04-03,9.83,9.83,9.64,9.70,820400,9.70
2012-04-02,9.77,9.95,9.76,9.92,904100,9.92
2012-03-30,9.84,9.86,9.70,9.73,831600,9.73
2012-03-29,9.68,9.75,9.61,9.75,1178900,9.75
2012-03-28,9.82,9.88,9.73,9.79,926100,9.79
2012-03-27,9.91,9.99,9.91,9.94,762400,9.94
2012-03-26,10.00,10.00,9.85,9.89,1436700,9.89
2012-03-23,9.98,10.05,9.91,9.97,624300,9.97
2012-03-22,10.05,10.08,9.97,10.01,651000,10.01
2012-03-21,10.22,10.26,10.18,10.20,533000,10.20
2012-03-20,10.19,10.19,10.06,10.18,419000,10.18
2012-03-19,10.28,10.42,10.26,10.35,626900,10.35
2012-03-16,10.36,10.41,10.18,10.23,1189900,10.23
2012-03-15,10.23,10.33,10.16,10.28,486700,10.28
2012-03-14,10.47,10.47,10.19,10.22,1120000,10.22
2012-03-13,10.43,10.54,10.43,10.52,248900,10.52
2012-03-12,10.45,10.49,10.40,10.40,301300,10.40
2012-03-09,10.68,10.68,10.53,10.56,386000,10.56
2012-03-08,10.61,10.66,10.57,10.63,232900,10.63
2012-03-07,10.68,10.69,10.61,10.67,216900,10.67
2012-03-06,10.80,10.80,10.64,10.69,451700,10.69
2012-03-05,11.07,11.12,10.99,11.10,352500,11.10
2012-03-02,11.11,11.21,11.08,11.21,401600,11.21
2012-03-01,11.13,11.20,11.11,11.15,873500,11.15
2012-02-29,11.18,11.26,11.12,11.15,422500,11.15
2012-02-28,11.04,11.14,11.01,11.10,285300,11.10
2012-02-27,11.13,11.21,11.11,11.18,219800,11.18
2012-02-24,11.19,11.32,11.19,11.30,339000,11.30
2012-02-23,11.15,11.20,11.03,11.12,465900,11.12
2012-02-22,11.10,11.10,11.02,11.05,189600,11.05
2012-02-21,11.18,11.21,11.12,11.12,370500,11.12
2012-02-17,11.06,11.11,11.05,11.06,198200,11.06
2012-02-16,11.00,11.20,11.00,11.19,337200,11.19
2012-02-15,11.23,11.23,11.12,11.16,364100,11.16
2012-02-14,11.39,11.39,11.23,11.28,675400,11.28
2012-02-13,11.62,11.64,11.58,11.59,261000,11.59
2012-02-10,11.56,11.59,11.48,11.53,424900,11.53
2012-02-09,11.72,11.75,11.67,11.70,380100,11.70
2012-02-08,12.06,12.06,11.96,11.99,249800,11.99
2012-02-07,12.22,12.35,12.22,12.33,157000,12.33
2012-02-06,12.23,12.30,12.19,12.28,187000,12.28
2012-02-03,12.32,12.36,12.27,12.34,262800,12.34
2012-02-02,12.36,12.36,12.24,12.30,193100,12.30
2012-02-01,12.41,12.48,12.40,12.45,205700,12.45
2012-01-31,12.38,12.41,12.23,12.33,312600,12.33
2012-01-30,11.96,12.10,11.93,12.10,192600,12.10
2012-01-27,11.91,12.03,11.90,12.01,274900,12.01
2012-01-26,12.08,12.20,12.03,12.04,375200,12.04
2012-01-25,11.89,12.06,11.83,12.06,323800,12.06
2012-01-24,11.76,11.79,11.66,11.73,285500,11.73
2012-01-23,11.73,11.87,11.73,11.78,131600,11.78
2012-01-20,11.77,11.77,11.65,11.72,242500,11.72
2012-01-19,11.76,11.79,11.69,11.79,199300,11.79
2012-01-18,11.50,11.67,11.49,11.65,225200,11.65
2012-01-17,11.54,11.54,11.33,11.39,346700,11.39
2012-01-13,11.51,11.55,11.44,11.50,196900,11.50
2012-01-12,11.73,11.76,11.62,11.69,329000,11.69
2012-01-11,11.60,11.65,11.52,11.61,401100,11.61
2012-01-10,11.87,11.92,11.84,11.88,935900,11.88
2012-01-09,11.73,11.84,11.72,11.81,1603800,11.81
2012-01-06,11.59,11.64,11.51,11.61,715500,11.61
2012-01-05,11.55,11.60,11.50,11.59,698200,11.59
2012-01-04,11.20,11.29,11.16,11.25,396000,11.25
2012-01-03,11.12,11.20,11.10,11.15,393800,11.15
2011-12-30,10.99,11.04,10.92,10.98,277300,10.98
2011-12-29,10.95,11.06,10.92,11.02,487800,11.02
2011-12-28,11.09,11.17,10.97,10.99,543800,10.99
2011-12-27,11.12,11.22,11.02,11.02,344100,11.02
2011-12-23,11.32,11.43,11.32,11.41,287900,11.41
2011-12-22,11.29,11.38,11.26,11.35,468600,11.35
2011-12-21,11.14,11.23,11.07,11.20,772200,11.20
2011-12-20,11.09,11.18,11.04,11.08,1490000,11.08
2011-12-19,11.35,11.36,10.93,10.94,1493000,10.94
2011-12-16,11.60,11.65,11.50,11.55,511600,11.55
2011-12-15,11.41,11.52,11.38,11.49,630700,11.49
