Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,15.90,15.90,14.77,15.00,258200,15.00
2012-05-03,15.86,16.01,14.86,15.98,891700,15.98
2012-05-02,17.00,17.20,15.10,15.96,697600,15.96
2012-05-01,18.44,18.60,17.70,17.76,86000,17.76
2012-04-30,18.29,18.50,18.12,18.40,51000,18.40
2012-04-27,18.25,18.45,18.10,18.27,82300,18.27
2012-04-26,18.08,18.24,18.04,18.16,43100,18.16
2012-04-25,18.25,18.48,18.04,18.16,72200,18.16
2012-04-24,17.49,18.06,17.49,18.06,54600,18.06
2012-04-23,17.32,17.62,16.99,17.51,68300,17.51
2012-04-20,18.04,18.04,17.37,17.52,248900,17.52
2012-04-19,18.03,18.28,17.77,17.82,88600,17.82
2012-04-18,18.38,18.38,17.90,18.02,40800,18.02
2012-04-17,18.34,18.56,18.25,18.44,83300,18.44
2012-04-16,18.15,18.36,17.88,18.21,66500,18.21
2012-04-13,18.05,18.17,17.94,18.05,74600,18.05
2012-04-12,17.94,18.41,17.90,18.16,55700,18.16
2012-04-11,17.79,18.02,17.72,17.95,69800,17.95
2012-04-10,17.91,17.97,17.52,17.58,95700,17.58
2012-04-09,18.01,18.09,17.86,17.99,97300,17.99
2012-04-05,18.41,18.53,18.28,18.30,100400,18.30
2012-04-04,18.86,19.04,18.42,18.55,71700,18.55
2012-04-03,19.45,19.56,19.07,19.16,109300,19.16
2012-04-02,19.70,19.76,19.23,19.52,178300,19.52
2012-03-30,19.70,20.09,19.27,19.76,186500,19.76
2012-03-29,19.57,19.70,19.24,19.61,147200,19.61
2012-03-28,19.79,19.94,19.65,19.65,168100,19.65
2012-03-27,19.29,19.90,19.17,19.80,108100,19.80
2012-03-26,19.23,19.50,19.20,19.25,117000,19.25
2012-03-23,19.04,19.09,18.84,18.99,105900,18.99
2012-03-22,19.38,19.48,18.86,19.03,104500,19.03
2012-03-21,19.59,19.69,19.52,19.54,72400,19.54
2012-03-20,19.52,19.78,19.46,19.57,66700,19.57
2012-03-19,19.70,19.94,19.51,19.64,73400,19.64
2012-03-16,19.79,19.86,19.58,19.77,98900,19.77
2012-03-15,19.85,19.85,19.64,19.72,85500,19.72
2012-03-14,19.98,20.03,19.81,19.84,80700,19.84
2012-03-13,20.20,20.20,19.95,20.02,73600,20.02
2012-03-12,20.00,20.25,19.78,20.02,77700,20.02
2012-03-09,19.61,20.25,19.61,20.05,67100,20.05
2012-03-08,19.15,19.63,18.97,19.60,80600,19.60
2012-03-07,18.91,19.03,18.69,19.03,86100,19.03
2012-03-06,19.41,19.41,18.79,18.84,219500,18.84
2012-03-05,19.94,20.08,19.60,19.68,119200,19.68
2012-03-02,20.02,20.50,19.86,20.00,117800,20.00
2012-03-01,20.11,20.19,19.91,20.04,189000,20.04
2012-02-29,20.04,20.04,19.61,19.89,158400,19.89
2012-02-28,19.71,20.11,19.53,19.96,58200,19.96
2012-02-27,20.01,20.19,19.68,19.75,72700,19.69
2012-02-24,20.18,20.28,19.84,20.18,69500,20.12
2012-02-23,19.90,20.16,19.75,20.14,82700,20.08
2012-02-22,19.91,20.05,19.72,19.96,105700,19.90
2012-02-21,20.12,20.22,19.90,19.98,83900,19.92
2012-02-17,20.29,20.29,19.98,20.03,86200,19.97
2012-02-16,19.59,20.18,19.44,20.18,110200,20.12
2012-02-15,19.57,19.73,19.24,19.55,195500,19.49
2012-02-14,19.03,19.42,18.83,19.40,230400,19.34
2012-02-13,18.82,19.18,18.82,19.06,110300,19.00
2012-02-10,19.85,19.87,18.66,18.74,175800,18.68
2012-02-09,19.88,20.05,19.78,19.93,209400,19.87
2012-02-08,19.65,19.84,19.44,19.78,145600,19.72
2012-02-07,19.63,19.87,19.51,19.67,126500,19.61
2012-02-06,19.53,19.87,19.41,19.69,108700,19.63
2012-02-03,19.23,19.81,19.18,19.59,120200,19.53
2012-02-02,19.23,19.61,18.88,18.99,184000,18.93
2012-02-01,18.50,19.44,17.51,18.89,730000,18.83
2012-01-31,19.53,19.67,19.11,19.54,233600,19.48
2012-01-30,20.51,20.68,19.19,19.38,175900,19.32
2012-01-27,20.30,20.63,20.11,20.63,59900,20.57
2012-01-26,20.08,20.56,19.63,20.43,206100,20.37
2012-01-25,20.34,20.42,19.70,19.93,121500,19.87
2012-01-24,20.01,20.65,20.01,20.25,95600,20.19
2012-01-23,19.79,19.98,19.70,19.79,85500,19.73
2012-01-20,19.58,19.92,19.56,19.75,70200,19.69
2012-01-19,18.97,19.61,18.90,19.57,156500,19.51
2012-01-18,18.85,18.96,18.66,18.82,235500,18.76
2012-01-17,19.38,19.45,18.69,18.85,252500,18.79
2012-01-13,20.02,20.24,19.15,19.24,178800,19.18
2012-01-12,20.43,20.59,19.88,20.14,112700,20.08
2012-01-11,20.34,20.75,20.30,20.42,140900,20.36
2012-01-10,20.50,20.61,20.34,20.44,103200,20.38
2012-01-09,20.56,20.56,20.00,20.18,126500,20.12
2012-01-06,20.89,20.89,20.39,20.45,119100,20.39
2012-01-05,20.58,20.92,20.26,20.86,238400,20.80
2012-01-04,20.46,20.90,19.76,20.69,182800,20.63
2012-01-03,20.98,21.32,20.21,20.55,167000,20.49
2011-12-30,20.66,21.00,20.51,20.54,134100,20.48
2011-12-29,20.75,20.87,20.39,20.65,93700,20.59
2011-12-28,21.40,21.40,20.40,20.64,117200,20.58
2011-12-27,20.90,21.49,20.46,21.39,127900,21.33
2011-12-23,20.70,21.00,20.64,20.89,99100,20.83
2011-12-22,20.40,20.62,20.30,20.59,104700,20.53
2011-12-21,20.42,20.55,19.80,20.28,194600,20.22
2011-12-20,20.80,20.80,20.38,20.58,147300,20.52
2011-12-19,20.63,20.74,20.30,20.35,157800,20.29
2011-12-16,20.35,20.68,20.17,20.51,334900,20.45
2011-12-15,19.81,20.47,19.61,20.14,254500,20.08
2011-12-14,18.99,19.62,18.84,19.54,181000,19.48
2011-12-13,19.51,19.68,19.04,19.13,202500,19.07
2011-12-12,19.03,19.36,18.87,19.36,134200,19.30
2011-12-09,18.81,19.47,18.70,19.33,101000,19.27
2011-12-08,18.95,18.99,18.55,18.69,111400,18.63
2011-12-07,19.13,19.31,18.50,19.14,143000,19.08
2011-12-06,19.50,19.52,18.95,19.23,221500,19.17
2011-12-05,18.75,19.66,18.64,19.37,206500,19.31
2011-12-02,18.53,18.80,18.22,18.33,111300,18.27
2011-12-01,18.32,18.80,17.98,18.22,152500,18.16
2011-11-30,18.18,18.80,18.04,18.33,638600,18.27
2011-11-29,17.21,17.67,16.72,17.48,357100,17.43
2011-11-28,16.52,17.54,16.50,17.29,270700,17.18
2011-11-25,16.60,16.86,15.88,15.89,170400,15.79
2011-11-23,17.61,17.96,16.51,16.67,284800,16.56
2011-11-22,17.89,18.11,17.53,17.78,175400,17.66
2011-11-21,18.35,18.55,17.75,17.94,320600,17.82
2011-11-18,19.64,20.21,18.64,18.70,448300,18.58
2011-11-17,20.64,20.85,19.40,19.63,300400,19.50
2011-11-16,20.98,21.48,20.50,20.71,229000,20.58
2011-11-15,21.78,22.15,21.24,21.27,301000,21.13
2011-11-14,21.78,22.07,21.65,21.93,108100,21.79
2011-11-11,21.75,22.09,21.59,21.85,124100,21.71
2011-11-10,22.08,22.35,21.32,21.52,237200,21.38
2011-11-09,21.33,21.87,21.05,21.70,270000,21.56
