Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,9.00,9.03,8.75,8.83,765000,8.83
2012-05-03,9.20,9.26,9.09,9.15,690600,8.97
2012-05-02,9.18,9.25,9.14,9.22,928800,9.04
2012-05-01,9.12,9.28,9.10,9.17,845600,8.99
2012-04-30,9.07,9.16,9.05,9.08,1090600,8.90
2012-04-27,9.15,9.20,9.05,9.06,1667300,8.88
2012-04-26,9.26,9.27,9.11,9.16,1125500,8.98
2012-04-25,9.20,9.36,9.11,9.27,1375200,9.09
2012-04-24,9.11,9.17,9.05,9.07,797300,8.89
2012-04-23,9.20,9.20,9.12,9.12,707200,8.94
2012-04-20,9.25,9.26,9.15,9.26,303100,9.08
2012-04-19,9.20,9.27,9.14,9.23,334500,9.05
2012-04-18,9.20,9.23,9.14,9.20,388700,9.02
2012-04-17,9.24,9.29,9.17,9.23,502900,9.05
2012-04-16,9.22,9.29,9.18,9.19,477700,9.01
2012-04-13,9.36,9.38,9.20,9.22,290200,9.04
2012-04-12,9.17,9.38,9.16,9.35,706900,9.17
2012-04-11,9.12,9.25,9.10,9.17,488500,8.99
2012-04-10,9.23,9.23,8.95,9.05,952400,8.87
2012-04-09,9.25,9.28,9.16,9.17,1144700,8.99
2012-04-05,9.29,9.32,9.26,9.31,310600,9.13
2012-04-04,9.39,9.39,9.26,9.29,403300,9.11
2012-04-03,9.30,9.47,9.30,9.39,1007900,9.21
2012-04-02,9.20,9.25,9.14,9.25,476900,9.07
2012-03-30,9.30,9.32,9.20,9.21,261600,9.03
2012-03-29,9.20,9.26,9.15,9.26,447700,9.08
2012-03-28,9.22,9.29,9.15,9.24,294600,9.06
2012-03-27,9.25,9.30,9.20,9.22,357900,9.04
2012-03-26,9.31,9.36,9.21,9.28,472300,9.10
2012-03-23,9.27,9.32,9.20,9.25,291500,9.07
2012-03-22,9.31,9.35,9.22,9.28,343900,9.10
2012-03-21,9.40,9.45,9.28,9.36,259400,9.18
2012-03-20,9.41,9.42,9.30,9.38,296200,9.20
2012-03-19,9.32,9.50,9.23,9.42,675600,9.23
2012-03-16,9.35,9.36,9.21,9.31,238900,9.13
2012-03-15,9.39,9.39,9.19,9.35,576700,9.17
2012-03-14,9.47,9.50,9.29,9.34,496200,9.16
2012-03-13,9.29,9.47,9.20,9.44,501500,9.25
2012-03-12,9.36,9.38,9.27,9.35,385200,9.17
2012-03-09,9.30,9.44,9.27,9.33,312600,9.15
2012-03-08,9.27,9.31,9.21,9.27,504600,9.09
2012-03-07,9.14,9.25,9.14,9.18,514100,9.00
2012-03-06,9.31,9.34,9.13,9.14,856800,8.96
2012-03-05,9.39,9.40,9.31,9.38,273200,9.20
2012-03-02,9.46,9.50,9.35,9.39,580200,9.21
2012-03-01,9.37,9.54,9.33,9.47,1086100,9.28
2012-02-29,9.30,9.39,9.18,9.35,616400,9.17
2012-02-28,9.16,9.29,9.12,9.27,654500,9.09
2012-02-27,9.12,9.28,9.10,9.13,502700,8.95
2012-02-24,9.25,9.25,9.12,9.17,539400,8.99
2012-02-23,9.30,9.40,9.25,9.25,451200,9.07
2012-02-22,9.33,9.34,9.24,9.32,365200,9.14
2012-02-21,9.20,9.37,9.15,9.33,761200,9.15
2012-02-17,9.30,9.34,9.15,9.18,578000,9.00
2012-02-16,9.17,9.26,9.10,9.25,643500,9.07
2012-02-15,9.17,9.25,9.10,9.20,610000,9.02
2012-02-14,9.21,9.21,9.08,9.13,652200,8.95
2012-02-13,9.46,9.46,9.28,9.37,1272300,9.01
2012-02-10,9.20,9.38,9.15,9.33,804800,8.97
2012-02-09,9.43,9.46,9.25,9.30,1124200,8.94
2012-02-08,9.27,9.45,9.27,9.42,1199400,9.06
2012-02-07,9.19,9.28,9.02,9.27,3631000,8.91
2012-02-06,9.02,9.29,9.01,9.10,1534400,8.75
2012-02-03,9.05,9.05,8.96,9.01,1394100,8.66
2012-02-02,8.94,9.03,8.90,8.98,586200,8.63
2012-02-01,8.91,9.00,8.87,8.93,647500,8.59
2012-01-31,8.99,9.01,8.82,8.85,648600,8.51
