Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,106.44,107.25,105.66,105.77,65000,105.77
2012-05-03,107.49,108.54,106.31,106.47,65000,106.47
2012-05-02,106.19,108.13,104.73,107.94,129000,107.94
2012-05-01,105.93,107.25,104.23,106.15,46500,106.15
2012-04-30,105.97,106.46,104.70,105.95,115000,105.95
2012-04-27,107.11,107.16,104.72,106.26,89300,106.26
2012-04-26,105.20,106.60,103.01,106.22,95000,106.22
2012-04-25,105.32,107.24,104.61,106.89,65600,106.89
2012-04-24,104.02,105.88,103.83,104.46,74000,104.46
2012-04-23,105.18,105.18,102.98,104.41,94300,104.41
2012-04-20,104.36,107.25,104.14,106.59,113200,106.59
2012-04-19,103.74,104.59,103.31,104.49,73000,104.49
2012-04-18,104.64,105.27,103.50,104.16,58700,104.16
2012-04-17,105.48,105.66,104.41,104.63,44900,104.63
2012-04-16,104.53,105.40,103.66,104.17,42600,104.17
2012-04-13,103.40,105.17,102.67,104.35,105100,104.35
2012-04-12,103.21,103.78,102.77,103.20,72500,103.20
2012-04-11,102.84,103.34,102.19,103.27,67100,103.27
2012-04-10,106.19,106.19,101.53,101.83,127900,101.83
2012-04-09,105.00,106.40,104.11,106.01,36300,106.01
2012-04-05,106.82,107.29,106.24,106.80,57100,106.80
2012-04-04,105.76,107.59,105.76,107.13,57800,107.13
2012-04-03,104.45,108.88,104.44,107.72,121800,107.72
2012-04-02,106.19,107.90,105.62,107.70,90000,107.70
2012-03-30,103.79,106.20,103.64,105.91,115100,105.91
2012-03-29,102.40,104.07,101.38,103.69,126100,103.69
2012-03-28,104.58,104.58,102.98,103.46,83500,103.46
2012-03-27,104.78,105.38,103.81,104.17,154400,104.17
2012-03-26,102.59,105.55,102.59,105.16,121200,105.16
2012-03-23,99.87,102.30,99.87,102.30,107300,102.30
2012-03-22,100.18,100.51,99.19,100.35,87300,100.35
2012-03-21,100.28,101.32,100.00,101.07,83400,101.07
2012-03-20,99.97,100.82,99.26,100.15,84500,100.15
2012-03-19,100.26,100.93,99.50,100.61,42100,100.61
2012-03-16,101.90,101.90,100.46,100.60,55600,100.60
2012-03-15,101.69,102.25,100.87,101.70,76600,101.70
2012-03-14,102.68,103.82,101.49,101.96,95100,101.96
2012-03-13,102.45,103.69,102.14,102.71,139600,102.71
2012-03-12,98.62,102.03,98.62,102.03,94600,102.03
2012-03-09,100.75,101.99,100.75,101.25,80600,101.25
2012-03-08,98.05,101.04,96.69,101.04,131100,101.04
2012-03-07,98.15,98.39,97.09,97.91,84900,97.91
2012-03-06,100.31,100.95,97.08,97.75,126800,97.75
2012-03-05,100.14,100.85,99.25,100.78,66700,100.78
2012-03-02,100.44,101.28,99.27,100.26,71400,100.26
2012-03-01,99.41,100.50,99.41,100.50,64000,100.50
2012-02-29,99.44,100.94,98.83,98.95,80900,98.95
2012-02-28,101.51,101.51,98.48,99.04,125200,99.04
2012-02-27,100.93,101.07,100.03,100.88,58800,100.88
2012-02-24,101.22,101.45,100.33,101.10,77200,101.10
2012-02-23,100.89,101.48,100.45,100.74,106300,100.74
2012-02-22,101.02,101.94,100.50,101.26,162900,101.26
2012-02-21,102.00,102.00,100.00,100.70,71100,100.70
2012-02-17,100.39,100.90,99.94,99.97,43600,99.97
2012-02-16,100.19,100.77,100.16,100.63,86100,100.63
2012-02-15,101.09,101.55,99.87,100.48,99900,100.48
2012-02-14,99.67,100.55,99.30,100.27,116300,100.27
2012-02-13,100.17,100.62,99.36,99.60,95700,99.60
2012-02-10,99.06,99.53,97.65,99.53,47900,99.53
2012-02-09,100.65,101.30,99.55,100.37,106900,100.37
2012-02-08,101.13,101.96,100.45,101.02,59900,101.02
2012-02-07,101.37,101.66,101.20,101.46,78500,101.46
2012-02-06,100.59,101.71,100.24,101.13,50200,101.13
2012-02-03,101.78,101.95,100.45,101.04,64700,101.04
2012-02-02,100.38,101.19,100.03,100.94,50900,100.94
2012-02-01,98.51,100.59,98.51,99.85,71500,99.85
2012-01-31,98.11,98.30,97.06,98.00,62400,98.00
2012-01-30,97.62,97.67,96.54,97.57,46700,97.57
2012-01-27,98.41,99.10,97.02,98.24,64700,98.24
2012-01-26,98.94,99.22,98.19,98.99,65500,98.99
2012-01-25,96.15,98.61,96.15,98.53,37200,98.53
2012-01-24,96.20,97.22,95.80,96.81,61700,96.81
2012-01-23,95.05,97.22,95.05,96.87,35800,96.87
2012-01-20,97.35,97.37,94.52,95.32,64600,95.32
2012-01-19,97.83,98.18,97.02,97.90,60700,97.90
2012-01-18,97.64,98.72,96.36,98.09,76800,98.09
2012-01-17,96.14,98.15,95.70,97.80,48500,97.80
2012-01-13,94.77,95.79,94.48,95.77,40300,95.77
2012-01-12,94.00,96.28,94.00,95.39,49400,95.39
2012-01-11,94.30,94.89,93.32,94.30,69800,94.30
2012-01-10,96.43,97.37,94.78,95.17,78700,95.17
2012-01-09,96.36,96.36,95.20,95.99,61900,95.99
2012-01-06,96.63,97.47,95.42,95.75,48500,95.75
2012-01-05,95.64,97.38,95.39,97.14,63100,97.14
2012-01-04,95.19,97.01,95.19,96.32,49400,96.32
2012-01-03,96.09,96.97,95.61,95.98,63500,95.98
2011-12-30,98.41,98.41,94.18,95.21,56600,95.21
2011-12-29,95.78,97.27,95.78,97.24,22200,97.24
2011-12-28,96.52,96.85,95.23,95.58,32600,95.58
2011-12-27,96.12,97.11,96.12,96.60,70100,96.60
2011-12-23,95.44,97.01,95.44,96.89,44400,96.89
2011-12-22,95.87,96.39,94.83,95.75,61000,95.75
2011-12-21,93.89,95.59,92.51,95.59,89200,95.59
2011-12-20,92.70,94.14,90.64,94.14,100900,94.14
2011-12-19,91.40,94.37,91.40,92.49,137900,92.49
2011-12-16,89.13,90.66,88.60,90.53,86500,90.53
2011-12-15,87.31,88.66,87.05,87.91,89000,87.91
2011-12-14,86.17,87.66,85.22,86.14,60900,86.14
2011-12-13,87.83,89.51,86.27,87.09,45300,87.09
2011-12-12,86.74,88.01,86.25,86.87,64300,86.87
2011-12-09,87.54,88.42,87.07,88.06,68000,88.06
2011-12-08,87.77,87.84,86.98,87.40,69600,87.40
2011-12-07,88.59,89.03,87.88,88.00,53400,88.00
2011-12-06,87.12,88.86,86.51,88.52,91200,88.52
2011-12-05,87.38,87.82,85.51,87.34,78000,87.34
2011-12-02,87.26,88.63,86.20,86.41,103700,86.41
2011-12-01,90.21,91.16,86.54,86.76,120600,86.76
2011-11-30,89.42,91.10,88.24,90.87,99100,90.87
2011-11-29,86.20,88.52,86.18,87.39,53000,87.39
2011-11-28,85.03,87.33,84.55,86.36,46800,86.36
2011-11-25,83.90,85.40,83.21,83.34,21600,83.34
2011-11-23,85.13,89.29,83.75,84.51,58500,84.51
2011-11-22,88.30,88.30,85.91,86.62,42600,86.62
2011-11-21,88.49,89.40,87.09,87.38,27300,87.38
2011-11-18,88.44,89.76,88.21,89.65,51300,89.65
2011-11-17,89.63,90.73,88.34,88.59,56900,88.59
2011-11-16,90.91,91.83,90.16,90.55,47600,90.55
2011-11-15,89.31,92.65,89.31,92.23,38200,92.23
2011-11-14,92.18,93.02,89.76,89.81,51400,89.81
2011-11-11,89.54,93.63,89.54,93.29,84200,93.29
2011-11-10,88.20,88.75,87.08,88.75,95200,88.75
2011-11-09,88.87,88.87,87.01,87.83,44300,87.83
2011-11-08,89.76,90.45,89.40,90.05,83900,90.05
2011-11-07,89.96,90.26,88.36,89.81,30500,89.81
2011-11-04,90.94,91.89,89.58,90.16,33900,90.16
2011-11-03,90.78,91.40,89.45,91.38,65400,91.38
2011-11-02,89.29,90.54,88.45,89.96,53800,89.96
2011-11-01,88.35,89.39,86.62,87.82,119300,87.82
2011-10-31,92.86,92.90,89.55,89.84,66500,89.84
2011-10-28,93.01,94.65,91.83,93.67,91900,93.67
2011-10-27,93.00,95.43,92.51,94.65,51000,94.65
2011-10-26,91.58,91.75,90.33,91.62,115600,91.62
2011-10-25,90.85,92.11,89.17,91.23,82900,91.23
2011-10-24,91.39,91.93,90.13,91.27,37600,91.27
2011-10-21,91.17,92.01,90.06,90.73,52000,90.73
2011-10-20,92.18,92.57,89.77,90.14,36900,90.14
2011-10-19,93.36,94.38,91.67,92.26,38200,92.26
2011-10-18,91.72,94.29,90.60,93.36,39700,93.36
2011-10-17,92.72,92.91,91.38,91.47,15000,91.47
2011-10-14,93.49,94.12,92.41,93.00,29200,93.00
2011-10-13,93.17,93.17,92.13,92.45,64000,92.45
2011-10-12,92.83,93.97,89.46,92.82,31900,92.82
2011-10-11,92.88,93.80,92.12,92.12,21400,92.12
2011-10-10,91.07,93.48,91.07,93.48,50700,93.48
2011-10-07,92.60,94.57,89.65,89.97,57100,89.97
2011-10-06,90.82,92.98,90.11,92.59,30000,92.59
2011-10-05,90.02,90.59,88.21,90.53,73800,90.53
2011-10-04,84.76,90.02,84.00,90.02,52400,90.02
2011-10-03,88.30,88.96,86.11,86.20,32600,86.20
2011-09-30,89.84,90.13,87.32,88.73,31500,88.73
