Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,29.52,29.57,29.20,29.41,837300,29.41
2012-05-03,29.75,30.21,29.48,29.77,738000,29.77
2012-05-02,29.82,30.00,29.55,29.82,625900,29.82
2012-05-01,29.40,30.46,29.31,30.12,1572300,30.12
2012-04-30,29.39,29.47,28.98,29.41,736600,29.41
2012-04-27,29.50,29.65,29.15,29.50,778400,29.50
2012-04-26,29.12,29.60,29.06,29.51,947100,29.51
2012-04-25,29.37,29.50,28.86,29.27,1087400,29.27
2012-04-24,28.54,29.01,28.42,29.01,1092800,29.01
2012-04-23,29.09,29.14,28.29,28.46,988600,28.46
2012-04-20,29.57,29.73,29.23,29.53,1058400,29.53
2012-04-19,29.97,29.98,28.51,29.09,1815100,29.09
2012-04-18,28.19,28.30,27.70,27.74,719700,27.74
2012-04-17,28.38,28.67,28.18,28.36,576900,28.36
2012-04-16,27.84,28.16,27.50,28.02,771000,28.02
2012-04-13,27.70,27.93,27.55,27.61,513500,27.61
2012-04-12,27.07,27.89,27.02,27.83,737000,27.83
2012-04-11,27.00,27.20,26.68,27.07,882600,27.07
2012-04-10,27.70,27.70,26.13,26.53,1346000,26.53
2012-04-09,27.85,28.07,27.58,27.59,489700,27.59
2012-04-05,28.49,28.73,28.33,28.46,482000,28.46
2012-04-04,28.61,28.89,28.35,28.70,1024900,28.70
2012-04-03,28.81,29.08,28.78,29.08,979300,29.08
2012-04-02,28.13,28.90,28.08,28.80,1618900,28.80
2012-03-30,28.36,28.46,28.02,28.14,1400800,28.14
2012-03-29,28.11,28.32,27.79,28.04,864700,28.04
2012-03-28,28.61,28.70,27.93,28.31,871000,28.31
2012-03-27,28.93,29.07,28.63,28.64,555900,28.53
2012-03-26,28.76,28.99,28.72,28.86,923900,28.75
2012-03-23,28.38,28.50,28.05,28.35,706300,28.24
2012-03-22,28.42,28.51,28.01,28.42,401400,28.31
2012-03-21,28.84,29.04,28.68,28.72,529400,28.61
2012-03-20,28.86,29.39,28.66,28.85,764400,28.74
2012-03-19,28.12,29.19,28.00,29.04,875200,28.93
2012-03-16,28.47,28.47,27.91,28.11,830200,28.00
2012-03-15,28.12,28.43,28.00,28.40,694500,28.29
2012-03-14,27.65,28.13,27.53,28.04,695700,27.93
2012-03-13,26.76,27.93,26.67,27.72,806400,27.61
2012-03-12,27.25,27.25,26.41,26.48,779300,26.38
2012-03-09,26.41,27.21,26.28,27.12,535800,27.02
2012-03-08,26.28,26.50,26.09,26.45,497500,26.35
2012-03-07,26.03,26.20,25.79,26.14,480700,26.04
2012-03-06,25.83,26.10,25.72,25.90,904300,25.80
2012-03-05,25.99,26.16,25.57,26.10,321400,26.00
2012-03-02,26.58,26.62,25.82,26.04,482000,25.94
2012-03-01,26.80,27.02,26.54,26.59,706400,26.49
2012-02-29,27.47,27.65,26.67,26.68,933700,26.58
2012-02-28,27.51,27.65,27.14,27.22,571000,27.12
2012-02-27,27.08,27.66,26.97,27.46,736800,27.35
2012-02-24,27.12,27.35,26.80,27.04,380200,26.94
2012-02-23,26.00,27.06,25.76,27.01,763600,26.91
2012-02-22,26.52,26.80,25.94,26.11,674500,26.01
2012-02-21,27.08,27.08,26.34,26.50,538400,26.40
2012-02-17,27.39,27.57,26.90,26.92,633400,26.82
2012-02-16,26.77,27.38,26.77,27.27,589800,27.17
2012-02-15,27.40,27.40,26.69,26.83,835600,26.73
2012-02-14,28.08,28.08,27.20,27.35,508900,27.24
2012-02-13,27.63,28.22,27.59,28.19,585600,28.08
2012-02-10,27.07,27.41,27.03,27.25,393400,27.15
2012-02-09,28.20,28.29,27.06,27.42,1101900,27.31
2012-02-08,27.97,28.28,27.81,28.11,874600,28.00
2012-02-07,27.85,28.12,27.67,27.99,601700,27.88
2012-02-06,27.72,28.08,27.63,27.98,611100,27.87
2012-02-03,27.84,28.04,27.70,27.85,959600,27.74
2012-02-02,27.25,27.55,27.13,27.28,554300,27.18
2012-02-01,27.21,27.42,26.97,27.27,1254400,27.17
2012-01-31,27.12,27.23,26.94,27.05,1173500,26.95
2012-01-30,26.69,27.11,26.65,27.00,588300,26.90
2012-01-27,26.86,27.14,26.79,27.03,640100,26.93
2012-01-26,27.12,27.43,26.84,27.06,636400,26.96
2012-01-25,27.02,27.15,26.73,26.88,783700,26.78
2012-01-24,26.66,27.49,26.41,27.12,659300,27.02
2012-01-23,26.96,27.20,26.55,26.93,401100,26.83
2012-01-20,25.93,27.05,25.84,26.98,539400,26.88
2012-01-19,26.30,26.46,25.94,26.01,599900,25.91
2012-01-18,25.97,26.45,25.96,26.25,648000,26.15
2012-01-17,26.15,26.43,25.88,25.95,427800,25.85
2012-01-13,25.42,25.98,25.42,25.85,421300,25.75
2012-01-12,26.01,26.08,25.76,25.84,481700,25.74
2012-01-11,25.77,26.15,25.66,25.97,357200,25.87
2012-01-10,25.68,26.40,25.68,25.81,587900,25.71
2012-01-09,25.19,25.24,24.84,25.08,275300,24.98
2012-01-06,25.06,25.53,24.94,25.11,442900,25.01
2012-01-05,24.43,25.15,24.29,25.12,434400,25.02
2012-01-04,24.42,24.78,24.11,24.63,717000,24.54
2012-01-03,24.61,24.98,24.24,24.52,837800,24.43
2011-12-30,24.43,24.65,24.21,24.21,346200,24.12
2011-12-29,24.07,24.54,24.05,24.45,279300,24.36
2011-12-28,24.41,24.61,23.94,23.99,366900,23.90
2011-12-27,24.28,24.94,24.15,24.65,171600,24.45
2011-12-23,24.35,24.53,24.17,24.46,135000,24.26
2011-12-22,23.90,24.51,23.90,24.21,393600,24.01
2011-12-21,23.64,23.94,23.29,23.80,265900,23.60
2011-12-20,23.07,23.84,23.07,23.73,645500,23.53
2011-12-19,22.72,22.87,22.41,22.53,562600,22.34
2011-12-16,22.35,22.73,22.28,22.55,1222600,22.36
2011-12-15,22.65,22.65,21.80,22.28,1272600,22.10
2011-12-14,22.92,23.00,22.16,22.27,1195100,22.09
2011-12-13,23.66,24.08,22.86,23.17,553200,22.98
2011-12-12,23.48,23.50,22.96,23.38,518900,23.19
2011-12-09,23.15,24.05,23.09,23.89,608500,23.69
2011-12-08,23.67,23.81,22.95,23.03,554900,22.84
2011-12-07,23.33,24.04,22.99,23.98,639100,23.78
2011-12-06,23.40,23.83,23.16,23.54,579800,23.34
2011-12-05,23.64,23.86,23.16,23.46,664600,23.27
2011-12-02,23.33,23.69,23.09,23.16,336900,22.97
2011-12-01,23.26,23.51,22.71,22.96,547400,22.77
2011-11-30,22.62,23.46,22.43,23.41,1175700,23.22
2011-11-29,21.76,21.83,21.42,21.52,380100,21.34
2011-11-28,21.48,21.73,21.24,21.65,603500,21.47
2011-11-25,20.40,21.14,20.33,20.59,222400,20.42
2011-11-23,20.90,20.90,20.22,20.49,769900,20.32
2011-11-22,21.96,22.25,21.20,21.22,968700,21.04
2011-11-21,22.44,22.59,21.68,22.02,682500,21.84
2011-11-18,22.75,23.07,22.44,23.05,571700,22.86
2011-11-17,23.19,23.30,22.47,22.62,468800,22.43
2011-11-16,23.04,23.70,22.94,23.16,560400,22.97
2011-11-15,23.14,23.66,23.00,23.39,758500,23.20
2011-11-14,23.88,23.95,23.18,23.35,620100,23.16
2011-11-11,23.58,24.26,23.50,24.08,691100,23.88
2011-11-10,24.00,24.05,23.12,23.20,918200,23.01
2011-11-09,24.01,24.61,23.45,23.51,942400,23.32
2011-11-08,24.73,24.83,23.67,24.77,605100,24.56
2011-11-07,24.58,24.71,23.88,24.45,398700,24.25
2011-11-04,24.67,24.90,24.27,24.67,449400,24.47
2011-11-03,24.60,25.24,23.71,24.98,929600,24.77
2011-11-02,23.73,24.24,23.08,24.17,958300,23.97
2011-11-01,23.22,23.82,23.09,23.23,966700,23.04
2011-10-31,24.32,24.67,23.88,23.91,914300,23.71
2011-10-28,24.60,24.93,24.41,24.84,698000,24.63
2011-10-27,23.99,25.25,23.88,24.84,1224700,24.63
2011-10-26,22.56,23.13,22.15,23.02,803300,22.83
2011-10-25,23.01,23.12,22.16,22.20,834600,22.02
2011-10-24,22.45,23.41,22.22,23.32,1335100,23.13
2011-10-21,22.18,22.58,21.81,22.20,983400,22.02
2011-10-20,22.06,23.40,20.87,21.50,1051800,21.32
2011-10-19,21.36,21.80,20.80,20.97,808700,20.80
2011-10-18,20.55,21.44,20.48,21.39,1562700,21.21
2011-10-17,21.36,21.49,20.36,20.47,1023700,20.30
2011-10-14,21.56,21.91,21.23,21.64,977300,21.46
2011-10-13,20.82,21.50,20.39,21.24,1291500,21.06
2011-10-12,20.04,21.56,19.52,21.00,1293400,20.83
2011-10-11,19.88,20.18,19.60,19.90,637400,19.74
2011-10-10,19.47,20.05,19.34,20.00,874500,19.83
2011-10-07,19.98,20.24,18.82,18.87,921100,18.71
2011-10-06,18.90,19.90,18.76,19.88,698600,19.72
2011-10-05,18.64,19.37,17.82,19.04,1208000,18.88
2011-10-04,17.54,18.63,17.22,18.57,1809900,18.42
2011-10-03,18.99,19.47,17.73,17.75,1314300,17.60
2011-09-30,19.48,20.03,19.16,19.20,1145800,19.04
2011-09-29,19.47,20.00,19.21,19.83,1024300,19.67
2011-09-28,19.74,19.99,18.89,18.94,963800,18.78
2011-09-27,19.84,20.48,19.58,19.78,1214400,19.51
2011-09-26,18.82,19.40,18.47,19.34,1058500,19.07
2011-09-23,18.04,18.69,17.95,18.54,773200,18.28
2011-09-22,17.61,18.42,17.30,18.08,1946700,17.83
2011-09-21,19.08,19.17,18.07,18.11,1003600,17.86
2011-09-20,19.24,19.54,19.01,19.06,544400,18.80
2011-09-19,19.52,19.62,19.00,19.18,651800,18.92
2011-09-16,19.53,20.12,18.89,20.05,1743600,19.77
2011-09-15,18.84,19.43,18.70,19.43,762100,19.16
2011-09-14,18.30,18.93,18.00,18.73,869800,18.47
2011-09-13,17.76,18.30,17.58,18.20,1128900,17.95
2011-09-12,16.88,17.82,16.87,17.79,1243900,17.54
2011-09-09,17.52,17.60,17.10,17.34,1235000,17.10
2011-09-08,18.16,18.38,17.52,17.68,567000,17.44
2011-09-07,17.52,18.28,17.33,18.27,864200,18.02
2011-09-06,17.06,17.77,16.97,17.21,1398700,16.97
2011-09-02,17.90,18.18,17.47,17.68,1721500,17.44
2011-09-01,18.85,19.19,18.34,18.46,1523700,18.21
2011-08-31,18.47,19.00,18.30,18.80,1698700,18.54
2011-08-30,17.95,18.47,17.80,18.29,1557300,18.04
2011-08-29,16.80,18.08,16.78,18.07,1601300,17.82
2011-08-26,15.59,16.67,15.17,16.39,1835900,16.16
2011-08-25,16.26,16.47,15.64,15.72,1786100,15.50
2011-08-24,15.93,16.28,15.63,16.06,1831500,15.84
2011-08-23,15.86,16.02,15.67,15.97,1883700,15.75
2011-08-22,17.04,17.04,15.74,15.81,1274400,15.59
2011-08-19,17.15,17.62,16.34,16.47,1397600,16.24
2011-08-18,18.55,18.68,17.20,17.42,1145900,17.18
2011-08-17,19.54,19.73,19.11,19.25,892400,18.98
2011-08-16,19.45,19.66,18.96,19.45,1274900,19.18
2011-08-15,18.95,19.74,18.89,19.73,861600,19.46
2011-08-12,19.30,19.61,18.55,18.81,1447400,18.55
2011-08-11,18.45,19.67,18.30,19.38,2602000,19.11
2011-08-10,18.82,19.61,18.29,18.37,1629600,18.12
