Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,15.58,15.59,15.26,15.35,27900,15.35
2012-05-03,15.74,15.84,15.59,15.62,15000,15.62
2012-05-02,15.61,15.81,15.61,15.80,37000,15.80
2012-05-01,15.82,16.00,15.65,15.85,13800,15.85
2012-04-30,16.05,16.10,15.84,15.91,61000,15.91
2012-04-27,15.89,16.06,15.81,16.06,21100,16.06
2012-04-26,15.74,15.86,15.71,15.85,14900,15.85
2012-04-25,15.51,15.76,15.37,15.74,28700,15.74
2012-04-24,15.52,15.52,15.34,15.38,16000,15.38
2012-04-23,15.50,15.50,15.32,15.48,81700,15.48
2012-04-20,15.82,15.88,15.66,15.74,36000,15.74
2012-04-19,15.82,15.83,15.57,15.70,31300,15.70
2012-04-18,15.80,15.82,15.71,15.78,7900,15.78
2012-04-17,15.82,15.97,15.79,15.90,19800,15.90
2012-04-16,15.79,15.90,15.64,15.72,17000,15.72
2012-04-13,16.01,16.01,15.77,15.79,20500,15.79
2012-04-12,15.79,16.14,15.79,16.10,26000,16.10
2012-04-11,15.97,15.97,15.76,15.81,14600,15.81
2012-04-10,16.06,16.06,15.66,15.72,48900,15.72
2012-04-09,16.18,16.18,16.00,16.05,24300,16.05
2012-04-05,16.24,16.43,16.24,16.25,14300,16.25
2012-04-04,16.40,16.44,16.26,16.33,15300,16.33
2012-04-03,16.77,16.86,16.62,16.63,7700,16.63
2012-04-02,16.70,17.00,16.70,16.92,16000,16.92
2012-03-30,16.65,16.76,16.63,16.73,19000,16.73
2012-03-29,16.41,16.61,16.41,16.61,15100,16.61
2012-03-28,16.80,16.81,16.60,16.67,12100,16.67
2012-03-27,16.98,17.07,16.87,16.92,20600,16.92
2012-03-26,16.81,16.91,16.73,16.87,25800,16.87
2012-03-23,16.49,16.69,16.44,16.62,30900,16.62
2012-03-22,16.72,16.75,16.38,16.46,22700,16.46
2012-03-21,16.69,16.85,16.69,16.77,12000,16.77
2012-03-20,16.71,16.78,16.60,16.75,14200,16.75
2012-03-19,16.73,17.00,16.69,16.91,50200,16.91
2012-03-16,16.72,16.73,16.66,16.71,5600,16.71
2012-03-15,16.47,16.57,16.38,16.53,17300,16.53
2012-03-14,16.52,16.64,16.40,16.42,17600,16.42
2012-03-13,16.43,16.50,16.35,16.50,19100,16.50
2012-03-12,16.37,16.40,16.18,16.22,14700,16.22
2012-03-09,16.30,16.46,16.28,16.30,18300,16.30
2012-03-08,16.15,16.33,16.10,16.29,15200,16.29
2012-03-07,15.94,15.99,15.84,15.97,19600,15.97
2012-03-06,16.07,16.07,15.72,15.79,41600,15.79
2012-03-05,16.60,16.60,16.25,16.33,32100,16.33
2012-03-02,16.74,16.81,16.64,16.64,12200,16.64
2012-03-01,16.86,16.93,16.78,16.79,16000,16.79
2012-02-29,17.10,17.10,16.70,16.72,32300,16.72
2012-02-28,16.96,17.09,16.94,16.97,15600,16.97
2012-02-27,16.94,17.02,16.76,17.01,16000,17.01
2012-02-24,17.08,17.18,17.00,17.05,36900,17.05
2012-02-23,17.07,17.10,16.78,16.95,35800,16.95
2012-02-22,17.06,17.12,16.95,16.97,20700,16.97
2012-02-21,17.02,17.19,16.99,17.00,30900,17.00
2012-02-17,16.85,16.94,16.80,16.87,16900,16.87
2012-02-16,16.45,16.74,16.40,16.70,14200,16.70
2012-02-15,16.79,16.79,16.54,16.54,10800,16.54
2012-02-14,16.81,16.81,16.47,16.59,25500,16.59
2012-02-13,16.75,16.96,16.74,16.87,32100,16.87
2012-02-10,16.72,16.73,16.55,16.61,37800,16.61
2012-02-09,17.31,17.31,17.07,17.11,43200,17.11
2012-02-08,17.42,17.44,17.22,17.40,39600,17.40
2012-02-07,17.30,17.37,17.25,17.27,13800,17.27
2012-02-06,17.21,17.33,17.15,17.25,19400,17.25
2012-02-03,17.44,17.45,17.10,17.43,35800,17.43
2012-02-02,17.00,17.14,16.99,17.10,14800,17.10
2012-02-01,16.66,16.97,16.66,16.93,23100,16.93
2012-01-31,16.56,16.73,16.56,16.63,16400,16.63
2012-01-30,16.43,16.50,16.33,16.46,17700,16.46
2012-01-27,16.40,16.68,16.32,16.67,12800,16.67
2012-01-26,16.62,16.65,16.35,16.38,33200,16.38
2012-01-25,16.08,16.50,16.08,16.48,27500,16.48
2012-01-24,16.21,16.25,16.02,16.24,21700,16.24
2012-01-23,16.29,16.39,16.22,16.34,22900,16.34
2012-01-20,15.92,16.13,15.92,16.13,11900,16.13
2012-01-19,16.05,16.07,15.95,16.00,19700,16.00
2012-01-18,15.68,15.90,15.66,15.88,19000,15.88
2012-01-17,15.70,15.80,15.54,15.56,28900,15.56
2012-01-13,15.46,15.53,15.28,15.39,19800,15.39
2012-01-12,15.43,15.52,15.31,15.50,44900,15.50
2012-01-11,15.22,15.33,15.08,15.31,14200,15.31
2012-01-10,15.14,15.26,15.09,15.15,19700,15.15
2012-01-09,14.95,15.02,14.93,14.96,9900,14.96
2012-01-06,14.85,15.04,14.84,14.91,17100,14.91
2012-01-05,14.80,14.91,14.76,14.82,22700,14.82
2012-01-04,14.84,14.99,14.73,14.90,10900,14.90
2012-01-03,14.67,14.88,14.57,14.78,19900,14.78
2011-12-30,14.37,14.41,14.29,14.33,88000,14.33
2011-12-29,14.15,14.40,14.12,14.34,187000,14.34
2011-12-28,14.55,14.55,14.13,14.13,51100,14.13
2011-12-27,14.60,14.65,14.55,14.56,27500,14.54
2011-12-23,14.60,14.67,14.44,14.63,31600,14.61
2011-12-22,14.43,14.55,14.35,14.48,49600,14.46
2011-12-21,14.29,14.41,14.27,14.39,43100,14.37
2011-12-20,14.13,14.44,14.12,14.34,33600,14.32
2011-12-19,14.35,14.35,13.90,13.94,21700,13.92
2011-12-16,14.42,14.54,14.28,14.30,31900,14.28
2011-12-15,14.45,14.45,14.27,14.33,39400,14.31
2011-12-14,14.50,14.50,14.20,14.26,21500,14.24
2011-12-13,14.92,15.11,14.55,14.59,43200,14.57
2011-12-12,15.00,15.00,14.79,14.90,23500,14.88
2011-12-09,15.15,15.22,15.02,15.19,48200,15.17
2011-12-08,15.50,15.52,14.98,14.98,19600,14.96
2011-12-07,15.56,15.70,15.39,15.65,35200,15.63
2011-12-06,15.50,15.52,15.34,15.49,29100,15.47
2011-12-05,15.59,15.71,15.47,15.53,16900,15.51
2011-12-02,15.59,15.67,15.39,15.42,28600,15.40
2011-12-01,15.56,15.69,15.38,15.38,46900,15.36
2011-11-30,15.21,15.71,14.99,15.71,78300,15.69
2011-11-29,14.79,14.96,14.76,14.76,44100,14.74
2011-11-28,14.92,15.07,14.69,14.75,20700,14.73
2011-11-25,14.42,14.52,14.17,14.34,15800,14.32
2011-11-23,14.66,14.73,14.42,14.45,22200,14.43
2011-11-22,14.87,15.06,14.83,14.89,52800,14.87
2011-11-21,15.04,15.06,14.87,14.99,109200,14.97
2011-11-18,15.52,15.64,15.32,15.38,20900,15.36
2011-11-17,15.73,15.89,15.30,15.33,30300,15.31
2011-11-16,15.91,16.00,15.62,15.73,20900,15.71
2011-11-15,15.96,16.10,15.80,16.00,27400,15.98
2011-11-14,16.05,16.27,16.03,16.13,11800,16.11
2011-11-11,16.13,16.33,16.13,16.16,11200,16.14
2011-11-10,15.96,16.03,15.62,15.85,15000,15.83
2011-11-09,15.98,16.02,15.70,15.76,57400,15.74
2011-11-08,16.47,16.50,16.29,16.49,20300,16.47
2011-11-07,16.00,16.35,15.86,16.32,19300,16.30
2011-11-04,15.98,16.09,15.76,16.05,14000,16.03
2011-11-03,16.02,16.12,15.75,16.09,21400,16.07
2011-11-02,15.53,15.85,15.53,15.81,26900,15.79
2011-11-01,15.03,15.54,15.01,15.33,43800,15.31
2011-10-31,16.21,16.21,15.77,15.78,48300,15.76
2011-10-28,16.22,16.55,16.22,16.44,19200,16.42
2011-10-27,16.25,16.71,16.24,16.53,35200,16.51
2011-10-26,15.69,15.73,15.34,15.70,14700,15.68
2011-10-25,15.67,15.71,15.39,15.39,21400,15.37
2011-10-24,15.57,15.90,15.57,15.86,19400,15.84
2011-10-21,15.24,15.46,15.24,15.43,8500,15.41
2011-10-20,14.90,15.08,14.82,15.04,17500,15.02
2011-10-19,15.07,15.30,14.92,14.94,26400,14.92
2011-10-18,14.99,15.48,14.78,15.41,18800,15.39
2011-10-17,15.43,15.43,15.09,15.14,20500,15.12
2011-10-14,15.54,15.54,15.38,15.49,24000,15.47
2011-10-13,15.36,15.40,15.00,15.23,19700,15.21
2011-10-12,15.18,15.49,15.18,15.37,12400,15.35
2011-10-11,14.55,14.97,14.55,14.86,20700,14.84
2011-10-10,14.50,14.69,14.43,14.65,16900,14.63
2011-10-07,14.51,14.53,14.00,14.12,23600,14.10
2011-10-06,13.64,14.29,13.64,14.24,25000,14.22
2011-10-05,13.07,13.55,12.97,13.51,42700,13.49
2011-10-04,12.40,13.00,12.20,13.00,140700,12.98
2011-10-03,13.29,13.41,12.78,12.78,56400,12.76
2011-09-30,13.72,13.87,13.47,13.48,40000,13.46
2011-09-29,14.65,14.65,13.90,14.06,30200,14.04
2011-09-28,14.89,15.01,14.27,14.33,103600,14.31
2011-09-27,14.90,15.21,14.78,14.83,34600,14.81
2011-09-26,14.35,14.37,13.83,14.36,56500,14.34
2011-09-23,14.15,14.45,14.06,14.23,58100,14.21
2011-09-22,14.52,14.54,14.01,14.19,76400,14.17
2011-09-21,16.10,16.11,15.39,15.41,55000,15.39
2011-09-20,16.55,16.55,16.15,16.15,33600,16.13
2011-09-19,16.50,16.61,16.25,16.48,42600,16.46
2011-09-16,16.95,16.95,16.70,16.83,24500,16.81
2011-09-15,16.95,16.95,16.69,16.81,16700,16.79
2011-09-14,16.53,16.82,16.31,16.70,23700,16.68
2011-09-13,16.39,16.63,16.38,16.61,17200,16.59
2011-09-12,16.37,16.60,16.08,16.39,35300,16.37
2011-09-09,17.05,17.06,16.62,16.75,17200,16.73
2011-09-08,17.34,17.56,17.19,17.23,15200,17.21
2011-09-07,17.24,17.50,17.12,17.49,97800,17.47
2011-09-06,16.41,16.78,16.39,16.78,25400,16.76
2011-09-02,17.39,17.39,17.03,17.08,43100,17.06
2011-09-01,18.02,18.07,17.67,17.69,22200,17.67
2011-08-31,17.99,18.00,17.79,17.92,31400,17.90
2011-08-30,17.25,17.69,17.18,17.58,31600,17.56
2011-08-29,17.19,17.48,17.19,17.47,42100,17.45
2011-08-26,16.27,16.72,16.20,16.69,18600,16.67
2011-08-25,16.50,16.55,16.24,16.31,30800,16.29
2011-08-24,16.40,16.47,16.12,16.41,43100,16.39
2011-08-23,15.92,16.38,15.92,16.35,23100,16.33
2011-08-22,16.29,16.29,15.78,15.82,49200,15.80
2011-08-19,15.93,16.34,15.87,15.88,55700,15.86
2011-08-18,16.52,16.52,16.00,16.11,41200,16.09
2011-08-17,17.23,17.35,17.00,17.04,42900,17.02
2011-08-16,17.41,17.41,17.03,17.03,118700,17.01
2011-08-15,17.32,17.65,17.32,17.63,51400,17.61
2011-08-12,17.29,17.36,17.08,17.13,41200,17.11
2011-08-11,16.29,17.26,16.29,17.10,60700,17.08
2011-08-10,16.47,16.63,16.02,16.02,66900,16.00
2011-08-09,15.84,16.78,15.71,16.76,147200,16.74
2011-08-08,16.02,16.30,15.25,15.28,216000,15.26
2011-08-05,17.51,17.59,16.50,17.10,157200,17.08
2011-08-04,18.57,18.57,17.35,17.36,126600,17.34
2011-08-03,19.05,19.19,18.50,18.98,81500,18.96
2011-08-02,19.80,19.93,19.07,19.09,67000,19.07
2011-08-01,20.31,20.56,19.80,19.96,58500,19.94
2011-07-29,19.69,19.91,19.48,19.76,81800,19.74
2011-07-28,19.82,20.20,19.82,19.97,56200,19.95
2011-07-27,20.47,20.54,20.00,20.03,157200,20.01
2011-07-26,20.72,20.72,20.48,20.50,17600,20.47
2011-07-25,20.57,20.81,20.51,20.51,45900,20.48
2011-07-22,20.82,20.95,20.82,20.86,53100,20.83
2011-07-21,20.46,20.84,20.44,20.80,66200,20.77
2011-07-20,20.18,20.30,20.03,20.24,34400,20.21
2011-07-19,19.68,20.02,19.68,19.99,22800,19.97
2011-07-18,19.66,19.66,19.40,19.54,80400,19.52
2011-07-15,19.60,19.68,19.41,19.60,49500,19.58
2011-07-14,19.78,19.89,19.41,19.42,26300,19.40
2011-07-13,19.46,19.91,19.46,19.77,77200,19.75
2011-07-12,19.47,19.47,19.25,19.28,47700,19.26
2011-07-11,19.80,19.82,19.46,19.50,60800,19.48
2011-07-08,19.98,20.12,19.84,20.10,40200,20.08
2011-07-07,20.08,20.28,20.08,20.17,23700,20.15
2011-07-06,19.92,20.03,19.91,19.95,67700,19.93
2011-07-05,20.09,20.15,20.00,20.03,33400,20.01
2011-07-01,19.69,20.08,19.69,20.04,38700,20.02
2011-06-30,19.62,19.81,19.51,19.72,33300,19.70
2011-06-29,19.26,19.56,19.26,19.49,45500,19.47
2011-06-28,19.11,19.33,19.11,19.27,27500,19.25
2011-06-27,19.00,19.16,18.96,19.08,38100,19.06
2011-06-24,19.32,19.32,19.08,19.11,34400,19.09
2011-06-23,18.73,19.13,18.70,19.12,48100,19.10
2011-06-22,19.19,19.45,19.19,19.24,18000,19.22
2011-06-21,18.94,19.33,18.94,19.32,44400,19.30
2011-06-20,18.69,18.89,18.69,18.89,51700,18.87
2011-06-17,18.93,19.02,18.70,18.82,82400,18.80
2011-06-16,18.86,19.03,18.45,18.70,172500,18.68
2011-06-15,19.05,19.37,18.96,18.98,64500,18.96
2011-06-14,19.21,19.50,19.21,19.47,47200,19.45
2011-06-13,19.16,19.33,18.95,18.99,115100,18.97
2011-06-10,19.51,19.62,19.07,19.14,67700,19.12
2011-06-09,19.26,19.59,19.26,19.49,35500,19.47
2011-06-08,19.57,19.61,19.20,19.26,86400,19.24
2011-06-07,19.83,19.88,19.72,19.73,54800,19.71
2011-06-06,19.87,20.04,19.62,19.65,235400,19.63
2011-06-03,20.02,20.12,19.80,20.00,29600,19.98
2011-06-02,20.17,20.31,19.96,20.28,22500,20.25
2011-06-01,20.80,20.80,20.18,20.21,43900,20.19
2011-05-31,20.55,20.78,20.35,20.76,47200,20.73
2011-05-27,20.25,20.35,20.22,20.32,53800,20.29
2011-05-26,19.66,20.08,19.66,20.07,37700,20.05
2011-05-25,19.65,19.90,19.60,19.81,18700,19.79
2011-05-24,19.69,19.88,19.61,19.65,47100,19.63
2011-05-23,19.92,19.92,19.50,19.59,86000,19.57
2011-05-20,20.06,20.15,19.68,19.98,54200,19.96
2011-05-19,20.24,20.35,20.03,20.09,45900,20.07
2011-05-18,20.06,20.29,20.00,20.24,53100,20.21
2011-05-17,19.86,19.92,19.53,19.88,173000,19.86
2011-05-16,20.03,20.46,19.85,19.87,157800,19.85
2011-05-13,20.75,20.87,20.21,20.31,61400,20.28
2011-05-12,20.81,20.90,20.40,20.81,66000,20.78
2011-05-11,21.62,21.67,20.75,20.84,83600,20.81
2011-05-10,21.48,21.70,21.48,21.68,41000,21.65
2011-05-09,21.24,21.56,21.21,21.53,43000,21.50
2011-05-06,21.01,21.44,20.71,21.14,76400,21.11
2011-05-05,21.01,21.12,20.62,20.82,133200,20.79
2011-05-04,21.60,21.71,21.14,21.22,181000,21.19
2011-05-03,21.88,22.00,21.52,21.70,132000,21.67
2011-05-02,22.68,22.68,22.00,22.04,268000,22.01
2011-04-29,22.22,22.42,22.22,22.42,51000,22.39
2011-04-28,22.37,22.37,22.05,22.14,64100,22.11
2011-04-27,22.20,22.40,21.84,22.16,67500,22.13
2011-04-26,22.14,22.26,22.03,22.08,42100,22.05
2011-04-25,21.88,22.34,21.88,22.12,49200,22.09
2011-04-21,22.00,22.27,21.91,22.23,70800,22.20
2011-04-20,21.77,21.96,21.77,21.90,79000,21.87
2011-04-19,21.60,21.66,21.31,21.42,98700,21.39
2011-04-18,21.81,21.81,21.28,21.52,94900,21.49
2011-04-15,22.00,22.05,21.78,21.87,40900,21.84
2011-04-14,21.60,22.01,21.59,22.00,52100,21.97
2011-04-13,21.70,21.97,21.58,21.82,45800,21.79
2011-04-12,22.00,22.00,21.47,21.63,108900,21.60
2011-04-11,22.50,22.54,21.92,22.10,63700,22.07
2011-04-08,22.56,22.71,22.19,22.27,73900,22.24
2011-04-07,22.49,22.53,22.24,22.44,60700,22.41
2011-04-06,22.79,22.79,22.38,22.40,84200,22.37
2011-04-05,22.31,22.57,22.24,22.54,163300,22.51
2011-04-04,22.39,22.39,22.15,22.27,185600,22.24
2011-04-01,21.70,22.23,21.67,22.11,121000,22.08
