Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,86.16,86.17,84.52,84.58,382600,84.58
2012-05-03,87.22,87.75,86.76,86.84,549700,86.84
2012-05-02,86.57,87.72,86.10,87.43,629000,87.43
2012-05-01,87.41,88.70,86.80,86.88,547800,86.88
2012-04-30,87.31,87.94,86.75,87.44,637800,87.44
2012-04-27,86.75,87.36,86.60,86.98,345600,86.98
2012-04-26,86.09,87.09,85.27,86.70,315900,86.70
2012-04-25,84.93,86.20,84.49,85.87,375700,85.87
2012-04-24,83.92,84.91,83.70,84.03,540200,84.03
2012-04-23,84.26,84.51,83.10,83.87,632000,83.87
2012-04-20,85.00,85.94,85.00,85.34,281200,85.34
2012-04-19,85.30,85.30,83.71,84.54,498600,84.54
2012-04-18,85.05,85.30,84.22,85.24,645600,85.24
2012-04-17,85.13,85.86,84.75,85.33,476200,85.33
2012-04-16,85.58,85.61,84.10,84.36,333300,84.36
2012-04-13,85.04,85.65,84.96,85.07,507300,85.07
2012-04-12,84.97,86.00,84.52,84.99,805100,84.99
2012-04-11,84.90,85.51,84.30,84.61,631600,84.61
2012-04-10,87.00,87.02,84.08,84.15,512800,84.15
2012-04-09,87.78,87.78,86.73,87.02,383300,87.02
2012-04-05,87.60,89.18,87.36,88.90,313400,88.90
2012-04-04,88.39,88.39,86.89,87.81,422900,87.81
2012-04-03,90.24,90.24,88.69,89.22,387700,89.22
2012-04-02,88.10,90.56,87.07,90.17,1199500,90.17
2012-03-30,87.76,88.52,87.37,88.15,781100,88.15
2012-03-29,87.20,87.29,86.42,86.89,309300,86.89
2012-03-28,88.43,89.06,87.01,87.61,289400,87.61
2012-03-27,89.24,89.59,88.18,88.37,435100,88.37
2012-03-26,88.94,89.68,88.48,89.29,287300,89.29
2012-03-23,86.99,88.35,86.32,88.26,290400,88.26
2012-03-22,86.66,87.65,86.66,87.00,255200,87.00
2012-03-21,87.74,88.20,87.55,87.58,235100,87.58
2012-03-20,87.98,88.30,87.58,87.86,326400,87.86
2012-03-19,86.92,88.79,86.37,88.26,375000,88.26
2012-03-16,87.55,87.95,86.90,87.08,455200,87.08
2012-03-15,88.33,89.08,87.27,87.40,492000,87.40
2012-03-14,89.97,90.11,88.43,88.58,304500,88.58
2012-03-13,89.45,90.03,88.67,89.90,682500,89.90
2012-03-12,90.54,90.54,88.77,89.15,669100,89.15
2012-03-09,87.85,90.30,87.43,90.20,638300,90.20
2012-03-08,87.16,87.80,86.05,87.50,357200,87.50
2012-03-07,85.80,86.83,84.14,86.35,473500,86.35
2012-03-06,87.30,87.30,84.71,85.32,1023100,85.32
2012-03-05,89.30,89.59,87.79,88.05,568500,88.05
2012-03-02,89.30,90.71,88.90,89.66,484700,89.66
2012-03-01,90.00,91.64,89.03,89.30,821800,89.30
2012-02-29,89.51,90.48,88.04,89.89,1623200,89.89
2012-02-28,88.24,89.26,87.95,89.02,492900,89.02
2012-02-27,88.26,88.98,87.38,88.24,481200,88.24
2012-02-24,88.00,88.62,87.53,88.28,572500,88.28
2012-02-23,86.62,87.76,85.74,87.74,355600,87.74
2012-02-22,86.68,87.02,85.42,86.00,577000,86.00
2012-02-21,88.25,88.25,86.19,86.60,410400,86.60
2012-02-17,87.18,87.70,86.87,87.37,278500,87.37
2012-02-16,86.85,87.94,86.51,86.90,559200,86.90
2012-02-15,87.40,88.04,86.01,86.50,574700,86.50
2012-02-14,85.20,85.93,84.86,85.59,405100,85.59
2012-02-13,85.56,85.66,83.48,85.40,303300,85.40
2012-02-10,85.70,85.80,84.90,85.15,392200,85.15
2012-02-09,85.68,86.05,84.85,85.95,370800,85.95
2012-02-08,83.67,85.50,83.67,85.35,599000,85.35
2012-02-07,83.67,84.16,83.46,83.95,223800,83.95
2012-02-06,83.85,85.00,83.85,84.03,518200,84.03
2012-02-03,84.17,84.95,83.78,84.45,417900,84.45
2012-02-02,84.30,84.30,82.87,83.59,1032000,83.59
2012-02-01,83.14,84.42,83.10,83.64,870400,83.64
2012-01-31,81.34,82.49,81.19,82.41,403700,82.41
2012-01-30,81.03,81.78,80.17,81.04,526600,81.04
2012-01-27,82.46,82.67,81.77,81.81,486700,81.81
2012-01-26,82.69,83.60,81.95,82.67,301100,82.67
2012-01-25,83.35,83.92,82.52,83.00,334300,83.00
2012-01-24,82.86,84.20,82.04,83.51,267700,83.51
2012-01-23,83.15,83.75,82.19,82.87,358300,82.87
2012-01-20,84.65,85.06,83.02,83.19,524900,83.19
2012-01-19,85.36,85.97,84.93,84.96,559000,84.96
2012-01-18,84.70,85.63,84.15,85.45,570200,85.45
2012-01-17,84.43,85.31,84.15,84.32,567900,84.32
2012-01-13,83.01,83.87,82.31,83.29,499900,83.29
2012-01-12,81.98,83.30,81.65,83.18,460600,83.18
2012-01-11,81.78,82.29,81.46,81.69,436100,81.69
2012-01-10,82.40,82.87,81.96,82.13,639100,82.13
2012-01-09,81.72,82.39,81.35,81.80,507100,81.80
2012-01-06,82.15,82.50,80.99,81.44,465900,81.44
2012-01-05,79.00,82.68,78.78,81.89,1053500,81.89
2012-01-04,78.22,80.24,77.77,79.25,913300,79.25
2012-01-03,78.90,79.30,77.34,78.31,909200,78.31
2011-12-30,77.86,78.26,77.08,78.05,525600,78.05
2011-12-29,77.01,78.18,75.83,78.04,375300,78.04
2011-12-28,77.34,77.44,76.29,76.64,358100,76.64
2011-12-27,77.04,77.42,76.41,77.25,420500,77.25
2011-12-23,76.18,78.00,76.16,77.54,356200,77.54
2011-12-22,77.31,77.31,76.13,76.28,383100,76.28
2011-12-21,76.30,77.34,75.79,77.05,437900,77.05
2011-12-20,74.35,76.85,74.09,76.42,540600,76.42
2011-12-19,76.40,77.12,74.91,75.08,752900,75.08
2011-12-16,73.93,75.71,72.70,75.55,1786300,75.55
2011-12-15,73.89,74.97,73.04,73.45,771400,73.45
2011-12-14,75.77,75.78,72.75,73.72,829400,73.72
2011-12-13,75.30,76.11,74.60,76.04,1126100,76.04
2011-12-12,74.63,74.86,74.02,74.43,469900,74.43
2011-12-09,74.42,75.98,73.73,75.24,439200,75.24
2011-12-08,77.31,77.31,74.02,74.13,731700,74.13
2011-12-07,75.29,77.78,74.39,77.49,708400,77.49
2011-12-06,76.34,76.73,75.40,75.41,735400,75.41
2011-12-05,78.26,78.35,75.66,76.08,759600,76.08
2011-12-02,75.49,78.37,75.38,76.71,915200,76.71
2011-12-01,76.27,77.26,73.82,75.22,2248800,75.22
2011-11-30,78.03,78.12,76.24,76.28,6151100,76.28
2011-11-29,77.50,104.34,73.52,75.68,1527800,75.68
2011-11-28,76.36,77.52,74.70,75.85,2172700,75.85
2011-11-25,74.48,75.18,74.02,74.59,432900,74.59
2011-11-23,74.00,75.06,73.47,73.83,1645400,73.83
2011-11-22,73.16,75.60,73.16,74.43,1593500,74.43
2011-11-21,76.91,77.13,75.13,75.41,1440600,75.41
2011-11-18,78.65,79.45,78.09,78.40,2064200,78.40
2011-11-17,78.10,80.46,77.57,78.19,2637100,78.19
2011-11-16,80.79,80.85,77.51,77.70,813800,77.70
2011-11-15,79.24,80.00,78.53,79.32,315000,79.32
2011-11-14,79.06,80.45,78.46,79.48,668800,79.48
2011-11-11,77.39,79.67,77.15,79.67,898100,79.67
2011-11-10,75.28,77.98,75.00,76.78,593500,76.78
2011-11-09,77.10,78.25,74.35,74.56,454400,74.56
2011-11-08,78.01,78.76,74.44,78.53,605700,78.53
2011-11-07,75.05,76.45,75.05,75.91,340100,75.91
2011-11-04,73.31,75.40,72.59,75.40,233300,75.40
2011-11-03,74.02,75.11,73.24,74.10,509900,74.10
2011-11-02,74.16,75.10,72.73,73.21,423600,73.21
2011-11-01,75.36,75.63,73.14,73.23,543200,73.23
2011-10-31,76.52,78.62,76.39,76.82,238500,76.82
2011-10-28,77.74,78.52,77.01,77.66,260200,77.66
2011-10-27,78.90,79.83,77.63,78.43,349900,78.43
