Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,12.02,12.13,11.81,11.88,159100,11.88
2012-05-03,12.30,12.40,12.05,12.09,60000,12.09
2012-05-02,12.28,12.51,12.20,12.35,52000,12.35
2012-05-01,12.59,13.07,12.35,12.37,85200,12.37
2012-04-30,12.78,12.83,12.51,12.51,57000,12.51
2012-04-27,12.87,12.96,12.73,12.81,76700,12.81
2012-04-26,12.84,12.89,12.75,12.78,41100,12.78
2012-04-25,12.66,12.98,12.60,12.82,52900,12.82
2012-04-24,12.05,12.47,12.02,12.46,54900,12.46
2012-04-23,12.30,12.50,12.01,12.05,71000,12.05
2012-04-20,12.67,12.70,12.51,12.63,70200,12.54
2012-04-19,12.63,12.87,12.47,12.49,50000,12.41
2012-04-18,12.73,12.84,12.53,12.65,33500,12.56
2012-04-17,12.74,13.01,12.74,12.83,66200,12.74
2012-04-16,12.61,12.90,12.45,12.62,50400,12.54
2012-04-13,12.66,12.73,12.48,12.56,64200,12.48
2012-04-12,12.46,12.87,12.46,12.77,52800,12.68
2012-04-11,12.28,12.59,12.27,12.47,68900,12.39
2012-04-10,12.44,12.47,11.99,12.13,70400,12.05
2012-04-09,12.21,12.76,12.21,12.48,62400,12.40
2012-04-05,12.55,12.75,12.33,12.51,45400,12.43
2012-04-04,12.29,12.70,12.25,12.63,72500,12.54
2012-04-03,12.88,12.96,12.27,12.50,69200,12.42
2012-04-02,12.53,12.95,12.50,12.95,47400,12.86
2012-03-30,12.84,12.84,12.53,12.55,40800,12.47
2012-03-29,12.58,12.75,12.40,12.69,49700,12.60
2012-03-28,12.45,12.74,12.37,12.69,46900,12.60
2012-03-27,12.58,12.58,12.40,12.43,45400,12.35
2012-03-26,12.46,12.55,12.45,12.52,67800,12.44
2012-03-23,11.97,12.26,11.84,12.25,44000,12.17
2012-03-22,11.91,12.22,11.74,11.94,73800,11.86
2012-03-21,12.18,12.35,12.02,12.05,46800,11.97
2012-03-20,12.37,12.37,12.06,12.13,47400,12.05
2012-03-19,12.39,12.62,12.25,12.49,60100,12.41
2012-03-16,12.50,12.50,12.21,12.43,88800,12.35
2012-03-15,12.41,12.52,12.29,12.46,34200,12.38
2012-03-14,12.53,12.67,11.16,12.43,64400,12.35
2012-03-13,12.20,12.55,12.20,12.50,78000,12.42
2012-03-12,12.03,12.21,11.83,12.11,32300,12.03
2012-03-09,11.43,12.09,11.43,12.04,93700,11.96
2012-03-08,11.47,11.53,11.34,11.44,48900,11.36
2012-03-07,11.51,11.56,11.33,11.40,45400,11.32
2012-03-06,11.51,11.62,11.32,11.43,69100,11.35
2012-03-05,11.37,11.65,11.22,11.62,50100,11.54
2012-03-02,11.85,11.88,11.34,11.35,87900,11.27
2012-03-01,12.14,12.14,11.81,11.85,63000,11.77
2012-02-29,12.50,12.50,12.00,12.05,75700,11.97
2012-02-28,12.42,12.46,12.27,12.45,26500,12.37
2012-02-27,12.73,12.73,12.35,12.38,35900,12.30
2012-02-24,12.78,12.99,12.71,12.85,23100,12.76
2012-02-23,12.56,12.78,12.47,12.77,48600,12.68
2012-02-22,12.42,12.71,12.27,12.56,33800,12.48
2012-02-21,12.53,12.57,12.33,12.42,30500,12.34
2012-02-17,12.73,12.73,12.49,12.52,29600,12.44
2012-02-16,11.98,12.71,11.98,12.68,42000,12.59
2012-02-15,12.31,12.37,11.89,11.99,62500,11.91
2012-02-14,12.52,12.52,12.12,12.20,37500,12.12
2012-02-13,12.44,12.60,12.35,12.56,46500,12.48
2012-02-10,12.56,12.65,12.26,12.26,50600,12.18
2012-02-09,12.92,12.94,12.65,12.70,26400,12.61
2012-02-08,12.78,12.90,12.62,12.86,35600,12.77
2012-02-07,13.00,13.00,12.69,12.72,47700,12.63
2012-02-06,12.99,13.05,12.75,13.02,49600,12.93
2012-02-03,12.79,13.14,12.37,13.10,90000,13.01
2012-02-02,12.74,12.99,12.35,12.46,132900,12.38
2012-02-01,12.25,12.86,12.23,12.78,124200,12.69
2012-01-31,12.57,12.57,12.10,12.11,72800,12.03
2012-01-30,12.39,12.81,12.30,12.45,96500,12.37
2012-01-27,12.58,12.90,12.46,12.55,62800,12.47
2012-01-26,12.63,12.85,12.46,12.64,55900,12.55
2012-01-25,12.46,12.69,12.40,12.55,51600,12.47
2012-01-24,12.41,12.57,12.31,12.50,68400,12.42
2012-01-23,12.77,12.97,12.38,12.53,27200,12.45
2012-01-20,12.64,12.93,12.64,12.85,32400,12.68
2012-01-19,13.00,13.00,12.58,12.66,68300,12.49
2012-01-18,12.47,12.98,12.47,12.94,38900,12.77
2012-01-17,13.00,13.07,12.28,12.46,137900,12.29
2012-01-13,12.79,12.89,12.64,12.84,40400,12.67
2012-01-12,12.94,13.00,12.72,12.97,40300,12.80
2012-01-11,12.72,12.99,12.58,12.91,82600,12.74
2012-01-10,12.75,12.94,12.64,12.89,70300,12.72
2012-01-09,12.51,12.69,12.39,12.53,129600,12.36
2012-01-06,12.54,12.54,12.25,12.43,59600,12.26
2012-01-05,12.72,12.75,12.27,12.51,78500,12.34
2012-01-04,12.94,13.00,12.70,12.78,88500,12.61
2012-01-03,13.00,13.02,12.78,12.98,92800,12.81
2011-12-30,12.88,12.91,12.57,12.61,52100,12.44
2011-12-29,13.00,13.01,12.81,12.90,50400,12.73
2011-12-28,13.30,13.30,12.79,12.91,70700,12.74
2011-12-27,13.26,13.55,13.00,13.35,46900,13.17
2011-12-23,13.23,13.30,13.13,13.29,48100,13.11
2011-12-22,13.12,13.32,13.10,13.17,44200,12.99
2011-12-21,12.75,13.10,12.60,13.04,92800,12.87
2011-12-20,12.61,12.83,12.59,12.81,129300,12.64
2011-12-19,12.44,12.60,12.22,12.32,76000,12.16
2011-12-16,12.50,12.74,12.18,12.26,196600,12.10
2011-12-15,12.30,12.60,11.96,12.54,194000,12.37
2011-12-14,11.73,12.00,11.69,12.00,168400,11.84
2011-12-13,12.07,12.40,11.80,11.87,77900,11.71
2011-12-12,12.15,12.15,11.77,11.92,70900,11.76
2011-12-09,12.19,12.42,12.13,12.35,76200,12.19
2011-12-08,12.22,12.41,12.07,12.15,90700,11.99
2011-12-07,11.91,12.44,11.67,12.41,76400,12.24
2011-12-06,12.35,12.35,11.94,11.99,81700,11.83
2011-12-05,12.23,12.34,12.04,12.31,66100,12.15
2011-12-02,11.92,12.13,11.77,11.96,45100,11.80
2011-12-01,12.26,12.26,11.65,11.69,78500,11.53
2011-11-30,11.83,12.25,11.68,12.25,159900,12.09
2011-11-29,11.53,11.62,11.12,11.23,46600,11.08
2011-11-28,11.24,11.58,11.19,11.48,99400,11.33
2011-11-25,10.82,11.10,10.75,10.77,31500,10.63
2011-11-23,11.32,11.52,10.81,10.86,77400,10.72
2011-11-22,11.64,11.74,11.42,11.44,55300,11.29
2011-11-21,11.86,11.94,11.62,11.75,70100,11.59
2011-11-18,12.04,12.33,12.02,12.12,27600,11.96
2011-11-17,12.23,12.36,11.88,12.00,49400,11.84
2011-11-16,12.24,12.65,12.13,12.26,83800,12.10
2011-11-15,12.30,12.55,12.20,12.44,116800,12.27
2011-11-14,12.35,12.50,12.23,12.33,78300,12.17
2011-11-11,12.30,12.50,12.22,12.45,64300,12.28
2011-11-10,12.24,12.30,11.91,12.14,44200,11.98
2011-11-09,12.14,12.37,11.93,11.95,91900,11.79
2011-11-08,12.40,12.50,12.14,12.46,67500,12.29
2011-11-07,12.24,12.35,11.88,12.34,38200,12.18
2011-11-04,12.24,12.35,12.00,12.32,53900,12.16
