Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,7.42,7.45,7.31,7.34,351700,7.34
2012-05-03,7.43,7.45,7.22,7.42,402200,7.42
2012-05-02,7.50,7.54,7.35,7.39,248000,7.39
2012-05-01,7.46,7.66,7.29,7.55,427000,7.55
2012-04-30,8.03,8.03,7.38,7.48,652700,7.48
2012-04-27,8.17,8.17,7.95,8.04,233300,8.04
2012-04-26,8.32,8.32,8.05,8.16,190900,8.16
2012-04-25,8.24,8.50,8.24,8.31,139400,8.31
2012-04-24,8.29,8.34,8.18,8.25,214000,8.25
2012-04-23,8.50,8.55,8.13,8.29,323200,8.29
2012-04-20,8.67,8.75,8.54,8.58,175600,8.58
2012-04-19,8.72,8.77,8.54,8.57,245500,8.57
2012-04-18,8.59,8.73,8.56,8.68,193700,8.68
2012-04-17,8.72,8.86,8.60,8.61,221600,8.61
2012-04-16,8.76,8.76,8.53,8.67,235000,8.67
2012-04-13,8.74,8.75,8.59,8.67,173800,8.67
2012-04-12,8.76,8.84,8.66,8.77,228600,8.77
2012-04-11,8.68,8.98,8.65,8.77,275500,8.77
2012-04-10,8.83,8.85,8.56,8.56,352300,8.56
2012-04-09,8.85,8.97,8.67,8.86,306700,8.86
2012-04-05,9.10,9.12,8.90,9.03,339500,9.03
2012-04-04,9.05,9.15,8.96,9.10,289400,9.10
2012-04-03,9.12,9.21,9.12,9.15,229400,9.15
2012-04-02,9.31,9.31,9.06,9.11,487700,9.11
2012-03-30,9.27,9.41,9.15,9.37,283000,9.37
2012-03-29,9.08,9.22,9.05,9.18,160100,9.18
2012-03-28,9.15,9.44,9.10,9.16,230200,9.16
2012-03-27,9.61,9.69,9.14,9.14,331500,9.14
2012-03-26,9.29,9.69,9.20,9.61,413200,9.61
2012-03-23,9.12,9.16,9.10,9.15,260900,9.15
2012-03-22,9.00,9.14,8.95,9.10,347100,9.10
2012-03-21,9.09,9.15,9.00,9.11,369500,9.11
2012-03-20,9.08,9.15,9.00,9.03,279500,9.03
2012-03-19,8.83,9.13,8.74,9.11,496100,9.11
2012-03-16,8.83,8.85,8.66,8.85,576100,8.85
2012-03-15,8.73,8.79,8.63,8.78,371100,8.78
2012-03-14,8.54,8.76,8.44,8.73,429300,8.73
2012-03-13,8.47,8.60,8.41,8.54,222700,8.54
2012-03-12,8.56,8.59,8.45,8.47,254500,8.47
2012-03-09,8.40,8.85,8.36,8.62,401800,8.62
2012-03-08,8.26,8.46,8.12,8.40,492200,8.40
2012-03-07,7.99,8.23,7.95,8.19,865900,8.19
2012-03-06,8.24,8.24,7.89,7.94,692400,7.94
2012-03-05,8.07,8.35,8.05,8.29,253400,8.29
2012-03-02,7.97,8.27,7.92,8.05,281100,8.05
2012-03-01,8.36,8.39,7.79,8.02,484400,8.02
2012-02-29,8.49,8.62,8.35,8.36,289300,8.36
2012-02-28,8.68,8.68,8.50,8.50,169600,8.50
2012-02-27,8.67,8.71,8.55,8.68,145300,8.68
2012-02-24,8.90,8.90,8.67,8.71,202100,8.71
2012-02-23,8.49,8.90,8.47,8.88,151200,8.88
2012-02-22,8.45,8.68,8.42,8.49,161300,8.49
2012-02-21,8.04,8.58,8.00,8.45,532100,8.45
2012-02-17,8.77,8.85,8.56,8.63,206200,8.63
2012-02-16,8.73,8.90,8.70,8.77,305200,8.77
