Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,10.53,10.77,10.29,10.57,14608800,10.57
2012-05-03,10.71,10.78,10.30,10.61,10275900,10.61
2012-05-02,10.79,10.95,10.51,10.71,9528500,10.71
2012-05-01,11.06,11.66,10.35,10.93,23101200,10.93
2012-04-30,10.32,11.10,10.16,11.10,25939300,11.10
2012-04-27,9.50,10.51,8.99,10.30,87274100,10.30
2012-04-26,15.93,16.08,15.81,16.02,9708000,16.02
2012-04-25,15.94,16.07,15.90,15.93,1500900,15.93
2012-04-24,15.96,16.16,15.71,15.79,2771800,15.79
2012-04-23,16.19,16.19,15.81,15.97,2419300,15.97
2012-04-20,16.37,16.64,16.31,16.34,1757900,16.34
2012-04-19,16.29,16.57,16.13,16.26,1720300,16.26
2012-04-18,16.44,16.51,16.27,16.32,2502800,16.32
2012-04-17,16.14,16.66,16.07,16.56,3242700,16.56
2012-04-16,16.31,16.31,15.91,16.01,2586100,16.01
2012-04-13,16.29,16.43,16.14,16.29,3172700,16.29
2012-04-12,16.06,16.31,15.96,16.29,4240700,16.29
2012-04-11,15.79,16.10,15.77,15.98,5684500,15.98
2012-04-10,15.92,16.09,15.57,15.58,3220500,15.58
2012-04-09,16.09,16.15,15.89,15.97,1841100,15.97
2012-04-05,16.39,16.52,16.23,16.25,2268000,16.25
2012-04-04,16.60,16.65,15.93,16.39,6250300,16.39
2012-04-03,16.61,16.90,16.53,16.78,6691100,16.78
2012-04-02,16.60,16.75,16.50,16.60,2979700,16.60
2012-03-30,16.84,16.95,16.58,16.60,2582600,16.60
2012-03-29,16.94,17.00,16.55,16.83,6751300,16.83
2012-03-28,17.49,17.49,17.15,17.24,1979200,17.24
2012-03-27,17.68,17.72,17.41,17.44,1985600,17.44
2012-03-26,17.77,17.80,17.59,17.64,1618300,17.64
2012-03-23,17.54,17.70,17.31,17.64,2273100,17.64
2012-03-22,17.56,17.70,17.49,17.55,1622600,17.55
2012-03-21,17.63,17.94,17.55,17.63,3906600,17.63
2012-03-20,17.88,18.01,17.88,17.94,2289400,17.94
2012-03-19,17.92,18.23,17.81,18.03,4799000,18.03
2012-03-16,17.98,18.00,17.82,17.96,5523500,17.96
2012-03-15,18.01,18.10,17.70,18.05,4114100,18.05
2012-03-14,18.74,18.79,17.70,17.97,4930400,17.97
