Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,6.58,6.75,6.25,6.68,845000,6.68
2012-05-03,6.70,6.70,6.55,6.61,137500,6.61
2012-05-02,6.83,6.83,6.64,6.71,155000,6.71
2012-05-01,6.73,7.00,6.60,6.89,249000,6.89
2012-04-30,6.96,7.00,6.69,6.86,392000,6.86
2012-04-27,7.06,7.06,6.95,6.99,36800,6.99
2012-04-26,6.89,7.03,6.85,7.02,30600,7.02
2012-04-25,6.81,6.92,6.71,6.92,102000,6.92
2012-04-24,6.89,6.93,6.70,6.73,105800,6.73
2012-04-23,7.05,7.09,6.88,6.91,75300,6.91
2012-04-20,7.24,7.25,7.08,7.13,138400,7.13
2012-04-19,7.21,7.40,7.20,7.20,122200,7.20
2012-04-18,7.21,7.27,7.15,7.19,104100,7.19
2012-04-17,7.31,7.31,7.19,7.21,99500,7.21
2012-04-16,7.35,7.39,7.18,7.24,44400,7.24
2012-04-13,7.33,7.34,7.17,7.33,53800,7.33
2012-04-12,7.22,7.40,7.18,7.34,97500,7.34
2012-04-11,7.67,7.67,7.19,7.24,140600,7.24
2012-04-10,7.48,7.62,7.44,7.56,202800,7.56
2012-04-09,7.49,7.56,7.30,7.52,69900,7.52
2012-04-05,7.67,7.73,7.60,7.63,84700,7.63
2012-04-04,7.88,7.88,7.63,7.73,100600,7.73
2012-04-03,8.01,8.10,7.98,7.99,96300,7.99
2012-04-02,7.89,8.09,7.89,8.04,205800,8.04
2012-03-30,8.13,8.15,7.96,7.99,142900,7.99
2012-03-29,7.84,8.10,7.75,8.08,164100,8.08
2012-03-28,7.66,7.90,7.37,7.83,303800,7.83
2012-03-27,7.75,7.86,7.68,7.71,116300,7.71
2012-03-26,7.62,7.84,7.60,7.75,100500,7.75
2012-03-23,7.36,7.59,7.27,7.58,164900,7.58
2012-03-22,7.64,7.67,7.34,7.36,139900,7.36
2012-03-21,7.72,7.84,7.62,7.74,123800,7.74
2012-03-20,7.89,7.94,7.66,7.71,142200,7.71
2012-03-19,7.78,7.94,7.66,7.93,98400,7.93
2012-03-16,7.88,7.93,7.66,7.76,181000,7.76
2012-03-15,7.84,7.93,7.71,7.87,87600,7.87
2012-03-14,7.98,7.98,7.75,7.84,51900,7.84
2012-03-13,7.65,7.99,7.64,7.96,230100,7.96
2012-03-12,7.80,7.83,7.47,7.61,237000,7.61
2012-03-09,7.87,8.00,7.79,7.84,173200,7.84
2012-03-08,7.79,7.92,7.68,7.87,117400,7.87
2012-03-07,7.64,7.88,7.63,7.75,158200,7.75
2012-03-06,7.95,8.02,7.59,7.61,253700,7.61
2012-03-05,8.12,8.17,8.00,8.07,160500,8.07
2012-03-02,8.37,8.47,8.09,8.18,101900,8.18
2012-03-01,8.61,8.74,8.36,8.38,190600,8.38
2012-02-29,8.64,8.74,8.52,8.62,316700,8.62
2012-02-28,8.44,8.65,8.43,8.62,147400,8.62
2012-02-27,8.44,8.80,8.36,8.43,317100,8.43
2012-02-24,8.06,8.53,8.06,8.49,260700,8.49
2012-02-23,7.95,8.10,7.78,8.08,189800,8.08
2012-02-22,7.85,8.04,7.80,7.94,204100,7.94
2012-02-21,7.94,8.12,7.82,7.86,187000,7.86
2012-02-17,8.13,8.31,7.94,7.96,254900,7.96
2012-02-16,7.57,8.25,7.50,8.06,318800,8.06
2012-02-15,7.91,7.95,7.59,7.60,256500,7.60
2012-02-14,8.09,8.36,7.88,7.90,494300,7.90
2012-02-13,8.18,8.30,8.00,8.10,348300,8.10
2012-02-10,8.12,8.29,7.93,8.14,442400,8.14
2012-02-09,8.43,8.50,8.23,8.25,65600,8.25
2012-02-08,8.48,8.56,8.30,8.39,141500,8.39
2012-02-07,8.65,8.65,8.22,8.44,152200,8.44
2012-02-06,8.46,8.73,8.31,8.68,173400,8.68
2012-02-03,8.58,8.64,8.46,8.47,74400,8.47
2012-02-02,8.53,8.54,8.31,8.52,113700,8.52
2012-02-01,8.26,8.59,8.25,8.54,249100,8.54
2012-01-31,7.98,8.24,7.95,8.18,143100,8.18
2012-01-30,8.00,8.00,7.76,7.95,160100,7.95
2012-01-27,7.40,8.18,7.40,8.05,219600,8.05
2012-01-26,7.80,7.90,7.39,7.40,203500,7.40
2012-01-25,7.71,8.05,7.65,7.73,218800,7.73
2012-01-24,7.72,7.80,7.48,7.74,306500,7.74
2012-01-23,7.38,7.85,7.30,7.76,471800,7.76
2012-01-20,7.11,7.96,7.00,7.91,567800,7.91
2012-01-19,7.04,7.27,6.99,7.12,267800,7.12
2012-01-18,6.75,7.03,6.75,6.99,315600,6.99
2012-01-17,6.60,6.82,6.50,6.80,224200,6.80
2012-01-13,6.56,6.59,6.48,6.56,67300,6.56
2012-01-12,6.38,6.69,6.38,6.59,183200,6.59
2012-01-11,6.21,6.39,6.18,6.34,366700,6.34
2012-01-10,6.56,6.56,6.15,6.23,389400,6.23
2012-01-09,6.73,6.73,6.44,6.47,86000,6.47
2012-01-06,6.75,6.78,6.68,6.69,317300,6.69
