Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,24.90,25.29,23.15,24.07,142000,24.07
2012-05-03,25.74,25.75,24.17,25.02,87800,25.02
2012-05-02,26.02,26.06,25.32,25.90,35000,25.90
2012-05-01,26.39,26.93,26.10,26.11,46000,26.11
2012-04-30,26.90,26.90,26.36,26.49,33300,26.49
2012-04-27,26.62,26.94,26.24,26.94,19000,26.94
2012-04-26,26.36,26.69,26.14,26.61,15300,26.61
2012-04-25,26.10,26.91,26.10,26.45,39800,26.45
2012-04-24,26.11,26.48,25.82,25.89,58400,25.89
2012-04-23,25.89,26.49,25.89,26.36,83000,26.36
2012-04-20,25.75,26.38,25.43,26.36,61200,26.36
2012-04-19,24.97,25.47,24.97,25.37,25600,25.37
2012-04-18,25.93,25.93,24.72,24.88,31000,24.88
2012-04-17,25.72,26.32,25.66,25.99,24900,25.99
2012-04-16,25.19,25.56,24.68,25.41,20700,25.41
2012-04-13,25.54,25.60,24.70,25.08,33200,25.08
2012-04-12,25.51,25.83,25.51,25.74,21900,25.74
2012-04-11,25.26,25.55,25.01,25.50,30300,25.50
2012-04-10,25.66,25.73,24.83,24.98,40100,24.98
2012-04-09,25.91,25.91,25.21,25.67,42100,25.67
2012-04-05,26.17,26.48,26.09,26.34,19300,26.34
2012-04-04,26.66,26.67,25.89,26.14,25200,26.14
2012-04-03,27.21,27.25,26.80,26.96,58600,26.96
2012-04-02,27.43,27.57,27.09,27.19,57800,27.19
2012-03-30,27.85,27.85,27.44,27.45,37500,27.45
2012-03-29,27.46,27.71,27.04,27.70,51600,27.70
2012-03-28,28.34,28.34,27.16,27.69,53900,27.69
2012-03-27,28.50,28.63,28.04,28.24,53500,28.24
2012-03-26,28.34,28.70,28.00,28.53,49300,28.53
2012-03-23,27.46,28.19,27.29,28.03,68200,28.03
2012-03-22,27.54,27.79,27.20,27.48,27400,27.48
2012-03-21,27.30,27.85,27.07,27.76,42900,27.76
2012-03-20,27.29,27.42,27.00,27.23,25800,27.23
2012-03-19,27.35,27.90,27.01,27.51,163700,27.51
2012-03-16,27.85,27.85,27.32,27.40,92800,27.40
2012-03-15,27.65,27.76,27.24,27.73,96200,27.73
2012-03-14,28.33,28.33,27.31,27.63,148000,27.63
2012-03-13,27.55,28.39,27.16,28.36,72900,28.36
2012-03-12,27.59,27.89,26.95,27.29,42800,27.29
2012-03-09,27.44,27.75,27.05,27.59,55600,27.59
2012-03-08,26.50,27.56,25.95,27.35,114300,27.35
2012-03-07,26.26,26.39,26.00,26.27,45300,26.27
2012-03-06,26.15,26.25,25.82,26.08,86200,26.08
2012-03-05,26.17,26.67,25.86,26.43,51500,26.43
2012-03-02,26.23,26.59,25.96,26.22,86600,26.22
2012-03-01,26.50,26.50,26.00,26.23,72900,26.23
2012-02-29,26.88,27.14,26.29,26.36,75300,26.36
2012-02-28,26.62,27.11,26.25,26.78,153000,26.78
2012-02-27,26.33,26.87,25.75,26.65,81000,26.65
2012-02-24,26.56,26.79,26.37,26.41,40700,26.41
2012-02-23,25.89,26.66,25.70,26.60,53900,26.60
2012-02-22,26.21,26.46,25.76,25.85,37100,25.85
2012-02-21,26.68,26.70,25.89,26.19,44500,26.19
2012-02-17,26.58,26.72,26.30,26.56,57600,26.56
2012-02-16,25.50,26.43,25.49,26.40,74000,26.40
2012-02-15,26.07,26.07,25.45,25.53,83000,25.53
2012-02-14,25.76,25.96,25.75,25.89,58300,25.89
2012-02-13,25.68,26.00,25.68,25.90,58700,25.90
2012-02-10,25.66,25.72,25.20,25.42,34300,25.42
2012-02-09,26.07,26.30,25.39,25.93,58500,25.93
2012-02-08,26.26,26.36,25.88,26.03,75100,26.03
2012-02-07,26.90,26.90,26.17,26.32,41600,26.32
2012-02-06,27.01,27.15,26.66,27.02,44600,27.02
2012-02-03,26.52,27.33,26.06,27.14,187100,27.14
2012-02-02,25.20,25.57,25.00,25.38,116100,25.38
2012-02-01,25.01,25.44,24.88,25.22,89400,25.22
2012-01-31,25.10,25.27,24.67,24.87,83700,24.87
2012-01-30,25.32,25.45,24.79,24.83,58800,24.83
2012-01-27,24.77,25.65,24.77,25.43,120900,25.43
2012-01-26,25.45,25.45,24.84,24.85,88700,24.85
2012-01-25,26.39,26.39,25.31,25.31,110700,25.31
2012-01-24,26.63,26.63,26.20,26.29,74200,26.29
2012-01-23,26.81,27.04,26.10,26.80,117800,26.80
2012-01-20,27.30,27.69,27.30,27.50,130700,27.50
2012-01-19,27.37,27.76,27.16,27.36,128600,27.36
2012-01-18,26.20,27.20,25.30,27.19,120400,27.19
2012-01-17,25.91,26.29,25.85,26.07,85500,26.07
2012-01-13,25.19,25.93,25.19,25.77,111400,25.77
2012-01-12,24.01,26.64,24.01,25.40,302700,25.40
2012-01-11,21.31,21.64,21.03,21.53,27300,21.53
2012-01-10,20.80,21.30,20.80,21.28,26400,21.28
2012-01-09,20.68,20.74,20.26,20.59,30000,20.59
2012-01-06,20.86,20.96,20.54,20.59,44000,20.59
2012-01-05,20.44,20.87,20.22,20.79,30100,20.79
2012-01-04,20.81,21.12,20.49,20.53,35700,20.53
2012-01-03,20.97,21.14,20.82,20.89,37400,20.89
2011-12-30,20.92,21.15,20.49,20.55,41000,20.55
2011-12-29,21.14,21.41,20.79,21.00,21500,21.00
2011-12-28,21.81,21.81,21.03,21.09,25300,21.09
2011-12-27,21.49,22.01,20.92,21.82,32900,21.82
2011-12-23,21.62,21.73,21.41,21.54,21600,21.54
2011-12-22,21.51,21.73,21.44,21.63,40800,21.63
2011-12-21,21.44,21.53,20.88,21.44,40200,21.44
2011-12-20,20.73,21.55,20.73,21.52,58500,21.52
2011-12-19,20.67,21.01,20.36,20.42,40200,20.42
2011-12-16,20.13,20.60,19.90,20.56,131300,20.56
2011-12-15,19.72,19.98,19.49,19.98,51300,19.98
2011-12-14,19.76,19.84,19.47,19.50,52800,19.50
2011-12-13,20.18,20.61,19.68,19.87,72800,19.87
2011-12-12,20.12,20.21,19.90,20.19,40200,20.19
2011-12-09,19.44,20.50,19.36,20.41,50100,20.41
2011-12-08,19.72,20.03,19.38,19.42,102700,19.42
2011-12-07,19.69,20.08,19.40,19.88,147700,19.88
2011-12-06,20.26,20.45,19.85,19.97,66000,19.97
2011-12-05,20.69,20.69,20.22,20.40,59800,20.40
2011-12-02,20.99,20.99,20.38,20.38,46600,20.38
2011-12-01,20.80,21.05,20.54,20.69,59500,20.69
2011-11-30,20.20,20.93,19.68,20.93,87700,20.93
2011-11-29,19.63,19.89,19.44,19.51,80700,19.51
2011-11-28,19.78,19.80,19.37,19.68,126200,19.68
2011-11-25,19.17,19.33,19.10,19.23,47200,19.23
2011-11-23,19.29,19.40,19.21,19.30,103000,19.30
2011-11-22,19.41,19.50,19.37,19.41,41300,19.41
2011-11-21,19.21,19.51,19.21,19.44,56900,19.44
2011-11-18,19.73,20.15,19.42,19.56,69800,19.56
2011-11-17,19.49,19.87,19.47,19.73,88100,19.73
2011-11-16,19.48,19.86,19.44,19.45,70300,19.45
2011-11-15,19.40,19.84,19.40,19.76,49500,19.76
2011-11-14,19.46,19.78,19.43,19.65,66100,19.65
2011-11-11,19.66,19.66,19.53,19.62,37300,19.62
2011-11-10,19.49,19.83,19.28,19.46,48200,19.46
2011-11-09,18.92,19.28,18.92,19.19,83700,19.19
2011-11-08,19.27,19.38,19.16,19.22,74000,19.22
2011-11-07,19.28,19.63,19.13,19.33,122800,19.33
2011-11-04,19.58,20.60,18.88,19.26,223700,19.26
2011-11-03,23.07,23.71,22.63,23.50,37800,23.50
2011-11-02,22.18,23.11,21.94,22.78,27400,22.78
2011-11-01,22.10,22.86,21.76,21.83,30700,21.83
2011-10-31,23.13,23.42,22.93,22.94,20900,22.94
2011-10-28,23.65,24.18,23.47,23.48,28700,23.48
2011-10-27,22.98,23.99,22.62,23.87,49600,23.87
2011-10-26,22.20,22.43,21.77,22.32,27400,22.32
2011-10-25,22.40,22.45,21.74,21.87,29000,21.87
2011-10-24,21.73,22.92,21.73,22.71,35600,22.71
2011-10-21,21.58,21.80,21.14,21.72,47500,21.72
2011-10-20,20.66,21.27,20.31,21.12,41100,21.12
2011-10-19,21.43,21.66,20.58,20.65,27200,20.65
2011-10-18,20.72,21.58,20.50,21.45,39200,21.45
