Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,15.86,15.86,15.52,15.53,113700,15.53
2012-05-03,16.53,16.79,15.86,15.92,104600,15.92
2012-05-02,16.64,16.92,16.31,16.63,93000,16.63
2012-05-01,16.83,17.01,16.71,16.75,179600,16.75
2012-04-30,16.95,17.02,16.71,16.84,209000,16.84
2012-04-27,17.18,17.29,16.87,16.92,103300,16.92
2012-04-26,16.11,17.29,16.00,17.18,485700,17.18
2012-04-25,16.55,16.55,16.15,16.20,116800,16.20
2012-04-24,15.97,16.36,15.89,16.36,90900,16.36
2012-04-23,16.41,16.41,15.85,15.98,94700,15.98
2012-04-20,16.87,17.05,16.53,16.67,104100,16.67
2012-04-19,16.93,17.22,16.51,16.69,60000,16.69
2012-04-18,16.63,16.89,16.57,16.83,128400,16.83
2012-04-17,16.79,16.88,16.68,16.71,116500,16.71
2012-04-16,16.50,16.79,16.34,16.62,98200,16.62
2012-04-13,16.64,16.76,16.24,16.42,88500,16.42
2012-04-12,16.71,17.08,16.66,16.69,105400,16.69
2012-04-11,16.64,16.74,16.56,16.74,92300,16.74
2012-04-10,16.61,16.66,16.19,16.47,131600,16.47
2012-04-09,17.14,17.35,16.61,16.64,146300,16.64
2012-04-05,17.20,17.43,17.16,17.25,107400,17.25
2012-04-04,17.79,17.80,17.25,17.28,99400,17.28
2012-04-03,17.97,18.05,17.83,18.02,131200,18.02
2012-04-02,17.93,18.10,17.63,18.01,94300,18.01
2012-03-30,18.38,18.38,17.94,18.00,114800,18.00
2012-03-29,18.23,18.38,18.09,18.28,74700,18.28
2012-03-28,18.31,18.62,18.22,18.34,172000,18.34
2012-03-27,18.60,18.61,18.30,18.39,163900,18.39
2012-03-26,18.34,18.62,18.30,18.58,134600,18.58
2012-03-23,18.11,18.18,17.95,18.12,88100,18.12
2012-03-22,18.20,18.28,18.00,18.16,60500,18.16
2012-03-21,18.48,18.67,18.33,18.39,58600,18.39
2012-03-20,18.42,18.66,18.33,18.51,102500,18.51
2012-03-19,18.70,18.94,18.54,18.57,107100,18.57
2012-03-16,18.25,18.79,18.16,18.79,158700,18.79
2012-03-15,17.92,18.20,17.89,18.20,141700,18.20
2012-03-14,18.00,18.16,17.81,17.90,144200,17.90
2012-03-13,17.57,18.07,17.43,18.04,227400,18.04
2012-03-12,17.72,17.74,17.39,17.50,104500,17.50
2012-03-09,17.85,17.95,17.65,17.68,145400,17.68
2012-03-08,17.67,18.02,17.64,17.89,203700,17.89
2012-03-07,17.49,17.73,17.42,17.53,142000,17.53
2012-03-06,16.65,17.45,16.64,17.40,323500,17.40
2012-03-05,16.86,16.99,16.66,16.88,178100,16.88
2012-03-02,17.58,17.59,16.70,16.94,189200,16.94
2012-03-01,18.01,18.15,17.55,17.59,139000,17.59
2012-02-29,18.60,18.70,17.92,17.92,148900,17.92
2012-02-28,18.26,18.53,18.12,18.50,144100,18.50
2012-02-27,18.10,18.40,17.86,18.22,83800,18.22
2012-02-24,18.17,18.50,17.84,18.30,144700,18.30
2012-02-23,18.18,18.28,17.96,18.18,117200,18.18
2012-02-22,18.14,18.23,17.99,18.11,79700,18.11
2012-02-21,18.73,18.73,18.03,18.18,85600,18.18
2012-02-17,18.69,18.79,18.59,18.76,66400,18.76
2012-02-16,18.70,18.84,18.50,18.60,104800,18.60
2012-02-15,18.85,18.86,18.57,18.70,94900,18.70
2012-02-14,18.74,18.84,18.66,18.76,86100,18.76
2012-02-13,18.59,18.88,18.56,18.79,187200,18.79
2012-02-10,18.45,18.74,18.33,18.48,186700,18.48
2012-02-09,18.74,18.81,18.48,18.58,208300,18.58
2012-02-08,18.59,18.75,18.34,18.64,315100,18.64
2012-02-07,18.72,18.98,18.42,18.69,129300,18.69
2012-02-06,18.42,18.96,18.37,18.74,217500,18.74
2012-02-03,19.44,19.46,18.00,18.44,584200,18.44
2012-02-02,19.36,19.46,19.03,19.05,186400,19.05
2012-02-01,18.73,19.50,18.73,19.26,171600,19.26
2012-01-31,18.55,18.67,18.07,18.56,222700,18.56
2012-01-30,18.48,18.64,18.22,18.36,87500,18.36
2012-01-27,18.43,18.70,18.39,18.67,82900,18.67
2012-01-26,18.75,18.86,18.38,18.54,111900,18.54
2012-01-25,18.21,18.80,18.12,18.56,163300,18.56
2012-01-24,17.95,18.38,17.95,18.22,118600,18.22
2012-01-23,18.17,18.30,17.77,18.01,118200,18.01
2012-01-20,18.22,18.30,17.78,18.17,367300,18.17
2012-01-19,17.73,18.34,17.35,18.20,156800,18.20
2012-01-18,17.24,17.56,17.24,17.50,145500,17.50
2012-01-17,17.72,17.76,17.30,17.30,251000,17.30
2012-01-13,17.47,17.69,17.44,17.60,116900,17.60
2012-01-12,17.72,17.80,17.54,17.74,81900,17.74
2012-01-11,17.43,17.75,17.22,17.69,76700,17.69
2012-01-10,17.60,17.68,17.33,17.56,150400,17.56
