Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,13.26,13.31,13.07,13.10,187600,13.10
2012-05-03,13.34,13.37,13.24,13.32,232100,13.32
2012-05-02,13.24,13.39,13.15,13.35,276300,13.35
2012-05-01,13.24,13.47,13.18,13.36,460100,13.36
2012-04-30,13.18,13.30,12.94,13.22,326200,13.22
2012-04-27,12.84,13.26,12.77,13.17,279200,13.17
2012-04-26,12.86,12.91,12.69,12.76,362400,12.76
2012-04-25,13.01,13.09,12.41,12.86,699500,12.86
2012-04-24,12.44,12.84,12.33,12.80,351000,12.80
2012-04-23,12.24,12.50,12.24,12.45,258500,12.45
2012-04-20,12.65,12.65,12.37,12.44,193500,12.44
2012-04-19,12.29,12.49,12.14,12.43,319400,12.43
2012-04-18,12.33,12.42,12.27,12.30,144200,12.30
2012-04-17,12.05,12.41,12.05,12.36,481700,12.36
2012-04-16,12.02,12.75,11.88,11.95,453500,11.95
2012-04-13,11.65,11.67,11.58,11.60,339000,11.60
2012-04-12,11.73,11.80,11.59,11.61,300400,11.61
2012-04-11,11.74,11.77,11.61,11.77,129000,11.77
2012-04-10,11.95,12.02,11.60,11.61,199700,11.61
2012-04-09,11.85,12.10,11.81,11.96,461600,11.96
2012-04-05,11.86,12.06,11.81,12.02,344400,12.02
2012-04-04,12.09,12.18,11.97,11.99,148800,11.99
2012-04-03,12.50,12.58,12.19,12.23,251600,12.23
2012-04-02,12.41,12.64,12.36,12.56,323700,12.56
2012-03-30,12.56,12.71,12.41,12.42,178600,12.42
2012-03-29,12.33,12.52,12.26,12.46,185400,12.46
2012-03-28,12.13,12.42,12.06,12.41,217700,12.41
2012-03-27,12.34,12.37,12.10,12.10,170300,12.10
2012-03-26,12.08,12.50,12.08,12.29,202900,12.29
2012-03-23,11.98,12.05,11.87,11.97,197200,11.97
2012-03-22,11.98,12.04,11.80,12.02,249800,12.02
2012-03-21,12.32,12.37,12.03,12.05,213000,12.05
2012-03-20,12.47,12.47,12.31,12.34,113800,12.34
2012-03-19,12.41,12.70,12.38,12.51,131500,12.51
2012-03-16,12.46,12.46,12.23,12.43,252500,12.43
2012-03-15,12.38,12.49,12.24,12.44,147500,12.44
2012-03-14,12.62,12.67,12.26,12.36,240000,12.36
2012-03-13,12.42,12.73,12.32,12.67,469500,12.67
2012-03-12,12.61,12.70,12.31,12.32,302800,12.32
2012-03-09,12.61,12.85,12.52,12.59,154800,12.59
2012-03-08,12.57,12.59,12.38,12.57,174800,12.57
2012-03-07,12.26,12.50,12.17,12.47,272900,12.47
2012-03-06,12.41,12.47,12.20,12.22,247100,12.22
2012-03-05,12.39,12.70,12.39,12.58,251300,12.58
2012-03-02,12.55,12.74,12.34,12.47,354500,12.47
2012-03-01,12.57,12.69,12.37,12.42,834000,12.42
2012-02-29,12.66,12.75,12.49,12.56,719500,12.56
2012-02-28,12.56,12.73,12.50,12.62,534100,12.62
2012-02-27,12.41,12.75,12.26,12.54,665000,12.54
2012-02-24,11.89,12.54,11.51,12.46,2638500,12.46
2012-02-23,13.39,13.59,13.23,13.35,467600,13.35
2012-02-22,13.61,13.65,13.36,13.36,113400,13.36
2012-02-21,13.81,13.82,13.59,13.65,127300,13.65
2012-02-17,13.90,13.92,13.64,13.79,114100,13.79
2012-02-16,13.86,13.93,13.76,13.91,252200,13.91
2012-02-15,13.54,13.91,13.45,13.90,603800,13.90
2012-02-14,13.58,13.64,13.37,13.52,533600,13.52
2012-02-13,13.46,13.89,13.24,13.64,174200,13.64
2012-02-10,13.41,13.50,13.37,13.38,155100,13.38
2012-02-09,13.74,13.80,13.52,13.58,122800,13.58
2012-02-08,13.76,14.14,13.59,13.68,416100,13.68
2012-02-07,14.38,14.38,13.20,13.70,1563900,13.70
2012-02-06,14.35,14.52,14.30,14.38,166500,14.38
2012-02-03,14.40,14.41,14.19,14.41,426200,14.41
2012-02-02,14.34,14.38,14.12,14.14,172700,14.14
2012-02-01,14.24,14.40,14.14,14.26,367500,14.26
2012-01-31,14.16,14.22,13.98,14.11,198300,14.11
2012-01-30,13.98,14.16,13.70,14.10,195100,14.10
2012-01-27,13.75,14.17,13.75,14.05,121200,14.05
2012-01-26,13.92,13.92,13.71,13.82,133600,13.82
2012-01-25,13.64,13.87,13.50,13.86,152400,13.86
2012-01-24,13.48,13.66,13.42,13.64,205000,13.64
2012-01-23,13.51,13.65,13.40,13.52,144500,13.52
2012-01-20,13.40,13.72,13.40,13.58,219200,13.58
2012-01-19,13.40,13.46,13.21,13.45,277900,13.45
2012-01-18,13.21,13.52,13.12,13.42,379300,13.42
2012-01-17,13.14,13.31,13.01,13.24,181200,13.24
2012-01-13,12.71,13.04,12.71,13.03,137200,13.03
