Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,28.20,28.21,27.30,27.98,181700,27.98
2012-05-03,30.00,30.28,28.06,28.37,171600,28.37
2012-05-02,30.18,30.18,29.54,29.93,70000,29.93
2012-05-01,30.47,30.47,29.86,29.97,71100,29.97
2012-04-30,30.55,30.63,29.96,30.49,76000,30.49
2012-04-27,31.25,31.25,30.50,30.63,67200,30.63
2012-04-26,31.19,31.50,30.64,31.20,67600,31.20
2012-04-25,31.55,31.55,31.03,31.32,73100,31.25
2012-04-24,31.73,31.73,31.19,31.50,206800,31.43
2012-04-23,30.76,31.65,30.50,31.56,234800,31.49
2012-04-20,30.89,31.35,30.50,31.28,248800,31.22
2012-04-19,30.30,30.95,29.94,30.62,133400,30.56
2012-04-18,30.79,31.74,30.12,30.56,231700,30.50
2012-04-17,30.55,31.25,30.50,30.99,175200,30.93
2012-04-16,31.31,31.31,29.72,30.42,210100,30.36
2012-04-13,31.60,31.67,31.07,31.42,116200,31.35
2012-04-12,30.52,31.85,30.23,31.76,140300,31.69
2012-04-11,30.26,30.52,29.86,30.30,78900,30.24
2012-04-10,30.51,30.55,29.75,29.80,201900,29.74
2012-04-09,29.88,30.52,29.75,30.41,79000,30.35
2012-04-05,30.02,30.66,29.91,30.16,232300,30.10
2012-04-04,30.26,30.26,29.57,30.22,124800,30.16
2012-04-03,30.83,30.87,30.26,30.65,108400,30.59
2012-04-02,30.80,31.10,30.56,30.88,93700,30.82
2012-03-30,30.45,30.78,30.17,30.64,65000,30.58
2012-03-29,30.00,30.33,29.30,30.33,77600,30.27
2012-03-28,31.62,31.62,29.67,29.92,180000,29.86
2012-03-27,31.63,31.78,31.35,31.54,91000,31.47
2012-03-26,31.85,31.85,31.50,31.67,80000,31.60
2012-03-23,30.79,31.68,30.60,31.46,77300,31.39
2012-03-22,31.25,31.25,30.75,30.88,75900,30.82
2012-03-21,31.39,31.66,31.14,31.34,67700,31.27
2012-03-20,31.57,31.60,31.04,31.40,147200,31.33
2012-03-19,31.45,31.75,31.35,31.70,118600,31.63
2012-03-16,31.63,31.75,31.38,31.45,87100,31.38
2012-03-15,31.40,31.72,31.08,31.53,106300,31.46
2012-03-14,31.41,31.44,30.79,31.17,165100,31.11
2012-03-13,30.86,31.24,30.68,31.19,77200,31.13
2012-03-12,30.69,31.10,30.25,30.69,100000,30.63
2012-03-09,30.59,31.41,30.42,30.78,122100,30.72
2012-03-08,30.22,30.61,30.03,30.33,100100,30.27
2012-03-07,29.36,30.32,29.00,29.89,110600,29.83
2012-03-06,30.00,30.13,29.11,29.50,215700,29.44
2012-03-05,31.10,31.19,29.50,30.51,273700,30.45
2012-03-02,31.70,31.70,30.89,31.33,134600,31.26
2012-03-01,32.13,32.50,31.52,31.69,71000,31.62
2012-02-29,32.73,32.94,31.62,31.96,160700,31.89
2012-02-28,32.30,33.44,32.29,32.50,179700,32.43
2012-02-27,31.37,32.33,31.00,32.09,131500,32.02
2012-02-24,31.55,32.40,30.86,31.43,164000,31.36
2012-02-23,30.31,31.86,30.23,31.41,188900,31.34
2012-02-22,30.49,30.78,30.13,30.20,88900,30.14
2012-02-21,30.15,31.09,29.77,30.37,151200,30.31
2012-02-17,30.27,30.30,29.64,29.87,157200,29.81
2012-02-16,29.92,30.44,29.02,30.11,179500,30.05
