Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,37.37,38.38,37.00,37.94,842500,37.94
2012-05-03,36.15,36.60,35.75,36.53,251800,36.53
2012-05-02,35.41,36.32,35.33,36.25,166000,36.25
2012-05-01,35.92,36.31,35.69,35.74,220000,35.74
2012-04-30,36.00,36.18,35.54,35.97,365700,35.97
2012-04-27,35.93,36.04,35.65,35.93,332400,35.93
2012-04-26,35.45,35.85,35.45,35.83,154200,35.83
2012-04-25,35.17,35.55,35.17,35.43,224400,35.43
2012-04-24,34.41,35.01,34.24,35.01,253700,35.01
2012-04-23,34.76,34.76,34.33,34.52,186400,34.52
2012-04-20,35.18,35.38,34.95,35.04,118600,35.04
2012-04-19,35.05,35.36,34.79,35.18,290000,35.18
2012-04-18,34.64,35.07,34.62,35.03,176000,35.03
2012-04-17,34.74,34.91,34.51,34.76,423200,34.76
2012-04-16,34.47,34.66,33.90,34.47,465100,34.47
2012-04-13,34.70,35.09,34.61,35.01,265900,35.01
2012-04-12,34.17,34.75,33.96,34.70,148500,34.70
2012-04-11,34.25,34.30,33.94,34.23,163300,34.23
2012-04-10,34.21,34.29,33.97,33.99,386100,33.99
2012-04-09,34.43,34.56,34.13,34.29,321200,34.29
2012-04-05,34.20,34.99,34.00,34.65,501400,34.65
2012-04-04,34.11,34.32,33.75,34.21,570400,34.21
2012-04-03,34.68,34.80,34.20,34.43,195100,34.43
2012-04-02,34.05,34.78,33.84,34.71,703800,34.71
2012-03-30,33.99,34.36,33.79,34.20,593600,34.20
2012-03-29,33.67,34.03,33.58,33.97,403400,33.97
2012-03-28,33.83,34.25,33.72,33.85,186200,33.85
2012-03-27,34.34,34.40,33.72,33.75,207600,33.75
2012-03-26,34.17,34.65,34.10,34.33,383900,34.33
2012-03-23,33.54,34.02,33.25,33.99,252300,33.99
2012-03-22,33.02,33.68,32.96,33.58,257000,33.58
2012-03-21,33.06,33.27,32.74,33.13,305200,33.13
2012-03-20,32.65,33.04,32.60,32.98,251300,32.98
2012-03-19,32.75,33.03,32.54,32.91,369000,32.91
2012-03-16,32.90,33.14,32.59,33.02,642300,33.02
2012-03-15,32.41,33.13,32.36,32.92,322400,32.92
2012-03-14,32.84,32.99,31.82,32.54,1067200,32.54
2012-03-13,32.85,33.03,32.62,33.00,339900,33.00
2012-03-12,32.97,33.15,32.72,32.88,462500,32.88
2012-03-09,32.51,33.19,32.48,33.04,351400,33.04
2012-03-08,32.44,32.76,32.31,32.69,399500,32.69
2012-03-07,32.28,32.52,32.15,32.47,227600,32.47
2012-03-06,31.87,32.60,31.87,32.34,424800,32.34
2012-03-05,32.60,32.78,32.50,32.69,178400,32.69
2012-03-02,32.69,32.92,32.66,32.75,195000,32.75
2012-03-01,31.88,33.03,31.88,32.84,375500,32.84
2012-02-29,31.79,32.22,31.71,31.85,369800,31.85
2012-02-28,31.97,32.11,31.64,31.90,160400,31.90
2012-02-27,32.18,32.19,31.81,31.94,174200,31.94
2012-02-24,32.76,32.93,32.09,32.18,308800,32.18
2012-02-23,32.62,33.06,32.60,32.84,195500,32.84
2012-02-22,33.42,33.49,32.56,32.59,608700,32.59
2012-02-21,33.15,33.49,32.62,33.43,1065800,33.43
2012-02-17,32.08,33.49,31.54,32.85,1293900,32.85
2012-02-16,32.27,32.28,31.64,31.87,328300,31.87
2012-02-15,32.46,33.07,31.67,31.91,1031300,31.91
2012-02-14,32.39,32.68,32.00,32.03,329800,32.03
2012-02-13,31.52,33.18,31.41,32.32,892600,32.32
2012-02-10,30.90,31.34,30.85,31.15,256900,31.15
2012-02-09,30.03,31.11,29.60,31.02,351500,31.02
2012-02-08,29.96,30.91,29.91,30.15,399400,30.15
2012-02-07,29.42,29.94,29.34,29.77,230200,29.77
2012-02-06,29.32,29.58,29.00,29.49,101400,29.49
2012-02-03,29.15,29.44,29.14,29.32,113800,29.32
2012-02-02,29.05,29.06,28.80,29.02,135300,29.02
2012-02-01,28.78,29.16,28.74,28.99,326700,28.99
2012-01-31,29.52,29.65,28.60,28.69,273100,28.69
2012-01-30,29.72,29.72,29.36,29.40,155500,29.40
2012-01-27,29.52,30.00,29.50,29.86,187900,29.86
2012-01-26,29.61,29.65,29.21,29.58,263600,29.58
2012-01-25,29.57,29.73,29.50,29.62,164600,29.62
2012-01-24,29.57,29.71,29.50,29.66,341300,29.66
2012-01-23,29.56,29.75,29.56,29.67,169800,29.67
2012-01-20,29.54,29.63,29.43,29.53,181400,29.53
2012-01-19,29.52,29.55,29.06,29.54,399300,29.54
2012-01-18,29.27,29.55,28.85,29.52,102600,29.52
2012-01-17,29.50,29.50,29.20,29.24,129000,29.24
2012-01-13,29.27,29.48,29.19,29.47,88200,29.47
2012-01-12,28.85,29.70,28.61,29.37,248600,29.37
2012-01-11,28.70,29.03,28.69,28.80,170700,28.80
2012-01-10,29.00,29.22,28.70,28.78,109200,28.78
2012-01-09,28.96,29.25,28.82,28.86,124600,28.86
2012-01-06,28.96,29.26,28.73,28.88,106300,28.88
2012-01-05,28.47,28.95,28.27,28.91,101500,28.91
2012-01-04,28.09,28.85,28.09,28.59,189500,28.59
2012-01-03,28.88,29.00,27.95,28.25,226300,28.25
2011-12-30,28.52,28.75,28.52,28.64,89300,28.64
2011-12-29,28.69,28.70,28.29,28.57,144500,28.57
2011-12-28,28.75,28.80,28.49,28.53,84500,28.53
2011-12-27,28.55,28.80,28.45,28.70,266800,28.70
2011-12-23,28.89,29.02,28.42,28.55,267200,28.55
2011-12-22,29.12,29.23,28.74,28.75,221500,28.75
2011-12-21,28.92,29.05,28.48,29.02,418400,29.02
2011-12-20,29.29,29.30,28.88,29.01,310500,29.01
2011-12-19,29.21,29.57,28.82,28.99,328200,28.99
2011-12-16,29.17,29.19,28.86,29.10,298000,29.10
2011-12-15,29.15,29.26,28.92,28.98,173000,28.98
2011-12-14,29.31,29.45,28.76,28.81,383000,28.81
2011-12-13,29.78,30.13,29.13,29.50,171900,29.50
2011-12-12,29.85,29.85,29.23,29.78,234700,29.78
2011-12-09,29.69,30.02,29.58,29.83,226400,29.83
2011-12-08,29.11,30.37,29.11,29.59,701800,29.59
2011-12-07,28.82,29.18,28.54,29.10,181900,29.10
2011-12-06,29.00,29.33,28.71,29.15,282000,29.15
2011-12-05,29.16,29.31,28.71,29.17,224000,29.17
2011-12-02,29.17,29.28,28.59,28.88,463500,28.88
2011-12-01,29.00,29.10,28.65,29.00,308800,29.00
2011-11-30,29.37,29.79,28.94,29.12,420500,29.12
2011-11-29,28.59,29.29,28.36,28.91,802600,28.91
2011-11-28,27.33,29.25,27.33,28.37,1028600,28.37
2011-11-25,25.39,25.99,25.39,25.76,97200,25.76
2011-11-23,25.58,25.77,25.34,25.34,349400,25.34
2011-11-22,25.00,25.70,24.97,25.57,226600,25.57
2011-11-21,24.82,25.18,24.63,25.00,210900,25.00
2011-11-18,25.40,25.48,25.09,25.15,401300,25.15
2011-11-17,26.06,26.29,25.58,25.62,81800,25.62
2011-11-16,25.91,26.22,25.75,26.11,478300,26.11
2011-11-15,26.07,26.27,25.93,26.04,505300,26.04
2011-11-14,27.21,27.28,25.97,26.29,697900,26.29
2011-11-11,26.70,27.30,26.70,27.10,638700,27.10
2011-11-10,26.75,27.02,26.51,27.00,189700,27.00
2011-11-09,26.07,26.60,25.93,26.54,194100,26.54
2011-11-08,27.10,27.14,26.36,26.92,211500,26.92
2011-11-07,27.64,27.98,26.57,26.92,424000,26.92
2011-11-04,27.25,28.66,26.85,27.96,719600,27.96
2011-11-03,26.97,26.98,26.33,26.75,200700,26.75
2011-11-02,26.49,26.72,26.04,26.56,394800,26.56
2011-11-01,25.88,26.69,25.50,26.22,225900,26.22
2011-10-31,26.16,26.82,26.11,26.43,302700,26.43
2011-10-28,26.88,27.01,26.42,26.59,304500,26.59
2011-10-27,26.27,27.28,26.27,27.02,767600,27.02
2011-10-26,25.31,25.58,25.02,25.55,224800,25.55
2011-10-25,25.23,25.41,25.03,25.20,245500,25.20
2011-10-24,25.18,25.46,25.14,25.33,184000,25.33
2011-10-21,24.91,25.12,24.47,25.07,328500,25.07
2011-10-20,24.01,24.78,23.98,24.73,331000,24.73
2011-10-19,23.81,24.13,23.68,24.01,521300,24.01
2011-10-18,23.17,24.02,22.96,23.83,159200,23.83
2011-10-17,23.68,23.88,23.03,23.14,145200,23.14
2011-10-14,23.78,24.02,23.47,23.92,208900,23.92
2011-10-13,23.34,23.76,23.13,23.53,184500,23.53
2011-10-12,23.08,23.51,22.75,23.46,446900,23.46
2011-10-11,23.67,23.79,22.68,22.82,459900,22.82
2011-10-10,23.29,23.94,23.27,23.93,262300,23.93
2011-10-07,22.40,23.08,22.39,22.92,741800,22.92
2011-10-06,22.24,22.49,22.03,22.39,278600,22.39
2011-10-05,22.29,22.72,22.10,22.29,358900,22.29
2011-10-04,21.55,22.21,21.12,22.21,420200,22.21
2011-10-03,22.60,22.98,21.86,21.91,176000,21.91
2011-09-30,23.05,23.71,22.73,22.80,218600,22.80
2011-09-29,23.22,23.34,22.80,23.14,119500,23.14
2011-09-28,23.52,23.80,22.81,22.82,105900,22.82
2011-09-27,23.71,24.12,23.46,23.55,157200,23.55
2011-09-26,23.16,23.44,22.92,23.26,269600,23.26
2011-09-23,22.85,23.21,22.48,23.00,380000,23.00
2011-09-22,23.14,24.80,22.68,22.82,364300,22.82
2011-09-21,23.68,23.91,23.48,23.48,267800,23.48
2011-09-20,23.77,24.12,23.59,23.70,215600,23.70
2011-09-19,23.55,24.09,23.23,23.70,164100,23.70
2011-09-16,24.03,24.19,23.87,23.94,123900,23.94
2011-09-15,24.12,24.13,23.80,23.98,199800,23.98
2011-09-14,23.94,24.12,23.54,23.88,288700,23.88
2011-09-13,23.20,23.77,23.08,23.72,123000,23.72
2011-09-12,23.12,23.44,22.64,23.10,266200,23.10
2011-09-09,23.19,23.57,22.84,23.48,430600,23.48
2011-09-08,23.05,23.49,22.95,23.30,248400,23.30
2011-09-07,22.92,23.22,22.57,23.16,145700,23.16
2011-09-06,22.13,22.58,22.04,22.57,336300,22.57
2011-09-02,23.32,23.51,22.58,22.65,401500,22.65
2011-09-01,24.21,24.46,23.68,23.70,159700,23.70
2011-08-31,24.27,24.90,24.13,24.16,329600,24.16
2011-08-30,24.24,24.47,23.82,24.17,235900,24.17
2011-08-29,23.53,24.39,23.36,24.20,287600,24.20
2011-08-26,22.55,23.25,21.70,23.14,394200,23.14
2011-08-25,23.39,23.52,22.81,22.84,939500,22.84
2011-08-24,22.13,23.45,22.13,23.21,286400,23.21
2011-08-23,22.60,22.77,21.93,22.24,878000,22.24
2011-08-22,23.05,23.19,22.64,22.80,231700,22.80
2011-08-19,22.26,22.95,22.08,22.78,432200,22.78
2011-08-18,23.01,23.14,22.45,22.59,498200,22.59
2011-08-17,23.68,24.45,23.27,23.55,633700,23.55
2011-08-16,24.66,24.77,24.25,24.47,173200,24.47
2011-08-15,24.19,24.89,24.19,24.80,158200,24.80
2011-08-12,24.53,24.65,24.02,24.21,259200,24.21
2011-08-11,23.59,24.74,23.42,24.37,352300,24.37
2011-08-10,23.82,24.09,23.36,23.51,614900,23.51
2011-08-09,23.87,24.35,23.00,24.25,344200,24.25
2011-08-08,24.55,24.86,23.59,23.63,1491100,23.63
2011-08-05,25.66,25.68,24.65,25.11,397400,25.11
2011-08-04,26.25,26.52,25.55,25.59,693800,25.59
2011-08-03,26.30,26.34,25.66,26.34,372000,26.34
2011-08-02,26.53,26.73,26.24,26.26,414200,26.26
2011-08-01,26.79,26.79,26.45,26.66,297600,26.66
2011-07-29,26.34,26.69,26.33,26.50,172500,26.50
2011-07-28,26.48,26.59,26.30,26.50,271300,26.50
2011-07-27,26.86,26.86,26.34,26.50,329800,26.50
2011-07-26,27.34,27.34,26.85,26.89,93000,26.89
2011-07-25,27.23,27.56,26.99,27.35,242000,27.35
2011-07-22,27.17,27.45,26.93,27.38,146700,27.38
