Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,73.52,73.90,72.36,73.09,397500,73.09
2012-05-03,74.89,75.01,73.63,73.88,734700,73.88
2012-05-02,73.04,75.01,72.95,74.80,443600,74.80
2012-05-01,73.61,74.73,73.10,73.49,516800,73.49
2012-04-30,74.55,74.55,73.36,73.71,471000,73.71
2012-04-27,74.79,74.87,74.02,74.57,489100,74.57
2012-04-26,74.55,74.80,74.08,74.51,542200,74.51
2012-04-25,74.25,74.64,73.73,74.55,1004200,74.55
2012-04-24,76.52,76.61,73.47,73.54,978200,73.54
2012-04-23,78.25,78.29,76.30,76.35,806400,76.35
2012-04-20,79.01,79.46,78.85,79.04,242500,79.04
2012-04-19,79.82,80.00,78.06,78.60,287200,78.60
2012-04-18,79.91,80.23,79.43,80.00,336000,80.00
2012-04-17,79.01,80.29,78.60,79.94,285900,79.94
2012-04-16,77.92,78.55,77.43,78.40,230300,78.40
2012-04-13,77.78,78.45,77.36,77.68,186000,77.68
2012-04-12,78.19,78.81,77.91,78.07,327600,78.07
2012-04-11,77.70,78.23,77.03,78.18,300400,78.18
2012-04-10,79.65,79.88,76.80,76.85,367700,76.85
2012-04-09,80.49,80.75,79.50,79.80,423300,79.80
2012-04-05,82.39,82.85,81.20,81.57,361200,81.57
2012-04-04,83.50,83.69,80.40,82.59,499900,82.34
2012-04-03,83.56,84.76,83.42,84.27,388300,84.01
2012-04-02,83.00,84.22,82.53,83.45,319900,83.20
2012-03-30,84.05,84.21,83.28,83.28,187300,83.03
2012-03-29,83.80,83.95,82.81,83.54,207200,83.29
2012-03-28,83.50,84.32,82.60,84.27,265000,84.01
2012-03-27,83.72,83.89,83.22,83.33,188500,83.08
2012-03-26,83.27,83.87,83.07,83.69,186300,83.44
2012-03-23,82.43,82.68,81.36,82.62,98900,82.37
2012-03-22,82.75,82.89,81.53,82.44,192700,82.19
2012-03-21,82.82,83.89,81.88,83.20,233700,82.95
2012-03-20,82.29,82.97,82.14,82.62,145300,82.37
2012-03-19,82.93,83.30,82.32,82.75,240200,82.50
2012-03-16,83.80,84.09,83.15,83.22,389300,82.97
2012-03-15,84.20,84.39,83.23,83.83,249700,83.58
2012-03-14,84.24,84.44,83.13,84.21,183600,83.96
2012-03-13,82.88,84.28,82.56,84.25,178500,83.99
2012-03-12,82.27,82.84,81.75,82.60,162600,82.35
2012-03-09,81.72,82.97,81.60,82.28,159300,82.03
2012-03-08,81.00,82.15,80.36,81.54,166500,81.29
2012-03-07,79.86,80.94,79.57,80.47,221200,80.23
2012-03-06,80.05,80.23,79.39,79.66,228400,79.42
2012-03-05,80.12,80.76,79.91,80.54,144400,80.30
2012-03-02,79.44,80.47,78.61,80.23,279100,79.99
2012-03-01,79.68,80.11,79.21,79.42,210000,79.18
2012-02-29,79.65,80.20,78.87,79.41,233300,79.17
2012-02-28,80.55,80.62,79.20,79.55,125900,79.31
2012-02-27,79.27,80.60,78.79,80.34,242100,80.10
2012-02-24,80.21,81.51,79.11,79.59,182900,79.35
2012-02-23,80.57,80.82,79.97,80.19,163900,79.95
2012-02-22,80.40,81.29,79.97,80.62,185600,80.38
2012-02-21,81.13,81.51,80.22,80.42,233800,80.18
2012-02-17,80.44,81.15,80.44,80.74,132400,80.50
2012-02-16,80.04,81.10,79.78,80.08,224000,79.84
