Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,43.23,43.31,42.61,42.78,337500,42.78
2012-05-03,44.30,44.37,43.33,43.60,409000,43.60
2012-05-02,40.69,44.87,40.69,44.49,1240700,44.49
2012-05-01,40.76,41.87,40.71,41.08,246900,41.08
2012-04-30,41.35,41.47,40.55,40.78,213000,40.78
2012-04-27,41.29,41.66,40.88,41.31,299000,41.31
2012-04-26,40.68,41.40,40.66,41.08,412100,41.08
2012-04-25,40.93,41.34,40.74,40.85,270900,40.85
2012-04-24,40.09,40.79,39.94,40.46,236200,40.46
2012-04-23,40.32,40.35,39.95,40.13,343000,40.13
2012-04-20,40.72,41.00,40.46,40.85,232600,40.85
2012-04-19,41.04,41.45,40.18,40.37,226400,40.37
2012-04-18,41.72,41.91,40.57,41.04,455400,41.04
2012-04-17,41.58,42.14,41.58,41.86,168000,41.86
2012-04-16,41.56,41.65,40.79,41.20,123500,41.20
2012-04-13,41.75,41.75,41.10,41.43,300100,41.43
2012-04-12,41.77,42.16,41.64,41.98,282100,41.98
2012-04-11,42.38,42.43,41.42,41.64,414000,41.64
2012-04-10,42.35,42.52,41.61,41.88,399500,41.88
2012-04-09,41.80,42.51,41.62,42.34,319500,42.34
2012-04-05,42.47,42.68,42.23,42.52,387200,42.52
2012-04-04,42.69,42.82,42.20,42.70,224800,42.70
2012-04-03,43.37,43.59,43.00,43.16,227500,43.16
2012-04-02,43.26,43.59,42.92,43.45,337900,43.45
2012-03-30,44.52,44.70,43.10,43.25,445000,43.25
2012-03-29,44.12,44.38,43.78,44.16,239700,44.16
2012-03-28,44.80,44.86,43.99,44.51,321500,44.51
2012-03-27,45.72,45.87,44.79,44.86,335500,44.86
2012-03-26,45.08,45.77,45.08,45.66,396500,45.66
2012-03-23,44.80,44.80,43.93,44.60,218400,44.60
2012-03-22,44.48,44.91,44.14,44.68,256800,44.68
2012-03-21,45.09,45.37,44.42,45.17,301300,44.98
2012-03-20,45.10,45.28,44.78,44.95,178300,44.76
2012-03-19,45.17,45.80,44.92,45.53,409500,45.34
2012-03-16,45.85,46.00,45.29,45.33,456300,45.14
2012-03-15,46.28,46.30,45.44,45.67,652800,45.48
2012-03-14,46.51,46.64,45.49,46.18,337200,45.99
2012-03-13,45.52,46.75,45.35,46.68,635500,46.49
2012-03-12,45.28,45.70,44.93,45.15,460100,44.96
2012-03-09,44.50,45.85,43.88,45.31,400200,45.12
2012-03-08,44.74,45.00,43.99,44.63,557200,44.44
2012-03-07,43.70,44.76,43.49,44.68,587300,44.49
2012-03-06,40.50,43.67,40.12,43.27,1430900,43.09
2012-03-05,41.18,41.63,40.76,41.48,570600,41.31
2012-03-02,41.70,41.95,41.06,41.40,453500,41.23
2012-03-01,42.60,42.73,41.63,41.64,333600,41.47
2012-02-29,41.04,42.35,40.95,42.10,506700,41.92
2012-02-28,42.15,42.23,40.54,40.91,395500,40.74
2012-02-27,42.00,42.89,41.05,42.15,279400,41.97
2012-02-24,42.46,42.99,42.17,42.33,240600,42.15
2012-02-23,41.53,42.45,41.20,42.37,286500,42.19
2012-02-22,40.46,41.80,40.01,41.56,465300,41.39
2012-02-21,41.74,41.95,40.72,40.75,342500,40.58
2012-02-17,41.63,42.00,41.43,41.77,232900,41.60
2012-02-16,41.54,41.77,41.10,41.56,303700,41.39
2012-02-15,42.92,42.99,41.25,41.63,360700,41.46
2012-02-14,42.56,42.70,41.81,42.52,343000,42.34
2012-02-13,43.74,43.74,42.52,42.72,322000,42.54
2012-02-10,43.55,44.12,43.04,43.12,242700,42.94
2012-02-09,43.96,44.47,43.02,44.15,290700,43.97
2012-02-08,43.64,44.27,43.29,43.91,293900,43.73
2012-02-07,43.87,44.35,43.38,43.49,336500,43.31
2012-02-06,44.08,44.55,43.95,44.06,205600,43.88
2012-02-03,44.52,45.80,44.26,44.35,496100,44.17
2012-02-02,43.63,44.32,43.22,43.61,260600,43.43
2012-02-01,43.97,44.15,43.54,43.62,367200,43.44
2012-01-31,43.79,43.93,43.17,43.61,198000,43.43
2012-01-30,43.33,43.54,42.89,43.40,303700,43.22
2012-01-27,43.47,44.22,43.45,43.93,348800,43.75
2012-01-26,45.41,45.45,43.13,43.60,480900,43.42
2012-01-25,44.96,45.67,44.68,45.11,331900,44.92
2012-01-24,44.44,45.20,44.13,45.07,280100,44.88
2012-01-23,44.72,45.06,44.15,44.71,352500,44.52
