Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,21.84,22.63,21.84,22.47,84200,22.47
2012-05-03,20.69,21.60,20.69,21.51,39000,21.51
2012-05-02,21.03,21.25,20.73,20.82,45000,20.82
2012-05-01,21.14,21.25,20.25,20.78,32100,20.78
2012-04-30,20.92,21.31,20.92,21.13,25000,21.13
2012-04-27,20.52,21.31,20.52,20.78,33100,20.78
2012-04-26,21.85,21.87,20.98,21.09,37400,21.09
2012-04-25,22.22,22.30,21.66,21.67,39000,21.67
2012-04-24,22.74,22.89,22.47,22.70,32300,22.70
2012-04-23,23.20,23.40,22.79,22.84,149800,22.84
2012-04-20,22.15,22.30,21.78,22.18,137800,22.18
2012-04-19,22.02,22.46,21.63,22.15,14700,22.15
2012-04-18,22.09,22.09,21.81,21.98,7400,21.98
2012-04-17,22.12,22.37,21.62,21.79,11800,21.79
2012-04-16,22.36,23.05,22.30,22.73,30200,22.73
2012-04-13,22.22,22.69,22.16,22.68,310500,22.68
2012-04-12,23.00,23.00,21.97,22.04,37600,22.04
2012-04-11,23.17,23.28,22.91,23.14,78100,23.14
2012-04-10,22.62,23.97,22.47,23.90,67300,23.90
2012-04-09,22.50,22.72,22.41,22.48,27000,22.48
2012-04-05,21.73,21.81,21.47,21.64,7700,21.64
2012-04-04,21.46,21.71,21.30,21.53,28500,21.53
2012-04-03,20.90,21.18,20.62,20.79,66000,20.79
2012-04-02,21.29,21.38,20.46,20.72,201500,20.72
2012-03-30,20.96,21.49,20.96,21.23,12100,21.23
2012-03-29,21.81,22.03,21.33,21.36,19300,21.36
2012-03-28,21.04,21.75,20.93,21.36,47300,21.36
2012-03-27,20.63,20.94,20.62,20.93,19700,20.93
2012-03-26,21.06,21.13,20.75,20.75,123300,20.75
2012-03-23,21.90,22.36,21.59,21.63,50500,21.63
2012-03-22,21.85,22.22,21.72,21.92,33000,21.92
2012-03-21,21.09,21.54,21.09,21.32,20000,21.32
2012-03-20,21.34,21.67,21.26,21.36,67000,21.36
2012-03-19,21.30,21.30,20.75,21.00,40600,21.00
2012-03-16,21.11,21.19,21.04,21.15,9900,21.15
2012-03-15,21.52,21.71,21.12,21.16,21800,21.16
2012-03-14,21.36,21.78,21.18,21.66,56300,21.66
