Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,12.40,12.41,11.99,12.05,97400,12.05
2012-05-03,12.50,12.57,12.32,12.44,99000,12.44
2012-05-02,12.74,12.74,12.40,12.56,135000,12.56
2012-05-01,13.10,13.10,12.61,12.81,106600,12.81
2012-04-30,13.58,13.60,13.03,13.04,74000,13.04
2012-04-27,13.10,13.50,12.90,13.50,50200,13.50
2012-04-26,13.05,13.16,12.60,13.01,65400,13.01
2012-04-25,12.99,13.09,12.88,13.05,98200,13.05
2012-04-24,12.61,12.83,12.49,12.75,79600,12.75
2012-04-23,12.68,12.68,12.29,12.51,78400,12.51
2012-04-20,13.04,13.14,12.59,12.81,114800,12.81
2012-04-19,12.90,12.95,12.73,12.83,92900,12.83
2012-04-18,12.73,12.99,12.70,12.91,39200,12.91
2012-04-17,13.00,13.05,12.85,12.88,28300,12.88
2012-04-16,13.13,13.13,12.85,12.91,82900,12.91
2012-04-13,13.25,13.25,13.01,13.09,51100,13.09
2012-04-12,12.98,13.31,12.98,13.27,36200,13.27
2012-04-11,12.98,13.08,12.73,12.94,36500,12.94
2012-04-10,12.71,13.00,12.59,12.81,78200,12.81
2012-04-09,12.61,12.92,12.60,12.78,44700,12.78
2012-04-05,12.91,13.07,12.85,12.85,18900,12.85
2012-04-04,13.01,13.23,12.90,12.95,40500,12.95
2012-04-03,13.17,13.29,13.05,13.12,45700,13.12
2012-04-02,13.15,13.30,13.15,13.27,52900,13.27
2012-03-30,13.50,13.57,13.17,13.20,65600,13.20
2012-03-29,13.33,13.54,13.08,13.42,53000,13.42
2012-03-28,13.25,13.51,13.09,13.43,78000,13.43
2012-03-27,13.61,13.71,13.26,13.31,37300,13.31
2012-03-26,13.57,13.82,13.16,13.74,40000,13.74
2012-03-23,13.55,13.55,13.40,13.46,26700,13.46
2012-03-22,13.23,13.48,13.23,13.42,24400,13.42
2012-03-21,13.45,13.65,13.40,13.47,16600,13.47
2012-03-20,13.61,13.73,13.32,13.44,45800,13.44
2012-03-19,13.03,13.85,13.00,13.77,55500,13.77
2012-03-16,13.12,13.21,12.95,13.11,112300,13.11
2012-03-15,13.62,13.62,12.97,13.22,181500,13.22
2012-03-14,14.01,14.01,13.58,13.58,22000,13.58
2012-03-13,13.79,14.00,13.66,13.99,30800,13.99
2012-03-12,13.83,13.83,13.51,13.65,36100,13.65
2012-03-09,13.43,13.90,13.43,13.75,26900,13.75
2012-03-08,13.40,13.63,13.04,13.39,31200,13.39
2012-03-07,12.91,13.38,12.85,13.26,49100,13.26
2012-03-06,12.93,12.97,12.81,12.88,49400,12.88
2012-03-05,12.63,13.01,12.63,12.97,33600,12.97
2012-03-02,13.25,13.44,12.56,12.71,50200,12.71
2012-03-01,14.01,14.05,13.21,13.24,53000,13.24
2012-02-29,14.15,14.26,13.95,13.99,37700,13.99
2012-02-28,14.08,14.22,13.96,14.17,28400,14.17
2012-02-27,14.02,14.14,13.84,14.00,46500,14.00
2012-02-24,14.11,14.18,13.83,14.15,31500,14.15
2012-02-23,13.63,14.06,13.40,13.99,34400,13.99
2012-02-22,13.52,13.74,13.41,13.66,25700,13.66
2012-02-21,13.73,13.87,13.43,13.51,35200,13.51
2012-02-17,13.85,13.85,13.60,13.74,17900,13.74
2012-02-16,13.46,13.90,13.32,13.80,38200,13.80
2012-02-15,13.71,13.71,13.27,13.42,57400,13.42
2012-02-14,14.24,14.27,13.48,13.65,130500,13.65
2012-02-13,14.06,14.37,13.86,14.27,32300,14.27
2012-02-10,13.88,14.11,13.78,13.85,46500,13.85
2012-02-09,14.55,14.55,14.05,14.11,33100,14.11
2012-02-08,14.40,14.64,14.20,14.46,58500,14.46
2012-02-07,14.49,14.49,14.32,14.38,40400,14.38
2012-02-06,14.78,14.78,14.38,14.57,62900,14.57
2012-02-03,14.61,15.02,14.47,14.91,84300,14.91
2012-02-02,14.24,14.46,14.22,14.33,32600,14.33
2012-02-01,13.85,14.37,13.56,14.25,67400,14.25
2012-01-31,14.25,14.25,13.50,13.79,96200,13.79
2012-01-30,14.61,14.61,14.09,14.19,75100,14.19
2012-01-27,14.61,14.79,14.49,14.70,39900,14.70
2012-01-26,14.88,14.90,14.56,14.70,111800,14.70
2012-01-25,14.29,14.95,14.14,14.89,46200,14.89
2012-01-24,14.30,14.38,13.87,14.29,128900,14.29
2012-01-23,14.74,14.74,14.37,14.48,31800,14.48
2012-01-20,14.87,14.97,14.55,14.70,35500,14.70
2012-01-19,14.95,14.95,14.71,14.85,28600,14.85
2012-01-18,14.45,14.90,14.35,14.86,51400,14.86
2012-01-17,14.60,14.73,14.37,14.55,39100,14.55
2012-01-13,14.39,14.55,14.23,14.48,40300,14.48
2012-01-12,14.60,14.72,14.34,14.60,30100,14.60
2012-01-11,14.47,14.93,14.23,14.63,66400,14.63
2012-01-10,14.49,14.57,14.27,14.54,29700,14.54
2012-01-09,14.67,14.67,14.13,14.25,68400,14.25
2012-01-06,14.47,14.83,14.28,14.60,43300,14.60
2012-01-05,14.43,14.56,14.28,14.41,70700,14.41
2012-01-04,14.76,14.76,14.28,14.57,34400,14.57
2012-01-03,14.85,14.95,14.39,14.89,28700,14.89
2011-12-30,14.21,14.54,14.00,14.46,32000,14.46
2011-12-29,14.21,14.61,14.08,14.23,45900,14.23
2011-12-28,14.43,14.43,14.10,14.18,27200,14.18
2011-12-27,14.49,14.60,14.32,14.51,21900,14.51
2011-12-23,14.60,14.63,14.30,14.60,31000,14.60
2011-12-22,14.95,15.00,14.53,14.57,32900,14.57
2011-12-21,15.07,15.07,14.26,14.91,40000,14.91
2011-12-20,14.57,15.21,14.51,15.15,82600,15.15
2011-12-19,14.59,14.68,14.12,14.17,32300,14.17
2011-12-16,14.21,14.73,13.99,14.49,61800,14.49
2011-12-15,14.20,14.28,13.92,14.10,56900,14.10
2011-12-14,13.50,14.36,13.50,14.08,87400,14.08
2011-12-13,13.96,14.13,13.52,13.70,70800,13.70
2011-12-12,13.86,13.95,13.40,13.85,113300,13.85
2011-12-09,13.52,14.15,13.52,14.03,51000,14.03
2011-12-08,13.97,14.11,13.45,13.47,40600,13.47
2011-12-07,14.17,14.25,13.70,14.17,41900,14.17
2011-12-06,13.69,14.41,13.64,14.32,71800,14.32
2011-12-05,13.67,13.75,13.51,13.75,46000,13.75
2011-12-02,13.33,13.54,13.18,13.43,35100,13.43
2011-12-01,13.67,13.74,13.07,13.09,59800,13.09
2011-11-30,13.06,13.75,12.88,13.71,78000,13.71
2011-11-29,12.62,12.73,12.42,12.48,40500,12.48
2011-11-28,12.67,13.02,12.46,12.62,54900,12.62
2011-11-25,12.40,12.62,12.15,12.21,33300,12.21
2011-11-23,13.07,13.08,12.50,12.63,45200,12.63
2011-11-22,13.50,13.61,13.23,13.24,35700,13.24
2011-11-21,13.44,13.65,13.24,13.48,66300,13.48
2011-11-18,13.88,14.13,13.65,13.73,41500,13.73
2011-11-17,13.89,14.17,13.68,13.89,51700,13.89
2011-11-16,13.97,14.61,13.85,13.89,61700,13.89
2011-11-15,13.41,14.37,13.41,14.17,51000,14.17
2011-11-14,13.76,13.76,13.29,13.51,48200,13.51
2011-11-11,13.51,13.99,13.30,13.95,41800,13.95
2011-11-10,13.55,13.64,13.25,13.38,33700,13.38
2011-11-09,13.72,14.03,13.33,13.35,62100,13.35
2011-11-08,13.46,14.27,13.29,14.22,45800,14.22
2011-11-07,13.56,13.75,13.07,13.46,25900,13.46
2011-11-04,13.94,13.94,13.32,13.62,25100,13.62
2011-11-03,13.58,14.11,13.23,14.07,38100,14.07
2011-11-02,13.44,13.52,13.19,13.35,47200,13.35
2011-11-01,13.55,13.91,12.80,13.19,125200,13.19
2011-10-31,14.93,14.93,13.72,13.76,69600,13.76
2011-10-28,14.89,15.28,14.89,15.18,42400,15.18
2011-10-27,13.96,15.10,13.96,15.02,97300,15.02
2011-10-26,13.57,14.10,12.90,13.99,52400,13.99
2011-10-25,13.96,14.01,13.31,13.33,29800,13.33
2011-10-24,13.57,14.11,13.55,14.07,44100,14.07
2011-10-21,14.14,14.20,13.36,13.58,28100,13.58
2011-10-20,13.59,14.01,12.94,13.89,75600,13.89
2011-10-19,14.15,14.15,13.52,13.55,32800,13.55
2011-10-18,13.94,14.47,13.61,14.15,59000,14.15
2011-10-17,14.53,14.70,13.70,13.79,57700,13.79
2011-10-14,14.49,14.68,14.17,14.61,65100,14.61
2011-10-13,13.73,14.40,13.50,14.30,45800,14.30
2011-10-12,13.50,14.00,13.50,13.90,68200,13.90
2011-10-11,13.12,13.77,13.12,13.45,67600,13.45
2011-10-10,12.98,13.26,12.89,13.26,42800,13.26
2011-10-07,13.17,13.18,12.63,12.74,32400,12.74
2011-10-06,13.52,13.57,12.87,13.17,37000,13.17
2011-10-05,13.58,13.74,13.20,13.62,81200,13.62
2011-10-04,11.98,13.91,11.66,13.60,101400,13.60
2011-10-03,12.74,12.88,12.12,12.13,72100,12.13
2011-09-30,12.78,13.42,12.64,12.83,68400,12.83
2011-09-29,13.16,13.20,12.71,13.04,54200,13.04
2011-09-28,12.79,13.24,12.51,12.74,119600,12.74
2011-09-27,11.71,12.84,11.68,12.76,99600,12.76
2011-09-26,11.35,11.42,11.02,11.42,69000,11.42
2011-09-23,11.08,11.39,10.98,11.23,46900,11.23
2011-09-22,11.10,11.55,10.92,11.15,111600,11.15
2011-09-21,12.34,12.57,11.97,12.00,87300,12.00
2011-09-20,12.55,12.75,12.28,12.31,65400,12.31
2011-09-19,12.76,12.88,12.27,12.56,28400,12.56
2011-09-16,13.27,13.39,12.71,13.06,56800,13.06
2011-09-15,13.09,13.25,12.94,13.15,22800,13.15
