Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,18.26,18.59,18.00,18.36,766600,18.36
2012-05-03,19.06,19.24,18.85,18.91,653900,18.54
2012-05-02,19.20,19.29,18.95,19.07,673000,18.69
2012-05-01,19.50,19.55,19.11,19.25,857700,18.87
2012-04-30,19.05,19.50,18.91,19.49,1830400,19.10
2012-04-27,19.69,19.75,19.02,19.08,1718800,18.70
2012-04-26,18.50,20.24,18.13,19.51,7647000,19.12
2012-04-25,16.19,16.85,16.17,16.84,788100,16.51
2012-04-24,15.88,16.15,15.86,16.12,414800,15.80
2012-04-23,15.80,16.13,15.73,15.86,662700,15.55
2012-04-20,15.70,15.88,15.22,15.85,1600400,15.54
2012-04-19,15.77,15.89,15.61,15.69,721100,15.38
2012-04-18,16.00,16.00,15.68,15.74,687200,15.43
2012-04-17,16.03,16.15,15.96,16.00,460500,15.68
2012-04-16,16.14,16.17,15.94,16.03,471300,15.71
2012-04-13,16.15,16.19,16.07,16.08,323400,15.76
2012-04-12,16.20,16.40,16.15,16.16,2517300,15.84
2012-04-11,16.19,16.25,16.13,16.16,661700,15.84
2012-04-10,16.21,16.25,16.10,16.15,602400,15.83
2012-04-09,16.29,16.29,16.19,16.23,585300,15.91
2012-04-05,16.35,16.46,16.20,16.25,741800,15.93
2012-04-04,16.32,16.47,16.22,16.38,733200,16.06
2012-04-03,16.30,16.49,16.27,16.39,831000,16.06
2012-04-02,16.34,16.37,16.20,16.30,895500,15.98
2012-03-30,16.11,16.57,16.08,16.37,1329200,16.05
2012-03-29,16.26,16.37,16.11,16.13,645800,15.81
2012-03-28,16.41,16.53,16.06,16.34,668200,16.02
2012-03-27,16.19,16.53,16.08,16.43,1218000,16.10
2012-03-26,16.23,16.30,16.04,16.15,537800,15.83
2012-03-23,16.32,16.42,16.15,16.22,670100,15.90
2012-03-22,16.44,16.45,16.20,16.35,724500,16.03
2012-03-21,16.14,16.80,16.11,16.48,1299100,16.15
2012-03-20,16.01,16.08,15.80,15.86,657900,15.55
2012-03-19,16.01,16.15,15.99,16.07,502700,15.75
2012-03-16,15.92,16.24,15.84,15.97,1044500,15.65
2012-03-15,15.72,15.95,15.06,15.86,1820900,15.55
2012-03-14,16.23,16.35,15.62,15.82,1429400,15.51
2012-03-13,16.28,16.40,16.20,16.30,657600,15.98
2012-03-12,16.75,16.77,16.07,16.23,1205600,15.91
2012-03-09,16.66,16.86,16.54,16.73,873900,16.40
2012-03-08,17.02,17.12,16.55,16.67,1491400,16.34
2012-03-07,17.15,17.22,17.01,17.05,689000,16.71
2012-03-06,17.26,17.33,17.01,17.15,849900,16.81
2012-03-05,17.59,17.62,17.30,17.33,912700,16.99
2012-03-02,17.50,17.75,17.50,17.62,881000,17.27
2012-03-01,17.40,17.59,17.11,17.53,1215900,17.18
2012-02-29,17.59,17.71,17.30,17.46,982700,17.11
2012-02-28,17.84,17.89,17.60,17.67,1139700,17.32
2012-02-27,17.92,18.04,17.60,17.80,662000,17.45
2012-02-24,18.00,18.10,17.82,17.98,580000,17.62
2012-02-23,17.82,18.05,17.81,18.00,581200,17.64
2012-02-22,18.14,18.30,17.80,17.98,527300,17.62
2012-02-21,18.32,18.45,18.10,18.21,548400,17.85
2012-02-17,18.28,18.38,18.25,18.33,824700,17.97
2012-02-16,18.23,18.32,18.19,18.28,623800,17.92
2012-02-15,18.14,18.31,18.00,18.20,894400,17.84
2012-02-14,18.10,18.49,17.93,18.13,734600,17.77
2012-02-13,18.16,18.19,17.91,18.07,802100,17.71
2012-02-10,18.10,18.14,17.78,18.06,1121800,17.70
2012-02-09,18.07,18.20,17.87,18.14,816600,17.78
2012-02-08,18.00,18.08,17.69,18.02,1147500,17.66
2012-02-07,18.02,18.04,17.55,18.00,1894100,17.64
2012-02-06,18.50,18.58,18.00,18.04,1181300,17.68
2012-02-03,17.75,18.52,17.52,18.50,2725900,18.13
2012-02-02,18.67,18.94,18.13,18.40,2568000,17.34
2012-02-01,18.93,19.20,18.39,18.67,1811200,17.60
2012-01-31,18.17,18.86,17.95,18.85,2837500,17.77
2012-01-30,17.11,18.22,17.01,17.92,4749400,16.89
2012-01-27,21.67,21.67,17.02,17.33,11089100,16.34
2012-01-26,22.77,22.79,22.31,22.68,955200,21.38
2012-01-25,22.41,22.75,22.22,22.66,961200,21.36
2012-01-24,22.72,22.74,22.19,22.25,803200,20.97
2012-01-23,22.55,23.08,22.55,22.72,759200,21.42
2012-01-20,22.07,22.60,21.95,22.48,915600,21.19
2012-01-19,22.38,22.43,21.90,22.00,1236200,20.74
2012-01-18,22.58,22.76,22.27,22.43,1039700,21.14
2012-01-17,23.24,23.47,22.51,22.62,1220600,21.32
2012-01-13,23.50,23.50,22.87,23.24,809100,21.91
2012-01-12,24.15,24.32,23.50,23.57,709600,22.22
2012-01-11,24.25,24.33,23.95,24.05,547200,22.67
2012-01-10,24.34,24.41,24.02,24.22,691400,22.83
2012-01-09,24.41,24.41,23.98,24.13,517200,22.75
2012-01-06,24.39,24.45,24.12,24.29,558100,22.90
2012-01-05,24.40,24.59,24.31,24.39,526500,22.99
2012-01-04,24.40,24.60,24.30,24.40,690500,23.00
2012-01-03,24.60,24.99,24.35,24.42,626800,23.02
2011-12-30,24.20,24.74,24.19,24.42,986200,23.02
2011-12-29,24.40,24.47,24.07,24.30,768100,22.91
2011-12-28,24.27,24.54,24.03,24.51,564400,23.10
2011-12-27,24.34,24.53,24.09,24.20,554800,22.81
2011-12-23,24.38,24.55,24.14,24.31,504900,22.91
2011-12-22,24.45,24.61,24.11,24.39,622100,22.99
2011-12-21,24.30,24.60,24.04,24.45,483300,23.05
2011-12-20,24.66,24.73,24.25,24.27,650300,22.88
2011-12-19,24.52,24.90,24.27,24.40,844900,23.00
2011-12-16,24.24,24.73,24.05,24.45,1078200,23.05
2011-12-15,23.46,24.04,23.36,23.98,986600,22.60
2011-12-14,22.54,23.35,22.54,23.33,752300,21.99
2011-12-13,23.48,23.70,22.67,22.81,1094600,21.50
2011-12-12,23.71,23.81,23.30,23.47,635800,22.12
2011-12-09,23.74,24.10,23.70,23.92,746600,22.55
2011-12-08,23.80,24.30,23.55,23.75,750700,22.39
2011-12-07,23.69,23.99,23.53,23.84,610000,22.47
2011-12-06,24.27,24.66,23.42,23.92,1004200,22.55
2011-12-05,24.33,24.40,23.90,24.04,614500,22.66
2011-12-02,24.26,24.45,24.05,24.14,790400,22.75
2011-12-01,24.30,24.46,24.10,24.26,508000,22.87
2011-11-30,24.58,24.65,23.82,24.18,661300,22.79
2011-11-29,23.66,24.39,23.63,24.13,614400,22.75
2011-11-28,23.96,24.12,23.35,23.49,615400,22.14
2011-11-25,23.58,23.89,23.35,23.48,261000,22.13
2011-11-23,23.86,24.00,23.50,23.64,680800,22.28
2011-11-22,24.19,24.64,23.88,23.99,616600,22.61
2011-11-21,23.66,23.99,23.31,23.97,814900,22.59
2011-11-18,23.71,24.00,23.54,23.82,1032400,22.45
2011-11-17,23.55,23.83,23.07,23.57,1107600,22.22
2011-11-16,24.70,25.00,23.60,23.76,1320800,22.40
2011-11-15,27.90,27.90,24.51,24.69,1873400,23.27
2011-11-14,26.66,27.91,26.66,27.54,539600,25.96
2011-11-11,27.08,27.18,26.56,26.68,505000,25.15
2011-11-10,26.91,27.09,26.37,27.02,338200,25.47
2011-11-09,26.58,27.03,26.38,26.62,393900,25.09
2011-11-08,27.47,27.47,26.60,27.07,442300,25.52
2011-11-07,27.50,27.50,26.81,27.17,393200,25.61
2011-11-04,27.59,27.71,27.18,27.60,305200,26.02
2011-11-03,27.65,27.79,27.04,27.64,596200,26.05
2011-11-02,28.31,28.53,28.10,28.35,586500,26.06
2011-11-01,28.35,28.60,27.80,27.88,598400,25.63
2011-10-31,28.81,28.88,28.30,28.71,468900,26.39
2011-10-28,28.07,28.86,28.06,28.74,507400,26.42
2011-10-27,27.87,28.49,27.30,28.19,649600,25.91
2011-10-26,27.13,27.40,26.95,27.17,339900,24.97
2011-10-25,27.65,27.75,26.74,26.76,505000,24.60
2011-10-24,27.30,27.74,27.12,27.65,488700,25.42
2011-10-21,26.43,27.17,26.26,27.12,694100,24.93
2011-10-20,25.84,26.21,25.71,26.15,615400,24.04
2011-10-19,25.72,25.95,25.56,25.72,923500,23.64
2011-10-18,25.45,25.86,25.21,25.61,967500,23.54
2011-10-17,24.98,25.49,24.98,25.32,851000,23.27
2011-10-14,24.60,25.04,24.38,24.99,1086800,22.97
2011-10-13,23.55,24.34,23.53,24.25,1112900,22.29
2011-10-12,23.80,23.96,23.36,23.58,807500,21.67
2011-10-11,23.36,23.71,23.00,23.62,683600,21.71
2011-10-10,23.62,23.85,23.17,23.40,594300,21.51
2011-10-07,24.00,24.10,23.03,23.17,570000,21.30
2011-10-06,23.45,24.00,23.10,23.79,496300,21.87
2011-10-05,23.50,23.59,23.15,23.39,605300,21.50
2011-10-04,23.65,23.70,22.70,23.48,1000000,21.58
2011-10-03,24.80,25.15,23.91,23.96,807800,22.02
2011-09-30,25.35,25.35,24.91,25.02,495300,23.00
2011-09-29,25.94,25.97,25.20,25.45,459900,23.39
2011-09-28,26.58,26.72,25.50,25.50,479400,23.44
2011-09-27,25.94,26.61,25.93,26.46,576100,24.32
2011-09-26,25.61,25.83,25.22,25.52,536000,23.46
2011-09-23,25.79,26.01,25.34,25.60,608900,23.53
2011-09-22,26.32,26.34,25.53,25.85,812600,23.76
2011-09-21,27.44,27.50,26.75,26.81,503500,24.64
2011-09-20,27.76,28.02,27.42,27.44,808600,25.22
