Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,19.69,20.01,19.25,19.50,222000,19.50
2012-05-03,20.17,20.33,19.54,19.87,270700,19.87
2012-05-02,20.13,20.42,19.82,20.25,292800,20.25
2012-05-01,20.70,20.98,20.31,20.37,435900,20.37
2012-04-30,20.50,20.82,20.39,20.69,366700,20.69
2012-04-27,21.30,21.65,20.42,20.44,580500,20.44
2012-04-26,18.63,21.00,18.63,20.48,844700,20.48
2012-04-25,18.54,18.75,18.45,18.61,216400,18.61
2012-04-24,18.04,18.46,18.01,18.22,213500,18.22
2012-04-23,18.00,18.72,17.75,18.08,205400,18.08
2012-04-20,18.63,18.83,18.32,18.35,307600,18.35
2012-04-19,18.90,19.17,17.99,18.33,483700,18.33
2012-04-18,19.47,19.51,18.94,18.95,151700,18.95
2012-04-17,19.23,19.95,19.23,19.65,181300,19.65
2012-04-16,19.00,19.24,18.66,19.09,181900,19.09
2012-04-13,19.13,19.22,18.85,18.88,235400,18.88
2012-04-12,19.06,19.35,19.05,19.28,400900,19.28
2012-04-11,19.17,19.46,19.00,19.07,293200,19.07
2012-04-10,19.50,19.67,19.01,19.02,175400,19.02
2012-04-09,19.45,19.93,19.25,19.51,182000,19.51
2012-04-05,19.58,19.90,19.44,19.83,151900,19.83
2012-04-04,19.77,20.09,19.59,19.72,250400,19.72
2012-04-03,20.05,20.38,19.93,20.07,218400,20.07
2012-04-02,20.29,20.37,19.93,20.16,404500,20.16
2012-03-30,20.98,20.98,20.26,20.34,256200,20.34
2012-03-29,20.67,20.95,20.44,20.75,123400,20.75
2012-03-28,21.08,21.43,20.72,20.89,202600,20.89
2012-03-27,21.54,21.54,21.11,21.11,181600,21.11
2012-03-26,21.24,21.77,21.24,21.55,156500,21.55
2012-03-23,20.81,21.13,20.77,21.00,161600,21.00
2012-03-22,20.85,21.18,20.77,20.84,155400,20.84
2012-03-21,20.75,21.34,20.68,20.99,177900,20.99
2012-03-20,20.40,20.85,20.34,20.67,290800,20.67
2012-03-19,20.22,20.72,20.19,20.66,464100,20.66
2012-03-16,20.65,20.66,19.97,20.24,816100,20.24
2012-03-15,21.02,21.07,20.62,20.73,284700,20.73
2012-03-14,21.69,21.91,20.92,21.01,200500,21.01
2012-03-13,21.49,21.82,21.36,21.78,201200,21.78
2012-03-12,21.40,21.62,21.16,21.33,149900,21.33
2012-03-09,20.95,21.59,20.89,21.42,228900,21.42
2012-03-08,20.92,21.16,20.70,20.96,381900,20.96
2012-03-07,20.45,20.91,20.21,20.81,233700,20.81
2012-03-06,20.61,20.63,20.02,20.43,357100,20.43
2012-03-05,20.85,20.98,20.70,20.92,232300,20.92
2012-03-02,21.37,21.49,20.86,20.98,310400,20.98
2012-03-01,21.26,21.62,21.05,21.40,379300,21.40
2012-02-29,21.77,22.27,21.21,21.23,346900,21.23
2012-02-28,22.00,22.36,21.58,21.78,270700,21.78
2012-02-27,22.30,22.49,21.90,21.90,499500,21.90
2012-02-24,22.11,22.25,21.66,21.95,182100,21.95
2012-02-23,21.79,22.38,21.55,22.14,211100,22.14
2012-02-22,21.45,21.80,21.06,21.67,247300,21.67
2012-02-21,21.65,21.83,21.33,21.51,184300,21.51
2012-02-17,21.73,21.96,21.37,21.69,284600,21.69
2012-02-16,20.88,21.75,20.56,21.74,314300,21.74
2012-02-15,21.23,21.41,20.73,20.91,314000,20.91
2012-02-14,20.62,21.14,20.22,21.12,641400,21.12
2012-02-13,21.08,22.06,20.97,21.98,430300,21.98
2012-02-10,21.21,21.24,20.69,21.09,274200,21.09
2012-02-09,21.52,21.78,21.37,21.52,242500,21.52
2012-02-08,21.28,21.73,21.27,21.53,187500,21.53
2012-02-07,21.06,21.41,20.94,21.29,307900,21.29
2012-02-06,20.76,21.43,20.68,21.30,229400,21.30
2012-02-03,21.30,21.30,20.86,20.93,264500,20.93
2012-02-02,20.71,20.85,20.50,20.66,279900,20.66
2012-02-01,20.81,20.81,20.50,20.66,336300,20.66
2012-01-31,20.42,20.73,20.23,20.66,342100,20.66
2012-01-30,20.24,20.70,20.22,20.37,173200,20.37
2012-01-27,20.21,20.87,20.21,20.48,143400,20.48
2012-01-26,20.53,20.70,20.26,20.37,174800,20.37
2012-01-25,20.42,20.61,20.25,20.48,226200,20.48
2012-01-24,20.43,20.73,20.41,20.51,306700,20.51
2012-01-23,20.56,21.28,20.44,20.51,398800,20.51
2012-01-20,20.00,21.55,20.00,20.80,1180500,20.80
2012-01-19,19.00,20.29,18.38,19.92,1211700,19.92
2012-01-18,16.47,17.27,16.34,17.05,379000,17.05
2012-01-17,15.84,16.57,15.72,16.48,439900,16.48
2012-01-13,16.34,16.57,16.04,16.40,253700,16.40
