Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,11.05,11.11,10.84,10.84,405700,10.84
2012-05-03,11.45,11.50,11.13,11.17,447200,11.17
2012-05-02,11.52,11.89,11.32,11.49,664200,11.49
2012-05-01,11.55,11.85,11.32,11.33,591800,11.33
2012-04-30,11.67,11.77,11.48,11.58,445200,11.58
2012-04-27,11.36,11.68,11.36,11.65,529600,11.65
2012-04-26,11.17,11.43,11.17,11.31,538100,11.31
2012-04-25,11.19,11.30,11.04,11.17,238400,11.17
2012-04-24,10.90,11.18,10.87,11.09,275200,11.09
2012-04-23,10.91,10.97,10.73,10.92,270300,10.92
2012-04-20,11.15,11.24,11.02,11.04,337000,11.04
2012-04-19,11.25,11.28,10.99,11.01,310800,11.01
2012-04-18,11.35,11.53,11.09,11.21,255100,11.21
2012-04-17,11.30,11.55,11.24,11.41,358100,11.41
2012-04-16,11.35,11.41,11.13,11.20,252200,11.20
2012-04-13,10.92,11.30,10.92,11.27,567800,11.27
2012-04-12,10.80,10.98,10.76,10.92,208600,10.92
2012-04-11,10.80,10.94,10.68,10.77,409300,10.77
2012-04-10,11.00,11.17,10.64,10.71,428300,10.71
2012-04-09,11.02,11.21,11.00,11.06,338700,11.06
2012-04-05,10.72,11.40,10.72,11.28,734300,11.28
2012-04-04,11.02,11.05,10.71,10.81,515000,10.81
2012-04-03,11.28,11.38,11.11,11.13,261100,11.13
2012-04-02,11.20,11.38,11.03,11.34,294800,11.34
2012-03-30,11.52,11.55,11.21,11.23,380400,11.23
2012-03-29,11.45,11.51,11.15,11.39,579600,11.39
2012-03-28,11.45,11.63,11.33,11.56,567300,11.56
2012-03-27,11.17,11.70,11.08,11.46,899700,11.46
2012-03-26,10.89,11.14,10.78,11.12,484800,11.12
2012-03-23,10.89,11.00,10.64,10.81,564600,10.81
2012-03-22,10.73,10.92,10.66,10.88,310600,10.88
2012-03-21,11.00,11.08,10.81,10.81,321600,10.81
2012-03-20,11.00,11.06,10.81,11.01,488400,11.01
2012-03-19,11.40,11.40,10.95,11.07,782800,11.07
2012-03-16,11.62,11.65,11.41,11.43,552100,11.43
2012-03-15,11.30,11.62,11.20,11.56,729800,11.56
2012-03-14,11.10,11.30,10.98,11.26,564400,11.26
2012-03-13,10.85,11.18,10.75,11.11,975000,11.11
2012-03-12,10.55,11.04,10.55,10.89,953600,10.72
2012-03-09,10.61,10.68,10.38,10.53,1890500,10.36
2012-03-08,10.65,10.78,10.49,10.57,809000,10.40
2012-03-07,10.63,10.72,10.21,10.55,2305200,10.38
2012-03-06,10.55,10.99,10.41,10.58,4206700,10.41
2012-03-05,11.24,11.97,11.15,11.88,2863800,11.69
2012-03-02,11.32,11.52,11.20,11.20,535100,11.02
2012-03-01,11.28,11.49,11.20,11.29,689700,11.11
2012-02-29,11.85,11.85,11.27,11.27,694400,11.09
2012-02-28,11.97,11.98,11.74,11.81,409900,11.62
2012-02-27,11.55,12.12,11.55,11.93,856800,11.74
2012-02-24,11.60,11.79,11.53,11.61,690700,11.42
2012-02-23,11.22,11.48,11.20,11.48,424700,11.30
2012-02-22,11.28,11.44,11.20,11.21,374400,11.03
2012-02-21,11.41,11.50,11.21,11.27,714600,11.09
2012-02-17,11.45,11.68,11.38,11.42,559900,11.24
2012-02-16,11.23,11.43,11.12,11.38,457900,11.20
2012-02-15,11.30,11.47,11.15,11.19,488100,11.01
2012-02-14,11.42,11.54,11.15,11.31,590000,11.13
2012-02-13,11.39,11.56,11.34,11.44,854100,11.26
2012-02-10,11.35,11.40,11.15,11.25,879600,11.07
2012-02-09,11.76,11.76,11.39,11.42,989500,11.24
2012-02-08,11.62,11.84,11.61,11.70,632000,11.51
2012-02-07,11.49,11.67,11.33,11.54,749100,11.35
2012-02-06,11.47,11.53,11.17,11.52,949100,11.33
2012-02-03,11.51,11.65,11.46,11.53,637500,11.34
2012-02-02,11.14,11.57,11.06,11.40,1150900,11.22
2012-02-01,11.79,11.93,11.03,11.40,1882600,11.22
2012-01-31,11.70,12.08,11.41,11.90,1553400,11.71
2012-01-30,12.13,12.17,11.52,11.58,1728500,11.39
2012-01-27,12.44,12.53,12.04,12.16,924900,11.96
2012-01-26,12.96,13.00,12.39,12.44,738400,12.24
2012-01-25,12.62,12.87,12.45,12.85,939200,12.64
2012-01-24,13.26,13.26,12.52,12.56,1625400,12.36
2012-01-23,14.01,14.15,13.24,13.26,913700,13.05
2012-01-20,14.06,14.14,13.93,14.00,403200,13.78
2012-01-19,14.06,14.44,13.95,14.06,511000,13.83
2012-01-18,13.61,14.11,13.58,14.07,1424000,13.84
2012-01-17,13.95,14.19,13.52,13.55,937400,13.33
2012-01-13,13.69,13.89,13.42,13.82,685900,13.60
2012-01-12,14.35,14.44,13.27,13.76,992300,13.54
2012-01-11,14.34,14.52,14.05,14.27,725700,14.04
