Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,16.30,16.51,16.28,16.34,1213700,16.34
2012-05-03,16.52,16.68,16.36,16.37,1567500,16.37
2012-05-02,16.60,16.67,16.47,16.51,1365400,16.51
2012-05-01,16.69,16.87,16.60,16.68,1202600,16.68
2012-04-30,16.66,16.69,16.57,16.65,1433500,16.65
2012-04-27,16.65,16.73,16.53,16.66,1995300,16.66
2012-04-26,16.39,16.64,16.33,16.58,3012400,16.58
2012-04-25,16.30,16.47,16.17,16.40,2665500,16.40
2012-04-24,15.90,16.18,15.86,16.16,2246800,16.16
2012-04-23,15.94,15.97,15.78,15.90,1107200,15.90
2012-04-20,15.91,16.07,15.87,16.06,1453500,16.06
2012-04-19,15.90,15.95,15.75,15.82,1745200,15.82
2012-04-18,15.93,16.02,15.83,15.93,1358500,15.93
2012-04-17,15.81,16.03,15.77,16.01,2158300,16.01
2012-04-16,15.59,15.86,15.57,15.75,1953500,15.75
2012-04-13,15.55,15.69,15.54,15.54,3446800,15.54
2012-04-12,15.50,15.62,15.40,15.60,1094900,15.60
2012-04-11,15.66,15.66,15.48,15.51,1097400,15.51
2012-04-10,15.76,15.76,15.46,15.53,2237500,15.53
2012-04-09,15.74,15.86,15.71,15.81,1712300,15.81
2012-04-05,15.94,16.00,15.84,15.88,1437500,15.88
2012-04-04,15.90,16.00,15.83,15.99,1453900,15.99
2012-04-03,16.05,16.05,15.87,15.97,3466300,15.97
2012-04-02,16.06,16.14,15.91,16.05,3373700,16.05
2012-03-30,16.07,16.18,15.97,16.12,1367500,16.12
2012-03-29,15.92,16.09,15.81,16.06,1376700,16.06
2012-03-28,16.09,16.15,15.92,16.00,1458500,16.00
2012-03-27,15.96,16.12,15.96,16.06,1337900,16.06
2012-03-26,15.85,16.07,15.85,15.99,1744200,15.99
2012-03-23,15.76,15.83,15.71,15.75,1278200,15.75
2012-03-22,15.65,15.77,15.55,15.76,1775700,15.76
2012-03-21,15.68,15.72,15.54,15.66,1285800,15.66
2012-03-20,15.55,15.69,15.51,15.67,1365600,15.67
2012-03-19,15.74,15.82,15.62,15.65,1491700,15.65
2012-03-16,15.79,15.85,15.72,15.79,2130700,15.79
2012-03-15,15.77,15.82,15.61,15.77,2362700,15.77
2012-03-14,16.02,16.09,15.71,15.80,1895600,15.80
2012-03-13,15.98,16.06,15.89,16.06,2527600,16.06
2012-03-12,15.81,15.99,15.81,15.92,1202000,15.92
2012-03-09,15.82,15.93,15.75,15.80,1871100,15.80
2012-03-08,15.82,15.89,15.70,15.85,1550200,15.85
2012-03-07,15.64,15.77,15.48,15.72,1850100,15.72
2012-03-06,15.68,15.69,15.50,15.58,3390200,15.58
2012-03-05,15.69,15.83,15.53,15.80,1860900,15.80
2012-03-02,15.65,15.85,15.56,15.75,3201000,15.75
2012-03-01,15.73,15.95,15.67,15.80,2347300,15.67
2012-02-29,15.73,15.83,15.58,15.68,2115100,15.55
2012-02-28,15.85,15.93,15.58,15.70,2144200,15.57
2012-02-27,15.95,16.01,15.81,15.87,2194000,15.74
2012-02-24,16.04,16.09,15.93,15.98,1416400,15.85
2012-02-23,15.89,16.09,15.73,16.02,3116500,15.89
2012-02-22,15.82,15.94,15.65,15.85,3076300,15.72
2012-02-21,16.07,16.12,15.66,15.85,5722600,15.72
2012-02-17,16.38,16.44,16.19,16.22,2116300,16.09
