Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,34.47,34.69,33.54,33.85,1341800,33.85
2012-05-03,35.39,35.57,34.56,34.77,1538100,34.77
2012-05-02,34.26,35.70,34.26,35.46,2204900,35.46
2012-05-01,34.39,35.02,34.28,34.40,1868200,34.40
2012-04-30,35.51,35.51,34.12,34.35,2171600,34.35
2012-04-27,34.66,35.80,34.48,35.75,2107900,35.75
2012-04-26,33.40,34.62,33.32,34.49,2874500,34.49
2012-04-25,31.97,33.72,31.41,33.35,9416100,33.35
2012-04-24,33.66,34.64,33.55,34.55,2179500,34.55
2012-04-23,33.36,33.55,32.77,33.45,2065400,33.45
2012-04-20,33.74,34.12,33.31,33.80,1124900,33.80
2012-04-19,33.92,34.05,32.85,33.42,2058300,33.42
2012-04-18,34.39,34.51,33.71,33.90,1033100,33.90
2012-04-17,34.47,34.86,34.22,34.61,1098200,34.61
2012-04-16,34.47,34.70,33.69,34.25,1883200,34.25
2012-04-13,34.54,34.54,33.72,34.23,1542800,34.23
2012-04-12,33.92,35.47,33.74,34.62,2234100,34.62
2012-04-11,33.29,34.21,33.29,33.87,2501300,33.87
2012-04-10,34.27,34.55,32.61,32.70,2577500,32.70
2012-04-09,34.22,34.49,33.95,34.36,1290700,34.36
2012-04-05,34.41,35.05,34.35,34.87,1326800,34.87
2012-04-04,34.26,34.90,33.89,34.62,2355700,34.62
2012-04-03,35.06,35.42,34.20,34.61,1524200,34.61
2012-04-02,35.76,35.85,34.84,35.04,2997500,35.04
2012-03-30,36.19,36.45,35.77,36.03,1334700,36.03
2012-03-29,35.65,35.75,34.80,35.71,1191700,35.71
2012-03-28,36.31,36.35,35.44,36.10,1026200,36.10
2012-03-27,36.51,37.13,36.34,36.39,1569200,36.39
2012-03-26,36.38,36.60,35.80,36.38,1144600,36.38
2012-03-23,35.57,36.06,35.01,35.81,2880800,35.81
2012-03-22,36.59,36.90,35.92,36.03,2885000,36.03
2012-03-21,36.78,37.71,36.72,37.04,2569900,37.04
2012-03-20,36.55,36.61,35.62,36.50,2064900,36.50
2012-03-19,37.61,38.00,36.68,36.86,2448000,36.86
2012-03-16,36.98,37.32,36.79,36.91,2977700,36.91
2012-03-15,35.96,37.07,35.60,36.98,2406000,36.98
2012-03-14,36.04,36.56,35.79,36.05,2918700,36.05
2012-03-13,34.65,36.03,34.47,35.98,3324300,35.98
2012-03-12,33.39,34.50,33.28,34.47,2991900,34.47
2012-03-09,32.50,33.84,32.50,33.42,2668400,33.42
2012-03-08,31.72,33.33,31.69,32.50,3681400,32.50
2012-03-07,30.45,31.73,30.33,31.53,2534600,31.53
2012-03-06,30.84,30.84,30.00,30.22,1509200,30.22
2012-03-05,30.72,31.39,30.52,31.25,2253800,31.25
2012-03-02,31.33,31.43,30.45,30.71,1759000,30.71
2012-03-01,31.80,32.10,31.16,31.45,2124100,31.45
2012-02-29,32.18,32.39,31.61,31.65,2426100,31.65
2012-02-28,32.06,32.41,31.73,32.17,1756500,32.17
2012-02-27,30.64,32.61,30.47,32.12,2770400,32.12
2012-02-24,31.61,31.76,30.86,30.90,1294600,30.90
2012-02-23,31.76,32.09,31.33,31.40,3203200,31.40
2012-02-22,31.84,32.17,31.55,31.73,2234200,31.73
2012-02-21,31.55,32.50,31.50,31.70,2296800,31.70
2012-02-17,31.08,32.15,31.02,31.50,2475800,31.50
2012-02-16,30.33,31.07,30.01,31.06,4133400,31.06
2012-02-15,30.60,32.22,30.00,30.43,7915700,30.43
2012-02-14,33.85,33.85,32.01,32.48,3861900,32.48
2012-02-13,34.22,34.56,33.66,34.16,1423000,34.16
2012-02-10,34.49,34.49,33.60,33.85,1767400,33.85
2012-02-09,34.27,35.25,34.13,34.98,2126600,34.98
2012-02-08,34.11,34.53,33.70,34.23,2578700,34.23
2012-02-07,34.43,35.01,34.26,34.51,1324600,34.51
2012-02-06,34.29,34.98,34.26,34.65,838400,34.65
2012-02-03,34.50,34.77,34.18,34.61,2413600,34.61
2012-02-02,33.94,34.17,33.62,33.81,1029500,33.81
2012-02-01,34.08,34.21,33.55,33.73,1706100,33.73
