Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,14.70,14.82,14.39,14.70,1055000,14.70
2012-05-03,14.34,14.89,14.27,14.75,1092400,14.75
2012-05-02,14.57,14.95,14.50,14.67,638300,14.67
2012-05-01,14.78,14.98,14.55,14.65,454900,14.65
2012-04-30,14.99,15.04,14.77,14.80,541000,14.80
2012-04-27,14.78,15.04,14.76,14.93,727400,14.93
2012-04-26,14.50,14.71,14.45,14.65,733700,14.65
2012-04-25,14.50,15.12,14.36,14.49,1403400,14.49
2012-04-24,13.68,14.25,13.61,14.12,949200,14.12
2012-04-23,13.15,13.69,13.15,13.57,418200,13.57
2012-04-20,13.33,13.42,13.20,13.32,502100,13.32
2012-04-19,13.18,13.42,13.02,13.18,462000,13.18
2012-04-18,13.12,13.34,13.12,13.24,306300,13.24
2012-04-17,13.29,13.44,13.11,13.18,514900,13.18
2012-04-16,13.13,13.32,12.99,13.22,719000,13.22
2012-04-13,12.94,13.21,12.94,13.13,435600,13.13
2012-04-12,13.01,13.24,12.91,13.00,781800,13.00
2012-04-11,12.50,13.00,12.50,13.00,1209000,13.00
2012-04-10,13.04,13.33,11.87,12.35,3027500,12.35
2012-04-09,13.46,13.81,13.21,13.72,1689700,13.72
2012-04-05,14.22,14.46,14.08,14.29,640900,14.29
2012-04-04,14.27,14.36,14.05,14.34,637200,14.34
2012-04-03,14.48,14.71,14.25,14.46,658100,14.46
2012-04-02,14.07,14.58,13.90,14.57,571700,14.57
2012-03-30,14.15,14.23,13.85,13.90,370900,13.90
2012-03-29,13.84,14.08,13.78,14.00,320500,14.00
2012-03-28,13.79,14.09,13.79,13.88,355300,13.88
2012-03-27,13.85,13.92,13.71,13.80,323700,13.80
2012-03-26,13.69,14.05,13.69,13.84,503400,13.84
2012-03-23,13.40,13.75,13.40,13.51,546200,13.51
2012-03-22,13.24,13.60,13.24,13.43,372300,13.43
2012-03-21,13.10,13.55,13.10,13.32,428700,13.32
2012-03-20,13.02,13.23,12.89,13.06,331100,13.06
2012-03-19,13.01,13.26,12.67,13.08,501000,13.08
2012-03-16,13.06,13.19,12.65,13.00,2703900,13.00
2012-03-15,12.94,13.06,12.67,13.06,617700,13.06
2012-03-14,12.69,12.97,12.60,12.94,704800,12.94
2012-03-13,12.37,12.81,12.34,12.78,693200,12.78
2012-03-12,12.96,12.96,12.25,12.31,898600,12.31
2012-03-09,13.09,13.20,12.84,12.94,689300,12.94
2012-03-08,12.79,13.49,12.68,13.00,1185900,13.00
2012-03-07,12.26,12.53,12.14,12.39,458800,12.39
2012-03-06,12.62,12.85,12.17,12.22,542800,12.22
2012-03-05,12.56,12.83,12.45,12.72,331300,12.72
2012-03-02,13.10,13.16,12.50,12.62,336200,12.62
2012-03-01,12.93,13.30,12.81,13.09,247000,13.09
2012-02-29,13.06,13.19,12.79,12.79,350700,12.79
2012-02-28,13.06,13.20,12.89,12.96,612700,12.96
2012-02-27,12.70,13.29,12.70,13.09,422500,13.09
2012-02-24,13.24,13.24,12.56,12.70,176900,12.70
2012-02-23,12.66,12.84,12.52,12.74,342600,12.74
2012-02-22,12.94,12.96,12.33,12.62,515300,12.62
2012-02-21,13.44,13.48,12.79,12.95,540900,12.95
2012-02-17,14.05,14.05,13.23,13.39,412700,13.39
2012-02-16,14.03,14.10,13.71,14.03,325100,14.03
2012-02-15,13.90,14.14,13.69,14.03,547600,14.03
2012-02-14,13.50,13.88,13.49,13.85,358700,13.85
2012-02-13,13.79,13.79,13.47,13.60,317600,13.60
2012-02-10,13.21,13.62,13.12,13.54,348600,13.54
2012-02-09,13.24,13.35,13.17,13.29,290700,13.29
2012-02-08,13.51,13.51,13.09,13.18,321900,13.18
2012-02-07,13.79,13.98,13.36,13.51,451000,13.51
2012-02-06,13.22,13.99,13.22,13.79,670600,13.79
2012-02-03,13.40,13.40,13.11,13.21,337900,13.21
2012-02-02,13.43,13.50,13.18,13.25,395900,13.25
2012-02-01,13.02,13.50,12.94,13.41,425400,13.41
2012-01-31,12.78,13.31,12.72,12.97,736100,12.97
2012-01-30,12.49,12.78,12.36,12.68,399500,12.68
2012-01-27,12.26,12.77,12.24,12.55,444200,12.55
2012-01-26,12.52,12.52,12.11,12.29,531700,12.29
2012-01-25,12.16,12.51,12.09,12.44,445200,12.44
2012-01-24,12.25,12.41,12.03,12.12,663400,12.12
2012-01-23,12.20,12.47,12.15,12.29,361300,12.29
2012-01-20,12.82,12.90,12.17,12.24,693300,12.24
2012-01-19,12.75,12.99,12.74,12.90,316400,12.90
2012-01-18,12.65,12.75,12.39,12.70,273400,12.70
2012-01-17,12.50,12.76,12.44,12.65,403300,12.65
2012-01-13,12.75,12.75,12.25,12.42,533200,12.42
2012-01-12,12.98,13.00,12.73,12.84,426700,12.84
2012-01-11,12.13,12.96,12.13,12.96,966200,12.96
2012-01-10,12.00,12.18,11.93,12.13,483500,12.13
2012-01-09,12.00,12.27,11.89,11.94,606400,11.94
2012-01-06,12.16,12.35,11.92,11.93,399000,11.93
2012-01-05,11.85,12.16,11.68,12.14,438100,12.14
2012-01-04,12.07,12.22,11.90,11.92,197600,11.92
2012-01-03,12.48,12.53,12.08,12.13,393800,12.13
2011-12-30,12.14,12.31,11.97,12.24,190000,12.24
2011-12-29,11.82,12.23,11.70,12.19,394800,12.19
2011-12-28,11.69,12.12,11.68,11.82,327200,11.82
2011-12-27,11.72,12.00,11.61,11.66,611100,11.66
2011-12-23,11.75,11.86,11.58,11.80,250000,11.80
2011-12-22,11.89,12.00,11.66,11.70,444200,11.70
2011-12-21,12.50,12.54,11.57,11.83,752700,11.83
2011-12-20,12.16,12.60,11.88,12.48,1053300,12.48
2011-12-19,12.20,12.71,11.94,11.99,792300,11.99
2011-12-16,11.83,12.30,11.48,12.26,2191500,12.26
2011-12-15,12.10,12.24,11.34,11.71,844100,11.71
2011-12-14,11.58,12.00,10.79,11.96,1181200,11.96
2011-12-13,11.70,12.08,11.63,11.70,765300,11.70
2011-12-12,12.18,12.29,11.44,11.69,699500,11.69
2011-12-09,11.85,12.25,11.53,12.12,578700,12.12
2011-12-08,12.29,12.31,11.74,11.85,574000,11.85
2011-12-07,12.56,12.58,12.15,12.40,1000000,12.40
2011-12-06,12.08,12.67,11.90,12.65,1042600,12.65
2011-12-05,11.87,12.13,11.75,12.10,1013400,12.10
2011-12-02,11.59,11.73,11.46,11.71,544400,11.71
2011-12-01,11.50,11.80,11.35,11.43,553400,11.43
2011-11-30,11.23,11.60,10.99,11.52,684500,11.52
2011-11-29,11.12,11.19,10.48,10.74,708200,10.74
2011-11-28,10.82,11.25,10.57,11.12,1116200,11.12
2011-11-25,10.51,10.65,10.36,10.53,308000,10.53
2011-11-23,10.17,10.90,10.07,10.60,821500,10.60
2011-11-22,10.40,10.61,10.00,10.21,688000,10.21
2011-11-21,10.39,10.59,10.04,10.41,1177200,10.41
2011-11-18,10.86,11.03,10.36,10.54,734800,10.54
2011-11-17,11.13,11.19,10.57,10.85,877200,10.85
2011-11-16,11.33,11.52,11.15,11.18,442800,11.18
2011-11-15,11.75,11.94,11.36,11.44,532100,11.44
2011-11-14,11.52,12.09,11.41,11.78,881900,11.78
2011-11-11,11.47,11.74,11.34,11.52,658500,11.52
2011-11-10,11.31,11.87,11.12,11.32,1488000,11.32
2011-11-09,10.65,11.26,10.56,11.20,1935700,11.20
2011-11-08,10.99,11.20,10.37,10.96,1977100,10.96
