Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,40.32,41.83,40.05,40.51,1073300,40.51
2012-05-03,43.31,43.31,40.11,40.65,1788400,40.65
2012-05-02,43.50,43.87,42.00,43.72,1031100,43.72
2012-05-01,45.00,45.00,43.95,44.02,885400,44.02
2012-04-30,44.86,45.70,44.22,44.98,1004800,44.98
2012-04-27,41.50,45.54,41.50,45.16,1796200,45.16
2012-04-26,40.26,41.99,40.09,41.49,694000,41.49
2012-04-25,38.74,40.70,38.45,40.52,768700,40.52
2012-04-24,38.09,38.54,37.47,37.92,571900,37.92
2012-04-23,38.89,39.24,37.50,38.24,730500,38.24
2012-04-20,39.54,40.82,39.08,39.64,1042800,39.64
2012-04-19,38.20,40.17,38.14,38.88,1137800,38.88
2012-04-18,37.94,38.40,37.53,38.09,499400,38.09
2012-04-17,36.57,38.84,36.52,38.15,1583700,38.15
2012-04-16,36.25,36.78,34.75,35.59,467300,35.59
2012-04-13,35.82,36.23,35.56,36.11,363800,36.11
2012-04-12,35.01,36.48,35.01,36.03,506700,36.03
2012-04-11,34.54,35.26,34.12,34.84,504900,34.84
2012-04-10,35.00,35.89,33.79,34.03,610500,34.03
2012-04-09,35.35,35.59,34.87,35.06,477900,35.06
2012-04-05,35.48,36.70,35.20,35.86,1016700,35.86
2012-04-04,35.39,36.03,34.05,35.07,756500,35.07
2012-04-03,36.69,37.05,35.75,35.84,494700,35.84
2012-04-02,36.50,37.17,36.01,36.66,631600,36.66
2012-03-30,36.17,36.84,35.66,36.53,716600,36.53
2012-03-29,35.29,36.09,34.83,35.90,473100,35.90
2012-03-28,36.79,37.32,35.30,35.58,994900,35.58
2012-03-27,37.50,37.76,36.60,36.61,449600,36.61
2012-03-26,37.32,38.18,37.05,37.45,702100,37.45
2012-03-23,37.30,37.30,36.16,36.62,1133600,36.62
2012-03-22,37.13,37.75,36.93,37.21,858500,37.21
2012-03-21,38.21,38.38,37.26,37.67,1221100,37.67
2012-03-20,40.00,40.00,37.20,37.97,1947900,37.97
2012-03-19,40.58,40.85,39.91,40.20,649700,40.20
2012-03-16,41.65,41.77,40.53,40.54,836600,40.54
2012-03-15,41.26,42.20,41.01,41.89,602500,41.89
2012-03-14,41.66,41.66,40.70,41.46,690800,41.46
2012-03-13,40.00,42.15,40.00,41.57,1002700,41.57
2012-03-12,40.11,40.11,38.87,39.56,522800,39.56
2012-03-09,40.24,40.24,39.40,39.90,860700,39.90
2012-03-08,38.28,40.95,38.03,40.05,1471800,40.05
2012-03-07,37.09,38.22,36.89,37.80,1043100,37.80
2012-03-06,37.29,37.93,36.01,36.76,981400,36.76
2012-03-05,40.59,40.62,37.75,37.98,1431100,37.98
2012-03-02,40.38,41.92,40.09,40.73,993800,40.73
2012-03-01,41.31,41.49,40.00,40.42,1287600,40.42
2012-02-29,43.27,44.44,40.85,41.31,4566000,41.31
2012-02-28,44.90,46.27,44.66,45.68,1835700,45.68
2012-02-27,44.84,45.97,44.18,44.87,974500,44.87
2012-02-24,44.73,45.90,43.50,45.31,1137500,45.31
2012-02-23,44.82,45.00,43.70,44.70,755400,44.70
2012-02-22,43.31,45.96,42.90,43.47,1271600,43.47
2012-02-21,43.68,44.05,42.61,43.16,891000,43.16
2012-02-17,44.45,45.10,43.45,43.95,822400,43.95
2012-02-16,42.85,44.25,41.73,44.20,440900,44.20
2012-02-15,43.70,44.16,42.44,42.85,664300,42.85
2012-02-14,42.70,43.81,42.11,43.30,1177700,43.30
2012-02-13,46.17,47.50,42.51,42.95,1989300,42.95
2012-02-10,45.71,48.00,45.10,45.46,529900,45.46
2012-02-09,46.66,46.79,45.62,46.47,394900,46.47
2012-02-08,46.17,47.75,45.48,46.34,728000,46.34
2012-02-07,46.82,46.82,45.45,46.07,779100,46.07
2012-02-06,47.59,47.80,46.78,47.00,585900,47.00
2012-02-03,46.52,48.07,46.28,47.83,1138700,47.83
2012-02-02,45.44,47.02,45.00,45.74,732000,45.74
2012-02-01,42.50,46.32,42.20,45.98,1760600,45.98
2012-01-31,42.25,42.76,41.34,42.11,473100,42.11
2012-01-30,42.56,43.08,41.53,42.12,723000,42.12
2012-01-27,42.52,44.80,42.42,43.24,1085300,43.24
