Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,20.02,20.04,19.52,19.91,297400,19.91
2012-05-03,20.30,20.30,19.90,20.13,275700,20.13
2012-05-02,20.59,20.67,20.20,20.37,232000,20.37
2012-05-01,20.95,21.06,20.60,20.66,352600,20.66
2012-04-30,20.89,20.91,20.66,20.91,128000,20.91
2012-04-27,21.12,21.15,20.85,20.94,187900,20.94
2012-04-26,20.74,21.12,20.73,21.12,199400,21.12
2012-04-25,20.75,21.02,20.62,20.92,178000,20.81
2012-04-24,20.80,20.91,20.60,20.69,144100,20.58
2012-04-23,21.19,21.19,20.43,20.80,311500,20.69
2012-04-20,21.25,21.43,21.15,21.30,121100,21.19
2012-04-19,21.31,21.45,20.78,21.11,229400,21.00
2012-04-18,21.80,21.80,21.10,21.34,421300,21.23
2012-04-17,22.00,22.11,21.95,22.03,82500,21.91
2012-04-16,22.12,22.14,21.85,21.95,106000,21.83
2012-04-13,22.09,22.30,21.98,22.04,135800,21.92
2012-04-12,22.03,22.23,21.95,22.03,126000,21.91
2012-04-11,22.09,22.33,21.95,21.97,127200,21.85
2012-04-10,22.14,22.28,21.80,21.96,219800,21.84
2012-04-09,22.39,22.40,21.75,22.22,233000,22.10
2012-04-05,22.46,22.76,22.26,22.62,176700,22.50
2012-04-04,22.69,22.80,22.46,22.55,195000,22.43
2012-04-03,22.90,22.99,22.67,22.90,92300,22.78
2012-04-02,22.76,23.12,22.69,22.98,248700,22.86
2012-03-30,22.96,22.98,22.76,22.87,92700,22.75
2012-03-29,23.12,23.12,22.61,22.91,155600,22.79
2012-03-28,22.92,23.15,22.75,23.15,125400,23.03
2012-03-27,23.07,23.17,22.99,23.16,117300,22.90
2012-03-26,22.98,23.18,22.86,23.07,139200,22.81
2012-03-23,22.69,22.91,22.60,22.82,99900,22.56
2012-03-22,22.59,22.67,22.43,22.60,125200,22.34
2012-03-21,22.64,22.84,22.60,22.66,117200,22.40
2012-03-20,22.64,22.94,22.62,22.71,222100,22.45
2012-03-19,22.51,22.85,22.31,22.76,161200,22.50
