Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,8.80,8.84,8.44,8.58,1335500,8.58
2012-05-03,9.24,9.25,8.83,8.89,1064600,8.89
2012-05-02,9.36,9.36,9.18,9.24,709900,9.24
2012-05-01,9.24,9.58,9.20,9.44,1114600,9.44
2012-04-30,9.25,9.26,9.04,9.24,1520300,9.24
2012-04-27,9.49,9.53,9.24,9.27,1524200,9.27
2012-04-26,9.66,9.77,9.43,9.49,2179000,9.49
2012-04-25,9.31,9.81,9.26,9.81,2524900,9.81
2012-04-24,9.14,9.27,9.02,9.22,1331400,9.22
2012-04-23,8.95,9.12,8.86,9.12,1361900,9.12
2012-04-20,9.23,9.34,9.16,9.19,2184600,9.19
2012-04-19,8.93,9.29,8.93,9.09,2488900,9.09
2012-04-18,8.99,9.19,8.87,8.93,1488300,8.93
2012-04-17,9.06,9.25,8.98,9.04,1375200,9.04
2012-04-16,9.18,9.28,8.84,8.85,2003600,8.85
2012-04-13,9.42,9.42,9.10,9.10,1315600,9.10
2012-04-12,8.98,9.51,8.96,9.50,2267400,9.50
2012-04-11,8.94,9.04,8.84,8.87,1266100,8.87
2012-04-10,9.24,9.34,8.79,8.82,1797000,8.82
2012-04-09,9.34,9.44,9.11,9.29,1377700,9.29
2012-04-05,9.52,9.74,9.48,9.53,1664700,9.53
2012-04-04,9.57,9.59,9.43,9.54,2116200,9.54
2012-04-03,9.99,9.99,9.60,9.71,1790200,9.71
2012-04-02,10.04,10.12,9.96,9.99,1683200,9.99
2012-03-30,9.72,10.07,9.62,10.03,1298300,10.03
2012-03-29,9.75,9.83,9.48,9.65,1623000,9.65
2012-03-28,10.03,10.09,9.61,9.69,2026200,9.69
2012-03-27,10.47,10.48,10.03,10.04,1315800,10.04
2012-03-26,10.50,10.55,10.36,10.41,1540000,10.41
2012-03-23,10.33,10.35,10.14,10.32,2289400,10.32
2012-03-22,10.38,10.55,10.11,10.30,2168500,10.30
2012-03-21,10.58,10.69,10.28,10.63,1977700,10.63
2012-03-20,10.60,10.72,10.43,10.70,894800,10.70
2012-03-19,10.90,10.93,10.71,10.73,1597700,10.73
2012-03-16,10.96,11.00,10.85,10.89,2024900,10.89
2012-03-15,11.02,11.05,10.76,10.88,2135400,10.88
2012-03-14,11.41,11.41,10.91,11.02,2585000,11.02
2012-03-13,11.41,11.61,11.20,11.42,1166900,11.42
2012-03-12,11.74,11.82,11.32,11.35,1230600,11.35
2012-03-09,11.95,11.98,11.72,11.76,1379100,11.76
2012-03-08,11.95,11.98,11.82,11.90,1336400,11.90
2012-03-07,11.56,11.87,11.50,11.74,983000,11.74
2012-03-06,12.00,12.00,11.42,11.50,1465500,11.50
2012-03-05,12.53,12.53,12.17,12.23,857400,12.23
2012-03-02,12.73,12.79,12.35,12.65,1939500,12.65
