Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,66.86,66.90,65.87,65.90,6971200,65.90
2012-05-03,66.85,67.00,66.72,66.91,5821300,66.91
2012-05-02,66.52,66.92,66.41,66.83,5812400,66.83
2012-05-01,65.92,66.74,65.77,66.49,6591700,66.49
2012-04-30,65.97,66.25,65.77,66.00,5367500,66.00
2012-04-27,66.64,66.69,66.09,66.10,6248000,66.10
2012-04-26,66.50,66.77,66.22,66.37,7989100,66.37
2012-04-25,66.65,66.86,66.50,66.67,7056700,66.67
2012-04-24,66.33,66.84,66.27,66.51,5512500,66.51
2012-04-23,66.17,66.45,66.03,66.18,4944500,66.18
2012-04-20,66.17,66.74,66.10,66.63,7302500,66.63
2012-04-19,66.20,66.36,66.00,66.15,6531200,66.15
2012-04-18,66.10,66.31,66.05,66.21,5408000,66.21
2012-04-17,66.23,66.65,66.02,66.40,6748100,66.40
2012-04-16,65.13,66.39,65.13,65.99,7862600,65.99
2012-04-13,65.35,65.50,65.06,65.06,7412100,65.06
2012-04-12,65.06,65.50,64.64,65.38,5843100,65.38
2012-04-11,65.18,65.42,64.96,65.15,5376900,65.15
2012-04-10,65.19,65.35,64.79,64.85,5715700,64.85
2012-04-09,65.63,65.69,65.25,65.35,4526200,65.35
2012-04-05,66.04,66.21,65.70,66.15,5755800,66.15
2012-04-04,66.23,66.52,66.14,66.34,4556500,66.34
2012-04-03,66.58,66.82,66.33,66.56,5108400,66.56
2012-04-02,66.26,66.75,66.21,66.74,5203800,66.74
2012-03-30,66.28,66.50,66.04,66.35,5949300,66.35
2012-03-29,65.85,66.02,65.53,66.02,6320700,66.02
2012-03-28,65.95,66.03,65.60,65.93,5833300,65.93
2012-03-27,65.85,66.19,65.61,66.01,5274800,66.01
2012-03-26,65.47,65.80,65.45,65.78,5211800,65.78
2012-03-23,65.45,65.76,65.28,65.30,5356000,65.30
2012-03-22,65.14,65.56,65.03,65.39,5149000,65.39
2012-03-21,65.28,65.58,65.05,65.36,6555500,65.36
2012-03-20,64.40,65.56,64.33,65.28,7676400,65.28
2012-03-19,64.32,64.88,64.27,64.73,6555900,64.73
2012-03-16,64.23,64.50,64.18,64.47,8870500,64.47
2012-03-15,64.00,64.34,63.80,64.17,4734500,64.17
2012-03-14,64.20,64.63,63.95,64.06,6930200,64.06
2012-03-13,64.31,64.57,64.11,64.34,7450800,64.34
2012-03-12,63.31,64.05,63.01,63.94,8098100,63.94
2012-03-09,62.96,63.32,62.90,63.15,4096100,63.15
2012-03-08,62.90,63.12,62.73,62.95,4398300,62.95
2012-03-07,62.33,62.74,62.15,62.62,7509000,62.62
2012-03-06,62.35,62.82,62.22,62.28,7231200,62.28
2012-03-05,62.50,62.98,62.43,62.79,5646600,62.79
2012-03-02,62.54,62.68,62.40,62.52,6011800,62.52
2012-03-01,63.05,63.05,62.44,62.55,7660300,62.55
2012-02-29,62.90,63.13,62.81,62.94,7013800,62.94
2012-02-28,63.53,63.69,63.03,63.32,6407500,62.80
2012-02-27,63.18,63.75,63.05,63.32,25483800,62.80
2012-02-24,63.15,63.52,63.15,63.31,16088000,62.80
2012-02-23,63.18,63.24,62.83,63.13,19031400,62.62
2012-02-22,63.16,63.29,63.00,63.10,5506300,62.59
2012-02-21,63.05,63.39,62.97,63.14,6581800,62.63
2012-02-17,62.57,62.76,62.33,62.68,14646300,62.17
2012-02-16,63.20,63.30,62.73,62.73,11449400,62.22
2012-02-15,63.34,63.60,62.92,63.07,9099000,62.56
2012-02-14,63.52,63.98,63.29,63.52,12623200,63.00
2012-02-13,64.01,64.19,63.38,63.69,9295900,63.17
2012-02-10,64.12,64.19,63.63,63.95,10702500,63.43
2012-02-09,64.86,64.90,63.81,64.27,25593100,63.75
2012-02-08,66.82,66.92,66.47,66.74,6021900,66.20
2012-02-07,66.27,66.98,66.14,66.76,5597800,66.22
2012-02-06,66.42,66.76,66.13,66.52,4917700,65.98
2012-02-03,66.88,66.90,66.30,66.66,6295300,66.12
2012-02-02,66.60,66.70,66.20,66.40,5124100,65.86
2012-02-01,65.99,66.50,65.86,66.38,6351200,65.84
2012-01-31,65.50,65.69,65.28,65.67,5834300,65.14
2012-01-30,65.60,65.60,65.16,65.41,5712300,64.88
2012-01-27,66.25,66.42,65.67,65.81,5832500,65.27
2012-01-26,66.62,66.96,66.35,66.52,5345900,65.98
2012-01-25,65.88,66.80,65.67,66.70,5131300,66.16
2012-01-24,65.96,66.32,65.94,66.20,4148700,65.66
2012-01-23,65.92,66.15,65.39,66.10,5551000,65.56
2012-01-20,66.06,66.41,65.57,66.28,5538800,65.74
2012-01-19,65.14,66.05,64.95,65.91,8195800,65.37
2012-01-18,64.67,65.08,64.51,64.85,5373300,64.32
2012-01-17,64.76,65.09,64.60,64.65,7457600,64.12
2012-01-13,64.44,64.72,64.30,64.40,6677900,63.88
2012-01-12,65.10,65.18,64.47,64.62,5745700,64.09
2012-01-11,65.00,65.17,64.13,65.01,10470200,64.48
2012-01-10,65.98,66.05,65.47,65.66,4996000,65.13
2012-01-09,65.26,65.83,65.01,65.73,5859600,65.20
2012-01-06,66.27,66.27,65.29,65.39,6533000,64.86
2012-01-05,66.58,66.67,66.12,66.22,4909100,65.68
2012-01-04,66.41,66.84,66.12,66.74,6042400,66.20
2012-01-03,66.86,67.19,66.36,66.40,5348800,65.86
2011-12-30,66.42,66.69,66.24,66.35,2632900,65.81
2011-12-29,65.97,66.63,65.96,66.54,2840300,66.00
2011-12-28,66.38,66.50,65.84,65.91,3179800,65.37
2011-12-27,66.47,66.78,66.32,66.38,2544000,65.84
2011-12-23,66.28,66.69,66.12,66.57,2625700,66.03
2011-12-22,66.03,66.42,65.92,66.04,3537200,65.50
2011-12-21,65.22,66.25,65.22,66.04,4979700,65.50
2011-12-20,64.80,65.71,64.62,65.53,4800400,65.00
2011-12-19,64.63,65.17,64.20,64.37,4943000,63.85
2011-12-16,65.28,65.40,64.62,64.71,8619400,64.18
2011-12-15,64.03,65.10,63.94,64.85,6417700,64.32
2011-12-14,64.41,64.67,63.93,63.98,5665500,63.46
