Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,27.60,27.63,27.31,27.35,3358600,27.35
2012-05-03,27.43,27.64,27.24,27.25,3854400,27.25
2012-05-02,27.57,27.60,27.30,27.46,4795900,27.46
2012-05-01,27.37,27.62,27.27,27.58,4927100,27.58
2012-04-30,27.14,27.36,27.07,27.35,3817200,27.35
2012-04-27,27.45,27.49,27.18,27.31,2918100,27.31
2012-04-26,27.07,27.42,27.02,27.38,2879600,27.38
2012-04-25,27.03,27.19,26.91,27.09,4793800,27.09
2012-04-24,27.10,27.37,27.06,27.27,2996300,27.27
2012-04-23,27.01,27.11,26.95,27.06,2600000,27.06
2012-04-20,26.93,27.24,26.90,27.15,4136800,27.15
2012-04-19,26.87,26.99,26.77,26.90,3589000,26.90
2012-04-18,27.04,27.10,26.84,26.90,3644700,26.90
2012-04-17,27.06,27.11,26.85,27.09,3347800,27.09
2012-04-16,26.83,27.15,26.81,26.93,3831000,26.93
2012-04-13,27.00,27.05,26.68,26.77,8388700,26.77
2012-04-12,27.10,27.23,27.01,27.10,5664300,27.10
2012-04-11,27.20,27.21,27.04,27.07,4934900,27.07
2012-04-10,27.15,27.25,26.97,27.06,14718700,27.06
2012-04-09,27.42,27.78,27.42,27.66,3791900,27.66
2012-04-05,27.81,27.88,27.50,27.63,3909200,27.63
2012-04-04,27.98,28.09,27.81,27.89,6668800,27.89
2012-04-03,28.35,28.35,27.92,28.17,3173100,28.17
2012-04-02,28.28,28.44,28.11,28.20,3302300,28.20
2012-03-30,28.10,28.27,27.90,28.26,4094000,28.26
2012-03-29,27.74,28.03,27.70,28.01,4552200,28.01
2012-03-28,28.14,28.24,27.79,27.92,3527600,27.92
2012-03-27,27.80,28.27,27.80,28.16,5659700,28.16
2012-03-26,27.87,27.94,27.56,27.74,4312500,27.74
2012-03-23,27.74,27.89,27.62,27.67,4182900,27.67
2012-03-22,27.71,27.81,27.48,27.67,5046600,27.67
2012-03-21,27.80,27.88,27.59,27.71,3842400,27.71
2012-03-20,28.02,28.06,27.80,27.81,3523600,27.81
2012-03-19,28.32,28.43,28.08,28.09,2821400,28.09
2012-03-16,28.15,28.34,28.08,28.31,4466600,28.31
2012-03-15,28.14,28.21,27.97,28.18,2234100,28.18
2012-03-14,28.41,28.49,28.01,28.10,2541500,28.10
2012-03-13,28.54,28.56,28.24,28.38,3439500,28.38
2012-03-12,28.29,28.54,28.23,28.51,2811300,28.51
2012-03-09,28.10,28.28,28.00,28.26,2406100,28.26
2012-03-08,28.06,28.16,27.91,28.08,2700200,28.08
2012-03-07,27.95,28.01,27.70,27.95,3379400,27.95
2012-03-06,28.48,28.53,28.21,28.25,3912600,27.89
2012-03-05,28.47,28.59,28.28,28.56,2619200,28.20
2012-03-02,28.57,28.68,28.38,28.46,2949900,28.10
2012-03-01,28.58,28.70,28.44,28.57,4051100,28.21
2012-02-29,28.63,28.67,28.25,28.55,4498700,28.19
2012-02-28,28.79,28.87,28.50,28.68,2793300,28.31
2012-02-27,28.83,29.00,28.71,28.73,13710600,28.36
2012-02-24,28.68,28.95,28.59,28.85,11936300,28.48
2012-02-23,28.54,28.71,28.47,28.61,15157600,28.25
2012-02-22,28.30,28.72,28.28,28.55,5222300,28.19
2012-02-21,28.48,28.55,28.20,28.28,3297300,27.92
2012-02-17,28.54,28.59,28.31,28.47,3564300,28.11
2012-02-16,28.00,28.58,27.98,28.37,5443000,28.01
2012-02-15,27.92,28.07,27.73,27.95,3662900,27.59
2012-02-14,27.89,27.93,27.64,27.85,4433000,27.50
2012-02-13,28.45,28.59,27.82,27.92,7113200,27.56
2012-02-10,27.86,28.54,27.71,28.45,7483700,28.09
2012-02-09,27.77,27.80,27.56,27.71,4162200,27.36
2012-02-08,27.80,27.82,27.55,27.78,3412000,27.43
2012-02-07,27.49,27.78,27.29,27.72,2994000,27.37
2012-02-06,27.48,27.58,27.37,27.49,4542300,27.14
2012-02-03,27.65,27.79,27.31,27.54,6099700,27.19
2012-02-02,27.80,27.88,27.55,27.56,5721200,27.21
2012-02-01,27.85,27.94,27.72,27.86,3531100,27.50
2012-01-31,27.72,27.82,27.59,27.79,4270500,27.44
2012-01-30,27.71,27.72,27.46,27.59,3562300,27.24
2012-01-27,28.17,28.20,27.78,27.80,3707500,27.45
2012-01-26,28.33,28.38,28.06,28.20,4677500,27.84
2012-01-25,27.56,28.27,27.41,28.23,5095000,27.87
2012-01-24,27.73,27.75,27.50,27.64,4344900,27.29
2012-01-23,27.56,27.95,27.56,27.82,6282200,27.47
2012-01-20,27.73,27.80,27.49,27.50,6699500,27.15
2012-01-19,28.07,28.17,27.75,27.80,6777700,27.45
2012-01-18,27.96,28.16,27.80,28.09,4799700,27.73
2012-01-17,28.15,28.34,27.85,27.93,3696900,27.57
2012-01-13,27.93,28.12,27.75,28.09,3612000,27.73
2012-01-12,28.19,28.29,27.90,28.00,6365800,27.64
2012-01-11,28.63,28.71,28.15,28.21,5727900,27.85
2012-01-10,28.95,28.99,28.73,28.75,4554400,28.38
2012-01-09,28.62,28.81,28.45,28.78,3687000,28.41
2012-01-06,28.74,28.76,28.38,28.52,4494300,28.16
