Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,17.23,17.23,17.17,17.20,10600,17.20
2012-05-03,17.72,17.72,17.41,17.42,5300,17.42
2012-05-02,17.54,17.72,17.54,17.72,4500,17.72
2012-05-01,17.66,17.81,17.66,17.81,900,17.81
2012-04-30,17.77,17.77,17.63,17.63,5900,17.63
2012-04-27,17.75,17.75,17.62,17.73,2600,17.73
2012-04-26,17.46,17.65,17.46,17.65,1400,17.65
2012-04-25,17.51,17.51,17.38,17.48,2800,17.48
2012-04-24,17.16,17.22,17.08,17.14,6100,17.14
2012-04-23,17.07,17.12,16.97,17.09,5900,17.09
2012-04-20,17.43,17.51,17.43,17.44,1900,17.44
2012-04-19,17.58,17.58,17.37,17.37,1300,17.37
2012-04-18,17.42,17.45,17.34,17.40,7800,17.40
2012-04-17,17.28,17.55,17.28,17.55,5800,17.55
2012-04-16,17.16,17.20,17.09,17.18,1700,17.18
2012-04-13,17.24,17.26,17.23,17.24,3600,17.24
2012-04-12,17.28,17.46,17.28,17.46,2600,17.46
2012-04-11,17.11,17.14,17.09,17.13,13100,17.13
2012-04-10,17.16,17.16,16.92,16.92,27400,16.92
2012-04-09,17.32,17.33,17.20,17.32,4400,17.32
2012-04-05,17.61,17.69,17.58,17.60,6200,17.60
2012-04-04,17.73,17.73,17.64,17.68,4500,17.68
2012-04-03,18.01,18.04,18.01,18.01,500,18.01
2012-04-02,18.03,18.09,18.03,18.05,3500,18.05
2012-03-30,18.00,18.00,17.91,17.92,3700,17.92
2012-03-29,17.76,17.95,17.75,17.95,2400,17.95
2012-03-28,18.04,18.04,17.85,17.92,2000,17.92
2012-03-27,18.21,18.21,18.13,18.15,4900,18.15
2012-03-26,18.10,18.21,18.10,18.19,4700,18.19
2012-03-23,17.69,17.86,17.69,17.86,2000,17.86
2012-03-22,17.70,17.76,17.65,17.68,6600,17.68
2012-03-21,17.88,17.98,17.87,17.91,1800,17.91
2012-03-20,17.88,17.96,17.88,17.91,1600,17.91
2012-03-19,17.95,18.15,17.95,18.06,1600,18.06
2012-03-16,17.92,17.92,17.92,17.92,000,17.92
2012-03-15,17.86,17.95,17.86,17.92,12700,17.92
2012-03-14,17.90,17.90,17.76,17.81,6900,17.81
2012-03-13,17.65,17.81,17.65,17.81,2700,17.81
2012-03-12,17.56,17.61,17.55,17.57,8800,17.57
2012-03-09,17.49,17.68,17.49,17.64,3700,17.64
2012-03-08,17.30,17.44,17.20,17.43,11300,17.43
2012-03-07,17.08,17.18,17.07,17.18,3800,17.18
2012-03-06,17.11,17.15,16.99,16.99,9200,16.99
2012-03-05,17.36,17.40,17.29,17.38,9300,17.38
2012-03-02,17.55,17.55,17.45,17.45,4000,17.45
2012-03-01,17.60,17.73,17.60,17.69,600,17.69
2012-02-29,17.77,17.77,17.57,17.57,5800,17.57
2012-02-28,17.81,17.81,17.74,17.77,2400,17.77
2012-02-27,17.63,17.84,17.63,17.80,5000,17.80
2012-02-24,17.77,17.85,17.77,17.79,4500,17.79
2012-02-23,17.59,17.81,17.59,17.81,45200,17.81
2012-02-22,17.68,17.68,17.61,17.61,33100,17.61
2012-02-21,17.86,17.86,17.64,17.64,45800,17.64
2012-02-17,17.78,17.78,17.78,17.78,1200,17.78
2012-02-16,17.40,17.84,17.40,17.78,6100,17.78
2012-02-15,17.71,17.71,17.46,17.48,3800,17.48
2012-02-14,17.47,17.57,17.47,17.56,23800,17.56
2012-02-13,17.59,17.66,17.51,17.61,32800,17.61
2012-02-10,17.44,17.44,17.39,17.40,3300,17.40
2012-02-09,17.54,17.63,17.54,17.61,7600,17.61
2012-02-08,17.61,17.65,17.56,17.62,5800,17.62
2012-02-07,17.59,17.63,17.54,17.61,7800,17.61
2012-02-06,17.52,17.56,17.52,17.55,3200,17.55
2012-02-03,17.50,17.61,17.46,17.60,12500,17.60
2012-02-02,17.26,17.33,17.23,17.28,13700,17.28
2012-02-01,17.03,17.21,17.03,17.21,8200,17.21
2012-01-31,16.92,16.92,16.91,16.92,1500,16.92
2012-01-30,17.01,17.01,16.94,16.97,3000,16.97
2012-01-27,17.00,17.10,16.99,17.10,7500,17.10
2012-01-26,17.04,17.04,16.91,16.95,3400,16.95
2012-01-25,16.84,17.09,16.81,17.09,3700,17.09
2012-01-24,16.67,16.88,16.67,16.87,9700,16.87
