Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,40.50,40.79,40.25,40.37,1492200,40.37
2012-05-03,40.70,40.91,40.46,40.54,1780200,40.54
2012-05-02,40.56,40.87,40.52,40.65,1573000,40.65
2012-05-01,40.91,41.00,40.50,40.77,1579000,40.77
2012-04-30,40.59,40.95,40.55,40.83,1436700,40.83
2012-04-27,40.74,40.86,40.46,40.58,1854000,40.58
2012-04-26,39.69,40.68,39.67,40.60,2678600,40.60
2012-04-25,39.73,40.00,39.45,39.65,3519100,39.65
2012-04-24,40.57,41.15,39.45,39.65,4926200,39.65
2012-04-23,41.66,41.79,41.42,41.72,1785700,41.72
2012-04-20,41.69,41.93,41.46,41.80,1903200,41.80
2012-04-19,41.53,41.69,41.22,41.64,1794800,41.64
2012-04-18,41.51,41.55,41.07,41.43,1786400,41.43
2012-04-17,41.60,41.80,41.23,41.71,1421900,41.71
2012-04-16,41.68,41.68,41.35,41.43,1603800,41.43
2012-04-13,41.70,42.05,41.59,41.60,3486200,41.60
2012-04-12,41.68,41.83,41.40,41.79,1291400,41.79
2012-04-11,41.17,41.78,41.17,41.66,2013900,41.66
2012-04-10,41.50,41.56,41.12,41.14,2136100,41.14
2012-04-09,41.74,41.88,41.42,41.52,1877400,41.52
2012-04-05,41.30,42.15,41.27,42.07,2557100,42.07
2012-04-04,41.41,41.72,41.36,41.44,2036400,41.44
2012-04-03,41.59,41.63,41.25,41.49,1963800,41.49
2012-04-02,41.47,41.94,41.46,41.56,2158800,41.56
2012-03-30,41.31,41.60,40.95,41.44,2644500,41.44
2012-03-29,41.06,41.16,40.79,40.99,1569400,40.99
2012-03-28,41.29,41.46,41.07,41.19,1188300,41.19
2012-03-27,41.50,41.72,41.31,41.36,1481400,41.36
2012-03-26,41.04,41.53,41.02,41.44,1487800,41.44
2012-03-23,40.77,41.00,40.31,41.00,2163500,41.00
2012-03-22,41.28,41.47,41.18,41.30,1009000,41.30
2012-03-21,41.31,41.56,41.21,41.36,1419000,41.36
2012-03-20,41.16,41.45,41.16,41.19,1409800,41.19
2012-03-19,41.24,41.42,41.08,41.31,1249300,41.31
2012-03-16,41.29,41.45,41.13,41.35,2211600,41.35
2012-03-15,41.35,41.46,40.97,41.31,1958000,41.31
2012-03-14,41.74,41.86,41.23,41.33,2234200,41.33
2012-03-13,41.98,42.01,41.67,41.86,2109200,41.86
2012-03-12,42.04,42.17,41.84,41.89,2422200,41.89
2012-03-09,42.15,42.26,41.99,42.08,1670400,42.08
2012-03-08,41.88,42.49,41.79,42.17,2807600,42.17
2012-03-07,41.97,41.97,41.13,41.69,3361500,41.69
2012-03-06,42.17,42.81,42.17,42.27,3239900,41.71
2012-03-05,41.96,42.50,41.92,42.42,1649500,41.86
2012-03-02,42.22,42.23,41.81,42.07,1690000,41.51
2012-03-01,41.96,42.26,41.66,42.16,2179100,41.60
2012-02-29,41.55,42.07,41.55,41.93,3062800,41.37
2012-02-28,41.74,41.84,41.38,41.58,2421400,41.03
2012-02-27,41.18,41.97,41.13,41.82,9623500,41.27
2012-02-24,40.76,41.28,40.57,41.28,6605100,40.73
2012-02-23,40.28,40.70,40.06,40.65,6991800,40.11
2012-02-22,40.72,40.88,40.03,40.32,3287800,39.79
2012-02-21,40.99,41.05,40.59,40.66,2013700,40.12
2012-02-17,41.32,41.32,40.85,40.89,2509800,40.35
2012-02-16,40.40,41.10,40.35,41.00,1951600,40.46
2012-02-15,40.45,40.68,40.30,40.37,1830500,39.84
2012-02-14,40.06,40.42,39.92,40.38,2306400,39.85
2012-02-13,39.91,40.40,39.78,40.15,2054600,39.62
2012-02-10,40.02,40.04,39.47,39.74,1542600,39.21
2012-02-09,39.65,40.25,39.50,40.22,2393500,39.69
2012-02-08,40.23,40.31,39.18,39.62,2741200,39.10
2012-02-07,39.99,40.43,39.99,40.11,1433300,39.58
2012-02-06,39.70,40.15,39.70,40.00,1936000,39.47
2012-02-03,40.01,40.22,39.60,39.75,2679800,39.22
2012-02-02,39.64,39.88,39.50,39.78,1517600,39.25
2012-02-01,39.50,39.90,39.45,39.59,1773000,39.07
2012-01-31,39.63,39.71,38.95,39.23,1775600,38.71
2012-01-30,39.16,39.59,39.08,39.56,2039900,39.04
2012-01-27,40.06,40.20,39.42,39.42,1920000,38.90
2012-01-26,40.44,40.45,39.65,40.07,2142500,39.54
2012-01-25,39.62,40.36,39.46,40.32,2064400,39.79
2012-01-24,40.31,40.48,39.57,39.72,2242100,39.19
2012-01-23,40.28,40.50,40.15,40.49,1897000,39.95
2012-01-20,40.37,40.43,39.95,40.22,2298800,39.69
2012-01-19,41.09,41.23,40.07,40.22,3409700,39.69
2012-01-18,41.65,41.74,41.12,41.20,1909500,40.65
2012-01-17,41.82,41.90,41.45,41.62,1924300,41.07
2012-01-13,40.97,41.33,40.90,41.32,1234000,40.77
2012-01-12,41.09,41.28,41.01,41.10,1799000,40.56
2012-01-11,41.12,41.26,40.80,40.94,2473100,40.40
2012-01-10,40.93,41.63,40.93,41.15,2295700,40.60
2012-01-09,40.50,40.81,40.35,40.66,1806500,40.12
2012-01-06,40.36,40.45,40.00,40.44,5148300,39.90
2012-01-05,40.30,40.65,40.26,40.60,2433300,40.06
2012-01-04,41.23,41.24,40.64,40.76,1950800,40.22
2012-01-03,41.87,41.90,41.20,41.23,2088100,40.68
2011-12-30,41.75,41.82,41.39,41.42,1067000,40.87
2011-12-29,41.82,41.95,41.55,41.76,1051700,41.21
2011-12-28,41.80,41.91,41.63,41.70,992900,41.15
2011-12-27,41.73,41.89,41.70,41.74,947600,41.19
2011-12-23,41.47,41.73,41.28,41.72,1590100,41.17
2011-12-22,41.78,41.78,41.10,41.27,1829400,40.72
2011-12-21,41.21,41.78,41.11,41.49,2894700,40.94
2011-12-20,40.86,41.15,40.73,41.01,2194800,40.47
2011-12-19,40.77,40.91,40.43,40.52,1887700,39.98
2011-12-16,41.18,41.25,40.34,40.66,2640200,40.12
2011-12-15,40.71,41.20,40.58,41.07,1986500,40.53
2011-12-14,40.75,40.90,40.31,40.35,2056200,39.82
2011-12-13,40.45,41.06,40.35,40.75,3373200,40.21
2011-12-12,40.53,40.54,39.94,40.32,2280500,39.79
2011-12-09,40.50,40.73,40.40,40.54,2212300,40.00
2011-12-08,40.78,40.92,40.31,40.35,2292900,39.82
2011-12-07,40.90,41.07,40.33,40.91,2739000,40.37
2011-12-06,41.38,41.85,41.31,41.63,2472600,40.53
2011-12-05,41.75,41.79,41.11,41.32,2287100,40.22
2011-12-02,41.80,41.85,41.11,41.26,2077000,40.17
2011-12-01,41.80,42.18,41.70,41.70,3545600,40.59
2011-11-30,41.61,41.88,41.10,41.86,3996500,40.75
2011-11-29,40.27,41.13,40.27,40.87,3039000,39.79
2011-11-28,40.53,40.57,40.03,40.17,3417400,39.10
2011-11-25,40.09,40.17,39.86,39.99,1120300,38.93
2011-11-23,40.05,40.36,39.79,40.07,2220200,39.01
2011-11-22,40.43,40.61,39.95,40.25,3767300,39.18
2011-11-21,39.67,40.80,39.67,40.55,14304300,39.47
2011-11-18,40.02,40.19,39.67,40.11,13092900,39.05
2011-11-17,39.95,40.42,39.76,40.23,9773900,39.16
2011-11-16,39.33,40.29,39.28,39.88,3608700,38.82
2011-11-15,38.60,39.63,38.54,39.54,5386100,38.49
2011-11-14,38.78,38.92,37.95,38.72,2063400,37.69
2011-11-11,39.10,39.14,38.74,38.90,1844500,37.87
2011-11-10,38.58,38.84,38.31,38.79,1364700,37.76
2011-11-09,38.44,38.44,37.86,38.08,3349500,37.07
2011-11-08,38.52,38.92,38.29,38.84,1938900,37.81
2011-11-07,38.07,38.46,37.77,38.44,2570500,37.42
2011-11-04,38.43,38.43,37.92,38.11,2185100,37.10
2011-11-03,38.63,38.82,38.28,38.56,3074500,37.54
2011-11-02,38.40,38.40,38.00,38.33,1538000,37.31
2011-11-01,37.87,38.37,37.68,37.94,2843800,36.93
2011-10-31,38.92,39.26,38.67,38.68,2066300,37.65
2011-10-28,38.94,39.22,38.56,39.13,2282400,38.09
2011-10-27,39.07,39.33,38.46,39.08,2901100,38.04
2011-10-26,38.26,38.38,37.93,38.36,2817100,37.34
2011-10-25,38.61,38.88,38.01,38.04,3646800,37.03
2011-10-24,39.76,39.77,39.00,39.37,2407100,38.33
2011-10-21,39.49,39.80,39.32,39.73,2230600,38.68
2011-10-20,39.24,39.50,39.03,39.12,1719700,38.08
