Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,34.29,34.75,34.10,34.15,606300,34.15
2012-05-03,34.98,35.36,34.46,34.54,690500,34.54
2012-05-02,34.35,35.08,34.19,34.90,714400,34.90
2012-05-01,34.38,35.33,34.27,34.51,872400,34.51
2012-04-30,35.01,35.01,32.82,34.21,2353300,34.21
2012-04-27,35.89,35.89,35.13,35.21,1033100,35.21
2012-04-26,34.60,35.68,34.59,35.67,910200,35.67
2012-04-25,35.02,35.40,34.54,34.80,1038600,34.80
2012-04-24,37.59,38.38,34.30,35.08,2384100,35.08
2012-04-23,36.23,37.12,35.88,36.66,735000,36.66
2012-04-20,37.49,37.49,36.39,36.76,1061300,36.76
2012-04-19,38.00,38.13,36.72,37.05,644300,37.05
2012-04-18,37.67,38.22,37.21,38.12,439000,38.12
2012-04-17,37.61,38.33,37.61,37.89,621400,37.89
2012-04-16,36.84,37.55,36.52,37.24,408500,37.24
2012-04-13,37.00,37.33,36.48,36.97,400000,36.97
2012-04-12,36.48,37.36,36.33,37.27,410400,37.27
2012-04-11,36.86,36.86,36.20,36.54,618600,36.54
2012-04-10,37.14,37.18,36.32,36.41,921700,36.41
2012-04-09,36.63,37.46,36.36,37.37,487400,37.37
2012-04-05,37.46,37.74,37.20,37.26,592700,37.26
2012-04-04,37.78,37.97,37.49,37.70,536000,37.70
2012-04-03,37.82,38.28,37.73,38.12,375600,38.12
2012-04-02,37.51,38.27,37.26,37.97,785200,37.97
2012-03-30,38.26,38.47,37.68,37.75,724300,37.59
2012-03-29,37.47,38.29,37.22,38.14,731900,37.98
2012-03-28,38.32,38.33,37.47,37.67,660000,37.51
2012-03-27,38.31,39.50,37.97,38.39,1322000,38.23
2012-03-26,36.66,37.42,35.82,37.31,956900,37.15
2012-03-23,35.49,35.60,34.76,35.42,598900,35.27
2012-03-22,35.22,35.60,34.91,35.41,687300,35.26
2012-03-21,35.34,35.72,35.21,35.50,662900,35.35
2012-03-20,34.75,35.36,34.75,35.10,681200,34.95
2012-03-19,34.26,35.19,34.04,34.99,623500,34.84
2012-03-16,34.60,34.72,34.04,34.06,1267000,33.92
2012-03-15,34.69,34.69,33.91,34.46,485300,34.31
2012-03-14,34.05,34.43,33.93,34.06,799100,33.92
2012-03-13,34.93,34.93,33.79,34.14,960500,34.00
2012-03-12,34.80,34.89,34.48,34.65,643400,34.50
2012-03-09,34.14,35.04,33.44,34.80,847800,34.65
2012-03-08,33.87,34.52,33.65,34.16,797000,34.02
2012-03-07,33.32,33.73,33.01,33.55,764200,33.41
2012-03-06,33.78,34.06,33.01,33.16,916700,33.02
2012-03-05,34.22,34.90,33.78,34.21,811600,34.07
2012-03-02,35.89,36.30,34.34,34.39,958200,34.24
2012-03-01,35.60,36.14,35.34,35.80,616900,35.65
2012-02-29,36.34,36.43,35.42,35.46,870800,35.31
2012-02-28,36.34,36.69,36.09,36.33,687600,36.18
2012-02-27,35.93,36.57,35.86,36.45,360800,36.30
2012-02-24,35.43,36.37,35.30,36.35,580500,36.20
2012-02-23,35.02,35.74,34.80,35.55,600300,35.40
2012-02-22,34.93,35.24,34.64,34.90,684300,34.75
2012-02-21,35.60,35.82,34.96,35.18,388200,35.03
2012-02-17,35.59,35.73,35.30,35.57,352000,35.42
2012-02-16,34.82,35.40,34.70,35.35,350900,35.20
2012-02-15,35.61,35.62,34.63,34.80,611900,34.65
2012-02-14,35.06,35.50,34.80,35.46,330400,35.31
2012-02-13,35.24,35.47,34.19,35.33,404500,35.18
2012-02-10,34.33,35.14,33.78,34.81,618500,34.66
2012-02-09,34.82,34.96,34.24,34.62,353200,34.47
2012-02-08,34.75,35.25,34.28,34.85,536300,34.70
2012-02-07,34.56,34.87,34.11,34.82,383100,34.67
2012-02-06,34.03,34.95,34.03,34.70,492500,34.55
2012-02-03,34.43,34.61,34.13,34.30,760000,34.15
2012-02-02,34.33,34.72,33.72,33.83,635100,33.69
2012-02-01,33.80,34.53,33.26,34.25,940200,34.10
2012-01-31,35.80,35.88,33.14,33.82,2508900,33.68
2012-01-30,37.02,37.87,37.01,37.19,705400,37.03
2012-01-27,37.19,37.54,36.76,37.38,385100,37.22
2012-01-26,38.00,38.32,37.15,37.38,604900,37.22
2012-01-25,37.48,38.00,36.94,37.96,463400,37.80
2012-01-24,36.62,37.60,36.32,37.51,635900,37.35
2012-01-23,36.61,37.57,36.55,36.97,707400,36.81
2012-01-20,36.51,36.59,36.06,36.49,255600,36.34
2012-01-19,36.80,36.97,36.38,36.60,370600,36.44
2012-01-18,36.03,36.77,35.74,36.73,461100,36.57
2012-01-17,36.11,36.26,35.80,35.95,471100,35.80
2012-01-13,35.82,36.52,35.51,35.90,470900,35.75
2012-01-12,36.22,36.63,35.94,36.15,369400,36.00
2012-01-11,36.01,36.46,36.01,36.36,244000,36.21
2012-01-10,36.53,36.81,36.08,36.25,465900,36.10
2012-01-09,36.42,36.55,35.92,36.25,442200,36.10
2012-01-06,36.50,36.97,35.71,36.18,488100,36.03
2012-01-05,36.33,37.05,35.84,36.47,461000,36.32
2012-01-04,37.00,37.15,36.36,36.65,614500,36.49
2012-01-03,37.66,38.09,37.08,37.26,367100,37.10
2011-12-30,37.31,37.82,36.97,37.00,299000,36.84
2011-12-29,37.07,37.73,36.21,37.66,207100,37.34
2011-12-28,37.93,38.26,36.86,36.91,399300,36.60
2011-12-27,37.60,38.17,37.54,38.04,217900,37.72
2011-12-23,37.52,37.87,37.50,37.67,297100,37.35
2011-12-22,37.76,38.00,37.39,37.57,415600,37.25
2011-12-21,37.01,37.69,36.69,37.45,662900,37.13
2011-12-20,35.89,37.41,35.89,37.19,724200,36.88
2011-12-19,35.27,35.96,35.09,35.18,772200,34.88
2011-12-16,35.22,35.58,34.75,34.98,1633500,34.68
2011-12-15,35.34,35.60,34.62,35.05,606000,34.75
2011-12-14,34.62,34.91,34.29,34.81,1006700,34.52
2011-12-13,36.63,36.75,34.86,34.99,842500,34.69
2011-12-12,36.32,36.47,35.91,36.28,499000,35.97
2011-12-09,35.52,37.00,35.52,36.86,651600,36.55
2011-12-08,35.59,35.88,35.11,35.42,535600,35.12
2011-12-07,35.46,36.20,35.39,35.97,484700,35.67
2011-12-06,36.49,36.58,35.81,35.88,565600,35.58
2011-12-05,36.49,36.67,36.20,36.47,502800,36.16
2011-12-02,36.47,36.52,35.85,36.00,462700,35.70
2011-12-01,35.68,36.60,35.51,36.00,561800,35.70
2011-11-30,35.06,35.98,34.79,35.95,1053500,35.65
2011-11-29,34.14,34.62,33.75,34.44,338400,34.15
2011-11-28,33.54,34.36,33.54,34.05,600100,33.76
2011-11-25,33.23,33.47,32.46,32.47,335400,32.20
2011-11-23,34.01,34.26,33.16,33.33,533700,33.05
2011-11-22,34.64,34.78,34.14,34.20,426400,33.91
2011-11-21,34.51,34.83,34.20,34.60,627000,34.31
2011-11-18,35.05,35.67,34.62,35.19,617700,34.89
2011-11-17,35.94,35.94,34.67,35.02,858900,34.72
2011-11-16,36.35,36.70,35.77,35.83,787500,35.53
2011-11-15,35.89,37.37,35.89,37.00,1014700,36.69
2011-11-14,35.96,36.28,35.69,36.15,529900,35.84
2011-11-11,35.79,36.38,35.55,36.14,522200,35.83
2011-11-10,35.95,36.01,35.20,35.47,571300,35.17
2011-11-09,34.77,36.55,34.72,35.46,1286200,35.16
2011-11-08,35.50,36.00,35.20,35.89,1079000,35.59
2011-11-07,35.25,35.55,34.97,35.32,621000,35.02
2011-11-04,35.20,35.44,34.67,35.26,409100,34.96
2011-11-03,35.09,35.57,34.04,35.51,725400,35.21
2011-11-02,34.16,34.80,33.80,34.63,572500,34.34
2011-11-01,33.16,34.72,32.46,33.78,1073600,33.49
2011-10-31,34.10,34.89,34.00,34.15,619000,33.86
2011-10-28,35.10,35.28,34.21,34.62,408000,34.33
2011-10-27,34.50,35.70,34.01,35.17,1113200,34.87
2011-10-26,33.40,33.57,32.76,33.43,674500,33.15
2011-10-25,31.93,34.79,31.80,32.84,1650300,32.56
2011-10-24,31.50,32.47,31.24,32.21,1116700,31.94
2011-10-21,30.87,31.50,30.84,31.44,436600,31.17
2011-10-20,30.54,30.57,29.86,30.51,586800,30.25
2011-10-19,30.80,31.25,30.22,30.36,429000,30.10
2011-10-18,30.29,31.02,29.89,30.83,765700,30.57
2011-10-17,30.83,31.13,30.09,30.17,351900,29.91
2011-10-14,30.89,31.24,30.64,31.19,285200,30.93
2011-10-13,30.55,30.94,30.40,30.61,339500,30.35
2011-10-12,30.78,31.05,30.53,30.81,562700,30.55
2011-10-11,29.86,30.57,29.65,30.46,590300,30.20
2011-10-10,29.62,30.35,29.55,30.07,724300,29.82
2011-10-07,28.99,29.46,28.75,29.12,1277400,28.87
2011-10-06,28.17,28.94,27.85,28.83,673900,28.59
2011-10-05,27.58,28.36,27.23,28.22,598300,27.98
2011-10-04,25.84,27.86,25.82,27.81,1041300,27.42
2011-10-03,27.09,27.51,25.96,26.03,697800,25.66
2011-09-30,27.54,27.98,27.26,27.45,598800,27.06
2011-09-29,27.38,28.06,26.95,28.05,871500,27.65
