Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,15.78,15.78,15.50,15.58,52100,15.58
2012-05-03,16.16,16.16,15.88,15.90,46000,15.90
2012-05-02,16.20,16.22,16.09,16.17,170000,16.17
2012-05-01,16.19,16.46,16.19,16.33,51000,16.33
2012-04-30,16.36,16.36,16.17,16.19,31000,16.19
2012-04-27,16.48,16.48,16.30,16.40,64300,16.40
2012-04-26,16.29,16.44,16.24,16.39,24900,16.39
2012-04-25,16.20,16.21,16.10,16.20,37500,16.20
2012-04-24,16.12,16.20,15.95,15.99,39600,15.99
2012-04-23,16.16,16.16,15.84,16.01,132800,16.01
2012-04-20,16.58,16.68,16.48,16.50,28500,16.50
2012-04-19,16.69,16.76,16.45,16.55,44700,16.55
2012-04-18,16.60,16.67,16.54,16.59,46100,16.59
2012-04-17,16.63,16.80,16.55,16.66,21200,16.66
2012-04-16,16.60,16.65,16.38,16.45,45700,16.45
2012-04-13,16.82,16.82,16.55,16.55,29800,16.55
2012-04-12,16.42,16.89,16.42,16.83,78600,16.83
2012-04-11,16.51,16.51,16.28,16.31,99500,16.31
2012-04-10,16.64,16.72,16.21,16.27,112300,16.27
2012-04-09,16.51,16.78,16.50,16.74,94800,16.74
2012-04-05,16.73,16.88,16.65,16.65,131900,16.65
2012-04-04,16.96,16.99,16.70,16.75,135300,16.75
2012-04-03,17.55,17.55,17.22,17.33,32800,17.33
2012-04-02,17.36,17.64,17.35,17.60,183700,17.60
2012-03-30,17.39,17.46,17.16,17.16,150900,17.16
2012-03-29,16.96,17.39,16.90,17.38,52200,17.38
2012-03-28,17.36,17.43,17.04,17.15,40500,17.15
2012-03-27,17.21,17.49,17.21,17.35,141600,17.35
2012-03-26,17.22,17.39,17.17,17.22,53800,17.22
2012-03-23,16.78,17.00,16.73,16.95,77700,16.95
2012-03-22,17.17,17.20,16.81,16.86,117700,16.86
2012-03-21,17.48,17.60,17.39,17.46,102000,17.46
2012-03-20,17.46,17.59,17.25,17.57,56300,17.57
2012-03-19,17.47,17.89,17.43,17.74,77900,17.74
2012-03-16,17.66,17.66,17.50,17.52,72100,17.52
2012-03-15,17.69,17.74,17.45,17.52,90800,17.52
2012-03-14,17.82,17.89,17.59,17.67,165100,17.67
2012-03-13,17.38,17.75,17.26,17.70,291000,17.70
2012-03-12,17.43,17.43,17.14,17.22,123500,17.22
2012-03-09,17.08,17.60,17.08,17.57,170200,17.57
2012-03-08,16.71,16.81,16.62,16.77,49300,16.77
2012-03-07,16.36,16.50,16.25,16.43,44200,16.43
2012-03-06,16.49,16.49,16.16,16.32,151600,16.32
2012-03-05,17.20,17.20,16.91,16.97,85200,16.97
2012-03-02,17.37,17.38,17.12,17.19,79700,17.19
2012-03-01,17.21,17.39,17.21,17.27,108000,17.27
2012-02-29,17.67,17.74,17.27,17.32,100600,17.32
2012-02-28,17.76,17.82,17.57,17.60,72300,17.60
2012-02-27,17.84,17.92,17.67,17.72,143800,17.72
2012-02-24,18.20,18.26,18.08,18.14,42600,18.14
2012-02-23,18.20,18.50,18.02,18.14,59200,18.14
2012-02-22,18.18,18.22,18.08,18.11,53100,18.11
2012-02-21,18.22,18.35,18.11,18.20,114100,18.20
2012-02-17,17.98,17.98,17.82,17.93,65300,17.93
2012-02-16,17.56,17.96,17.43,17.94,86900,17.94
2012-02-15,17.81,17.84,17.58,17.65,57500,17.65
2012-02-14,17.86,17.95,17.61,17.73,59700,17.73
2012-02-13,18.21,18.34,18.14,18.20,59100,18.20
2012-02-10,18.09,18.10,17.86,17.96,111300,17.96
2012-02-09,18.60,18.60,18.35,18.40,89500,18.40
2012-02-08,18.51,18.63,18.38,18.50,62100,18.50
2012-02-07,18.38,18.39,18.03,18.22,101500,18.22
2012-02-06,18.50,18.52,18.36,18.41,61800,18.41
2012-02-03,18.47,18.63,18.43,18.60,108900,18.60
2012-02-02,18.26,18.55,18.25,18.40,87600,18.40
2012-02-01,17.88,18.26,17.88,18.07,194600,18.07
2012-01-31,17.85,17.89,17.51,17.70,97700,17.70
2012-01-30,17.43,17.60,17.32,17.55,75500,17.55
2012-01-27,17.67,17.80,17.60,17.78,98000,17.78
2012-01-26,17.82,18.01,17.44,17.53,167700,17.53
2012-01-25,17.19,17.60,17.00,17.54,76500,17.54
2012-01-24,17.07,17.20,16.94,17.15,61800,17.15
2012-01-23,17.35,17.53,17.26,17.32,123400,17.32
2012-01-20,17.24,17.31,17.14,17.29,54400,17.29
2012-01-19,17.17,17.22,17.03,17.11,104900,17.11
2012-01-18,16.45,16.79,16.43,16.79,68100,16.79
2012-01-17,16.43,16.53,16.23,16.23,120900,16.23
2012-01-13,16.24,16.24,16.05,16.11,74300,16.11
2012-01-12,16.18,16.43,16.13,16.42,116000,16.42
2012-01-11,16.06,16.18,16.01,16.12,176400,16.12
2012-01-10,16.00,16.15,15.99,16.03,90900,16.03
2012-01-09,15.55,15.67,15.46,15.61,55300,15.61
2012-01-06,15.42,15.61,15.26,15.51,104900,15.51
2012-01-05,15.41,15.44,15.19,15.32,105000,15.32
2012-01-04,15.41,15.71,15.36,15.65,73500,15.65
2012-01-03,15.31,15.59,15.31,15.55,66900,15.55
2011-12-30,14.86,15.00,14.84,14.92,99800,14.92
2011-12-29,14.71,14.80,14.63,14.80,313700,14.80
2011-12-28,15.25,15.34,14.61,14.62,178300,14.62
2011-12-27,15.39,15.48,15.16,15.20,282500,15.20
2011-12-23,15.37,15.52,15.36,15.44,94200,15.44
2011-12-22,16.11,16.25,16.03,16.18,103300,15.23
2011-12-21,16.17,16.21,16.00,16.18,87300,15.23
2011-12-20,16.00,16.30,15.97,16.23,125000,15.27
2011-12-19,15.89,15.97,15.48,15.48,185200,14.57
2011-12-16,15.97,16.04,15.76,15.91,71900,14.97
2011-12-15,16.05,16.18,15.81,15.87,95700,14.94
2011-12-14,16.23,16.26,15.88,15.88,162700,14.94
2011-12-13,16.87,16.99,16.20,16.30,155900,15.34
2011-12-12,16.99,16.99,16.55,16.77,110700,15.78
2011-12-09,17.08,17.53,17.08,17.43,162500,16.40
2011-12-08,17.44,17.44,16.88,16.92,98000,15.92
2011-12-07,17.50,17.52,17.24,17.42,73900,16.39
2011-12-06,17.40,17.47,17.19,17.35,77700,16.33
2011-12-05,17.76,17.85,17.55,17.62,85100,16.58
2011-12-02,17.83,17.83,17.19,17.22,93300,16.21
2011-12-01,17.54,17.72,17.32,17.49,107800,16.46
