Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,46.49,46.49,44.88,45.02,82000,45.02
2012-05-03,46.85,47.14,46.39,46.61,62600,46.61
2012-05-02,46.75,47.08,46.23,47.03,68000,47.03
2012-05-01,47.02,47.84,46.74,46.98,79000,46.98
2012-04-30,47.84,47.84,46.74,46.88,86200,46.88
2012-04-27,47.17,48.02,46.89,47.98,78000,47.98
2012-04-26,46.17,47.30,45.86,47.24,118000,47.24
2012-04-25,45.81,46.53,44.93,46.42,151000,46.42
2012-04-24,44.04,45.12,43.72,44.99,159600,44.99
2012-04-23,43.76,44.21,43.13,44.04,84300,44.04
2012-04-20,44.63,45.11,43.78,44.48,62100,44.48
2012-04-19,44.74,45.00,43.51,43.81,40600,43.81
2012-04-18,44.99,45.18,44.28,44.79,115100,44.79
2012-04-17,45.08,45.84,44.81,45.18,57400,45.18
2012-04-16,44.93,45.12,44.48,44.68,70600,44.68
2012-04-13,44.64,44.82,44.46,44.59,86500,44.59
2012-04-12,44.32,45.16,44.32,44.99,115300,44.99
2012-04-11,43.96,44.60,43.50,44.32,83300,44.32
2012-04-10,44.44,44.63,43.11,43.34,77300,43.34
2012-04-09,44.68,45.27,44.05,44.51,156200,44.51
2012-04-05,45.78,46.08,45.47,45.47,113200,45.47
2012-04-04,46.47,46.75,45.36,45.64,64300,45.64
2012-04-03,47.49,47.49,46.65,47.21,91000,47.21
2012-04-02,46.09,47.60,46.05,47.46,83300,47.46
2012-03-30,46.85,47.02,46.06,46.13,64400,46.13
2012-03-29,46.28,46.60,45.75,46.45,53100,46.45
2012-03-28,47.10,47.25,46.02,46.69,111200,46.69
2012-03-27,46.69,47.10,46.33,46.82,127600,46.82
2012-03-26,46.31,47.41,46.20,46.50,77800,46.50
2012-03-23,45.30,45.84,44.84,45.52,96200,45.52
2012-03-22,45.00,45.47,43.94,45.13,111700,45.13
2012-03-21,45.76,46.13,45.03,45.43,62100,45.43
2012-03-20,46.55,46.55,45.46,45.60,47600,45.60
2012-03-19,46.91,48.05,46.84,46.99,52900,46.99
2012-03-16,47.42,47.75,46.83,46.96,98200,46.96
2012-03-15,46.46,47.24,46.00,47.24,58200,47.24
2012-03-14,46.50,47.02,46.14,46.29,46500,46.29
2012-03-13,46.05,46.90,45.30,46.72,73800,46.72
2012-03-12,46.44,46.75,45.38,45.50,87000,45.50
2012-03-09,45.06,46.76,44.58,46.41,108500,46.41
2012-03-08,45.00,45.14,44.00,44.94,81400,44.94
2012-03-07,44.75,44.75,44.25,44.50,58600,44.50
2012-03-06,44.43,45.37,44.01,44.41,118000,44.41
2012-03-05,44.56,45.32,44.01,45.15,74800,45.15
2012-03-02,46.20,46.21,44.27,44.63,132100,44.63
2012-03-01,46.08,47.11,45.97,46.00,97700,46.00
2012-02-29,46.78,47.42,45.49,45.51,116100,45.51
2012-02-28,46.85,47.18,46.04,46.64,92600,46.64
2012-02-27,46.49,47.40,46.05,47.01,75500,47.01
2012-02-24,47.37,47.40,46.93,46.97,160200,46.97
2012-02-23,47.05,47.62,46.46,47.26,77300,47.26
2012-02-22,47.26,47.42,46.94,47.03,66700,47.03
2012-02-21,47.37,47.94,46.85,47.51,106100,47.51
2012-02-17,48.03,48.03,46.78,47.33,49000,47.33
2012-02-16,45.66,47.74,45.66,47.72,272000,47.72
2012-02-15,46.47,46.82,45.28,45.76,91500,45.76
2012-02-14,46.09,46.44,45.55,46.16,65100,46.16
2012-02-13,46.53,46.83,45.97,46.29,80100,46.29
2012-02-10,45.98,46.49,45.45,45.88,85600,45.88
2012-02-09,46.75,47.52,46.14,46.64,60200,46.64
2012-02-08,47.20,47.53,45.63,46.30,85300,46.30
2012-02-07,47.04,47.09,46.44,46.89,76600,46.89
2012-02-06,47.01,47.12,46.65,46.99,47000,46.99
2012-02-03,46.69,47.47,46.00,47.33,129000,47.33
2012-02-02,45.89,46.12,45.49,45.68,141800,45.68
2012-02-01,45.69,46.16,45.24,45.89,127800,45.89
2012-01-31,45.78,45.78,44.15,45.28,99700,45.28
2012-01-30,44.94,45.74,44.57,45.44,73500,45.44
2012-01-27,44.62,45.70,44.62,45.48,51300,45.48
2012-01-26,44.99,44.99,44.31,44.91,67000,44.91
2012-01-25,44.22,44.99,43.78,44.62,86000,44.62
2012-01-24,43.68,44.40,43.63,44.23,60900,44.23
2012-01-23,44.31,44.81,43.78,44.12,49200,44.12
2012-01-20,44.33,44.77,43.73,44.46,108400,44.46
2012-01-19,44.26,44.53,44.00,44.45,26100,44.45
2012-01-18,43.43,44.28,43.43,43.93,122900,43.93
2012-01-17,44.32,44.97,43.18,43.71,102200,43.71
2012-01-13,43.50,44.01,43.16,43.84,47100,43.84
2012-01-12,44.00,44.23,43.62,44.22,83100,44.22
2012-01-11,43.63,44.00,43.60,43.83,57500,43.83
2012-01-10,42.99,44.10,42.75,44.01,76900,44.01
2012-01-09,42.09,42.40,41.66,42.19,119000,42.19
2012-01-06,42.43,43.02,42.12,42.36,47500,42.36
2012-01-05,41.76,42.77,41.09,42.64,42100,42.64
2012-01-04,42.20,42.65,41.54,41.94,80000,41.94
2012-01-03,42.96,43.84,42.07,42.59,121200,42.59
2011-12-30,42.40,42.78,41.66,41.70,61700,41.70
2011-12-29,41.24,42.81,41.24,42.35,58300,42.35
2011-12-28,42.77,43.09,41.06,41.19,118700,41.19
2011-12-27,43.31,43.45,42.37,42.77,87500,42.77
2011-12-23,42.82,43.63,42.61,43.45,91900,43.45
2011-12-22,42.00,43.44,42.00,42.78,95700,42.78
2011-12-21,41.48,42.22,41.01,41.90,35300,41.90
2011-12-20,40.78,42.08,40.78,41.61,117300,41.61
2011-12-19,41.01,41.11,39.72,39.91,54600,39.91
2011-12-16,40.87,41.62,40.35,40.72,102700,40.72
2011-12-15,40.42,40.77,39.85,40.40,61200,40.40
2011-12-14,40.40,41.06,39.64,39.67,88900,39.67
2011-12-13,42.33,43.00,40.61,40.86,84500,40.86
2011-12-12,42.35,42.35,40.98,41.87,102700,41.87
2011-12-09,42.09,43.62,42.09,43.09,101700,43.09
2011-12-08,42.01,42.81,41.82,41.83,101000,41.83
2011-12-07,42.60,43.02,41.69,42.50,39000,42.50
2011-12-06,42.43,44.01,42.16,42.98,96700,42.98
2011-12-05,43.18,43.18,41.65,42.27,76200,42.27
2011-12-02,41.85,42.90,41.82,42.23,104000,42.23
2011-12-01,41.94,42.51,40.98,41.04,114100,41.04
2011-11-30,40.88,42.73,40.48,42.25,197700,42.25
2011-11-29,39.59,39.86,38.67,38.92,88400,38.92
2011-11-28,38.41,40.17,38.41,39.68,86300,39.68
2011-11-25,36.93,37.31,36.84,37.00,53500,37.00
2011-11-23,37.89,37.96,36.69,37.21,127200,37.21
2011-11-22,38.90,39.34,38.01,38.25,51100,38.25
2011-11-21,38.86,39.28,38.45,38.90,49000,38.90
2011-11-18,39.67,40.53,39.62,39.73,50300,39.73
2011-11-17,40.49,41.22,39.38,39.68,67900,39.68
2011-11-16,40.88,42.06,40.36,40.43,51400,40.43
2011-11-15,39.99,41.47,39.53,41.33,71200,41.33
2011-11-14,40.10,40.36,39.62,40.15,62800,40.15
2011-11-11,39.85,40.58,39.82,40.22,80200,40.22
2011-11-10,39.95,39.95,38.51,39.18,59700,39.18
2011-11-09,40.46,41.22,39.08,39.17,102000,39.17
2011-11-08,41.35,42.08,39.92,41.93,73500,41.93
2011-11-07,41.31,41.44,39.78,40.85,38500,40.85
2011-11-04,41.19,41.89,40.38,41.57,54900,41.57
2011-11-03,40.60,41.96,39.60,41.83,99000,41.83
2011-11-02,39.32,40.12,38.76,40.00,75300,40.00
2011-11-01,38.58,41.13,38.12,38.59,81600,38.59
2011-10-31,40.78,41.70,40.34,40.50,85700,40.50
2011-10-28,41.55,42.36,41.26,41.56,108500,41.56
2011-10-27,42.19,42.37,40.88,41.72,218700,41.72
2011-10-26,40.16,40.43,38.55,40.36,98800,40.36
2011-10-25,39.81,40.26,39.22,39.37,104100,39.37
2011-10-24,39.47,40.61,39.47,40.31,90800,40.31
2011-10-21,38.90,39.42,38.27,39.34,68900,39.34
2011-10-20,38.03,38.16,36.83,38.08,46700,38.08
2011-10-19,38.45,39.01,37.90,38.10,145300,38.10
2011-10-18,37.14,38.99,36.47,38.64,101300,38.64
2011-10-17,39.01,39.01,36.70,36.89,98200,36.89
2011-10-14,39.58,39.79,39.00,39.40,105000,39.40
2011-10-13,39.07,39.66,38.40,39.18,50300,39.18
2011-10-12,38.57,39.53,38.38,39.28,91100,39.28
2011-10-11,37.74,38.47,37.74,38.24,110400,38.24
2011-10-10,37.13,38.25,36.87,38.22,91800,38.22
2011-10-07,37.84,37.84,36.07,36.32,93400,36.32
2011-10-06,37.28,37.85,36.77,37.66,98000,37.66
2011-10-05,35.98,37.50,35.38,37.29,175100,37.29
2011-10-04,32.02,35.99,32.00,35.98,264000,35.98
2011-10-03,33.59,34.51,32.33,32.33,210700,32.33
2011-09-30,33.48,35.26,33.48,33.99,236000,33.99
2011-09-29,34.24,35.12,33.07,34.28,96600,34.28
2011-09-28,35.73,36.38,33.21,33.34,119400,33.34
2011-09-27,35.01,36.52,33.94,35.76,101600,35.76
2011-09-26,33.38,33.99,32.84,33.94,78600,33.94
2011-09-23,32.62,33.80,32.12,33.08,123300,33.08
2011-09-22,32.15,33.25,31.92,32.50,173800,32.50
2011-09-21,35.13,35.60,33.36,33.44,158000,33.44
2011-09-20,35.01,36.31,34.73,35.13,197000,35.13
2011-09-19,33.98,35.00,32.85,34.48,82700,34.48
2011-09-16,34.93,35.20,34.70,34.78,129800,34.78
2011-09-15,34.74,35.04,33.86,34.67,102400,34.67
2011-09-14,32.81,34.56,32.21,33.97,129300,33.97
2011-09-13,31.88,32.54,31.27,32.37,45300,32.37
2011-09-12,30.57,31.80,30.37,31.71,125300,31.71
2011-09-09,31.37,31.84,30.90,31.27,123800,31.27
2011-09-08,32.34,32.92,31.49,31.84,61400,31.84
2011-09-07,32.28,32.71,31.99,32.65,228300,32.65
2011-09-06,30.81,32.08,30.78,31.60,136000,31.60
2011-09-02,32.97,33.96,32.08,32.28,94000,32.28
2011-09-01,34.95,35.78,33.81,33.98,93500,33.98
2011-08-31,36.06,36.34,34.13,34.95,159400,34.95
2011-08-30,34.86,36.07,34.72,35.75,63500,35.75
2011-08-29,34.50,35.48,33.91,35.05,146600,35.05
2011-08-26,32.67,34.43,32.27,34.05,51400,34.05
2011-08-25,34.98,34.98,33.00,33.00,76800,33.00
2011-08-24,33.97,35.14,33.03,34.58,102500,34.58
2011-08-23,31.17,34.56,30.63,34.15,148900,34.15
2011-08-22,31.98,31.98,30.51,31.09,58700,31.09
2011-08-19,31.11,32.67,30.31,30.89,117400,30.89
2011-08-18,32.98,33.46,31.65,31.98,124000,31.98
2011-08-17,34.66,34.75,33.86,34.15,63200,34.15
2011-08-16,34.62,34.70,33.80,34.50,84800,34.50
2011-08-15,34.45,35.18,34.01,35.11,48900,35.11
2011-08-12,34.06,34.97,33.73,34.11,91900,34.11
2011-08-11,32.35,34.44,32.33,33.77,172800,33.77
