Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,7.00,7.32,6.93,7.08,29927000,7.08
2012-05-03,7.32,7.43,6.83,6.91,30400000,6.91
2012-05-02,7.85,7.87,7.00,7.25,47213400,7.25
2012-05-01,8.03,8.16,7.90,8.02,14377600,8.02
2012-04-30,7.85,8.03,7.62,7.99,19882500,7.99
2012-04-27,7.67,7.70,7.44,7.54,7577700,7.54
2012-04-26,7.41,7.74,7.37,7.66,8567600,7.66
2012-04-25,7.35,7.48,7.15,7.41,14504200,7.41
2012-04-24,7.18,7.34,7.12,7.28,7303500,7.28
2012-04-23,6.96,7.25,6.81,7.18,9036500,7.18
2012-04-20,7.22,7.23,7.03,7.06,6548400,7.06
2012-04-19,7.24,7.27,7.02,7.05,12047500,7.05
2012-04-18,7.30,7.36,7.17,7.21,7438600,7.21
2012-04-17,7.20,7.47,7.20,7.33,9270300,7.33
2012-04-16,7.37,7.43,6.96,7.11,13294500,7.11
2012-04-13,7.61,7.61,7.27,7.27,11402300,7.27
2012-04-12,7.24,7.63,7.17,7.55,11289300,7.55
2012-04-11,7.22,7.28,7.11,7.17,10422300,7.17
2012-04-10,7.42,7.50,7.00,7.08,13750000,7.08
2012-04-09,7.57,7.64,7.40,7.42,10473500,7.42
2012-04-05,7.75,7.99,7.69,7.72,11268900,7.72
2012-04-04,7.98,8.01,7.67,7.74,16886700,7.74
2012-04-03,7.94,8.19,7.86,8.14,17934000,8.14
2012-04-02,7.84,8.02,7.75,7.96,10674300,7.96
2012-03-30,7.93,8.03,7.79,7.83,9546100,7.83
2012-03-29,7.82,7.88,7.65,7.81,11011000,7.81
2012-03-28,8.07,8.16,7.72,7.84,17479300,7.84
2012-03-27,8.19,8.21,8.02,8.02,10293900,8.02
2012-03-26,8.30,8.32,7.98,8.21,14281900,8.21
2012-03-23,7.72,8.33,7.61,8.29,29713400,8.29
2012-03-22,7.85,7.87,7.53,7.63,14391900,7.63
2012-03-21,8.01,8.06,7.86,7.96,10037900,7.96
2012-03-20,8.26,8.29,7.92,7.98,16364300,7.98
2012-03-19,8.48,8.57,8.37,8.39,9954600,8.39
2012-03-16,8.34,8.57,8.33,8.47,13363900,8.47
2012-03-15,8.14,8.40,8.12,8.31,13741500,8.31
2012-03-14,8.15,8.20,8.04,8.12,9047100,8.12
2012-03-13,8.02,8.20,7.87,8.18,9876600,8.18
2012-03-12,8.11,8.16,7.92,7.97,8774000,7.97
2012-03-09,8.24,8.31,8.11,8.18,8020400,8.18
2012-03-08,8.06,8.25,8.02,8.19,11269100,8.19
2012-03-07,7.80,8.12,7.63,7.96,13673000,7.96
2012-03-06,7.60,7.74,7.55,7.67,10033000,7.67
2012-03-05,8.03,8.05,7.76,7.79,13221500,7.79
2012-03-02,8.44,8.49,8.00,8.04,19370000,8.04
2012-03-01,8.51,8.72,8.37,8.58,21412300,8.58
2012-02-29,8.86,8.96,8.56,8.67,15330700,8.67
2012-02-28,8.80,8.90,8.72,8.82,15746000,8.82
2012-02-27,8.98,8.98,8.65,8.78,22361400,8.78
2012-02-24,8.44,8.82,8.36,8.81,30443700,8.81
2012-02-23,8.10,8.26,7.91,8.24,13199700,8.24
2012-02-22,8.25,8.27,8.00,8.02,10457700,8.02
2012-02-21,8.36,8.42,8.15,8.18,11681900,8.18
2012-02-17,8.15,8.22,8.10,8.15,9629400,8.15
2012-02-16,7.90,8.10,7.80,8.01,9432900,8.01
2012-02-15,7.99,8.20,7.84,7.97,17251500,7.97
2012-02-14,7.72,8.00,7.70,7.91,11355800,7.91
2012-02-13,7.69,7.84,7.58,7.79,18200600,7.79
2012-02-10,7.26,7.48,7.21,7.46,10409200,7.46
2012-02-09,7.43,7.49,7.26,7.45,11603600,7.45
2012-02-08,7.45,7.55,7.28,7.35,12440600,7.35
2012-02-07,7.58,7.65,7.20,7.42,16068000,7.42
2012-02-06,7.21,7.60,7.12,7.56,12477800,7.56
2012-02-03,7.35,7.35,7.12,7.22,15252200,7.22
2012-02-02,6.89,7.27,6.75,7.16,65555000,7.16
2012-02-01,7.87,7.94,7.64,7.83,12273100,7.83
2012-01-31,8.12,8.16,7.75,7.78,9538000,7.78
2012-01-30,8.07,8.13,7.91,7.96,7893000,7.96
2012-01-27,8.21,8.22,8.07,8.18,7563600,8.18
