Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,161.85,163.00,161.75,162.56,167000,162.56
2012-05-03,162.27,162.49,161.48,162.07,70000,162.07
2012-05-02,163.79,163.84,162.91,163.68,73000,163.68
2012-05-01,165.22,165.29,164.03,164.44,102500,164.44
2012-04-30,163.59,164.92,163.53,164.92,112000,164.92
2012-04-27,164.85,164.99,164.36,164.50,49600,164.50
2012-04-26,163.59,164.44,163.27,164.12,84600,164.12
2012-04-25,162.57,162.97,160.86,162.71,132000,162.71
2012-04-24,162.74,163.19,162.35,162.37,47900,162.37
2012-04-23,161.26,162.20,160.93,162.14,103500,162.14
2012-04-20,162.30,162.88,162.30,162.55,68200,162.55
2012-04-19,163.05,163.73,162.21,162.45,217500,162.45
2012-04-18,162.62,162.96,162.17,162.30,22300,162.30
2012-04-17,163.61,164.00,161.83,163.32,154300,163.32
2012-04-16,163.57,164.14,162.75,163.44,132200,163.44
2012-04-13,165.59,165.60,163.26,163.93,151800,163.93
2012-04-12,163.80,166.16,163.80,165.87,49700,165.87
2012-04-11,164.23,164.55,163.85,164.14,27500,164.14
2012-04-10,162.78,164.62,161.56,164.21,97500,164.21
2012-04-09,162.75,163.00,162.10,162.48,52200,162.48
2012-04-05,160.95,161.63,160.86,161.44,50900,161.44
2012-04-04,160.77,161.02,159.66,160.20,122600,160.20
2012-04-03,166.32,166.32,162.27,162.92,191600,162.92
2012-04-02,165.03,166.68,165.00,166.06,64400,166.06
2012-03-30,164.85,165.39,164.41,165.23,63200,165.23
2012-03-29,164.29,164.53,162.94,164.43,40700,164.43
2012-03-28,165.84,165.98,163.89,164.56,126200,164.56
2012-03-27,167.67,167.86,166.30,166.39,65600,166.39
2012-03-26,166.36,167.72,166.19,167.59,81200,167.59
2012-03-23,164.04,164.99,163.74,164.62,82700,164.62
2012-03-22,161.28,162.74,161.20,162.60,56700,162.60
2012-03-21,163.65,164.49,163.27,163.27,50600,163.27
2012-03-20,163.27,164.06,162.88,163.19,65100,163.19
2012-03-19,163.91,165.28,163.84,164.66,163600,164.66
2012-03-16,163.18,164.59,163.09,164.40,67300,164.40
2012-03-15,162.73,165.08,162.38,164.23,90400,164.23
2012-03-14,162.73,163.58,161.90,162.65,213100,162.65
2012-03-13,167.09,168.48,164.63,165.37,176600,165.37
2012-03-12,168.56,168.77,167.92,168.22,54600,168.22
2012-03-09,166.81,169.73,166.44,169.60,191000,169.60
2012-03-08,167.96,168.71,167.31,168.44,64000,168.44
2012-03-07,165.89,167.15,165.76,166.87,95600,166.87
2012-03-06,165.31,165.89,164.93,165.86,193600,165.86
2012-03-05,168.97,169.04,167.75,168.94,73800,168.94
2012-03-02,169.49,170.03,168.87,169.57,135600,169.57
2012-03-01,169.31,170.96,169.02,169.87,209000,169.87
2012-02-29,176.51,176.94,167.31,167.50,712800,167.50
2012-02-28,176.23,177.34,176.10,176.88,99500,176.88
2012-02-27,175.52,176.23,174.92,175.04,61000,175.04
2012-02-24,175.97,176.29,175.32,175.59,103200,175.59
2012-02-23,176.00,177.13,175.67,176.35,95000,176.35
2012-02-22,173.70,176.42,173.55,176.30,148400,176.30
2012-02-21,172.96,174.36,172.93,174.33,49700,174.33
2012-02-17,171.57,171.57,170.21,170.63,63300,170.63
2012-02-16,169.52,171.39,169.41,171.25,100500,171.25
2012-02-15,171.90,171.99,170.60,171.38,146300,171.38
2012-02-14,170.91,171.17,169.70,170.38,107400,170.38
2012-02-13,170.58,171.01,170.00,170.78,72500,170.78
2012-02-10,169.72,170.85,169.62,170.37,120000,170.37
2012-02-09,173.34,173.66,171.00,171.23,123000,171.23
2012-02-08,172.54,173.23,170.86,171.75,137800,171.75
2012-02-07,170.65,173.32,170.43,172.95,59800,172.95
2012-02-06,170.20,170.93,169.88,170.45,78000,170.45
2012-02-03,173.23,173.45,170.82,170.93,228400,170.93
2012-02-02,173.26,174.52,173.05,174.38,110300,174.38
2012-02-01,172.99,173.40,172.40,172.85,85400,172.85
2012-01-31,173.10,173.12,171.06,172.57,89500,172.57
2012-01-30,171.48,171.80,171.00,171.34,58200,171.34
2012-01-27,170.67,172.27,170.66,172.26,121000,172.26
2012-01-26,171.29,171.61,170.31,170.54,78200,170.54
2012-01-25,164.20,169.73,163.46,169.66,178300,169.66
2012-01-24,164.97,165.50,164.72,165.14,77800,165.14
2012-01-23,165.51,166.52,165.50,166.33,92700,166.33
2012-01-20,163.66,165.21,163.66,165.21,71600,165.21
2012-01-19,164.03,164.50,163.50,164.33,84500,164.33
2012-01-18,163.09,164.75,162.89,164.75,51400,164.75
2012-01-17,164.31,164.68,163.51,163.62,80100,163.62
2012-01-13,162.37,162.65,161.21,162.37,81500,162.37
2012-01-12,164.12,164.69,162.89,163.47,131000,163.47
2012-01-11,162.38,163.10,162.00,162.74,72500,162.74
2012-01-10,161.97,162.41,161.53,161.69,83900,161.69
2012-01-09,160.44,160.57,159.25,159.49,75400,159.49
2012-01-06,161.63,161.63,159.45,160.21,111400,160.21
