Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,28.71,28.77,28.25,28.59,858000,28.59
2012-05-03,29.53,29.58,28.67,28.81,1165000,28.81
2012-05-02,29.38,29.79,29.04,29.52,629300,29.52
2012-05-01,30.15,30.48,29.54,29.62,910400,29.62
2012-04-30,29.86,30.49,29.84,30.27,737900,30.27
2012-04-27,30.00,30.10,29.58,29.98,540500,29.98
2012-04-26,29.70,30.05,29.44,29.88,699100,29.88
2012-04-25,29.31,30.06,29.18,29.85,885800,29.85
2012-04-24,29.24,29.44,28.78,29.04,864700,29.04
2012-04-23,29.63,29.63,28.94,29.20,1380400,29.20
2012-04-20,30.23,30.44,29.96,29.98,746100,29.98
2012-04-19,30.02,30.61,29.62,30.20,1109800,30.20
2012-04-18,30.49,30.81,29.84,29.98,1216500,29.98
2012-04-17,30.66,31.48,30.61,30.69,1035700,30.69
2012-04-16,31.24,31.58,30.43,30.51,788600,30.51
2012-04-13,31.59,31.99,31.18,31.23,1144900,31.23
2012-04-12,29.71,31.40,29.50,31.27,1068000,31.27
2012-04-11,29.74,30.06,29.29,29.70,805200,29.70
2012-04-10,29.96,30.54,29.28,29.49,1313000,29.49
2012-04-09,29.98,30.13,29.64,29.89,604800,29.89
2012-04-05,30.00,30.56,29.84,30.44,808400,30.44
2012-04-04,30.40,30.41,29.91,30.04,933600,30.04
2012-04-03,30.99,31.09,30.58,30.88,632600,30.88
2012-04-02,31.58,31.83,30.94,30.99,1221300,30.99
2012-03-30,32.21,32.49,31.41,31.71,798900,31.71
2012-03-29,30.74,32.49,30.30,32.03,1607100,32.03
2012-03-28,31.49,31.64,30.00,30.84,1416500,30.84
2012-03-27,31.90,32.30,31.55,31.56,549400,31.56
2012-03-26,31.21,31.97,31.10,31.91,856600,31.91
2012-03-23,31.07,31.17,30.44,30.98,482500,30.98
2012-03-22,31.10,31.34,30.25,31.14,817100,31.14
2012-03-21,30.94,31.18,30.68,30.99,557100,30.99
2012-03-20,30.41,30.98,30.10,30.92,647800,30.92
2012-03-19,30.56,31.15,30.49,30.67,930400,30.67
2012-03-16,32.37,32.45,31.22,31.26,1573900,31.26
2012-03-15,31.73,32.46,31.56,32.27,1090500,32.27
2012-03-14,31.48,31.98,31.02,31.73,893500,31.73
2012-03-13,30.00,31.60,29.92,31.50,1113800,31.50
2012-03-12,29.71,29.91,29.35,29.79,362200,29.79
2012-03-09,29.32,29.99,29.15,29.55,422000,29.55
2012-03-08,29.54,29.82,29.16,29.36,334800,29.36
2012-03-07,28.57,29.53,28.39,29.37,646900,29.37
2012-03-06,29.82,29.82,28.43,28.57,747000,28.57
2012-03-05,29.71,30.22,29.47,30.03,792200,30.03
2012-03-02,29.32,29.85,29.22,29.71,780200,29.71
2012-03-01,29.08,29.50,28.57,29.37,794800,29.37
2012-02-29,29.53,29.81,28.93,28.94,842500,28.94
2012-02-28,29.84,29.94,29.50,29.58,773100,29.58
2012-02-27,29.88,30.47,29.77,29.95,755600,29.95
2012-02-24,29.68,30.27,29.46,30.19,592100,30.19
2012-02-23,28.75,29.95,28.75,29.69,480800,29.69
2012-02-22,29.17,29.33,28.67,28.80,474000,28.80
2012-02-21,29.49,29.94,29.08,29.22,499400,29.22
2012-02-17,29.92,30.28,29.47,29.52,688300,29.52
2012-02-16,29.11,30.77,29.08,29.88,1245800,29.88
2012-02-15,29.25,29.43,28.77,29.07,522900,29.07
2012-02-14,29.20,29.30,28.79,29.18,1012700,29.18
2012-02-13,30.46,30.60,29.27,29.44,654500,29.44
2012-02-10,30.47,30.47,29.66,30.31,733500,30.31
2012-02-09,29.83,31.16,29.77,30.77,1525300,30.77
2012-02-08,30.10,30.26,29.46,29.76,516200,29.76
2012-02-07,29.04,30.30,29.04,30.14,1206300,30.14
2012-02-06,29.25,29.34,28.77,29.15,519900,29.15
2012-02-03,29.00,29.73,28.90,29.34,901200,29.34
2012-02-02,28.47,28.95,28.30,28.52,534900,28.52
2012-02-01,27.35,28.52,27.17,28.47,767200,28.47
2012-01-31,27.46,27.68,26.73,27.14,1109500,27.14
2012-01-30,27.76,27.83,26.94,27.33,799200,27.33
2012-01-27,27.75,28.20,27.38,28.08,817500,28.08
