Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,24.09,24.09,23.47,23.54,124500,23.54
2012-05-03,24.49,24.52,24.02,24.28,113800,24.28
2012-05-02,23.98,24.66,23.79,24.45,146600,24.45
2012-05-01,24.60,24.80,24.11,24.15,238000,24.15
2012-04-30,25.29,25.31,24.33,24.61,209000,24.61
2012-04-27,24.87,25.35,24.48,25.28,85100,25.28
2012-04-26,24.44,25.00,24.33,24.82,108700,24.82
2012-04-25,24.44,24.66,24.26,24.57,136900,24.57
2012-04-24,23.91,24.15,23.82,24.05,127200,24.05
2012-04-23,24.20,24.37,23.61,23.82,218700,23.82
2012-04-20,24.42,24.75,24.20,24.53,188200,24.53
2012-04-19,24.31,24.48,23.73,23.99,149600,23.99
2012-04-18,23.95,24.54,23.95,24.24,202500,24.24
2012-04-17,24.15,24.55,24.06,24.09,203200,24.09
2012-04-16,24.07,24.32,23.68,24.00,95300,23.81
2012-04-13,24.05,24.27,23.76,24.00,149000,23.81
2012-04-12,23.80,24.43,23.80,24.15,183600,23.96
2012-04-11,23.13,23.72,23.00,23.72,191700,23.53
2012-04-10,23.63,23.85,22.74,22.83,249400,22.65
2012-04-09,23.44,23.62,23.21,23.48,320600,23.29
2012-04-05,25.81,26.41,23.31,23.89,770000,23.70
2012-04-04,27.38,28.00,27.20,27.85,239500,27.63
2012-04-03,27.84,27.96,27.62,27.80,169600,27.58
2012-04-02,27.03,27.86,27.02,27.86,265500,27.64
2012-03-30,27.34,27.41,27.01,27.02,137300,26.81
2012-03-29,26.84,27.25,26.62,27.15,103500,26.94
2012-03-28,27.41,27.44,26.76,26.97,156700,26.76
2012-03-27,27.42,27.64,27.35,27.44,101400,27.22
2012-03-26,27.50,27.69,27.24,27.42,153300,27.20
2012-03-23,26.93,27.22,26.48,27.08,79700,26.87
2012-03-22,26.95,26.97,26.51,26.95,117700,26.74
2012-03-21,27.21,27.45,26.90,27.11,112100,26.90
2012-03-20,27.10,27.41,26.98,27.10,165200,26.89
2012-03-19,26.75,27.46,26.48,27.28,187100,27.06
2012-03-16,26.65,27.10,26.57,26.81,230900,26.60
2012-03-15,26.26,26.68,25.92,26.55,126600,26.34
2012-03-14,26.15,26.32,26.14,26.27,110400,26.06
2012-03-13,25.85,26.26,25.57,26.22,147300,26.01
2012-03-12,25.65,25.69,25.28,25.54,81900,25.34
2012-03-09,25.35,26.04,25.35,25.70,142600,25.50
2012-03-08,25.06,25.48,24.80,25.38,145000,25.18
2012-03-07,24.65,24.95,24.55,24.88,159500,24.68
2012-03-06,24.55,24.84,24.51,24.56,189300,24.37
2012-03-05,25.24,25.24,24.54,24.96,401800,24.76
2012-03-02,25.79,26.00,25.16,25.38,142700,25.18
2012-03-01,26.09,26.15,25.74,25.75,134200,25.55
2012-02-29,26.74,26.77,25.71,25.84,323800,25.64
2012-02-28,26.74,27.00,26.23,26.59,109700,26.38
2012-02-27,26.49,26.99,26.13,26.70,111500,26.49
2012-02-24,27.50,27.64,26.85,26.85,159800,26.64
2012-02-23,26.77,27.50,26.58,27.48,150200,27.26
2012-02-22,26.79,26.96,26.59,26.71,177200,26.50
2012-02-21,26.78,27.00,26.45,26.85,105700,26.64
2012-02-17,26.89,26.89,26.58,26.75,92900,26.54
2012-02-16,25.91,26.75,25.67,26.72,158200,26.51
2012-02-15,26.39,26.39,25.86,25.93,128400,25.72
2012-02-14,26.63,26.80,26.05,26.28,252200,26.07
2012-02-13,26.85,27.00,26.44,26.69,166600,26.48
2012-02-10,26.24,26.56,25.89,26.45,263800,26.24
2012-02-09,25.95,26.92,25.89,26.69,253600,26.48
2012-02-08,26.05,26.42,25.92,25.97,157900,25.76
2012-02-07,25.83,26.11,25.62,25.91,145200,25.70
2012-02-06,25.71,25.98,25.60,25.89,120700,25.69
2012-02-03,25.88,26.00,25.69,25.78,254400,25.58
2012-02-02,25.50,25.76,24.96,25.41,134600,25.21
2012-02-01,24.79,25.53,24.45,25.49,301700,25.29
2012-01-31,24.22,24.71,24.03,24.50,252200,24.31
2012-01-30,23.74,23.82,23.37,23.64,93600,23.45
2012-01-27,23.37,23.98,23.15,23.94,125600,23.75
2012-01-26,23.75,23.75,23.24,23.41,88200,23.22
2012-01-25,23.27,23.60,23.14,23.56,113800,23.37
2012-01-24,23.02,23.45,22.91,23.35,120000,23.17
2012-01-23,23.49,23.65,23.08,23.25,86800,23.07
2012-01-20,23.09,23.59,23.04,23.49,175200,23.30
2012-01-19,22.93,23.20,22.68,23.17,141400,22.99
2012-01-18,22.38,22.96,22.38,22.94,158400,22.76
2012-01-17,22.41,22.75,22.29,22.64,283600,22.29
2012-01-13,22.23,22.34,21.96,22.30,185800,21.96
2012-01-12,21.92,22.72,21.92,22.64,141100,22.29
2012-01-11,21.49,21.87,21.46,21.85,193300,21.51
2012-01-10,21.20,21.69,21.20,21.50,614300,21.17
2012-01-09,21.07,21.23,20.75,20.83,315100,20.51
2012-01-06,23.84,23.84,20.82,20.98,569300,20.66
2012-01-05,21.84,22.38,21.60,22.15,242300,21.81
2012-01-04,21.91,22.39,21.89,21.89,286200,21.55
2012-01-03,21.82,22.27,21.59,22.03,229200,21.69
2011-12-30,21.28,21.58,21.10,21.18,203700,20.85
2011-12-29,21.25,21.57,21.20,21.36,236300,21.03
2011-12-28,21.73,21.73,21.03,21.09,140100,20.77
2011-12-27,21.63,21.98,21.34,21.71,99100,21.38
2011-12-23,21.77,21.98,21.43,21.66,101700,21.33
2011-12-22,22.15,22.41,21.44,21.63,228700,21.30
2011-12-21,22.14,22.21,21.43,22.15,118600,21.81
2011-12-20,21.38,22.10,21.28,22.09,254600,21.75
2011-12-19,21.62,21.90,20.76,20.83,240800,20.51
2011-12-16,21.45,21.50,20.89,21.43,477100,21.10
2011-12-15,21.00,21.21,20.86,21.19,243000,20.86
2011-12-14,20.66,21.18,20.62,20.70,229700,20.38
2011-12-13,21.39,21.75,20.78,20.91,136700,20.59
2011-12-12,21.33,21.33,20.82,21.14,166700,20.82
2011-12-09,21.14,21.88,21.08,21.70,206700,21.37
2011-12-08,21.39,21.57,21.04,21.09,159200,20.77
2011-12-07,21.49,21.79,21.19,21.67,102200,21.34
2011-12-06,21.23,21.85,21.23,21.66,241300,21.33
2011-12-05,21.33,21.51,20.97,21.19,129500,20.86
2011-12-02,20.82,21.16,20.80,20.88,149200,20.56
2011-12-01,20.76,20.91,20.39,20.43,277300,20.12
2011-11-30,20.31,20.75,20.05,20.67,441700,20.35
2011-11-29,19.68,19.77,19.19,19.40,259400,19.10
2011-11-28,19.60,19.96,19.40,19.69,193300,19.39
2011-11-25,18.71,19.15,18.71,18.85,92100,18.56
2011-11-23,19.55,19.63,18.71,18.81,239800,18.52
2011-11-22,20.28,20.45,19.67,19.74,339500,19.44
2011-11-21,20.57,21.12,20.48,20.93,155100,20.61
2011-11-18,21.12,21.37,20.95,21.01,228400,20.69
2011-11-17,21.28,21.65,20.93,21.08,206800,20.76
2011-11-16,21.08,21.77,21.05,21.25,240500,20.92
2011-11-15,21.35,21.70,21.08,21.50,462500,21.17
2011-11-14,21.67,21.76,20.90,21.34,214800,21.01
2011-11-11,21.83,22.01,21.66,21.78,178900,21.45
2011-11-10,22.04,22.17,21.29,21.51,149000,21.18
2011-11-09,21.83,22.25,21.58,21.60,252900,21.27
2011-11-08,22.31,22.41,21.65,22.37,89100,22.03
2011-11-07,22.12,22.30,21.53,22.12,124500,21.78
2011-11-04,21.63,22.16,21.31,22.12,121700,21.78
2011-11-03,21.63,21.95,20.95,21.91,180000,21.57
2011-11-02,20.89,21.31,20.55,21.31,148300,20.98
