Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,84.46,84.46,84.45,84.46,798700,84.46
2012-05-03,84.43,84.45,84.42,84.43,876700,84.43
2012-05-02,84.43,84.44,84.42,84.44,2107000,84.44
2012-05-01,84.43,84.45,84.41,84.43,8197400,84.43
2012-04-30,84.47,84.47,84.45,84.46,644700,84.43
2012-04-27,84.47,84.47,84.44,84.44,741700,84.41
2012-04-26,84.46,84.47,84.44,84.46,711600,84.43
2012-04-25,84.42,84.46,84.42,84.45,914100,84.42
2012-04-24,84.46,84.47,84.43,84.43,1149600,84.40
2012-04-23,84.46,84.46,84.44,84.46,741000,84.43
2012-04-20,84.43,84.44,84.41,84.44,503200,84.41
2012-04-19,84.42,84.44,84.42,84.44,558800,84.41
2012-04-18,84.44,84.44,84.42,84.43,469200,84.40
2012-04-17,84.42,84.43,84.40,84.41,773000,84.38
2012-04-16,84.42,84.43,84.41,84.41,569900,84.38
2012-04-13,84.42,84.42,84.40,84.41,2859200,84.38
2012-04-12,84.41,84.41,84.39,84.40,845700,84.37
2012-04-11,84.37,84.40,84.37,84.39,2299100,84.36
2012-04-10,84.36,84.40,84.35,84.40,1024900,84.37
2012-04-09,84.33,84.36,84.33,84.36,898600,84.33
2012-04-05,84.29,84.30,84.28,84.30,758900,84.27
2012-04-04,84.30,84.30,84.26,84.27,1395900,84.24
2012-04-03,84.31,84.31,84.24,84.25,1631600,84.22
2012-04-02,84.33,84.33,84.29,84.31,695600,84.28
2012-03-30,84.32,84.33,84.31,84.32,949300,84.26
2012-03-29,84.33,84.33,84.31,84.33,739200,84.27
2012-03-28,84.32,84.34,84.30,84.30,736600,84.24
2012-03-27,84.31,84.33,84.29,84.32,1091100,84.26
2012-03-26,84.28,84.29,84.27,84.29,1035600,84.23
2012-03-23,84.28,84.29,84.27,84.27,698400,84.21
2012-03-22,84.27,84.27,84.25,84.26,840000,84.20
2012-03-21,84.23,84.25,84.21,84.25,572200,84.19
2012-03-20,84.22,84.24,84.18,84.20,793800,84.14
2012-03-19,84.24,84.25,84.20,84.22,2260800,84.16
2012-03-16,84.27,84.29,84.24,84.28,2790700,84.22
2012-03-15,84.22,84.26,84.21,84.23,3730100,84.17
2012-03-14,84.26,84.27,84.18,84.18,1351500,84.12
2012-03-13,84.32,84.33,84.29,84.30,1284700,84.24
2012-03-12,84.36,84.37,84.34,84.35,761700,84.29
2012-03-09,84.36,84.37,84.34,84.34,660400,84.28
2012-03-08,84.37,84.37,84.34,84.34,960100,84.28
2012-03-07,84.39,84.40,84.37,84.37,587900,84.31
2012-03-06,84.41,84.41,84.39,84.39,2282700,84.33
2012-03-05,84.38,84.39,84.37,84.39,1166200,84.33
2012-03-02,84.38,84.40,84.38,84.39,914500,84.33
2012-03-01,84.35,84.37,84.35,84.37,1044000,84.31
2012-02-29,84.42,84.42,84.39,84.42,656500,84.33
2012-02-28,84.42,84.44,84.41,84.42,982800,84.33
2012-02-27,84.42,84.43,84.40,84.40,1060900,84.31
2012-02-24,84.40,84.41,84.38,84.38,3698600,84.29
2012-02-23,84.39,84.42,84.39,84.40,3341900,84.31
2012-02-22,84.39,84.41,84.38,84.41,1604800,84.32
2012-02-21,84.40,84.40,84.37,84.37,1954600,84.28
2012-02-17,84.41,84.42,84.39,84.39,827900,84.30
2012-02-16,84.44,84.45,84.41,84.41,1467200,84.32
