Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,50.00,50.11,48.90,49.10,141300,49.10
2012-05-03,51.24,51.57,50.49,50.71,40000,50.71
2012-05-02,51.54,51.75,51.26,51.69,157000,51.69
2012-05-01,51.74,52.88,51.74,52.29,72200,52.29
2012-04-30,52.04,52.08,51.44,51.70,55000,51.70
2012-04-27,52.48,52.57,51.95,52.23,72400,52.23
2012-04-26,51.44,52.29,51.35,52.25,52100,52.25
2012-04-25,51.86,52.18,51.52,52.07,35400,52.07
2012-04-24,50.70,51.25,50.22,50.83,28900,50.83
2012-04-23,50.25,50.53,49.70,50.42,139300,50.42
2012-04-20,52.01,52.15,51.59,51.62,8700,51.62
2012-04-19,52.57,52.57,51.25,51.55,22800,51.55
2012-04-18,52.53,53.07,52.39,52.47,18100,52.47
2012-04-17,52.60,53.32,52.58,52.86,35300,52.86
2012-04-16,52.57,52.83,51.66,51.91,20300,51.91
2012-04-13,52.67,52.67,51.77,51.96,30100,51.96
2012-04-12,51.34,53.22,51.31,53.07,58600,53.07
2012-04-11,51.32,51.37,50.57,50.62,129100,50.62
2012-04-10,50.86,51.06,49.73,49.95,61700,49.95
2012-04-09,50.78,51.38,50.53,51.21,35000,51.21
2012-04-05,51.69,52.59,51.45,51.71,16300,51.71
2012-04-04,52.33,52.33,51.72,51.95,34800,51.95
2012-04-03,54.00,54.13,52.79,53.27,20100,53.27
2012-04-02,52.88,54.61,52.74,54.10,42500,54.10
2012-03-30,53.51,53.51,52.57,53.03,60100,53.03
2012-03-29,51.89,52.94,51.46,52.93,38100,52.93
2012-03-28,53.40,53.40,51.81,52.35,133200,52.35
2012-03-27,54.00,54.59,53.47,53.57,13700,53.57
2012-03-26,54.00,54.04,53.39,54.04,91100,54.04
2012-03-23,52.33,53.43,52.33,53.39,163000,53.39
2012-03-22,53.27,53.28,52.13,52.50,80600,52.50
2012-03-21,55.00,55.00,54.00,54.32,91000,54.32
2012-03-20,55.08,55.08,54.19,55.05,56200,55.05
2012-03-19,55.37,56.75,55.37,56.21,102400,56.21
2012-03-16,55.31,55.71,55.20,55.43,39100,55.43
2012-03-15,54.38,55.17,54.18,55.09,47600,55.09
2012-03-14,54.00,54.67,53.63,54.21,56300,54.21
2012-03-13,52.47,54.19,52.45,54.19,76400,54.19
2012-03-12,52.61,53.13,52.06,52.23,24800,52.23
2012-03-09,52.40,53.31,52.26,52.87,36700,52.87
2012-03-08,52.50,52.63,51.92,52.49,45300,52.49
2012-03-07,51.76,51.76,50.95,51.59,109900,51.59
2012-03-06,52.00,52.02,51.11,51.40,103100,51.40
2012-03-05,54.76,54.78,53.38,53.57,95700,53.57
2012-03-02,55.55,55.71,54.88,55.20,67700,55.20
2012-03-01,55.10,55.86,55.02,55.51,99000,55.51
2012-02-29,55.87,56.28,54.56,54.65,74400,54.65
