Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,13.50,13.78,13.05,13.14,180400,13.14
2012-05-03,15.00,15.40,13.50,13.57,264000,13.57
2012-05-02,15.09,15.22,14.95,15.06,158000,15.06
2012-05-01,15.12,15.49,15.00,15.22,335700,15.22
2012-04-30,15.26,15.31,14.98,15.07,162000,15.07
2012-04-27,15.16,15.35,15.00,15.26,176700,15.26
2012-04-26,14.74,15.19,14.65,15.17,156000,15.17
2012-04-25,14.71,14.92,14.49,14.76,146100,14.76
2012-04-24,14.71,14.71,14.22,14.44,131500,14.44
2012-04-23,14.89,15.07,14.65,14.74,181000,14.74
2012-04-20,15.23,15.27,14.98,15.17,133100,15.17
2012-04-19,15.05,15.26,14.75,15.03,152700,15.03
2012-04-18,15.25,15.33,14.96,15.09,152500,15.09
2012-04-17,15.57,15.61,15.27,15.33,132500,15.33
2012-04-16,15.57,15.99,15.30,15.35,247200,15.35
2012-04-13,15.55,15.55,15.19,15.20,127600,15.20
2012-04-12,15.59,15.88,15.46,15.62,133800,15.62
2012-04-11,15.52,15.74,15.39,15.60,241500,15.60
2012-04-10,15.83,15.92,15.15,15.25,245600,15.25
2012-04-09,15.64,15.99,15.57,15.90,202800,15.90
2012-04-05,16.00,16.22,15.80,16.13,208700,16.13
2012-04-04,16.73,16.73,15.56,16.07,642400,16.07
2012-04-03,17.33,17.38,16.67,16.90,321800,16.90
2012-04-02,17.70,17.70,17.26,17.39,229600,17.39
2012-03-30,17.90,17.94,17.29,17.74,206400,17.74
2012-03-29,17.98,17.98,17.48,17.69,185000,17.69
2012-03-28,18.22,18.24,17.68,18.22,217000,18.22
2012-03-27,18.70,18.70,18.25,18.25,359000,18.25
2012-03-26,19.03,19.21,18.14,18.72,253300,18.72
2012-03-23,18.18,19.37,18.03,18.94,378900,18.94
2012-03-22,18.17,18.47,18.01,18.08,96700,18.08
2012-03-21,18.53,18.76,18.00,18.37,196100,18.37
