Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,6.19,6.22,6.06,6.06,134600,6.06
2012-05-03,6.28,6.31,6.16,6.22,104500,6.22
2012-05-02,6.44,6.51,6.25,6.27,148200,6.27
2012-05-01,6.43,6.65,6.38,6.50,123000,6.50
2012-04-30,6.52,6.58,6.40,6.42,104000,6.42
2012-04-27,6.35,6.59,6.29,6.54,93000,6.54
2012-04-26,6.26,6.35,6.18,6.31,51800,6.31
2012-04-25,6.24,6.40,6.23,6.26,63500,6.26
2012-04-24,6.10,6.26,6.10,6.18,79000,6.18
2012-04-23,6.05,6.14,6.02,6.11,109200,6.11
2012-04-20,6.20,6.20,6.04,6.06,89400,6.06
2012-04-19,6.17,6.20,6.06,6.13,96500,6.13
2012-04-18,6.27,6.30,6.10,6.14,88200,6.14
2012-04-17,6.25,6.39,6.25,6.33,80500,6.33
2012-04-16,6.28,6.28,6.17,6.20,127100,6.20
2012-04-13,6.25,6.34,6.23,6.25,85200,6.25
2012-04-12,6.38,6.47,6.24,6.26,126300,6.26
2012-04-11,6.38,6.47,6.32,6.38,90000,6.38
2012-04-10,6.35,6.65,6.31,6.31,278300,6.31
2012-04-09,6.38,6.55,6.34,6.39,189000,6.39
2012-04-05,6.39,6.74,6.30,6.51,242800,6.51
2012-04-04,6.52,6.56,6.29,6.41,196900,6.41
2012-04-03,6.70,6.72,6.56,6.61,351200,6.61
2012-04-02,6.55,6.76,6.54,6.72,164100,6.72
2012-03-30,6.58,6.64,6.54,6.60,107900,6.60
2012-03-29,6.40,6.58,6.40,6.55,54700,6.55
2012-03-28,6.46,6.49,6.37,6.47,91900,6.47
2012-03-27,6.56,6.56,6.40,6.46,62500,6.46
2012-03-26,6.61,6.71,6.50,6.55,105100,6.55
2012-03-23,6.42,6.55,6.30,6.54,60900,6.54
2012-03-22,6.29,6.48,6.25,6.40,98000,6.40
2012-03-21,6.32,6.42,6.31,6.33,86900,6.33
2012-03-20,6.42,6.47,6.30,6.31,113700,6.31
2012-03-19,6.33,6.50,6.30,6.44,121300,6.44
2012-03-16,6.36,6.40,6.28,6.36,265600,6.36
2012-03-15,6.46,6.53,6.29,6.36,131100,6.36
2012-03-14,6.58,6.65,6.46,6.47,87300,6.47
2012-03-13,6.44,6.61,6.38,6.61,163800,6.61
2012-03-12,6.24,6.40,6.17,6.39,129200,6.39
2012-03-09,6.41,6.46,6.10,6.23,201500,6.23
2012-03-08,6.46,6.88,6.35,6.41,150500,6.41
2012-03-07,6.89,7.01,6.89,6.98,96400,6.98
2012-03-06,6.77,6.95,6.77,6.84,195500,6.84
2012-03-05,6.83,6.99,6.73,6.86,156400,6.86
2012-03-02,7.30,7.34,6.86,6.87,247300,6.87
2012-03-01,7.19,7.48,7.03,7.27,91900,7.27
2012-02-29,7.27,7.37,7.16,7.17,114900,7.17
2012-02-28,7.13,7.30,7.11,7.23,95100,7.23
2012-02-27,7.29,7.29,7.11,7.11,98500,7.11
2012-02-24,7.34,7.38,7.28,7.36,37800,7.36
2012-02-23,7.17,7.34,7.15,7.34,96100,7.34
2012-02-22,7.20,7.30,7.16,7.18,129000,7.18
2012-02-21,7.30,7.38,7.14,7.22,108800,7.22
2012-02-17,7.39,7.39,7.31,7.34,58900,7.34
2012-02-16,7.32,7.35,7.23,7.34,123500,7.34
2012-02-15,7.35,7.37,7.24,7.33,98800,7.33
2012-02-14,7.39,7.40,7.23,7.34,50700,7.34
2012-02-13,7.42,7.49,7.35,7.39,126400,7.39
2012-02-10,7.38,7.45,7.23,7.38,182400,7.38
2012-02-09,7.45,7.51,7.31,7.44,73600,7.44
2012-02-08,7.51,7.58,7.44,7.45,117900,7.45
2012-02-07,7.41,7.53,7.37,7.51,223600,7.51
2012-02-06,7.37,7.46,7.28,7.44,58700,7.44
2012-02-03,7.50,7.50,7.39,7.42,179500,7.42
2012-02-02,7.40,7.46,7.28,7.46,108600,7.46
