Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,6.00,6.29,5.89,6.20,98400,6.20
2012-05-03,5.95,6.48,5.82,6.12,419000,6.12
2012-05-02,5.37,5.50,5.30,5.45,43400,5.45
2012-05-01,5.32,5.37,5.30,5.37,22000,5.37
2012-04-30,5.51,5.52,5.28,5.28,110000,5.28
2012-04-27,5.63,5.63,5.42,5.48,88800,5.48
2012-04-26,5.58,5.62,5.56,5.60,23800,5.60
2012-04-25,5.48,5.64,5.45,5.59,96400,5.59
2012-04-24,5.38,5.54,5.34,5.44,134600,5.44
2012-04-23,5.42,5.48,5.31,5.40,32400,5.40
2012-04-20,5.48,5.52,5.46,5.46,62700,5.46
2012-04-19,5.46,5.55,5.20,5.53,37400,5.53
2012-04-18,5.45,5.49,5.35,5.48,24700,5.48
2012-04-17,5.39,5.47,5.36,5.44,57500,5.44
2012-04-16,5.33,5.37,5.22,5.37,59200,5.37
2012-04-13,5.33,5.37,5.25,5.28,81000,5.28
2012-04-12,5.25,5.36,5.25,5.29,72200,5.29
2012-04-11,5.27,5.30,5.00,5.27,124700,5.27
2012-04-10,5.26,5.28,5.16,5.21,32500,5.21
2012-04-09,5.34,5.44,5.22,5.28,71000,5.28
2012-04-05,5.20,5.35,5.17,5.35,129700,5.35
2012-04-04,5.11,5.24,5.01,5.21,66300,5.21
2012-04-03,5.03,5.10,4.93,5.10,81400,5.10
2012-04-02,4.96,5.01,4.85,5.01,57100,5.01
2012-03-30,4.97,5.04,4.94,4.96,85900,4.96
2012-03-29,4.82,4.94,4.82,4.94,74400,4.94
2012-03-28,4.80,4.84,4.70,4.83,49300,4.83
2012-03-27,4.77,4.84,4.72,4.82,33300,4.82
2012-03-26,4.79,4.85,4.75,4.80,60600,4.80
2012-03-23,4.72,4.81,4.72,4.76,49200,4.76
2012-03-22,4.70,4.80,4.70,4.77,14000,4.77
2012-03-21,4.65,4.77,4.65,4.70,85300,4.70
2012-03-20,4.65,4.80,4.59,4.66,52900,4.66
2012-03-19,4.54,4.74,4.43,4.68,18600,4.68
2012-03-16,4.65,4.69,4.51,4.56,27600,4.56
2012-03-15,4.61,4.75,4.58,4.65,22200,4.65
2012-03-14,4.62,4.66,4.42,4.58,23600,4.58
2012-03-13,4.59,4.67,4.55,4.67,32500,4.67
2012-03-12,4.73,4.79,4.60,4.65,28800,4.65
2012-03-09,4.66,4.83,4.55,4.69,53400,4.69
2012-03-08,4.47,4.72,4.47,4.72,87300,4.72
2012-03-07,4.34,4.50,4.34,4.43,38400,4.43
2012-03-06,4.23,4.33,4.18,4.33,33200,4.33
2012-03-05,4.32,4.40,4.25,4.30,7000,4.30
2012-03-02,4.23,4.40,4.23,4.30,39800,4.30
2012-03-01,4.11,4.44,4.11,4.18,46200,4.18
2012-02-29,4.25,4.25,4.03,4.07,11300,4.07
2012-02-28,4.18,4.23,4.14,4.18,16600,4.18
2012-02-27,4.14,4.42,4.03,4.20,44100,4.20
2012-02-24,4.16,4.20,4.10,4.10,11200,4.10
2012-02-23,4.06,4.19,4.06,4.18,7200,4.18
2012-02-22,4.12,4.15,4.09,4.14,5400,4.14
2012-02-21,4.13,4.15,4.06,4.10,46700,4.10
2012-02-17,4.03,4.23,3.91,4.18,125500,4.18
2012-02-16,4.21,4.21,4.00,4.05,39300,4.05
2012-02-15,4.37,4.40,4.20,4.26,11200,4.26
2012-02-14,4.30,4.38,4.29,4.38,5600,4.38
2012-02-13,4.27,4.68,4.27,4.36,73400,4.36
2012-02-10,4.20,4.30,4.02,4.26,56900,4.26
2012-02-09,4.08,4.19,4.01,4.19,70200,4.19
2012-02-08,3.99,4.08,3.99,4.05,11000,4.05
2012-02-07,4.00,4.05,4.00,4.01,15400,4.01
2012-02-06,3.99,4.05,3.98,4.05,17800,4.05
2012-02-03,4.10,4.10,3.99,4.00,24300,4.00
2012-02-02,3.83,4.12,3.83,4.10,13700,4.10
2012-02-01,3.95,4.00,3.88,4.00,20900,4.00
2012-01-31,3.94,4.01,3.87,3.98,78100,3.98
2012-01-30,3.96,3.98,3.80,3.94,22600,3.94
2012-01-27,3.95,3.97,3.76,3.94,15800,3.94
2012-01-26,3.85,4.00,3.66,3.97,72900,3.97
2012-01-25,3.81,4.01,3.81,3.87,51600,3.87
2012-01-24,3.96,4.02,3.95,3.99,35100,3.99
2012-01-23,3.93,3.96,3.88,3.95,12300,3.95
2012-01-20,3.98,4.00,3.91,3.96,38400,3.96
2012-01-19,3.98,4.00,3.95,3.99,20200,3.99
2012-01-18,3.95,4.02,3.80,3.98,26900,3.98
2012-01-17,3.98,4.02,3.92,3.97,30800,3.97
2012-01-13,3.93,4.00,3.93,4.00,13100,4.00
2012-01-12,3.97,4.00,3.90,3.97,27700,3.97
2012-01-11,3.99,4.00,3.91,4.00,16800,4.00
2012-01-10,3.98,4.00,3.90,3.99,13800,3.99
2012-01-09,3.90,3.95,3.85,3.95,11000,3.95
2012-01-06,3.85,3.92,3.80,3.90,48200,3.90
2012-01-05,3.76,3.94,3.75,3.90,15600,3.90
2012-01-04,3.68,3.85,3.68,3.75,13600,3.75
2012-01-03,3.82,3.85,3.69,3.69,43600,3.69
2011-12-30,3.65,3.79,3.65,3.74,20700,3.74
2011-12-29,3.66,3.68,3.59,3.67,9900,3.67
2011-12-28,3.62,3.74,3.58,3.62,30800,3.62
2011-12-27,3.63,3.74,3.50,3.66,63100,3.66
2011-12-23,3.70,3.80,3.61,3.66,44400,3.66
2011-12-22,3.76,3.82,3.66,3.69,18500,3.69
2011-12-21,3.77,3.77,3.60,3.66,29100,3.66
2011-12-20,3.63,3.78,3.62,3.76,22200,3.76
2011-12-19,3.74,3.78,3.60,3.64,30600,3.64
2011-12-16,3.85,3.88,3.74,3.74,21800,3.74
2011-12-15,3.92,3.93,3.70,3.80,65600,3.80
2011-12-14,3.90,3.95,3.85,3.92,67200,3.92
2011-12-13,3.98,3.98,3.95,3.96,6700,3.96
2011-12-12,3.95,3.99,3.93,3.93,6300,3.93
2011-12-09,3.96,4.00,3.93,3.94,18200,3.94
2011-12-08,3.92,4.00,3.92,3.95,9600,3.95
2011-12-07,3.95,4.00,3.84,4.00,20600,4.00
2011-12-06,3.94,4.02,3.93,3.98,8700,3.98
2011-12-05,4.01,4.01,3.92,4.00,9700,4.00
2011-12-02,3.98,4.03,3.93,4.03,20400,4.03
2011-12-01,4.01,4.10,3.97,4.00,7200,4.00
2011-11-30,4.12,4.12,3.95,4.01,23400,4.01
2011-11-29,4.04,4.14,4.04,4.14,10700,4.14
2011-11-28,4.09,4.17,3.99,3.99,45800,3.99
2011-11-25,4.16,4.16,4.05,4.06,2800,4.06
2011-11-23,4.11,4.17,4.00,4.17,15400,4.17
2011-11-22,4.08,4.19,3.97,4.19,10400,4.19
2011-11-21,4.11,4.22,3.98,4.03,12300,4.03
2011-11-18,4.20,4.30,4.12,4.13,13800,4.13
2011-11-17,3.99,4.24,3.99,4.24,12500,4.24
2011-11-16,4.00,4.10,3.95,3.97,10500,3.97
2011-11-15,4.03,4.08,4.03,4.03,900,4.03
2011-11-14,4.02,4.09,4.02,4.04,6000,4.04
2011-11-11,3.97,4.19,3.92,4.12,12000,4.12
2011-11-10,4.09,4.10,3.95,4.02,7000,4.02
2011-11-09,3.96,4.10,3.96,4.09,21900,4.09
2011-11-08,4.09,4.20,4.01,4.03,37500,4.03
2011-11-07,4.17,4.19,4.00,4.12,36000,4.12
2011-11-04,4.07,4.32,4.05,4.24,29400,4.24
2011-11-03,4.17,4.17,3.90,4.07,11200,4.07
2011-11-02,4.09,4.17,4.00,4.16,18200,4.16
2011-11-01,3.87,4.10,3.86,4.08,68200,4.08
2011-10-31,3.85,3.98,3.75,3.97,48600,3.97
2011-10-28,3.76,3.95,3.75,3.87,37200,3.87
2011-10-27,3.70,3.97,3.65,3.74,91900,3.74
2011-10-26,3.77,3.95,3.77,3.82,30500,3.82
2011-10-25,3.95,3.98,3.85,3.85,31600,3.85
2011-10-24,3.98,3.98,3.92,3.96,7300,3.96
2011-10-21,3.93,3.98,3.92,3.96,9600,3.96
2011-10-20,3.95,3.99,3.88,3.90,23100,3.90
2011-10-19,3.98,4.04,3.90,3.96,23900,3.96
2011-10-18,3.96,4.05,3.90,3.97,22000,3.97
2011-10-17,3.99,4.08,3.92,3.98,30700,3.98
2011-10-14,3.90,3.99,3.89,3.96,26100,3.96
2011-10-13,3.87,3.96,3.83,3.89,17300,3.89
2011-10-12,3.90,3.96,3.86,3.89,12900,3.89
2011-10-11,3.96,3.97,3.85,3.90,12600,3.90
2011-10-10,3.89,3.99,3.73,3.99,31600,3.99
2011-10-07,3.87,3.95,3.75,3.87,37100,3.87
2011-10-06,3.89,3.93,3.77,3.88,31700,3.88
2011-10-05,3.93,3.93,3.75,3.75,42600,3.75
2011-10-04,3.92,3.94,3.76,3.94,33400,3.94
2011-10-03,3.86,4.00,3.81,3.91,16300,3.91
2011-09-30,3.90,3.93,3.81,3.85,21500,3.85
2011-09-29,4.01,4.02,3.85,3.91,38900,3.91
2011-09-28,4.08,4.08,3.92,4.00,6600,4.00
2011-09-27,4.06,4.09,3.94,3.98,7400,3.98
2011-09-26,4.04,4.04,3.93,4.00,15200,4.00
2011-09-23,4.03,4.05,3.85,4.00,28200,4.00
2011-09-22,3.94,4.01,3.87,4.00,28700,4.00
2011-09-21,3.94,4.05,3.89,3.98,13800,3.98
2011-09-20,3.90,3.96,3.90,3.90,18100,3.90
2011-09-19,3.94,4.05,3.87,3.89,20800,3.89
2011-09-16,4.01,4.10,3.88,4.00,58000,4.00
2011-09-15,4.02,4.06,4.02,4.02,19900,4.02
2011-09-14,3.94,4.07,3.94,3.97,39600,3.97
2011-09-13,3.94,4.03,3.90,3.91,27100,3.91
2011-09-12,3.98,4.00,3.94,3.95,14300,3.95
2011-09-09,3.95,4.00,3.95,4.00,23400,4.00
2011-09-08,4.03,4.03,3.97,3.99,22100,3.99
2011-09-07,4.03,4.04,3.96,4.03,8300,4.03
2011-09-06,3.98,4.04,3.95,3.96,19000,3.96
2011-09-02,4.00,4.04,3.97,4.02,14100,4.02
2011-09-01,4.08,4.12,4.01,4.01,20600,4.01
2011-08-31,4.12,4.14,4.03,4.04,44200,4.04
2011-08-30,4.00,4.13,4.00,4.13,7700,4.13
2011-08-29,3.98,4.08,3.98,4.05,41300,4.05
2011-08-26,3.95,4.02,3.93,3.96,14100,3.96
2011-08-25,3.94,4.02,3.94,4.00,19100,4.00
2011-08-24,3.99,4.02,3.99,3.99,3100,3.99
2011-08-23,3.94,3.99,3.93,3.99,14500,3.99
2011-08-22,4.04,4.04,3.93,3.93,33400,3.93
2011-08-19,3.91,4.00,3.91,3.95,22200,3.95
