Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,50.99,50.99,49.97,50.04,72100,50.04
2012-05-03,51.01,51.15,50.73,50.88,508900,50.88
2012-05-02,48.93,49.25,48.66,48.96,109000,48.96
2012-05-01,49.66,49.95,49.57,49.77,37500,49.77
2012-04-30,49.39,49.43,49.09,49.28,41000,49.28
2012-04-27,49.45,49.80,49.25,49.58,104500,49.58
2012-04-26,48.97,49.41,48.92,49.36,33800,49.36
2012-04-25,48.93,49.16,48.86,49.10,42000,49.10
2012-04-24,48.81,49.04,48.76,48.85,40600,48.85
2012-04-23,48.46,48.51,48.02,48.46,40900,48.46
2012-04-20,49.34,49.67,49.11,49.16,52100,49.16
2012-04-19,48.91,49.02,48.58,48.70,57000,48.70
2012-04-18,49.49,49.76,49.18,49.25,48400,49.25
2012-04-17,49.06,49.74,48.95,49.59,140300,49.05
2012-04-16,48.37,48.41,48.02,48.20,45800,47.68
2012-04-13,48.34,48.46,47.91,48.02,122600,47.50
2012-04-12,48.67,49.05,48.67,49.03,51100,48.50
2012-04-11,48.66,49.29,48.55,48.75,67500,48.22
2012-04-10,48.61,48.85,48.17,48.17,58800,47.65
2012-04-09,48.24,48.75,48.00,48.63,84000,48.10
2012-04-05,48.22,48.78,48.22,48.75,52600,48.22
2012-04-04,49.91,49.99,49.12,49.38,53800,48.84
2012-04-03,50.92,50.92,50.36,50.61,86000,50.06
2012-04-02,50.87,51.37,50.70,51.23,55100,50.67
2012-03-30,50.57,50.73,50.33,50.50,37900,49.95
2012-03-29,50.39,50.44,50.05,50.29,52100,49.74
2012-03-28,50.26,50.39,49.98,50.17,37400,49.62
2012-03-27,50.52,50.55,50.25,50.33,36000,49.78
2012-03-26,50.81,51.00,50.72,50.96,28300,50.41
2012-03-23,49.90,50.30,49.71,50.23,41300,49.68
2012-03-22,49.74,49.83,49.49,49.77,32500,49.23
2012-03-21,50.24,50.34,50.10,50.18,41000,49.63
2012-03-20,50.23,50.42,50.14,50.28,38600,49.73
2012-03-19,50.24,50.48,50.20,50.36,55100,49.81
2012-03-16,49.92,50.11,49.80,49.85,83200,49.31
2012-03-15,49.18,49.92,49.07,49.92,165700,49.38
2012-03-14,49.32,49.49,49.14,49.30,50700,48.76
2012-03-13,49.41,50.06,49.41,50.06,40200,49.51
2012-03-12,49.49,49.58,49.15,49.44,213400,48.90
2012-03-09,48.74,49.38,48.72,49.27,84900,48.73
2012-03-08,49.38,49.68,49.16,49.60,41300,49.06
2012-03-07,48.44,48.94,48.27,48.81,80300,48.28
2012-03-06,48.18,48.32,47.71,47.86,31400,47.34
2012-03-05,49.14,49.17,48.71,48.89,124700,48.36
2012-03-02,49.80,49.82,49.38,49.42,62500,48.88
2012-03-01,49.65,50.37,49.65,50.03,174000,49.49
2012-02-29,49.32,49.40,48.96,49.02,70800,48.49
2012-02-28,49.34,49.44,48.86,49.06,70800,48.53
2012-02-27,49.15,49.64,49.10,49.50,50500,48.96
2012-02-24,49.65,49.96,49.64,49.89,57000,49.35
2012-02-23,48.99,49.23,48.84,49.16,101300,48.62
2012-02-22,49.00,49.51,48.98,49.32,346300,48.78
2012-02-21,49.38,49.66,49.18,49.23,117000,48.69
2012-02-17,50.14,50.21,49.91,50.07,102200,49.52
2012-02-16,49.74,50.27,49.67,50.15,42900,49.60
2012-02-15,49.80,49.97,49.58,49.64,38200,49.10
2012-02-14,49.80,49.87,49.57,49.84,142000,49.30
2012-02-13,50.16,50.29,49.95,50.21,33000,49.66
2012-02-10,50.02,50.11,49.68,49.84,90100,49.30
2012-02-09,50.60,50.60,49.90,50.08,34400,49.53
2012-02-08,50.65,50.75,50.31,50.57,56000,50.02
2012-02-07,49.94,50.79,49.91,50.69,244300,50.14
2012-02-06,50.49,51.13,50.49,51.13,177700,50.57
2012-02-03,50.46,50.83,50.36,50.70,136500,50.15
2012-02-02,50.60,50.80,50.37,50.60,104300,50.05
2012-02-01,48.36,48.74,48.26,48.47,216800,47.94
2012-01-31,48.82,48.92,48.33,48.62,319000,48.09
2012-01-30,47.96,48.39,47.92,48.32,501800,47.79
2012-01-27,47.85,48.36,47.85,48.26,231000,47.73
2012-01-26,47.77,48.27,47.64,48.24,148400,47.71
2012-01-25,47.39,47.70,47.01,47.63,127400,47.11
2012-01-24,47.27,47.48,46.99,47.28,62400,46.77
2012-01-23,47.11,47.87,47.11,47.59,44900,47.07
2012-01-20,47.58,47.58,47.14,47.40,59600,46.88
2012-01-19,45.81,46.43,45.64,46.22,75600,45.72
2012-01-18,45.77,46.09,45.70,46.07,35200,45.57
2012-01-17,45.74,45.83,45.54,45.57,58500,45.07
2012-01-13,45.83,45.93,45.37,45.85,31300,45.35
2012-01-12,46.13,46.38,45.60,45.88,94600,45.38
2012-01-11,46.26,46.53,46.09,46.51,54800,46.00
2012-01-10,46.53,46.69,46.33,46.41,138200,45.90
2012-01-09,46.74,46.81,46.14,46.55,79900,46.04
2012-01-06,46.89,47.00,46.57,46.86,44100,46.35
2012-01-05,47.09,47.25,46.83,47.20,125500,46.69
2012-01-04,49.08,49.20,48.69,48.77,138400,48.24
2012-01-03,48.62,48.99,48.59,48.89,67500,48.36
2011-12-30,48.02,48.35,47.91,48.15,52400,47.63
2011-12-29,47.06,47.78,47.01,47.74,55200,47.22
2011-12-28,47.05,47.07,46.57,46.64,32900,46.13
2011-12-27,47.09,47.29,47.08,47.23,16000,46.72
2011-12-23,46.92,47.19,46.92,47.01,27900,46.50
2011-12-22,46.18,46.60,46.07,46.60,36000,46.09
2011-12-21,45.80,46.17,45.64,46.09,100600,45.59
2011-12-20,45.28,46.17,45.25,46.17,145700,45.67
2011-12-19,44.51,44.89,44.16,44.21,62500,43.73
2011-12-16,44.98,45.05,44.24,44.34,83700,43.86
2011-12-15,45.11,45.43,44.83,44.90,127100,44.41
2011-12-14,45.18,45.23,44.79,44.85,95000,44.36
2011-12-13,46.08,46.55,45.42,45.61,59200,45.11
2011-12-12,46.06,46.07,45.47,45.64,39700,45.14
2011-12-09,45.86,46.26,45.83,46.07,52500,45.57
2011-12-08,46.45,46.55,45.51,45.63,57400,45.13
2011-12-07,46.38,46.96,46.02,46.88,81300,46.37
2011-12-06,46.45,46.82,46.24,46.38,60700,45.87
2011-12-05,46.52,46.85,45.98,46.26,147100,45.76
2011-12-02,46.56,46.80,45.60,45.74,361900,45.24
2011-12-01,46.17,46.40,45.67,46.25,183500,45.75
2011-11-30,45.23,46.07,45.14,45.75,65600,45.25
2011-11-29,43.70,44.22,43.67,43.81,52200,43.33
2011-11-28,43.45,44.04,43.42,44.04,117000,43.56
2011-11-25,42.89,43.22,42.63,42.76,88200,42.29
2011-11-23,43.54,43.54,42.96,43.19,252000,42.72
2011-11-22,44.55,44.63,43.84,44.03,51800,43.55
2011-11-21,45.08,45.14,44.58,44.90,91300,44.41
2011-11-18,46.07,46.16,45.29,45.42,110900,44.93
2011-11-17,45.88,45.94,44.97,45.20,94000,44.71
2011-11-16,46.06,46.45,45.63,45.66,77600,45.16
2011-11-15,46.75,47.08,46.44,46.89,115600,46.38
2011-11-14,45.91,46.08,45.06,45.30,101800,44.81
2011-11-11,44.67,44.98,44.54,44.62,46700,44.13
2011-11-10,43.77,43.87,43.32,43.65,55800,43.17
2011-11-09,43.89,44.00,42.92,43.23,126200,42.76
2011-11-08,43.69,44.27,43.56,44.15,71400,43.67
2011-11-07,43.01,43.89,43.01,43.89,77800,43.41
2011-11-04,44.56,44.64,43.75,44.26,123600,43.78
2011-11-03,44.79,45.29,44.41,45.27,121600,44.78
2011-11-02,44.26,44.69,43.99,44.29,83200,43.81
2011-11-01,44.66,44.90,44.31,44.35,83600,43.87
2011-10-31,46.57,46.58,45.86,45.86,67700,45.36
2011-10-28,46.90,47.07,46.68,46.89,74600,46.38
2011-10-27,46.45,46.80,45.91,46.57,48900,46.06
2011-10-26,45.78,45.90,44.99,45.50,44400,45.00
2011-10-25,46.00,46.04,45.35,45.35,69200,44.86
2011-10-24,45.78,46.96,45.78,46.85,54300,46.34
2011-10-21,45.71,46.12,45.71,46.12,75600,45.62
2011-10-20,45.14,45.27,44.32,44.85,70600,44.36
2011-10-19,45.46,45.73,45.04,45.14,67600,44.65
2011-10-18,45.35,45.67,44.57,45.37,225900,44.88
2011-10-17,45.96,46.01,45.17,45.28,58500,44.79
2011-10-14,46.65,46.83,46.13,46.40,52300,45.89
2011-10-13,45.70,46.03,45.36,45.85,55600,45.35
2011-10-12,45.26,45.94,45.18,45.65,33700,45.15
2011-10-11,44.96,45.51,44.91,45.24,77100,44.42
2011-10-10,45.09,45.98,45.04,45.69,169800,44.86
2011-10-07,44.53,44.80,44.24,44.34,220800,43.54
2011-10-06,43.98,45.07,43.79,45.02,68000,44.20
2011-10-05,43.65,44.16,43.47,44.09,51700,43.29
2011-10-04,43.10,43.89,42.62,43.89,91000,43.10
2011-10-03,43.49,43.53,42.62,42.62,78000,41.85
2011-09-30,45.10,45.46,44.69,44.69,71800,43.88
2011-09-29,46.03,46.34,45.25,45.89,51200,45.06
2011-09-28,45.53,46.03,45.13,45.20,67300,44.38
2011-09-27,46.23,46.55,45.82,46.01,49200,45.18
2011-09-26,45.42,45.54,44.72,45.50,72400,44.68
2011-09-23,43.95,44.74,43.90,44.57,156200,43.76
2011-09-22,43.88,44.10,43.28,43.68,160900,42.89
2011-09-21,46.34,46.38,45.39,45.39,69200,44.57
2011-09-20,46.82,47.11,46.60,46.69,133100,45.84
2011-09-19,46.63,47.12,46.28,46.96,90100,46.11
2011-09-16,47.17,47.39,46.57,47.28,272000,46.42
2011-09-15,47.47,47.84,47.18,47.77,80800,46.91
2011-09-14,47.46,48.19,47.05,47.82,66500,46.95
2011-09-13,46.73,47.28,46.57,47.18,129300,46.33
2011-09-12,46.41,46.72,45.79,46.68,64800,45.83
2011-09-09,47.46,47.60,46.68,46.89,74300,46.04
2011-09-08,48.21,48.88,48.05,48.16,64800,47.29
2011-09-07,48.52,49.21,48.36,49.18,93600,48.29
2011-09-06,47.88,48.29,47.44,48.27,112900,47.40
2011-09-02,50.30,50.85,50.00,50.31,222900,49.40
2011-09-01,50.85,51.25,50.14,50.22,99200,49.31
2011-08-31,50.91,51.39,50.51,50.97,313000,50.05
2011-08-30,47.64,49.14,47.39,48.95,84000,48.06
2011-08-29,47.74,48.73,47.55,48.53,80000,47.65
2011-08-26,46.37,47.37,45.92,47.15,63700,46.30
2011-08-25,47.05,47.37,46.24,46.38,51200,45.54
2011-08-24,47.07,47.34,46.59,47.05,53000,46.20
2011-08-23,46.47,47.25,46.15,47.21,73300,46.36
2011-08-22,47.13,47.13,45.71,45.79,172600,44.96
2011-08-19,45.25,46.35,45.00,45.08,95900,44.26
2011-08-18,46.25,46.25,44.91,45.23,169800,44.41
