Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,104.61,104.61,103.39,103.92,164300,103.92
2012-05-03,105.80,106.00,104.60,105.19,119200,105.19
2012-05-02,106.84,107.08,106.25,106.75,133000,106.75
2012-05-01,105.75,107.92,105.51,107.38,183100,107.38
2012-04-30,107.39,107.39,104.70,105.47,287000,105.47
2012-04-27,105.81,106.81,105.50,106.29,103600,106.29
2012-04-26,105.12,105.35,104.37,105.14,160400,105.14
2012-04-25,105.83,105.96,104.28,105.26,127800,105.26
2012-04-24,104.81,105.47,104.49,104.97,67000,104.97
2012-04-23,104.74,105.18,103.89,104.75,198200,104.75
2012-04-20,107.65,107.71,106.86,107.24,87100,107.24
2012-04-19,107.35,107.72,106.19,107.24,130000,107.24
2012-04-18,106.00,106.35,105.66,106.07,94000,106.07
2012-04-17,106.06,106.96,105.79,106.62,68400,106.62
2012-04-16,106.81,106.92,105.03,105.58,96600,105.58
2012-04-13,106.91,107.25,105.71,106.36,104300,106.36
2012-04-12,106.79,108.70,106.20,107.94,145300,107.94
2012-04-11,106.00,106.40,105.51,105.81,103300,105.81
2012-04-10,106.56,106.57,104.74,105.34,145000,105.34
2012-04-09,106.37,107.52,106.34,107.11,58100,107.11
2012-04-05,107.45,108.28,107.09,107.90,61400,107.90
2012-04-04,107.72,108.06,106.82,107.71,168900,107.71
2012-04-03,109.25,109.67,108.36,109.23,158400,109.23
2012-04-02,108.41,110.47,107.86,109.80,184100,109.80
2012-03-30,109.10,109.49,108.29,108.72,103300,108.72
2012-03-29,108.13,109.22,107.30,109.10,162600,109.10
2012-03-28,111.34,111.62,109.58,110.32,133500,110.32
2012-03-27,113.46,113.49,112.20,112.40,151000,112.40
2012-03-26,112.91,113.95,112.70,113.38,250000,113.38
2012-03-23,110.67,111.86,110.07,111.30,93300,111.30
2012-03-22,110.71,110.72,109.59,110.41,128800,110.41
2012-03-21,111.14,111.89,110.42,111.61,128200,111.61
2012-03-20,111.32,112.00,110.60,111.30,310800,111.30
2012-03-19,117.15,117.89,116.99,117.71,195900,117.71
2012-03-16,115.79,116.11,115.14,115.74,108600,115.74
2012-03-15,114.28,114.76,113.78,114.57,76900,114.57
2012-03-14,114.93,115.67,113.50,114.22,179900,114.22
2012-03-13,115.69,117.09,115.40,116.88,136900,116.88
2012-03-12,115.22,115.36,114.07,114.50,131700,114.50
2012-03-09,115.98,115.99,115.14,115.51,123100,115.51
2012-03-08,115.04,115.32,114.22,115.01,117000,115.01
2012-03-07,113.65,114.16,112.86,113.64,122900,113.64
2012-03-06,111.13,111.67,110.65,111.36,140300,111.36
2012-03-05,113.30,113.64,112.50,113.26,150300,113.26
2012-03-02,114.53,115.50,114.45,114.93,161000,114.93
2012-03-01,113.93,114.52,113.28,114.06,156000,114.06
2012-02-29,113.94,114.50,112.69,113.29,239200,113.29
2012-02-28,113.31,114.31,112.64,113.98,171400,113.98
2012-02-27,110.84,112.38,110.79,111.80,224000,111.80
2012-02-24,112.50,113.81,112.50,113.04,183400,113.04
2012-02-23,113.47,114.62,112.82,114.09,110500,114.09
2012-02-22,112.87,113.90,112.84,113.58,137000,113.58
2012-02-21,113.00,113.11,111.39,111.76,384900,111.76
2012-02-17,120.88,121.35,120.27,120.68,82800,120.68
2012-02-16,118.42,119.67,118.19,119.50,62600,119.50
2012-02-15,119.63,120.00,118.66,119.05,71000,119.05
2012-02-14,118.27,118.74,117.79,118.27,69500,118.27
2012-02-13,119.71,119.78,118.93,119.26,95100,119.26
2012-02-10,117.89,118.97,117.36,118.97,175700,118.97
2012-02-09,120.55,120.86,119.73,120.39,153900,120.39
2012-02-08,121.64,122.87,121.41,122.70,108000,122.70
2012-02-07,120.80,121.54,119.91,120.15,338200,120.15
2012-02-06,120.77,121.91,120.44,121.29,185000,121.29
2012-02-03,125.17,125.36,124.40,124.95,168100,124.95
2012-02-02,123.99,125.24,123.43,123.53,155400,123.53
2012-02-01,122.46,124.20,122.46,123.05,187200,123.05
2012-01-31,121.10,121.42,119.80,120.15,218200,120.15
2012-01-30,118.65,119.50,117.70,119.20,112600,119.20
2012-01-27,118.26,118.97,118.06,118.75,114000,118.75
2012-01-26,118.37,118.77,116.51,116.80,86900,116.80
2012-01-25,117.28,118.35,116.30,118.23,95200,118.23
2012-01-24,116.85,117.22,116.33,116.86,73400,116.86
2012-01-23,117.00,118.45,117.00,117.71,56400,117.71
2012-01-20,116.37,117.40,115.93,117.34,93400,117.34
2012-01-19,118.59,118.59,117.33,117.84,75800,117.84
2012-01-18,117.05,119.19,116.80,119.14,154300,119.14
2012-01-17,116.45,117.12,116.01,116.57,90800,116.57
2012-01-13,113.74,114.13,113.04,114.13,102600,114.13
2012-01-12,114.71,115.32,113.74,114.19,140000,114.19
2012-01-11,115.82,115.98,114.99,115.68,79000,115.68
2012-01-10,116.99,117.40,115.95,116.26,230800,116.26
2012-01-09,114.74,116.05,114.74,115.77,247400,115.77
2012-01-06,114.61,114.65,113.38,113.48,203200,113.48
2012-01-05,114.02,116.54,113.54,115.50,420900,115.50
2012-01-04,109.24,110.13,108.81,109.90,275500,109.90
2012-01-03,110.30,111.82,109.84,111.59,277200,111.59
2011-12-30,105.20,105.82,104.95,105.05,71500,105.05
2011-12-29,105.26,105.72,104.89,105.30,96500,105.30
2011-12-28,106.00,106.37,105.32,105.64,99400,105.64
2011-12-27,106.45,106.76,106.00,106.13,56200,106.13
2011-12-23,106.16,106.81,106.05,106.79,83500,106.79
2011-12-22,105.05,106.62,105.05,106.28,118800,106.28
2011-12-21,104.70,105.06,104.03,104.87,156500,104.87
2011-12-20,103.75,104.61,103.57,103.88,322300,103.88
2011-12-19,102.48,102.76,100.94,101.11,123900,101.11
2011-12-16,101.99,102.69,101.07,101.89,251400,101.89
2011-12-15,101.70,102.15,100.80,101.20,198600,101.20
2011-12-14,101.22,102.17,100.25,101.14,264400,101.14
2011-12-13,102.25,103.50,100.64,101.36,159900,101.36
2011-12-12,102.26,102.61,100.70,101.81,179100,101.81
2011-12-09,103.01,104.66,103.01,103.95,191900,103.95
2011-12-08,103.69,104.54,101.87,102.22,149900,102.22
2011-12-07,104.14,105.18,103.75,104.80,196100,104.80
2011-12-06,105.24,105.62,104.78,104.94,189100,104.94
2011-12-05,106.00,107.13,105.53,106.45,124200,106.45
2011-12-02,106.41,106.60,105.28,105.55,143800,105.55
2011-12-01,105.42,105.75,104.30,105.48,201600,105.48
2011-11-30,104.32,106.56,104.32,106.35,271000,106.35
2011-11-29,102.83,103.31,101.83,101.99,249600,101.99
2011-11-28,103.49,104.30,102.58,103.74,142900,103.74
2011-11-25,101.71,102.80,101.50,102.10,77400,102.10
2011-11-23,102.48,102.83,101.63,101.80,250200,101.80
2011-11-22,102.78,103.52,102.19,102.50,175400,102.50
2011-11-21,101.85,102.68,100.80,102.08,188400,102.08
2011-11-18,102.35,102.71,101.48,101.81,101600,101.81
2011-11-17,102.62,103.58,100.61,101.20,168800,101.20
2011-11-16,103.05,104.02,101.83,102.02,196900,102.02
2011-11-15,105.90,106.45,105.02,106.14,225400,106.14
2011-11-14,107.28,107.28,105.01,106.32,153100,106.32
2011-11-11,107.02,107.48,105.13,106.48,246200,106.48
2011-11-10,104.48,104.71,102.96,104.18,179300,104.18
2011-11-09,102.77,103.05,100.63,101.15,201500,101.15
2011-11-08,105.97,105.97,104.73,105.76,254200,105.76
2011-11-07,102.40,104.80,102.35,104.66,374600,104.66
2011-11-04,100.37,101.79,100.15,101.65,298100,101.65
2011-11-03,96.18,97.39,95.20,97.01,178700,97.01
2011-11-02,96.02,97.04,95.23,96.84,217300,96.84
2011-11-01,93.47,93.79,91.32,93.09,282300,93.09
2011-10-31,95.66,95.93,94.24,94.40,108400,94.40
2011-10-28,96.94,98.42,96.58,97.11,228900,97.11
2011-10-27,98.34,101.89,98.34,101.25,333300,101.25
2011-10-26,96.50,97.26,95.28,97.11,200200,97.11
2011-10-25,95.42,95.55,93.71,94.05,170300,94.05
2011-10-24,94.38,95.50,94.00,95.38,193700,95.38
2011-10-21,92.45,93.54,92.32,92.89,102700,92.89
2011-10-20,91.75,92.44,90.12,91.43,129000,91.43
2011-10-19,93.63,94.00,92.14,92.16,132400,92.16
2011-10-18,92.00,94.42,91.17,94.40,164200,94.40
2011-10-17,92.41,93.50,91.72,91.93,173400,91.93
2011-10-14,93.62,95.06,93.49,94.84,215500,94.84
2011-10-13,91.87,92.87,91.08,92.41,277300,92.41
2011-10-12,93.19,94.81,92.42,93.86,191000,93.86
2011-10-11,91.18,92.67,90.60,91.78,275800,91.78
2011-10-10,92.69,94.02,92.33,93.41,339400,93.41
2011-10-07,96.67,97.02,95.13,95.28,184400,95.28
2011-10-06,97.26,99.11,97.20,98.81,178000,98.81
