Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,138.52,139.30,136.92,137.00,193640300,137.00
2012-05-03,140.34,140.45,138.99,139.25,143759700,139.25
2012-05-02,139.92,140.46,139.46,140.32,121081000,140.32
2012-05-01,139.79,141.66,139.63,140.74,138832200,140.74
2012-04-30,140.11,140.21,139.49,139.87,115092200,139.87
2012-04-27,140.58,140.79,139.80,140.39,130725000,140.39
2012-04-26,138.89,140.32,138.81,140.16,136291600,140.16
2012-04-25,138.65,139.25,138.53,139.19,150252200,139.19
2012-04-24,136.91,137.66,136.80,137.31,137484200,137.31
2012-04-23,136.54,136.91,135.94,136.79,171844900,136.79
2012-04-20,138.33,138.83,137.87,137.95,143199600,137.95
2012-04-19,138.63,139.15,137.07,137.72,198666700,137.72
2012-04-18,138.46,139.08,138.38,138.61,123884200,138.61
2012-04-17,137.84,139.36,137.70,139.08,147877600,139.08
2012-04-16,137.84,138.04,136.58,137.05,147825300,137.05
2012-04-13,138.47,138.82,137.01,137.14,169246700,137.14
2012-04-12,137.13,138.90,137.03,138.79,154321500,138.79
2012-04-11,137.29,137.54,136.75,137.00,154133000,137.00
2012-04-10,137.95,138.34,135.76,135.90,235360300,135.90
2012-04-09,138.03,139.84,137.84,138.22,127555900,138.22
2012-04-05,139.38,140.20,139.26,139.79,137439400,139.79
2012-04-04,140.22,140.34,139.34,139.86,146896000,139.86
2012-04-03,141.64,141.88,140.43,141.26,155806700,141.26
2012-04-02,140.64,142.21,140.36,141.84,151741100,141.84
2012-03-30,140.92,141.05,140.05,140.81,135486800,140.81
2012-03-29,139.64,140.49,139.09,140.23,164963700,140.23
2012-03-28,141.10,141.32,139.64,140.47,148562100,140.47
2012-03-27,141.74,141.83,141.08,141.17,119868500,141.17
2012-03-26,140.65,141.61,140.60,141.61,120164000,141.61
2012-03-23,139.32,139.81,138.55,139.65,120521000,139.65
2012-03-22,139.18,139.55,138.74,139.20,135216700,139.20
2012-03-21,140.52,140.65,139.92,140.21,122388400,140.21
2012-03-20,140.05,140.61,139.64,140.44,121729700,140.44
2012-03-19,140.21,141.28,140.11,140.85,125291100,140.85
2012-03-16,140.36,140.48,140.00,140.30,152893500,140.30
2012-03-15,140.12,140.78,139.76,140.72,165118500,140.11
2012-03-14,140.10,140.45,139.48,139.91,145163600,139.30
2012-03-13,138.32,140.13,138.09,140.06,184090500,139.45
2012-03-12,137.55,137.76,137.09,137.58,104003500,136.98
2012-03-09,137.30,137.93,137.13,137.57,122836800,136.97
2012-03-08,136.52,137.32,136.24,137.04,116968900,136.44
2012-03-07,135.06,135.91,134.93,135.69,143692200,135.10
2012-03-06,135.35,135.43,134.36,134.75,202129900,134.16
2012-03-05,137.10,137.20,136.28,136.75,140765000,136.15
2012-03-02,137.64,137.82,137.00,137.31,120638300,136.71
2012-03-01,137.31,137.99,136.93,137.73,145023500,137.13
2012-02-29,137.76,138.19,136.54,137.02,185934700,136.42
2012-02-28,137.20,137.72,136.93,137.56,129355900,136.96
2012-02-27,136.02,137.53,135.80,137.16,145728900,136.56
2012-02-24,136.93,137.20,136.63,136.93,105539100,136.33
2012-02-23,135.96,136.73,135.50,136.63,137704300,136.03
2012-02-22,136.26,136.55,135.79,136.03,124455300,135.44
2012-02-21,136.73,137.05,136.05,136.47,134042300,135.87
2012-02-17,136.52,136.63,135.96,136.41,129869400,135.81
2012-02-16,134.57,136.17,134.33,136.05,186567800,135.46
2012-02-15,135.63,135.83,134.29,134.56,195195100,133.97
2012-02-14,135.00,135.27,134.25,135.19,165329500,134.60
2012-02-13,135.32,135.52,134.74,135.36,115841900,134.77
2012-02-10,134.16,134.47,133.84,134.36,167907500,133.77
2012-02-09,135.41,135.59,134.56,135.36,148602900,134.77
2012-02-08,134.86,135.22,134.31,135.19,139361400,134.60
2012-02-07,134.17,135.02,133.64,134.79,135528100,134.20
2012-02-06,133.98,134.51,133.83,134.45,107694500,133.86
2012-02-03,134.00,134.62,133.77,134.54,160598500,133.95
2012-02-02,132.73,133.02,132.21,132.68,113090400,132.10
2012-02-01,132.29,133.14,132.13,132.47,166234500,131.89
2012-01-31,132.02,132.18,130.68,131.32,157212000,130.75
2012-01-30,130.51,131.44,130.06,131.37,147311800,130.80
2012-01-27,131.24,132.05,131.15,131.82,135259100,131.24
2012-01-26,133.15,133.40,131.36,131.88,184880500,131.30
2012-01-25,131.26,132.87,130.75,132.56,198613200,131.98
2012-01-24,130.80,131.50,130.60,131.46,103083300,130.89
2012-01-23,131.51,132.25,130.98,131.61,129295800,131.04
2012-01-20,131.24,131.95,130.92,131.95,138230200,131.37
2012-01-19,131.22,131.57,130.80,131.46,126328900,130.89
2012-01-18,129.31,130.84,129.08,130.77,163395200,130.20
2012-01-17,130.08,130.32,128.90,129.34,132209200,128.78
2012-01-13,128.64,129.05,127.72,128.84,179836200,128.28
2012-01-12,129.57,129.70,128.54,129.51,118983700,128.94
2012-01-11,128.73,129.37,128.52,129.20,111540700,128.64
2012-01-10,129.39,129.65,128.95,129.13,115282000,128.57
2012-01-09,128.00,128.18,127.41,128.02,99530200,127.46
2012-01-06,128.20,128.22,127.29,127.71,148050000,127.15
2012-01-05,127.01,128.23,126.43,128.04,173895000,127.48
2012-01-04,127.20,127.81,126.71,127.70,127186500,127.14
2012-01-03,127.76,128.38,127.43,127.50,193697900,126.94
2011-12-30,126.02,126.33,125.50,125.50,95599000,124.95
2011-12-29,125.24,126.25,124.86,126.12,123507200,125.57
2011-12-28,126.51,126.53,124.73,124.83,119107100,124.29
2011-12-27,126.17,126.82,126.06,126.49,86075700,125.94
2011-12-23,125.67,126.43,125.41,126.39,92187200,125.84
2011-12-22,124.63,125.40,124.23,125.27,119465400,124.72
2011-12-21,123.93,124.36,122.75,124.17,194230900,123.63
2011-12-20,122.18,124.14,120.37,123.93,225418100,123.39
2011-12-19,122.06,122.32,120.03,120.29,183903000,119.77
2011-12-16,122.23,122.95,121.30,121.59,220481400,121.06
2011-12-15,123.03,123.20,121.99,122.18,199109200,120.88
2011-12-14,122.56,123.03,121.47,121.74,238618800,120.44
2011-12-13,124.86,125.57,122.45,123.05,245159800,121.74
2011-12-12,124.95,124.97,123.16,124.21,215826100,122.89
2011-12-09,124.51,126.37,124.40,126.05,209111400,124.71
2011-12-08,125.90,126.18,123.65,123.95,240862800,122.63
2011-12-07,125.84,127.26,124.97,126.73,237802500,125.38
2011-12-06,126.21,127.11,125.76,126.26,178842100,124.92
2011-12-05,126.84,127.18,125.44,126.22,225263900,124.88
2011-12-02,126.12,126.50,124.78,124.86,221109700,123.53
2011-12-01,124.85,125.64,124.43,124.97,176954800,123.64
2011-11-30,123.49,125.22,120.00,124.99,324439500,123.66
2011-11-29,120.05,121.00,119.61,120.05,199241500,118.77
2011-11-28,119.54,120.18,118.82,119.71,210686000,118.44
2011-11-25,116.38,117.70,116.20,116.34,99557000,115.10
2011-11-23,118.07,119.19,116.56,116.56,224329100,115.32
2011-11-22,119.40,120.10,118.52,119.19,216494900,117.92
